 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,H21,H22,C23,H24,H25,C26,H27,H28,N29,H30,H31,H32,C33,O34,O35,H36
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.545314831192816,3.4456865882729057,0.12912609456933488,0.26955722740978355,0.02449526201408858,0.029377294451667785,0.002456356092291445,0.008919261880178997,0.004491157543244084,0.003442978362798721,0.00022089788429080492,0.0007079939273600122,0.0001552456014954906,2.7830365704195614e-05,0.00014622907564293408,1.5453927348918484e-05,2.774137933592158e-06,2.710222885751734e-05,4.110746226859696e-06,6.175390250273693e-07,2.3100421706612195e-06,0.028284195636877396,0.007407581528298471,0.005844084529882304,0.0011548939295406013
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5283001043113371,0.02639968963438022,0.0637593150007727,0.02297325616038559,0.03396444293220258,0.001067418000350595,0.04301915320483096,0.0034860506778270905,0.0012158049605192067,0.00046679274697170037,0.0004955846145850012,9.482525028059463e-05,4.119127892043828e-05,0.00011954850437242981,8.2187448964266e-06,1.2147978564969186e-05,1.3771964053804764e-05,3.660441353914301e-06,1.1300230636779318e-06,2.5417217974776918e-06,0.006768860241391145,0.004209285397004641,0.0011838253944413124,0.00022503368660031775
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6801640040904768,2.8596716331011183,0.10008962192005022,0.17673069662438518,0.024964060480779704,0.006419305222571836,0.027891492508582402,0.02401532036143683,0.0004838930511321671,0.0037701911515216763,0.0006390849684103639,9.241695551376328e-05,0.000713852736855744,7.608182293739052e-05,1.614640484315366e-05,0.00017120749390715784,2.7259454255967874e-05,2.806081084827383e-06,1.6102519263649917e-05,0.19275398020370024,0.06137348723229627,0.027593607912269495,0.005163972983110221
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09957122503094973,0.01144203422056056,0.014309810346249896,0.0007749167296593473,0.0002814803305151159,0.0007368452571521189,0.0004084877566559175,7.947471812652651e-06,0.0001527617719765395,4.240040632086384e-05,3.865922119095089e-06,1.4726156813971158e-05,1.6581549378003047e-06,6.971433776925551e-07,3.3231368036235054e-06,2.7393882118254e-07,1.1740539673787964e-07,8.314849055945928e-07,0.03636971542112177,0.08674168090568568,0.006058035051010102,0.00019238948531374866
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9238750514491114,2.699753071396942,0.09531410785847472,0.09713599419493502,0.15860563477039177,0.01089159427324704,0.005195479116570256,0.033702053248706815,0.0008338643780438915,0.0008544750424213099,0.006945943394805393,7.318940005696106e-05,7.904131583813534e-05,0.001983139281113211,4.676197721231734e-05,3.8718656673930596e-05,0.0003186254465944449,2.6290906656128246,0.2759475767121675,0.2246849277445666,0.05355871091324971
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09549879856597543,0.004620686777614402,0.006962813868354845,0.024715376195260097,0.001868085887182902,0.00042108110435457036,0.003004135425594079,6.0095631607248734e-05,1.788919763923147e-05,0.00131916738608584,2.1226268060337006e-05,2.5093432980183294e-05,0.0004010805270587836,6.256643398705464e-06,1.0437151908071485e-05,6.637344238580312e-05,0.11906520746642046,0.03351640057183625,0.01104289689903748,0.0003252699718758745
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0046411975956118,1.919744319997693,2.7549061717119483,0.08412844083711524,0.08391813067473541,0.18987742344659142,0.009448754098697942,0.011045073488390234,0.037357627794541076,0.0009711496483945092,0.0008095597517912001,0.007512218893728814,0.0001557998179693154,0.00014263231779698682,0.0009415417980859209,0.1811936841823611,0.04297944778046032,0.03173220695122156,0.002372303966981626
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026365833571983632,0.08555134068408354,0.03306640930828486,0.006309257294424553,0.006579498723824795,0.0032180016155114455,0.0001659385230110555,0.0008213914850525583,0.0003287145273165315,2.8079393336932768e-05,9.178214345606506e-05,1.6513168972442926e-05,1.4069028583918453e-05,8.438580690661723e-06,0.0076168381901995375,0.0011857335060927454,0.014358714226722746,0.0003755784076258095
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08654904954386844,0.00332058955053971,0.03271093007339232,0.013465610108036485,0.00023737903510379077,0.00554536992193988,0.0013525964719672823,4.0279744365268044e-05,0.00037322402163653123,0.0001362292212120364,1.974609158739149e-05,2.5887833176252428e-05,3.879625378377938e-05,0.02599048467607612,0.004250409552122969,0.0036740678243066816,0.0002597991435573377
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0084703600769798,1.9204509876396179,2.8342737155361273,0.08131551935900805,0.07873052452078744,0.20530281104116269,0.009070167468795964,0.007432069500175498,0.040832201676200885,0.0016936772870987937,0.0015499067581431492,0.003776223888399155,0.02038735696491567,0.004011681898478565,0.004484839808136659,0.00030580104770905336
