,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21H,22H,23C,24H,25H,26C,27H,28H,29N,30H,31H,32H,33C,34O,35O,36H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2268575043700092,1.3730960156624141,2.0806698784054474,2.465264918511481,2.679799893420229,3.1887472727804207,4.139234886763002,2.9062147154538533,3.8426208005239078,3.341052937821477,4.557012053518007,4.9084018736729815,5.593466449121814,4.644773417694453,5.905320282005133,5.645216577976186,6.475945430013881,7.086248504173871,7.561289245493625,6.924370894983886,7.843598333441744,3.6911467346599607,4.011599179099506,4.794796711295854,5.5417189362174755
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2729641360582264,3.174639348893321,2.7934366442452356,2.689303460448825,3.1289045272134657,3.949669614735944,2.4744983376818186,4.0396747882626105,3.760800906726275,4.906827027056766,4.830805641761937,5.394451734179431,4.366516663514572,6.002775833757456,5.868721140468448,6.68913609747345,7.002760687657861,7.388189957547712,6.722176696458114,7.847382079498209,4.248379366594462,4.8388234484195385,5.118148793537008,5.980036931665514
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.014749253957282,1.4531380839269272,2.0961982247891178,2.5074351842916482,3.423912646838663,2.7290606338973187,3.059191658128095,2.653334196880922,3.519709818495685,4.408794210434625,5.034189677262528,4.460221515452886,5.363187136618218,5.198200956148943,5.730952847218608,6.707360273285243,7.128561213045701,6.746001222192292,7.437503997325389,2.4008344706310516,2.675162015157295,3.6055712633051655,4.2803840484678535
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.097083574528339,2.7969594806925655,3.2606341088472592,4.119840393250918,3.6598605795810384,3.5315953015853423,2.9999981772318405,3.7506750220931324,4.976858875872859,5.642025979966085,5.16270905476683,5.733608403331349,5.477640227124521,5.969547699611303,7.164945626886673,7.636446468094081,7.290550530051455,7.803264339146815,2.402669136120149,2.183694290840452,3.7388637277027383,4.21139857290553
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.099114212964964,1.5485564742369065,2.159543071383913,2.1278027142672116,2.584568520764888,2.7444417148508893,2.9061019996901476,3.9340048161040047,4.26677478217588,4.147900076584082,5.106093936412363,5.2424447953542455,5.3652016806667575,6.412688507532321,6.632726353802063,6.550913283421403,7.228272820469889,1.5252301740097667,2.427120291706787,2.379646519401403,3.2188410751495633
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.135140706588827,2.417840266127922,2.38901407044273,3.490579091545324,3.741977920505211,3.8616756816980224,4.667001040993726,4.852858483427486,4.747752570282347,5.9747097940160225,6.177198098210496,6.282237634842111,7.177189289825339,7.314367662569985,7.243246503948969,8.054114655558589,2.132519940850082,3.099005410492336,2.6331679414773888,3.5045276496105133
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0958176905090928,1.0945165494181621,1.534673592636728,2.159223535042716,2.176279669478745,2.5385108293702183,2.7752245782139755,2.7523330410757314,3.8914520407376427,4.226309987357165,4.260643851820459,5.0529632748279685,5.187402402696541,5.173723199167796,5.941041665835967,2.556146648847728,3.535126482915266,2.9093888179379497,3.8138696147632616
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7706785855582745,2.1750255716680393,3.0690874517041844,2.4831105539853686,2.8494456032672697,2.6442495940163737,3.194001691445837,4.246831822070404,4.809773280213402,4.476816186639105,5.2727944155958815,5.1928252304422235,5.476496926711681,6.192401794106621,2.783724661232842,3.913169486258928,2.596614011240337,3.508738217481978
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1698674390132293,2.556158627248999,3.0789466992936685,2.717551369013371,3.020746970988623,2.4751102270184404,4.146213293127531,4.407376242053726,4.748443635564498,5.106777188966864,5.275453694650883,5.008403674456972,6.047285095573242,3.4601116187485506,4.406286275202759,3.8732422608194432,4.814666349132778
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0973243715795684,1.0988822732160113,1.5399025579423578,2.1727865612337633,2.1646620022657412,2.5286814544856604,2.806867998185046,2.839491150315292,3.8882755687005504,4.180889082515102,4.167947584276323,4.6613017515327995,3.1219926835072846,3.749249143441845,3.574054088732461,4.265986263966467
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7668059582624382,2.1682450835707323,3.076336301638021,2.5098688439096293,2.7534125913380567,2.582535348428053,3.168921185481428,4.166324595614157,4.687563141397941,4.344741566869134,4.8211858525167415,3.355469698624729,3.7036786484991677,4.146292890521507,4.781989743804935
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1684100560537294,2.517959695385423,3.071222220649621,2.7575676073186917,3.1295027627131606,2.62319319511226,4.1890234748041815,4.394852705237759,4.696753185912582,4.838757273670612,2.869683742448908,3.3609252440472948,3.1467959587830614,3.6429851183162474
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.099439287610325,1.0992890370344477,1.5238159091579575,2.1885335396453605,2.1915786504093515,2.5150172427570303,2.7368127183560196,2.7462404791425046,3.4215472477604556,4.58240415417086,5.270443323053953,4.80705979922369,5.504906247078168
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7706548783368927,2.159366633879824,3.0871730417506345,2.5196833367146527,2.7566040076303757,2.5505212785762716,3.090551415684085,3.700870654583389,4.802947734301178,5.630668635829563,4.718788445985696,5.40498219218833
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.158876649489303,2.5332423054263655,3.087937952964667,2.731590850271176,3.037621547718931,2.5335310038655012,3.68692253152897,5.099175711662216,5.8328872787657575,5.4293435686098155,6.2231053864092605
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0931064668928463,1.0930635595527498,1.5337658003285066,2.130402283142968,2.130092262331876,2.145246033876141,5.530618151789724,5.976032262405849,5.818100667930186,6.358194692664447
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7795535647802785,2.111705317768788,2.9805853174943997,2.431632639614902,2.4281582128473795,5.7170984293294485,5.9987236247067495,6.232414425892646,6.759629825383131
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1117392359718803,2.4424502778961954,2.980127477270248,2.4184509626337647,5.4883505780425095,5.84218763404283,5.6519332654492125,6.045022117556393
29N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0282072128213162,1.0282565285188419,1.0281202441564004,6.943297937108525,7.470159711180047,7.117484778032356,7.685988708774461
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.654130047942588,1.660332453014531,7.112060871280242,7.744546158783211,7.094403724781038,7.654525512939616
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6604136403989338,7.284478236300324,7.858673353513927,7.5409585862584185,8.197492365342013
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6608752342766655,8.076547521769314,7.865506625447163,8.360028380996292
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2122786110110002,1.34610234661715,1.8818885432991386
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2566438056958247,2.308060700836039
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9773643595563944
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
