 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,H25,C26,O27,N28,H29,H30,C31,O32,O33,H34
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02456913017402873,0.0005226725450893088,0.0005389616583042489,3.906053966806766e-05,1.5258694703534914e-05,8.065635949572325e-06,7.180028287923079e-06,3.812432904481966e-06,1.5117254492658105e-07,1.7235612026489378e-07,1.2564735119457993e-05,1.8557745287139937e-06,9.869206405022091e-05,2.9638773644258265e-06,2.0193623484487944e-07,2.1373919389944263e-07,5.335997346200827e-07,3.582199381568785e-08,2.274387899792174e-06,1.255589889725961e-06,4.4791245312758576e-07,5.6673132631246403e-08
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011721510427872062,0.0063574237988657245,0.0006723405950572747,1.5203440129951673e-05,0.00016094785570097692,1.2836645376657074e-05,0.0005440831907128629,1.937495067716455e-06,0.00022867899928824542,0.0036177897419269467,0.00014145455529979145,0.008676519171633146,0.00037744520923688185,0.0002805812208404035,4.839276848045415e-05,9.967755647100063e-06,1.3372005583711655e-05,2.8886073973444226e-05,5.857777051421209e-06,9.1739187462192e-06,1.993886193929484e-06
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.685312394226702,3.5282073170765953,0.1414978569565526,0.27387892035668654,0.027435017551154184,0.03263505698423946,0.0007430926940625859,0.003935234998756476,0.009608143137259856,0.0012372495566250752,0.009603937601299961,0.0011901205691202676,0.000812581790643141,0.0002468924786889759,6.853776399751155e-06,2.1435526036617247e-05,0.030404703922188858,0.006451031432738549,0.005821209714975628,0.0013219240335093918
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5363665656990783,0.02476969064057144,0.06606029042623959,0.0422349118615688,0.010468887009586161,0.0008600389569110023,0.0015626976758111866,0.015542992554721552,0.007004170952592759,0.0035764896252158396,0.0024503297892426446,0.0007241084918528443,0.00017960830202373712,2.5476649278988184e-05,2.9575125496617005e-05,0.010123205887193204,0.00407470092935059,0.0015022595927142446,0.00035338149837438326
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7909537739295662,2.8544573369812394,0.09748833009009439,0.17676069014275858,0.007288995863267367,0.02686816524725133,0.018088398752868606,0.0005438175265222167,0.008439276537480112,0.0025328004013687178,0.0012074970496690346,0.0005077316587587671,1.6519625915090153e-05,6.0496964379708196e-05,0.1996993112807737,0.0576592644482858,0.028228440392387907,0.005379183243530705
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09467522767123882,0.021777330294923125,0.005755179208368544,0.0009390340169319611,0.000168344756595884,0.00042598626561773933,8.313549671634668e-05,4.536164415847033e-05,6.442735776168718e-05,6.0285895051248595e-05,1.295468420370316e-05,4.908441344486647e-07,6.456737904336762e-07,0.031001041430702037,0.07590448777913728,0.005139240831825265,0.00016773245618773025
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.982822925959682,2.7873805682427784,0.08694875163992477,0.09813560855669756,0.16906159548393304,0.007837385745706582,0.007582319721417097,0.030960064690728234,0.007382100833526514,0.005388959281570349,0.00019685834911120637,0.0012573807248456026,2.7856696420662375,0.2758776896375894,0.22173202385903307,0.05375622475200348
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08161976254854508,0.03260612375371541,0.003974712617815568,0.009866485622400223,0.003725817086459804,0.0002593580618992508,0.0007462382096441456,0.0006995583875437639,0.0002046129344983605,3.088551785745963e-05,5.962414488047685e-05,0.11051411567954661,0.028191595263334257,0.010405724356021828,0.0007170026557163922
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0392060143304054,2.0740340670489643,2.8673748829595724,0.0829302631076485,0.08715021181462279,0.18399825932892577,0.05636086832261839,0.028632637416533116,0.002194989601023156,0.004181916299255017,0.19691112995919577,0.04229657348215772,0.03197789859301156,0.0020123205496344054
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02504921337895305,0.0871219456782023,0.03357534964262987,0.005065998722322496,0.011063624073197609,0.01941717876673843,0.002066567318615875,0.0004562851529783529,4.999114120840531e-05,0.01026372715595869,0.0016427179112339374,0.0008616290937573101,0.00015672597806926092
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08684687961621895,0.004739084818189632,0.033234845086082654,0.008604444026276248,0.003995638082368136,0.001014666011855403,9.810435071444523e-05,8.151007584289438e-05,0.010408825422234758,0.0016948160366297982,0.01342552683393794,0.0002742784735247916
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0313378651970586,2.052878852093291,2.794187942217791,0.2911620205214855,0.2256710788356262,0.014706993472539343,0.04306051114850851,0.031188949893325046,0.007808744789076033,0.005347574521453416,0.000433349132180072
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02475383334544179,0.09750331358995368,0.028055787019725997,0.011569273537498814,0.0049912077326013105,0.0012602967612318494,0.0009475170706270131,0.0002713661580733273,9.449670446759484e-05,6.540000013544045e-06
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10776693745585786,0.029687434387186795,0.015290773707464456,0.0006750044898351515,3.133369854291246e-05,0.0009717121733721079,0.00019499205130668607,0.00039291523848927756,0.00014786154396939644
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.360707171217916,3.6405719753710652,0.1329141670113314,0.14538095663551898,0.006170297217807708,0.0019197212618220078,0.000687842141689432,0.00010615418062998039
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5602534988426469,0.03366045027243447,0.028852439500810623,0.000759139980260351,0.00018455339414254548,9.293430786953827e-05,1.4880319802013098e-05
N28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6650763540339866,1.9914577621450855,0.0016410029694369221,0.00050636120530409,0.00024010621189302084,3.10229735452916e-05
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037024740553053936,5.5214374786727305e-05,2.0115138992027326e-05,1.1534786402589425e-05,4.997170539589035e-07
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003826932026923524,0.00014562015467733946,4.5510456609942906e-05,7.412730523181921e-06
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.940746654736836,3.543036164779385,0.17638789666325427
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5121867442434341,0.06346176823047511
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.848700099729304
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
