,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24H,25H,26C,27O,28N,29H,30H,31C,32O,33O,34H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7726776434887532,1.7697773730444193,4.073841421391347,4.213534430739638,4.96042607651683,5.280173597844208,6.076776044818896,6.271393506418884,6.23538918927626,6.346807086713513,7.262535241004247,5.389879988119622,5.58086827016499,4.320638966847028,6.115850230717991,6.905326187292667,6.184378849922169,5.6968911636084485,6.7969901172239995,7.3327565721618795,7.509282554840105,8.445916736117919,9.19871982209574
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7840607730723725,3.488469734399278,4.1132816978882,3.985235455445211,4.032643162444238,5.223554346146825,5.696721548838178,5.402813045388076,5.2718597762037085,6.491358979059635,4.90920109721349,5.391582362121708,3.8304691528429817,5.675150972878697,6.225050626342287,6.112415673585987,5.886251140910363,6.736606556799147,6.272029166306982,6.254207459120837,7.4911936124504175,8.13818196897708
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7861456939734266,2.914974935838797,3.48583210056024,3.9753235612535907,4.431149099735146,4.661534249190135,4.480628542665964,4.658358890309642,5.496488210856064,3.638513689011745,3.889780517108487,2.569773374318916,4.485411246811827,5.304365496821834,4.731334707806215,4.336005861283765,5.462332877977253,5.766649216661761,6.091123992161983,6.809459737027089,7.602716439181207
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2382221937004851,1.3581478851385556,2.044348268188208,2.468032528707231,2.550566710145576,3.4487376767353477,3.8922088419352288,4.358970245521106,3.473059582716336,3.5370520422947562,2.905837299298559,4.922817935809788,5.652596794235913,5.6257417588929455,5.359374670891121,6.56907972619311,3.5772876112907146,3.890730383383534,4.657198182276749,5.381917873914131
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.271953358381037,3.1581524410293667,2.813831329847358,2.43845580881205,3.627240224043822,4.334451220109898,4.390318723039067,3.3118502236353606,2.998951666581731,2.8838462149696156,4.769964809283059,5.696414699720165,5.236396079979116,4.798340721014052,6.221219100955106,4.113137182040873,4.698433044323492,4.936856155958511,5.770723028731503
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.012944767209584,1.4547686951943066,2.072281835997039,2.5156347439678703,2.7873792158254,3.429205312311709,3.0695460372454915,3.4212892139252213,2.7408521596897373,4.462813277420898,4.949567546717603,5.442877004054206,5.418996185225875,6.345908563227139,2.397954415519618,2.6867361218484045,3.595272953184119,4.268776690777524
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1034268609876063,2.892035711528707,3.093309004165163,3.0428946521800695,3.9780395555325434,3.8447347331070154,4.34339842387508,3.473057885088975,5.105289950994634,5.408005446752587,6.178806660558281,6.241003113251846,7.022878890005662,2.4516385648438073,2.255467163467554,3.7853108498720256,4.263128571380096
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095941428706564,1.547629579413769,2.1778304724022752,2.1583873610189164,2.565557027074431,2.818340744115438,2.801436799071371,3.91906543913242,4.338606112965361,4.987917659639736,5.0840014375020335,5.894661983885062,1.5244194386532834,2.4289663537627155,2.3816287844730355,3.2170351465826017
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1690162615821005,3.074556611826875,2.4958568396825136,2.796244567851282,2.603391190037981,3.130072441311031,4.222792612529167,4.842896221608791,5.0846449312003035,5.020345190197192,6.049343166667611,2.1486071919580225,3.164596591731793,2.591482131451854,3.5025279743141664
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0954548673400286,1.095254899050755,1.5293231434933001,2.17799995868197,2.166782609213219,2.527160543465971,2.8121503857487418,3.741146024496972,4.070241893624434,4.557283115279923,2.513071975033459,3.411454681495973,2.970825980310751,3.808989849995997
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7566580118463742,2.1539278966603024,3.07341614296197,2.5171430692486036,2.722618919191605,2.5966088307533717,4.065510836256143,4.5551799953555046,4.733765614700453,2.7458600994285054,3.3264986457580914,3.352290511664129,4.003499454960874
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.161651401162975,2.527707351251613,3.071451975873402,2.7788780233684838,2.897156467209945,3.9329054939614485,4.356087664191093,4.675663232361114,2.700667827705647,3.7446340520005936,2.6237526337080896,3.451174856017598
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096906437512364,1.0979859239545513,1.5294581596471188,2.423949632146773,2.4413944629492548,2.60236029761821,3.3674601345138417,3.8931264594994803,4.7659135246393,4.363339751037811,5.262620283477303
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7522786231544476,2.171708140964033,3.2320439364767446,2.5958951290667054,2.4284798031832855,3.59732916734585,4.211605328941367,5.21119282206657,4.52065928657739,5.4815206415358295
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.137857837240676,2.9983973531455472,2.835463187345055,2.808522907296307,3.716849985604867,4.210160202468649,4.887565915606592,4.952750047417747,5.818484348476871
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2232383204502326,1.3689860173945023,2.0879738799234415,2.0467781130390095,5.039397257224446,5.876236480149339,5.341352102412817,6.1721474399026794
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2716346220906902,3.1778762844195683,2.502329938290631,5.169159778185313,5.898203006455634,5.404351454387234,6.109268934963204
28N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0094869054382887,1.010939392790276,6.2316870336157235,7.119110066847404,6.4873828669910285,7.364186235899902
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7344807280967824,6.455535923875385,7.3643174859347695,6.7649578462757916,7.691047809027397
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.067242924563032,7.922099429019046,7.283468702140415,8.121242631647972
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.213778715357276,1.3462610966141184,1.8778049325133506
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2547500878524387,2.297642927550019
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9767904033199457
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
