,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20C,21H,22C,23H,24H,25C,26H,27H,28C,29H,30H,31C,32O,33O,34H
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.460411972050452,2.117453481850698,2.3612229045502278,3.2999072916438683,2.8357297111464437,2.355090061456203,2.804071253820306,3.3048105869413265,1.476150077045258,2.1391509423937864,2.1226294171958306,2.4591968501226398,2.8402845644979755,3.601815293047605,4.298580190477192
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0928914488270751,1.5484601098054074,2.210974891446122,2.16882733136016,2.418287135583776,2.8032150808466945,3.39397968538691,2.4477460495028662,3.289555520899748,3.0676241500900163,1.5294358995585873,2.443182216073916,2.377619310475643,3.2116405750583534
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2138392362877157,2.7675927867028864,2.394130574565257,3.3536109595517263,3.861436222249673,4.216112836210707,3.255935013334326,4.158588584252297,3.619208313197898,2.137939361924987,3.23601905902272,2.448167241230941,3.3911352209831516
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0940849125188938,1.0964630798068238,1.5381894766550173,2.172080475890195,2.209961310774584,2.409096122449188,3.3621893605708544,2.871878215720085,2.5328763572782926,3.2492146218234548,3.2200249241734173,3.997852016524159
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.769341380121667,2.217961570595444,2.47043776137341,2.719693706773893,3.388847061150857,4.235393070711098,3.922030500329642,2.6364919458926397,3.3403629597425955,2.986725499517205,3.65082175306413
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1815873463413054,3.0723331772441185,2.4720464336106844,2.800728353045907,3.862271826495482,2.840759398137265,3.428029774715133,4.26775268850938,3.934088404897322,4.805510485835853
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0952020789435437,1.0942441728509147,1.5351770550330206,2.2075113973134646,2.1833109844146192,3.1930447560429234,3.3911953261034977,4.2498650388958845,4.8596465660799275
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7757864709260482,2.164711572970002,2.417273066787819,3.0563725152802212,3.030713214042237,2.875031395214084,4.137685394430696,4.546500398294431
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1985984371018223,2.7425275542691514,2.429000967852467,4.237066890592776,4.43468921865141,5.20226866287154,5.817684738177655
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0921907532210742,1.1003603576202885,3.436290494497529,3.580637780529093,4.6484825045460685,5.301010990229438
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7724437079718982,3.9658615820545786,3.7815101993012346,5.279116973832084,5.798562103485372
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.310529643231589,4.610597825811911,5.413991514143006,6.160333919677342
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.210462899245558,1.3533776683409062,1.8760205307569424
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.255618799508111,2.287791953947468
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9763365258316593
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
