 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,C20,H21,C22,H23,H24,C25,H26,H27,C28,H29,H30,C31,O32,O33,H34
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11344455476561088,0.032518186207813216,0.013261508527136256,0.0011690947405023078,0.0004432278335873008,0.003626180160643644,0.0013257246098361541,0.0005746086612317125,9.566340515498872e-05,9.288158939968483e-06,7.303259994539957e-06,4.180680135412729e-07,2.4778792351298762e-08,2.6390763113948168e-05,7.993850774656863e-07,3.243500319216608e-06,7.406489769068436e-05,5.431815943079954e-05,2.05371233035212e-05,5.484682774836713e-05,2.7140800565317313e-05,7.891976335439033e-06,1.4618641290820023e-06
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.635428116066068,3.5369219364189766,0.13182849722032164,0.1466889917399783,0.0019798486289670514,0.0012933320089019429,0.0005524941719150522,0.00011326339796918772,1.5987354626378902e-05,0.00011328309107402901,1.6856957804067818e-05,2.4744491364803167e-06,0.00030018176571947053,2.450673827825156e-05,3.6094896966876178e-06,0.0031815089841760458,0.0062867550293417285,5.7122885021465564e-05,1.847147474587363e-05,8.72239864599389e-06,5.933110653735807e-06,1.3345198385250612e-06
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5475229030773843,0.03329592255058356,0.029135473617045715,0.0019835372028248754,0.0006361613690797768,0.0019922552078278644,0.0003989061154013318,4.110749806396363e-05,0.0004804921505993376,5.693634821246629e-05,1.2794455422571183e-05,0.0013945581420662517,0.00012058669729753113,8.339493749009996e-06,0.020816087360272503,0.06114646216235187,0.00037123048211551435,1.7104476642465505e-05,1.1582341571059196e-05,1.0067612267045112e-05,2.8199121402394667e-06
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6907416351082438,1.8142496481696537,0.0005668822560635084,0.00019699818450620576,0.00018483704360933162,2.9755139001136355e-05,3.675155968774213e-06,3.844953410775398e-05,6.360961526064024e-06,1.0845373620282928e-06,0.0001011719896907709,8.52682786889325e-06,5.183832448851788e-07,0.0012365719654452573,0.0025231031963047768,1.5804645546180218e-05,6.627234951150918e-06,3.6134435050863556e-06,1.7547387844291107e-06,2.8314955557995347e-07
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036979160040672365,9.391918964052337e-05,3.584302345449597e-05,4.546788878467822e-05,8.004521784066299e-06,1.9987286452582964e-06,8.662467084974423e-06,1.3908902134485146e-06,1.566903535810127e-07,1.7556108817484706e-05,2.4191296903453008e-06,5.329779373397514e-08,0.00024252290947046617,0.0003004404910691427,2.5040596922654146e-06,1.7030444682264445e-06,1.2422251380872495e-06,6.319061092163736e-07,1.0297563424188638e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010034508249456842,4.0758987824851545e-05,1.996355568989472e-05,3.113490664841123e-06,3.358120923557806e-07,2.0303129123488972e-06,4.7420573023870816e-07,6.353349779608664e-08,3.466086091807874e-06,7.910188997151124e-07,3.8076120700836213e-08,4.2874656952518464e-05,2.216568722546164e-05,2.0205310637955165e-06,1.4341123830696745e-06,5.6900874090271e-07,3.929438568972543e-07,5.441190276123109e-08
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2864346941613425,3.2943924263415703,0.27820283688786895,0.02034573545657259,0.028631019265069307,0.0032132028046290007,0.00025832439785933303,0.029122974762443993,0.0001584776540721755,0.00344130014265831,0.236371863073523,0.014347714169320902,0.02349437500430862,0.04888490599305692,0.012446325372534706,0.007168402134180657,0.0007736300621785652
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5205464643554567,0.08332502416048748,0.024059969954446148,0.010448181452157104,0.0009723325638997249,0.00026193431798338107,0.00848444765287236,0.00015435159958077094,0.0022831640184576285,0.053922890191213046,0.004743086357163251,0.01156354616271249,0.043662912069677165,0.00900770410376888,0.004435417888896037,0.0005805188112437687
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.763212561447684,0.09314138950716233,0.19805143976716807,0.02127073664109269,0.0029797062243202,0.20586635101560946,0.0031703053039855433,0.023973881637710415,2.6088662089803814,0.09125477722300113,0.09710746021038386,0.18792754808587198,0.030385460876773476,0.0276977183637553,0.004845845797206483
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9956951117731059,2.6823313884339592,0.0795180202748933,0.08997801618537293,0.19333241507786417,0.004997064664428175,0.026429366957589018,0.21532721442371353,0.01916195011597699,0.008173059161646234,2.5241315451364086,0.26889695441162176,0.2187910390772145,0.05473922330099368
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0782689894926395,0.001791135109582509,0.010290110929673357,0.021494436033939857,0.0005691418837265871,0.00051258655300912,0.01734814140587282,0.0007706480787399439,0.0003283011919761325,0.10321173531155736,0.0244759094078133,0.013546490141797651,0.0009985355014348052
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0468674390088815,1.6998441949655034,2.6944402348826277,0.08550423238265625,0.07705928023920383,0.1988299703664621,0.02333559651542738,0.004931083258390867,0.19345158113769467,0.04158435149873417,0.024413288331706876,0.001955496061064377
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02628786658177651,0.07611591489123626,0.007491249754721041,0.0010672626313588118,0.026935241785887243,0.0008020513695345954,0.00010865167127027675,0.01695199013215598,0.002376281234777511,0.004080363385948638,0.0001381755738858459
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08144738944384611,0.031458342341794454,0.007441974326299672,0.0062161313806519125,0.00033990399662164883,0.001243099745545262,0.023766281710031034,0.006109431535470167,0.001780835876107334,0.0005798803460903557
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6783329012152184,2.122398224344055,2.530759364696894,0.0828536415189749,0.08198819584307859,0.014837148754062723,0.009365262752684622,0.0038190335244790985,0.00020993825797965826
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026131492553495006,0.08582062468340346,0.009532695383232426,0.028211442060224412,0.0050580677868123924,0.011310883978857267,0.0010442537921077077,2.246237256842143e-05
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08372841165632905,0.001184104728080726,0.007493206429135535,0.0021330707975177887,0.0006755848579782509,0.0006438502415844205,1.1428180942241184e-05
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1367488388285203,1.8484104086885924,0.016184321463169143,0.002912155254677723,0.0042731219176688345,0.0010530580776076937
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02591045842644868,0.00039363706302086854,0.00015551392678958553,0.00019756131809356425,6.63918002790087e-05
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002872915368404616,0.00037508507748318376,0.0005596615382585934,6.45066094784319e-05
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.13378714943387,3.3844194969315105,0.16532154755241824
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5161344542369414,0.06820545332177264
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6128354043793824
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
