 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,C28,H29,H30,H31,C32,H33,H34,H35,C36,O37,O38,H39
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09191119681790472,0.025456874218818037,0.000435979591435931,0.0013580272922923964,0.0002623304854763031,0.0007238202882771105,0.0002777535597001668,0.0002628457064997036,0.0005328682871437174,5.334468196172004e-05,6.147444245208078e-06,6.865364812203012e-06,1.2276859631121795e-06,1.4916954944599325e-06,1.159743071799113e-06,1.6425337128200823e-06,1.8412252267285822e-07,1.16425429297351e-08,3.198758968814275e-08,5.587072693380435e-08,3.056922334154777e-07,4.3466412535941856e-07,4.118078544834702e-09,5.600250929660433e-09,5.32057536137831e-05,8.32479454555557e-05,8.964969070990314e-06,9.744588582716318e-07
S12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9198404459446166,0.09783117225817373,0.09033474822117393,0.09648101955585964,0.003981216110873681,0.0009102590367859459,0.0021246197481115114,0.0014310938448252042,0.000249860190127571,5.126862901216889e-06,7.357038209854921e-05,3.0132491766199365e-06,1.53302030797553e-05,2.103248802182156e-05,2.3074013626556145e-05,2.9016729974143396e-06,6.833814281126394e-08,9.620699642498565e-07,6.256148400440864e-07,4.249948443182938e-06,4.039254423382488e-06,5.019200766120946e-08,3.622438087269586e-07,0.00033524081650398996,0.0004674515299316409,4.947149149653329e-05,1.3924826385069977e-05
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1277202915832953,2.1302671865986067,2.15884597847389,0.000298288771771793,8.922276347059221e-05,0.000119721111038959,8.271427678430143e-05,2.1562771573419015e-05,1.410688756031675e-06,4.300251116827469e-06,3.777287669315399e-07,5.42343758125341e-07,1.1292256701517234e-06,1.1039756842023962e-06,2.2572919579355588e-07,4.925555741053245e-09,6.26617746579683e-08,3.613170596050708e-08,3.643803799177614e-07,2.6568333921783704e-07,8.995143851997511e-09,1.8000798851502964e-08,2.859682433509203e-05,3.609225396390692e-05,3.883142906717374e-06,1.1000060149424229e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025401880375816477,0.024277309052270102,6.685114647742019e-05,1.5135473507288388e-05,5.9617064832151456e-05,2.1179675486093785e-05,7.531626645906897e-06,8.732153224944028e-07,2.5568459001146238e-06,1.3383914421183363e-07,4.0850609672737903e-07,7.795566823176614e-07,9.594077439167847e-07,8.581831378862148e-08,2.8977091837134594e-09,3.123261871351701e-08,2.5291220007161996e-08,1.2687692252377758e-07,5.111531820034543e-08,7.215295250162512e-09,2.4736188652951796e-09,2.870813727118282e-05,2.785072975930447e-05,2.3817503386203143e-06,1.009359958725753e-06
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025255877721303,3.628900019259085e-05,7.474526164896744e-06,1.120867793824587e-05,1.2676862956029211e-05,1.867735270222326e-06,1.762124908211149e-07,4.4152329881086416e-07,5.309634132366625e-08,1.8126061052115006e-07,5.0908490978329723e-08,5.40656737157974e-08,7.3963822844191895e-09,1.181885922463266e-09,3.631158040917626e-09,2.5253481528153543e-09,2.023739764656085e-08,1.0124830973623489e-08,3.872229203949473e-10,3.225200106982129e-10,1.7153307774186999e-06,1.694036901533913e-06,2.362143638467984e-07,2.571993040767495e-08
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.799880246255441e-05,1.2616262309084192e-05,4.260425889079933e-05,5.133517848587843e-06,4.14761507294692e-06,3.198293792028295e-07,1.1330249634067258e-06,3.7984932088619416e-08,8.257758099539103e-08,1.8949132574164196e-07,1.6207665121115156e-07,2.9305194271245227e-08,1.190048948274125e-09,8.139049878508331e-09,8.89175955087751e-09,6.201651214787773e-08,2.7289844828359833e-08,7.387077616272109e-10,5.170330830139847e-10,2.7802946596100497e-06,1.084311680332739e-06,6.42476523649016e-07,2.5936966219219926e-07
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.884995072178082,3.5155611285057,0.1390328223029943,0.2690542958640894,0.027283677501502623,0.033119447595413576,0.0008055917104128341,0.003975213872986938,0.004625303386662671,0.005247142061660659,0.0007532312078299408,3.6614197427065065e-05,0.00031378978447160755,9.483250917941e-05,0.003912192572090606,0.0061326107931332086,0.0001304900385632468,0.00016570700984708253,0.03028389786454022,0.005434879712172991,0.005513386045336854,0.0012790345294567684
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5446943141918286,0.026433345260360452,0.06595772036499051,0.04683764402960322,0.009943302174075186,0.0010382607332735105,0.0014248575846252942,0.0016272537504392337,0.0002555575342124694,0.0004417340498966832,5.975162701266079e-05,7.026780346897077e-05,4.3758357388012925e-05,0.01666418594400533,0.04047659293254624,0.0002766687125772549,0.00037594581925159964,0.010847180540558526,0.0036118354634889077,0.0016124763642789836,0.000375283968560014
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8528728246576822,2.781434041323675,0.09727153854034032,0.17781658104272915,0.007525071133747341,0.026341856336768554,0.01908370108577892,0.013621225975419371,0.0029097177030497495,6.895744057544562e-05,0.0005948152225272452,0.0002818821693189033,0.0020362496504996164,0.0009453960938816675,0.00015387081061457586,0.00026680255527189445,0.19478003493900076,0.04978182334963077,0.027905487518078448,0.005135249700684685
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0967998010528166,0.02825979340173146,0.004925664537900332,0.0016873938320991488,9.420683916872008e-05,0.0002636780694891261,8.315117001256311e-05,4.381681853971031e-05,7.26714819965224e-06,2.5863925053659642e-05,1.9082975160067406e-06,0.00031243708773720513,0.00017962649518565854,3.303820212874342e-05,2.1243240448276524e-05,0.023686397513146495,0.05467907889129775,0.003924108748697419,0.00013063714163297213
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8990649444840146,2.6993642608020982,0.08846526865099258,0.09447646459538084,0.15127037402982269,0.00760616963691052,0.03263313150040725,0.0010284834053018166,0.0007176253446548042,0.004598881909816832,0.019141847817659693,0.006787645735846448,0.0021124114610409084,0.0006972136464202805,2.734327183028183,0.277045989291409,0.21557821843846614,0.0540332828614255
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0807735985723862,0.03193630758679378,0.003925777804068442,0.007678332621941508,0.00012309508698682414,0.0012141924301558582,0.00019906229294219813,1.713233393352276e-05,7.830423734667136e-05,0.009873731049608092,0.010646021077902246,0.0007371904020350151,0.00010866990944302657,0.1132429945981559,0.028031675503558895,0.010568953728347652,0.0006941907062136821
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97857537804246,1.8824973203936388,2.7659081111042414,0.08247668321454826,0.18549186623682867,0.010696908248055248,0.00962429333372583,0.030475468104591785,0.15868349532185866,0.005154150357756571,0.030745027600122432,0.01051520182361143,0.20157971886598128,0.04343987706403348,0.031114404289950756,0.0021122742446633147
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023180364025775724,0.08260020009910973,0.003879813156985934,0.01352299438667548,0.0062234127933376016,0.00023228080640902427,0.0009203330889056005,0.029723964973372485,0.00029058261040426636,0.0016000355332481675,0.0005263953050742565,0.010646785898460687,0.0018247229506617169,0.0008582251184702239,0.00016664384766862383
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07987878853942232,0.03541343267096275,0.008691679647578443,0.00018660921988966628,0.004142275036805421,0.00048287819169967605,0.009679233455293756,0.00011775475604980379,0.0004958519935884809,0.004994171249490087,0.010342739694727987,0.0017629147569782067,0.013778016187612763,0.00029087038939401566
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8907406135248797,2.7858295851072006,0.08396551158422727,0.08246437320750122,0.085776023521005,2.816741994347623,0.08774104693019935,0.0884981519060215,0.08197258273896812,0.03118201700054951,0.007934671134857949,0.005271473384519845,0.00038761510873353
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08258592112663554,0.004363415241002588,0.03499491860278914,0.0047083499854529975,0.08298436908277473,0.005534631218293118,0.003558462527131434,0.034744668785597455,0.0009387899060253613,0.00019837112582776761,0.0004279000586309145,0.00015420002499233476
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0653849785516254,1.9826585765438454,2.0731039272037943,0.17505459788508188,0.03020600897596304,0.012107830766626027,0.007537305242585113,0.006208242819344206,0.002069965738586213,0.0007107375135433497,8.23010270215585e-05
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022761422814655097,0.024044708013445826,0.03145612309937862,0.0027291264285933536,0.000935447448093818,0.00037358003463894285,9.485109391071944e-05,4.929485384053134e-05,1.6370745287375144e-05,7.132641028917419e-07
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023051102888168584,0.009050323175957997,0.0005329076913349606,0.00018676165687581125,0.0038200863815289754,8.636243896043005e-05,2.721282181950002e-05,5.2529368362419504e-05,4.157784148306476e-06
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009749493282512955,0.0006192860147573587,0.004997209467957342,0.0001380737077079086,0.0014592600991929494,0.0004845265039247204,0.00019127148485909018,1.681980851886422e-05
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9940693540776397,2.0564634817428784,1.8943030174110198,0.0031110289306944816,0.0012194277891562286,0.00042977099981170164,4.038148693452648e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025901800146310272,0.024810548138133326,0.0007757994163144488,0.00040301306248435864,0.00012233811418083107,1.0065648175849873e-05
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022946066392997455,0.0005041975391206766,0.0002753556132656376,9.656211713360285e-05,7.053400612466731e-07
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.456969190413389e-05,2.587331357251088e-05,4.820358202284325e-05,4.072969672641591e-07
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.865052381192137,3.332383688771781,0.16452296768679497
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5047322392578215,0.06418408429070432
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.809515269775765
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
