 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,H26,C27,O28,O29,H30
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11494627697478355,0.020212145627968692,0.024471717854257613,0.0013372705817293884,0.0010540645959087325,0.002510957250520196,0.00027136797117222056,0.0005216852293918883,0.0002073934185116144,9.703740574829034e-05,4.381668672559513e-06,2.0664834653905118e-05,7.0843572264056576e-06,9.891809260587081e-07,6.569121266952749e-07,2.6370870685576975e-05,6.0346578780845483e-05,5.170350614314145e-06,1.1517452835896336e-06
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.989867120554822,3.53417767856689,0.1262013481327947,0.1448856124535266,0.005790795409811034,0.001878117540083435,0.0008395021066528174,4.9386411109630934e-05,0.0001634916107327855,2.4646545093043315e-05,1.4589713521112602e-05,4.040530272586551e-07,1.3159306206933508e-06,8.493974996692799e-07,5.157379305867349e-05,1.2458761455863554e-05,1.5172829898491003e-05,4.98960918215996e-06
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5689475321645704,0.03381049528229929,0.03056356845847341,0.0023592757222030136,0.0007744464186083128,0.00040505875866136964,2.4058370091561976e-05,7.372816786407888e-05,9.065801146901364e-06,1.0681986691331302e-05,1.7204667535075657e-07,1.26220188823023e-06,2.613744152224484e-07,2.7561774131240613e-05,3.344926093010181e-06,8.618511513236449e-06,3.0858001154321357e-06
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8090706320428593,1.8310513432751618,0.0004987167670178483,0.00018377384665388408,6.553695662342429e-05,2.4513043557772285e-05,1.657026678426876e-05,1.7563858870639493e-06,2.1397255450944508e-06,2.4560895794945026e-07,9.631692143852177e-08,1.5043786882884547e-07,8.043210195068928e-06,1.8428101078424297e-05,2.3234327913498887e-06,2.2243982256142658e-07
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03811944948275281,0.00011265802002891068,4.6034832253516456e-05,5.7412735484208e-05,1.4172643150622832e-05,1.2354211344045574e-05,7.85858671692452e-07,2.204907473379869e-06,7.711588436709604e-07,8.448657151660655e-08,5.790982826603397e-08,6.351664093129372e-06,1.7574252377028365e-05,1.1385438781763568e-06,3.630031681911561e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.398219593233389e-05,1.656423840401544e-05,7.263205045404675e-06,3.7140791246947913e-06,1.4910395520484343e-06,4.636366477406284e-07,1.8654646294358201e-07,1.2074525601590835e-08,1.9537389261969906e-08,4.771525841107405e-09,6.085540447120508e-07,6.470423981053131e-07,1.7097498672402622e-07,3.1645417175596435e-08
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.118237264090318,3.508372797454057,0.13749094668603645,0.2684428444181195,0.02927462904296485,0.03290040116160606,0.003818073228556651,0.0011374806911368385,0.000808153307285675,0.029455099856822264,0.0048305105083245314,0.005751475361411254,0.0012768655230931403
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5374821221678132,0.026124872628178974,0.07071584252317747,0.05780691943333616,0.009169442441145134,0.0015502315488160612,0.0005170739251527667,0.0009696932025535787,0.011851312884127357,0.003361474699655337,0.0018811548793254557,0.0004011029776005426
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9638916204415722,2.5770463944957456,0.0955006513467751,0.1855732922769695,0.029288548382712998,0.00818425112660548,0.0074113615360678065,0.1953716488949868,0.045995015914517226,0.029341475483119037,0.005261082880521406
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09598746701364902,0.030490864997228417,0.004993044942092628,0.0001279351405076845,7.7837530789715e-05,0.0019342435661113822,0.019979307683876124,0.04556699343055226,0.0032233184178187546,0.00011366625623621118
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.985694117546522,2.7694704667203687,0.09232911475657768,0.09545918322655389,0.08383418189781522,2.489724673290768,0.27601523865654437,0.21485499563845112,0.053731195071826554
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08113061870191451,0.004058573247945452,0.006095109106702301,0.031535120170868236,0.11534789465066875,0.029524907386449306,0.010352220161489623,0.0005444348513450326
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7191552310571478,1.8147235380865359,2.0809926196932933,0.19391374454422053,0.043294094278384085,0.030674208942636443,0.002017774847939302
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02647531895822497,0.024634021747525825,0.007568949375423628,0.0013220531927070622,0.011757262837612914,0.00027654543788502295
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024536425806941153,0.029208597787586665,0.005310171180235912,0.004624681806188358,0.00029253484625391124
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009482425740523936,0.0015057712724282357,0.0007214195598760353,0.00017301158207172485
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.850288026059388,3.0860345799630884,0.16528686305807627
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5002130289425853,0.06565495713281388
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5364231397443633
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
