 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,C27,H28,O29,H30,C31,H32,H33,H34,C35,O36,O37,H38
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02882098261226118,0.0017086985507608343,0.1322282858281918,0.008626860563241578,0.0035279333627118437,0.0004210301489091517,0.026893713091253435,0.0031115306335536275,0.0013110660749042768,0.0001844333613791882,0.00021169894901129638,2.7991125731929856e-05,3.097260125572987e-05,3.682502116797437e-06,8.871819996425501e-07,1.1968477910961894e-06,1.1362451357577186e-07,1.1497213786570981e-06,2.4502352962141316e-06,3.2602019717220543e-07,3.443486695786646e-08,9.123659161502928e-09,1.1107200315052523e-07,1.0189619297884533e-05,3.127052271156838e-05,2.7412645570157324e-06,2.806310910319354e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8211417424046243,0.3030116606887464,0.003950797839920028,3.914983396102826,0.1272935745579835,0.3386757275468315,0.04499094731695365,0.0028007873360632596,0.0032249969947401314,0.0008771427773398427,0.01022684521664241,0.011185804752771533,0.0010878377795282002,0.000297575382318116,0.00047403954534541715,4.7363704852587674e-05,0.003201242485794953,0.008964212058650833,9.530172788617397e-05,3.516911414536139e-06,1.801640203846766e-05,1.4715349412552925e-05,0.003368286572050405,0.015749094368754532,0.0011942226491721136,5.4710342073716056e-05
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035121555966461937,0.00041155984434082526,0.13300029372160682,0.008618756048079046,0.026195936900438532,0.003208749456461213,0.00020361999376761197,0.0004276967429284184,4.3115122993153676e-05,0.0004683932358535703,9.839258911226167e-05,0.00013191674966406275,6.71711052380175e-06,4.8209149903222226e-05,1.4942954300600775e-06,5.626839040007159e-05,0.0002182437633182488,6.947278756608277e-06,1.189881331908893e-06,1.0260283316299024e-06,6.949705795289418e-07,0.003141308281153554,0.020130280982227355,0.0010940535541689167,2.4584573669494958e-05
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8197425932036653,0.3256673358136599,0.027789991399476133,3.6556366552309005,0.2995570233781101,0.034566305338924685,0.0010792486268233759,0.00028195673869878257,0.0007489784927513787,0.00039410931699401797,0.00010857299862157554,1.863592002626646e-05,4.109259624909822e-05,4.23802159676967e-06,0.00024091119055352772,0.000611283286271358,8.088594994848375e-06,5.642018299223395e-07,1.444328026511954e-06,1.661121976415103e-06,0.00018256393241691815,0.0005608306991218143,6.929735049657215e-05,1.72006570848815e-05
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028004545355337473,0.0019307095034133415,0.1344999105954361,0.012321023068604497,0.0012662614034948394,7.443436094156652e-06,3.069559510571196e-06,3.11035347388966e-06,1.9368010785170142e-05,3.9981317190296295e-07,4.8711715106009024e-08,2.0148638713024525e-07,4.277093590410175e-08,1.031990735977928e-06,3.890393143191062e-07,4.453015522987158e-08,6.269886831944405e-10,8.975643339681483e-09,3.906917300788848e-08,1.4194512403253867e-06,3.0088152433993542e-06,2.579832724114439e-07,5.877208941740264e-09
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9987575386538858,3.6089087211417903,0.31582127743923893,0.030722644729976323,0.00048643622451982615,0.00017527645568064104,0.0013346637173547032,0.0005884149536797834,0.0002113588767849034,3.5162929275633914e-05,0.0007248793329558967,5.8515680344761734e-05,0.004109567123033994,0.012137456803668845,0.00014128462938058084,4.637860115508374e-06,3.788538091331617e-05,4.789978489849744e-06,0.000589808062837871,0.0024133961008815236,0.00022120724125737623,3.10215037075956e-05
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1294777202535864,0.012812424127207844,0.01697857662275082,7.841446497902638e-06,2.5600821309534894e-06,6.80036012101759e-06,1.6365929316641825e-05,4.0205858689024154e-06,4.0701679360211074e-07,5.8155285048711036e-05,4.4036216695353403e-07,0.00019461549110211251,0.0006730916063186765,1.9905621594595857e-05,1.5099035555188323e-07,5.483182837107137e-06,8.982811672275659e-08,5.2786339724608666e-05,0.00024880927659998164,2.1877566455330566e-05,7.247383961850318e-07
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.378601915443996,0.1395819121469185,0.0008036071958681945,0.00034117591783176804,0.0009985655796588,0.000946557787183,0.00019222643278032914,1.7685211684659308e-05,0.000229575158426365,2.4366553883936604e-05,0.001123538892484205,0.001672929459013206,3.971438730863974e-05,1.950862768884676e-06,1.4150718048666633e-05,1.5712545358148589e-06,0.000171484733895777,0.000367564612813856,3.6989880722732016e-05,3.979830258682426e-06
O19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8222659742727525,0.0002146198113021358,8.584002002799684e-05,0.00023605549707712836,0.00017772002910398932,4.910502908529735e-05,3.5887095266584623e-06,3.482883030206385e-05,2.4949979097188546e-06,0.00018833696865354355,0.0005039286189761905,7.972875953124459e-06,4.821379484543087e-07,2.642067211233723e-06,2.5246772028530984e-07,3.0305695624094353e-05,6.0535596878810716e-05,6.50028223557475e-06,3.8957026371466696e-07
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4209466379089264e-06,1.0844341272742142e-06,3.8733366791721124e-07,2.887602887913232e-07,1.62333948172666e-07,4.280380205834433e-08,4.006698733904912e-07,2.3045265029608686e-08,2.755880538996003e-06,3.6122576432262576e-06,3.1573968883868986e-08,3.4297105155900454e-09,6.229803339863338e-10,5.394182212015153e-09,5.763303236872019e-07,1.5951852934126265e-06,1.7046524480868186e-07,3.593865649520467e-09
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.260261224281045,3.4322095248756908,0.13711906437336807,0.2766457686999877,0.01727837732197335,0.029564770698544324,0.00400861365994043,0.007542736772342323,0.0005777303329499439,0.003408737795004446,0.0003005390751906756,0.00014076560803633065,0.001339968158815541,0.04973594317420216,0.008249906356905118,0.006195044160455479,0.0008485190462556025
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5278867757373024,0.028360489152948642,0.07510675117522592,0.01633137104629334,0.009144273250219465,0.0008279562300379517,0.0041682978248509875,0.0008507570288122102,0.002269723744096161,0.00035021727566242333,3.061143939120381e-05,0.0012539480627274946,0.05670052967868826,0.008854041988387504,0.007749840833100669,0.0006627751647856339
N23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6617629448085363,2.8862786184406533,0.10154066704389264,0.17018870898234625,0.021458255946176008,0.05318269994240349,0.004313757598750412,0.02019448001311827,0.0017986159338136964,0.0006757432281396802,0.012149022828132683,0.19237984890896617,0.029231483832251923,0.026339502828180122,0.004771349866500296
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0990144642533245,0.020017691837940887,0.02218089069361051,0.005911225596249681,0.07925737744615702,0.002073376363049606,0.0033038292450208173,0.00023875965904851526,0.00014757125389452952,0.0036515693307996866,0.005927412229569162,0.0007708156206417405,0.0014232315632093373,0.0007049402535552751
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9851843526542443,2.6420449107899793,0.09529568819377965,0.20257620953110922,0.013046576263224918,0.16236545797693175,0.030886333558542756,0.006411084398298517,0.009765700848148207,2.6154948617111398,0.26805526169481725,0.21147524927383188,0.05495807946447684
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08710210695661225,0.002038833505532356,0.023339372646529966,0.0009423948482347733,0.01027433485275664,0.0011200655304623996,0.0032893794457664605,0.00010158057641507234,0.1016807959488919,0.021084609549092193,0.015251251646062225,0.001253454255511821
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1132293375194404,3.036599897687194,0.11318508551332929,2.8580459761067836,0.09975198972236576,0.09898729205779033,0.0892934885479173,0.2094538983499059,0.04356388719307777,0.024581511495836303,0.0024894669292978566
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1061428055591418,0.006190789576957734,0.08660959146915781,0.00482551258120445,0.004505680391250655,0.03478348979429913,0.018929005985900194,0.00216719978078328,0.0024254143779132153,9.926495926748657e-05
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7841840588847235,0.19790446013802604,0.010429363259186308,0.029016491711369996,0.007102863662731829,0.027492543466652947,0.036921396625808844,0.0049511590461961755,0.0005398606780967485
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031748511791003575,0.0009537183198695676,0.0029151263785176518,0.0005460548716766933,0.02905455005207147,0.10987905859984037,0.006019910482024771,0.00018577315164636232
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0736977388179465,2.1254338847146577,2.157695148759708,0.031189248245036938,0.008877403851081989,0.004006462028780189,0.0009405096554500059
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02482825622501217,0.02473354902430902,0.004491045958530782,0.0012192273528778275,0.000704516186997739,0.00011054613542160752
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02487857418286943,0.000842139333089964,0.0005520660717815984,5.776775334964679e-05,6.866060267674001e-06
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018009226054800376,0.00016986693254328333,0.00015469472177576105,6.297940651145417e-05
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.047172326734018,3.341867480805742,0.16615519460883776
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512282893462274,0.0648371103816272
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6931282227029498
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
