,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26O,27H,28C,29O,30O,31H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.078849126243913,2.211666782838303,3.245688388872868,1.381251569461457,2.139041702693909,3.973141440448635,4.897038702419844,3.6856630646909565,3.1071042504100665,4.469462996961935,5.323453095623668,5.261407542062375,6.13774316631348,5.750752156767345,4.750890039665552,4.850896424201401,4.093350479622296,3.293495952036494,5.246765722283346,5.321828308100924
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2380454091105766,4.225006192651686,2.1603572417181005,2.558780839381666,4.2442411705421375,4.956020073793823,4.028198840226226,3.663797492404172,4.565844640798924,5.343183778935849,5.501241873910712,6.248307015339042,6.139582153378664,5.087769769447038,5.018550229042459,3.8512825320732635,2.831187540546776,4.916618840610403,4.813110204247819
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823064558601108,1.365905823651356,2.127516580138697,4.766067090797246,5.938124889881123,4.191826362392765,3.2403599374892904,5.1281976261355755,6.099952535092756,5.382859384950271,6.381971835374381,5.585509864241951,4.546265987440391,4.880342259797834,5.240822491415435,4.857634145512914,6.30085530439455,6.593753374312289
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1503014600772596,2.549665405660895,5.6302073950797284,6.829830565478677,4.941040968859573,3.9394087042946184,5.806708415058511,6.810368961484115,5.80508236134114,6.784578232397419,5.92484063130864,4.807545014511397,5.160209043883012,6.002354245374579,5.736349097685847,6.954889146857157,7.281001080929684
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009511593256709,4.872780841662505,5.915370291885896,4.285551865235077,3.4708392578083,4.987512119400136,5.979076359782947,5.4026537038028986,6.289846168924919,5.85690544751888,4.555553342158745,4.6342925359761225,4.696430226887618,4.100175055771862,5.688626287235615,5.797878009425172
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.714070371672356,6.705807593708587,5.017657913060219,4.22551189199976,5.511906984322825,6.540597609664606,5.799563323320645,6.5869880226382325,6.355075572326686,4.803240343500192,4.704901876499198,5.0317945591199456,4.429104981427946,5.842608390185616,5.839440779914592
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.228400484470549,1.369831985011073,2.0604203286193927,2.4506707624808386,2.543705111458093,3.6891237364927303,4.511037400520994,3.7249927710999824,4.3318094950994,4.864287885876633,3.246534413271165,3.312921222664472,4.49167906176826,5.076159027279219
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2750076566578934,3.162915677274279,2.783052866069387,2.3906331560114684,4.150224389263554,4.7440896830092685,4.228572936868621,5.055534591019325,5.496070686358414,3.446411562890271,3.572935945041034,4.52963886994751,5.075902080999788
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.013172697696113,1.4424053094753955,2.052914459408255,2.453198881087316,3.388777095555245,2.61334670093331,2.9636940333384034,3.530640662453823,2.4626695671259142,2.8198269081141736,3.64651440819038,4.3374643828524855
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.110072204307378,2.954984948033645,2.6823835437868033,3.73458059700047,2.8210834932056046,2.6885087130563776,3.3083854084652753,2.8911643464767005,3.0864117519511023,4.060037260199017,4.691537704208796
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097531374437014,1.5370533538592548,2.172034431889061,2.148168815003389,2.4514640259575184,2.788404259404187,1.5348463269604373,2.455948472355851,2.3885878122321205,3.221718978524259
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16368216172309,2.442677305652653,2.5222523796631324,3.3828865197084648,3.7046992954494886,2.1209286741999116,3.031655322428263,2.7145259133914887,3.5440512778292854
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0966187500022144,1.0936381024356776,1.4239492207232616,1.9515070545822055,2.5421449151245112,3.5914966131305763,2.7991377810655442,3.7287189189076617
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7794042247947617,2.094334680754586,2.2345199479494293,2.837766282461558,4.0137398065147964,2.5635096673597464,3.50518162429356
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.023875716855328,2.8066223054661705,3.472137229450085,4.456556441837201,3.841457869149732,4.787912478041177
26O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9698764908093381,2.9562319367341106,3.7398249612965992,3.2279847958982693,3.9671110833224823
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7920362611489344,3.538226272391349,2.7621845578917807,3.3629536417262584
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2073821689698685,1.3621662303642599,1.883542611583285
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2518851553421095,2.280488637965409
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9768088826020492
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
