 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,O26,H27,C28,O29,O30,H31
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0320636629337954,3.5551774367797417,0.11604885697496281,0.001401481348053596,0.0005248836742911961,0.0017007494093797815,0.004122532579175164,0.00025076487788661117,4.199138003102565e-05,4.309758913151329e-05,1.0778724763405023e-05,3.3322561503457138e-06,0.0003330774079302462,1.042367310932768e-05,0.0005211905990925025,0.0011523847129063236,0.00012761124427108916,3.143440234254502e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10260677547344543,0.00469806789230387,1.3166194348768201e-05,2.801456797318913e-06,1.911181630731562e-05,0.00012960801647365905,2.3440567544774638e-06,2.9254373545839485e-07,9.035848407279445e-07,2.771726723693746e-07,7.361113207871028e-08,5.645862631853404e-06,3.5110353224787616e-07,3.1727474667508915e-06,1.0067794540047359e-05,8.857363388292683e-07,1.3392561282188353e-07
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.654454920902896,0.0007569268326926837,0.0003394074295274552,0.001803719276128976,0.0020784360389121126,0.0003073545741567596,3.1233167415711804e-05,2.54583839597311e-05,5.596731888157791e-06,1.390353225216856e-06,7.123668143456385e-05,6.443745853668137e-05,0.000294306267131228,0.0012121942290795051,0.00010969802766178094,9.738788176227864e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.138019972308669e-05,4.717500572071209e-06,5.641867086292329e-06,3.5340237092285065e-07,1.4693649872388193e-06,6.311764333410963e-08,1.6773416186000034e-06,3.453882639892214e-07,2.3389384984362493e-07,8.096557871928312e-06,4.6807529008319193e-07,3.4751335390437177e-06,1.1431973345410462e-05,7.579611018826427e-07,1.1213795714226649e-07
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.00872065332451,3.4331175803807703,0.13861285728118178,0.2782354495823063,0.02441940341717408,0.033760761229748026,0.004309183553468099,0.0013966168961332404,0.0038028062314624245,0.00014248349357859347,0.03701138291508552,0.01086825605788777,0.0073868138608276235,0.0013495493828424854
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5326520118878804,0.026152685046206936,0.07548084274685998,0.04950750634036094,0.010030882187371457,0.0012850975729503666,0.0007597220768860158,0.0030306076191255193,0.0002933038597463522,0.012763474047286782,0.002646308136644182,0.0024880554202174054,0.000734685688261405
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.865103744769086,2.8596576530222553,0.10283579779704966,0.1875212221928956,0.024926714749672563,0.014869108463155922,0.022715516907258745,0.0004725853380985745,0.20012207455175463,0.029332485878038744,0.03031111818385862,0.005049465741198356
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10136498185310472,0.030302416671941224,0.010694848836681703,0.0015791474864890187,0.0008005198961067439,0.024841809877048204,0.00026639141551565437,0.005405592600313036,0.0021169758394754545,0.0006868393986878552,0.00010831821304324585
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9683634729218964,2.6328787970191696,0.09599116054690282,0.09513630884210089,0.21437975811188167,0.006971981274311867,2.6740021474474145,0.26943736261886125,0.21357665316808983,0.053658844783014636
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09959724482513777,0.004903034282436991,0.0028560983050593958,0.02707760262682468,0.00017700629714978433,0.11334873207936846,0.031955248245565504,0.010873543022940968,8.606460032090091e-05
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9414969536555717,2.0337397712378538,3.097338872586198,0.11265184665312933,0.1805413442553573,0.039716302553505306,0.03777864971320058,0.002986376017400927
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02927406771521568,0.1023917155538232,0.012084557127889584,0.0053307512315734495,0.0008392520196344178,0.014867088175373744,0.000573172662848398
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10120681883472415,0.032730284993967906,0.028451725571082775,0.004474031581382154,0.0045487001287141116,0.0003331866009670392
O26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7256285209263942,0.031172787219132192,0.003747921447432412,0.010452503302058519,0.0003963615730331327
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01012117901510834,0.0009524030887335666,0.01930498477638931,0.00015026101487980448
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.015927778579995,3.389941206799171,0.16988872199122773
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5179895011482514,0.07039960471584783
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.751535940902178
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
