 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,H28,C29,H30,H31,N32,H33,C34,N35,H36,H37,N38,H39,H40,C41,O42,O43,H44
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09114662357953451,0.025655706230306108,0.0002123304308110363,0.0004252447746435628,0.0012429460803435877,0.0009124656643888507,0.0003351577699669539,0.0004461762848331219,0.0007444859918046554,6.585271974679507e-05,5.20937952819267e-06,2.159322254391416e-05,1.3782391004024674e-06,3.419997325337931e-07,4.5262040643256896e-06,8.025304512049303e-07,1.4776680923311858e-07,2.808151500222067e-07,8.804879936263887e-09,8.327106293393172e-08,1.433595977484714e-07,3.690123251409716e-08,1.0997356796327296e-06,6.773731375808723e-07,3.367074197235809e-08,1.0360001023723697e-06,9.434519874229608e-07,3.330423159475515e-08,2.224164622255387e-06,2.0514064966503653e-05,5.018423488623025e-05,5.977657727695984e-06,8.326498084354483e-07
S12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8133015740481926,0.09919627296799582,0.09627073237584216,0.09394897147886716,0.005952702809331786,0.0010048422093528672,0.0020378713371668883,0.0006940247556821433,0.0002418325628331941,4.6836127389426885e-05,8.352248380293081e-05,2.3215526541497944e-05,2.4802955257419157e-06,2.537384141756971e-05,1.8089917891428442e-06,3.1154161128643665e-07,1.380763070657487e-06,4.7481436338259186e-08,4.691926998035001e-07,5.623723224462696e-07,1.3514745844656062e-07,4.047453271927015e-06,4.296778183365824e-06,1.1872885972152858e-06,3.5440001546760413e-06,1.740240447141439e-06,4.976838732240196e-07,3.7740622418347414e-06,0.00010625191001030487,3.6147713021173616e-05,1.2678018336598207e-05,3.827362856867467e-06
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739961801662044,1.9790043130966377,2.0028293753708413,0.00029907331724846054,9.420742268136106e-05,0.00011148240692732125,7.818612691057325e-05,2.0320851224622793e-05,3.7151145780844885e-06,4.430598637680805e-06,8.922932301924646e-07,1.3936254850133167e-07,9.511372094095361e-07,8.909435222914652e-08,3.357343314469574e-08,1.0441164965957483e-07,2.77128886505551e-09,1.572384922265968e-08,1.1055588247654846e-07,1.8955920944030424e-08,6.397318801920626e-07,2.409257104651896e-07,4.6765499139844735e-08,2.6972426003801786e-07,1.0822224437850858e-06,4.4907760088364057e-07,4.237712334709265e-06,4.926777900399193e-06,1.7517995035826184e-06,8.032172627431278e-07,2.553405877847581e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02388523350256433,0.025580376535873084,7.778114426559846e-05,1.4828194107474602e-05,4.923293837877374e-05,6.049225065751784e-06,5.382678190057888e-06,9.908457381246905e-07,1.2322631521843874e-06,1.5248332840833712e-07,2.7273197700239393e-08,9.800713018925933e-08,3.292887296169056e-09,3.819615068678672e-09,1.0104545422606748e-08,1.3238534712911587e-09,3.985774821302357e-09,1.9169088649739763e-08,1.1124685395103029e-08,8.238610993416273e-08,5.744879327806984e-08,9.974839620952025e-09,1.3522816177946595e-07,1.7927047124555173e-07,1.4111039003950054e-08,1.4212330046170507e-06,1.4351247437094372e-06,1.0804314476420274e-07,4.3744268563017386e-07,1.790411683355586e-07
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025759654589285752,8.278977621301031e-05,2.0798452292414282e-05,6.619861689793893e-05,1.3077615183210156e-05,7.795925591524977e-06,5.093801621169902e-06,3.148856966728175e-06,6.697814227685228e-07,1.0550295637123952e-07,8.270884270800138e-07,6.307036359842755e-08,3.53556695031898e-09,5.013195880643195e-08,2.4776027895967445e-09,1.0286087093192009e-08,5.3693745005745086e-08,7.810278424003059e-09,1.6770366739748965e-07,7.902171517137901e-08,2.385938913107566e-08,1.843730546013944e-08,6.304515041133385e-07,4.344466424388571e-07,1.377319363005114e-06,3.2882757261543105e-06,1.5024070189051386e-06,3.0954674334893184e-07,1.013448642783743e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9377849132261602e-05,6.157243987003902e-06,1.4720325768768916e-05,1.24552447193782e-05,1.7583861198211537e-06,4.132507873677582e-07,8.166480615079408e-07,4.742813630720377e-08,9.09663988579723e-09,2.995567635055707e-07,3.105348800325203e-08,4.2939400923813764e-09,2.3033546181494557e-08,2.3488810896310497e-10,5.3870925498245015e-09,8.541473972556446e-09,1.3666696663250377e-09,2.989734770864061e-08,1.1260472443375136e-08,1.4522631985869339e-09,6.171166089252722e-08,2.968571022332611e-07,7.87578147143364e-08,1.505111721700203e-06,3.4581384422693873e-07,4.97678041111449e-07,2.7283722392468235e-08,2.5218049870545656e-09
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5083334299859255,3.4709066087517333,0.13615246717301321,0.27937241487684894,0.024969903334972177,0.03515338075873947,0.0040432187172241285,0.000573238383049679,0.004517628391851158,0.0005010638776095089,0.0002693473188364326,0.00047020185391802305,1.1248044656575473e-05,7.658985390990303e-05,0.000863309306590454,8.599455778734999e-05,0.00805134857282766,0.0049094843184927794,0.0006336465005485348,0.001797101328143591,0.004785468761532727,0.00015528673024900463,0.0068908129439589905,0.030167178452408294,0.007490551373305468,0.005860982100891365,0.0014005562612136035
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5257356259143944,0.02527480718400943,0.07005226555668777,0.03737399454196122,0.01349660797812384,0.002801816032983351,0.0005109986768159214,0.002256688716565085,0.00027257026674498697,0.00011650678967756178,0.0005690027875642351,3.892654132753304e-05,9.48072416272483e-05,0.005334931357893695,0.0001091200935332548,0.06380928729810245,0.024668395134429928,0.0027229792018526044,0.010735335555515202,0.032307591168763514,0.0008044961053695898,0.06597331543567064,0.0097398745230321,0.004529044074649109,0.0014702084770167045,0.0003551873559900498
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6378002854289537,2.875048163087969,0.09981525719025297,0.18693590615075645,0.013171152345691883,0.004344711622870867,0.030260079051830674,0.002427990877430952,0.0012200818275323044,0.001592723146320113,2.3538453934102144e-05,0.0003401933142628266,0.001536437913877975,0.00046949502693860445,0.001766496994827088,0.0012250210693391453,0.00033878838740208916,0.0007310811985372645,0.0009130809653679767,6.50136035648119e-05,0.0018952161008559676,0.19747088697582693,0.05929204256866488,0.02727881726586255,0.005354726834544299
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09884764758024733,0.021973208496659513,0.005843278859686829,0.00014127984674527916,0.0006961600667456658,0.001056219554669613,0.0002948904387978235,6.918028030966639e-05,0.00011800465005540328,2.3836508844521376e-06,2.370586861744073e-05,0.0003676168124882029,9.3908892695449e-05,0.0002240800688940725,1.911047207991956e-05,3.626014408730782e-06,1.5263564800083174e-05,7.805097462243449e-05,4.008533502686262e-06,0.0002022537200614405,0.03349294720550022,0.07663142675027834,0.005459357525844477,0.00014632742608555738
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0156043041857696,2.7469001576130507,0.08794709017637836,0.08725071833621567,0.15197791979045377,0.021992750066537003,0.014627689106380126,0.009560153606009258,0.00032980151783212897,0.001434742802002953,0.012496670298678278,0.0023550627707707994,0.005421530929701324,0.0011764757966058748,0.0009785027534024993,6.863222243957967e-05,0.0008236549824627015,6.814904919960618e-05,0.00014823004690744934,2.7349984754556806,0.2803820183585023,0.220389380756752,0.05362283760615749
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07637979192209232,0.002767018022028278,0.030304017955296247,0.00883128143728873,0.000574741938608847,0.00107887998846401,0.0009493795183308507,0.00018561420706419973,0.0001576968128704781,0.015774869518613066,0.0028952673228519465,0.007031800607989025,0.00173362922241882,4.9610749063289106e-05,6.271211593134041e-06,0.0005334185545575743,6.730704458579595e-05,5.290096465926375e-05,0.1013459170607014,0.02533618167571927,0.011182538891958305,0.0010476124118146135
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.092683715076551,2.1414380583252943,2.8398831568098215,0.09026735933644392,0.08078099877581846,0.15763541908798462,0.006603656790236556,0.027825465641520664,0.014797666281046715,0.0004261770828979383,0.003764524186282703,0.007645264677402064,0.013301258129059024,0.00022282526096473187,0.0015658190114792164,4.225269496771489e-05,9.774854917254938e-05,0.18348493738524468,0.04211618416266781,0.021973745460268132,0.001642210737971439
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02669188280431034,0.07840328505463356,0.0009978302502562375,0.02747902953379744,0.01611469725962289,0.00240874974455374,0.0013332216928425566,0.0008452686998570158,6.0986696017062414e-05,0.0021985357667464456,0.009284301444969167,0.015150154319084619,0.00020394385084943067,0.0010417843154889583,6.197713253275339e-06,1.884052914968848e-05,0.026000459765443962,0.0051910628780788,0.003374401141693628,0.0007538572558205558
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09192217033276795,0.011163508752506157,0.0013461312925902025,0.0218055847380354,0.00026496923766528013,0.0009955677763280324,0.0015626474365567633,0.00014507862441481834,0.00026034314428047267,0.0005156263566438168,0.0008068472930962134,4.033085936772096e-06,7.365988646945709e-05,8.560721861616827e-06,1.0713820194130363e-05,0.016953586434789614,0.004277684168151441,0.001356430340581194,0.00011955032370347674
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0029701822841477,2.0026829967015853,2.7149838279842347,0.07950885448216694,0.08826334958438864,0.17937815142407426,0.005836525076624244,0.038142464254781586,0.007554418437065259,0.002248708402522004,0.00020377810858351886,0.009424754015208252,0.00013317945613455784,0.0015527423832699672,0.009838615073532592,0.0033663186945200665,0.021244759395474905,0.0011971953000576852
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026755135721106882,0.11339560295468998,0.005739628860245816,0.003468758523180515,0.02962862599298044,0.0002736086212926647,0.004815907392313079,0.0012221500970032162,3.0499457309485223e-05,1.8793420346607803e-05,0.0013427347823028457,4.2562636695775424e-05,0.00031903635754138016,0.0007141728364703503,0.00025454182243722645,0.00047257260565503056,8.872650556779327e-05
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0885160242137093,0.029970880309966974,0.006443132961127862,0.005293268122554373,0.002327798934626868,0.00034221135923528934,0.001075228018985963,0.0013329184447030684,0.00011893583786282136,7.234893887775318e-05,1.534556894822181e-05,1.2902600558195587e-05,0.005813282741492065,0.0017952743480637023,0.04165331512277004,0.0009792347796255818
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.005594164244976,2.0939659062725386,2.811859033504752,0.09190966563258307,0.26254472923161176,0.04095330225004243,0.021688730073901596,0.00299425345734583,0.045162573576016246,0.002017773146204438,0.0036682217773487125,0.0012382611722787096,0.000682351562478048,0.0019307585981139103,0.00016295509572139544
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029554267908820542,0.09456318728623736,0.02896423587835595,0.014564122847749328,0.020234712120782428,0.020379911457358624,0.000670583759281973,0.0011879254595127398,0.0005172203835139833,0.00014658975738601754,0.00024819157362188093,5.254244530950025e-05,0.000510626283127702,6.0844573657625745e-05
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1084459116409181,0.004954679847810173,0.02744281882658628,0.003800376637726477,0.0007355534232427186,9.681232807090545e-05,0.005912747204673385,7.586257205982605e-05,4.1541470215955556e-05,0.00012319665079441044,4.01499347626455e-05,7.529143624074308e-05,1.6531482875947745e-06
N32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.721906060491476,3.400986560862848,0.3720937494873996,0.009613765054136358,0.02767399652445246,0.3584483022984245,0.013223848213513634,0.03193185052411729,0.001135236467250722,0.0006087647815065586,0.00019662735669025155,2.2779209975842818e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1599025131474925,0.027989971517915047,0.00103172744683655,0.0016748919152012043,0.017074109269406224,0.010046024350671479,0.0006783562724266279,0.0002608591792087056,0.00014927317029023168,0.00027236074761738394,9.997311167353473e-06
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.512148584095265,0.14653886920206294,0.15937220923559403,3.569639386856974,0.14698183776727825,0.15814566189062151,0.0005187738527004937,0.0003968572942655707,0.000135058869219995,1.0121349866443197e-05
N35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9201793244927248,1.6239303241795633,0.34786964591754,0.02996746272690598,0.015508182796024839,0.00027507328288901844,9.80889967174027e-05,5.432197326588062e-05,1.3248167723078907e-05
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03742195136232307,0.03374432716336484,0.0027661564093539592,0.00027599889736151795,0.0004113854637169956,0.00020352381771582273,5.841862395961073e-05,2.6521144605995417e-05
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01745595458997029,0.0014004211767564279,0.0064099644082871166,9.286160600030513e-06,7.665261752332064e-06,3.337555145810356e-06,9.164401577610448e-07
N38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7713967253454541,1.7909689721096287,6.002109376107567e-05,3.330411345751211e-05,1.7222218042622917e-05,1.8443099509823924e-06
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03570709409955186,5.461924866057011e-06,7.530436826441722e-06,3.829829593127165e-06,2.1485832779610803e-07
H40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.262766777649805e-05,3.6835542050583925e-05,4.202905069528029e-06,6.372901906193107e-07
C41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7989869612458875,3.5746247885702593,0.16905476901245609
O42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5160068308218302,0.05870504624544459
O43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7921924999678245
