,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27H,28H,29C,30H,31H,32N,33H,34C,35N,36H,37H,38N,39H,40H,41C,42O,43O,44H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3572630631099436,3.754009012515408,4.103985394983252,3.9314737487918827,4.600525560216246,3.471759248963087,4.413994451698404,3.5900631343385325,3.16215243926828,4.683806169411414,4.895365420459724,6.037210601933059,6.145060508226433,6.206810246925166,7.316311074597697,8.131157799561896,7.302160630330424,8.004622056102312,8.403651871750728,8.933966188437012,7.379344704957554,7.327054770838916,7.036213764828611,7.317711020406373,7.363034665149461,7.239213166451663,6.867318090238588,7.009341013146423,6.250900544834084,4.708993050485467,4.28597204271054,5.741874078965663,6.004755295957899
12S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8273443096956081,2.4597976782737367,2.4468336710747347,2.3794059231491533,4.820947315516525,5.297990668020071,5.3021756078374045,5.189453231391823,6.1727767254297055,5.987628216858683,7.642247472382563,7.7228494557369265,8.047586667324635,8.709661542878976,9.66468985469707,8.591255388601473,9.119115974002511,9.59204717417472,9.963966769897253,8.172280993930656,7.948476113823012,7.692518208535299,8.16169414197282,8.479114475552285,7.95010296596444,7.106926281519791,7.0578610717162995,6.401556583784267,6.2626643121238885,6.09111815718868,6.985805358568836,7.259410655765796
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0941659875651024,1.0957168731914109,1.0933964700860497,5.027324375936053,5.069183739669608,5.708795248525533,5.9084612366164215,6.335711992718278,5.841824319346222,7.7762897105084905,7.811609114699248,8.399859427394,8.61996520414073,9.662180640424312,8.479367816278788,8.745684074763014,9.246458928415652,9.503435349063606,7.58523364827842,7.272566586550682,7.021792750576014,7.63485384959594,8.15128444697454,7.381393261128349,6.17128746188172,5.991019899807527,5.478196044635626,6.626995040923371,6.778551653700869,7.120316755454827,7.521297015677603
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.794084290149808,1.7736615152139497,4.805886542715357,4.690919970641033,5.712255147605384,6.023957634204881,6.418552218747548,5.8889803448877,7.7494524387197,7.6353937317581035,8.430617498497703,8.611320482995866,9.653837383839468,8.594892983345893,8.595348173863682,8.988042024288443,9.389775672706266,7.3866252322170105,7.1812985921045716,6.651576838706242,7.1441065886605015,7.713452802212668,6.767182159540579,5.738459430818618,5.679213528748766,4.9366100242903235,6.949316779399499,7.184971287028135,7.508039151688374,8.02116406106291
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7764453288112796,4.796621343805044,4.744473437728952,5.336120602255196,5.620204252759751,5.732299827396362,5.136235012190899,7.18895942527876,7.323561115214447,7.864310782057225,7.894398116677305,8.955358903077842,7.666055319933669,8.007236373273377,8.596117577461564,8.695665312266456,6.831824861989396,6.419478557158824,6.399043988742678,7.163923554659334,7.697457342443241,7.033235808089558,5.5519386595025475,5.243084393005302,4.995540057327117,5.961244475722839,6.237330637101292,6.298089841129583,6.704466990076715
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.120663203791659,6.137780057462044,6.778443915563552,6.944173496541006,7.363722244975254,6.841663097931456,8.822251052212607,8.885137898588411,9.446760745271796,9.616271356259585,10.667871941839383,9.420715037677212,9.717945882239139,10.248735883680602,10.430369867765219,8.518486118875837,8.143065684540748,7.969146722879892,8.62589255549101,9.183691060991983,8.35481211468731,7.0375163955217985,6.776967883314932,6.367185370588427,7.5682626323492554,7.690402593175573,7.980407780618023,8.317309412369868
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.240870663512042,1.359247012067901,2.0643148039693573,2.4711084299471406,2.5754353325907164,3.37791080480733,3.071928317891891,3.9133335539470298,4.649983043654791,5.49397754941039,5.024138304970368,4.997957747364334,5.1704324279226235,6.036772679137287,4.418174698733615,4.718059240375878,3.8914094492492173,3.917351797445797,3.903681028190593,3.9034504872295885,4.081789329385775,4.575756895254086,3.569911255147699,3.61463798757462,3.967270304855807,4.648527010491589,5.397803589684881
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2720936767408793,3.1753416370185623,2.810220393986402,2.475206820897862,3.526301233789843,3.0868132811780242,4.324313176572782,4.49613936831609,5.42041059453012,4.917587698377949,4.457597814357516,4.594466356616115,5.462619264474099,3.626445232274868,3.9703609918094465,2.8545850806313964,2.9439931889646647,3.1911665413123074,2.8607397077545347,2.9057629180109035,3.4983195921049357,2.352381216995134,4.155219297264933,4.783253889416353,4.927329715527257,5.7884860876824975
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0150905014044764,1.4547217645132486,2.0701793149853254,2.50189190989603,2.5746589404252944,2.836570970813209,3.8873154395536376,4.65849611884717,4.151889084153731,4.624559189207004,4.934450185794665,5.6220909674436905,4.346415208108039,4.576626456901713,4.227443496519839,4.381340541351562,4.156462077070742,4.648713300973387,4.675335726312114,5.0400836192646,4.416832997147896,2.3973074263587946,2.6925873314349573,3.575299729523035,4.26142192512606
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1027815638771195,2.88842209156993,3.0810692877662764,3.272937033944415,3.075822133955813,4.514081738269299,5.164404173444499,4.697629688286384,5.448106599720761,5.765246908422781,6.41463801923105,5.288365230534843,5.4730480958601655,5.236916302150348,5.357296447174217,5.060694763278732,5.601776308032227,5.67199526507553,5.99629982265554,5.379434843588617,2.444017435243621,2.248262775449373,3.7670338958432557,4.256259723004305
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0925410407400897,1.5602961296764406,2.1497421545072415,2.165262093134283,2.6346529380877337,3.5044608099119547,2.7294086351180082,3.5117878434721153,4.052684378002918,4.40495831610585,3.375619160346913,3.491337119107927,3.6773700215316545,4.111872629027821,3.8775620625396217,4.665697194841619,4.306538398045026,4.515899909638351,4.369948041569994,1.5284647152140372,2.4201000185758197,2.3870451103674433,3.228417823383727
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1874212445562415,2.6112804614640117,3.062791768556105,2.783411287525633,3.826362270359357,2.760154192397157,3.23722439174491,3.899263312311949,4.0715564335903975,2.6871936663033256,2.6329633667862327,2.957436701065549,3.6846078635669017,3.711313087537604,4.237666489611327,3.3938846320969827,3.4815285829662383,3.5332163214899164,2.149897595274175,3.1904456426593093,2.5383823903106095,3.4688405206124577
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0970383414129106,1.096097031819167,1.5460628005806882,2.1697403790187666,2.179733547873292,2.61832472099753,2.9399438080879383,3.5440973890002496,3.104896162658924,3.5435982659161627,3.588247952726332,3.7173723970963723,3.1625397013809624,4.448530000996291,4.623957285090438,4.993401867445492,4.864444553666525,2.543929503860846,3.3565709749668766,3.110165011445412,3.928504668071067
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7452162737476407,2.1897128648508573,2.703085973051506,3.0639513471715167,2.715653834944487,2.6546784555066827,3.7655445945112134,3.097569872633424,3.7779574316640225,3.2174762561516324,2.9800799523957653,2.291019017304365,3.617977217853611,4.317519630323584,4.891901458542179,4.457896316388678,3.4374257197439926,4.154524251637683,4.1212053919796725,4.9697516471449665
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1726682543999085,2.3266744607666374,2.694448557068497,3.4777420907114744,3.696775317003427,4.293518806124766,4.163960654185261,4.579368814004689,4.661614583277854,4.663382065335017,3.9818516452785415,5.347905830375736,5.704746963472965,6.079205671392763,5.892656100906449,2.6555629477849907,3.13275422358669,3.358328736369527,3.9777846500701095
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0967212432153677,1.0957368730745798,1.539765182208138,2.191038982375098,2.171056419786126,2.5237148361587587,2.8808233231772062,3.497021681252143,3.859929845563065,3.395283404966694,4.792274586636027,4.6353333650272415,4.849688217015708,5.174444047985104,3.2844323542712326,4.293799367051993,3.2009118595952617,4.0109299418053155
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7475406720760998,2.1202122358892086,2.443129219579084,2.4518489848404683,3.4196426077564563,3.8381778131734223,4.379540593705908,4.5416710724718135,3.9147991085043436,5.482812180404535,5.6003192282647,5.858023466506436,6.154105109237484,3.976996684911218,4.831387979851595,3.8861586418826626,4.547196647052575
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1663966645228787,3.0794896923768973,2.450644686793232,2.8415759075850056,2.8050792427101787,3.9774421642673885,4.619774848742041,4.313911122035791,5.539958172557556,4.919712516182412,4.91323869516413,5.503125152712714,2.9219277366844145,3.994022135943459,2.4253954380259337,3.1730104893515834
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0934465005733973,1.0947690495902307,1.4734584324024873,2.1222745297740966,2.516308783719536,2.928663010537879,2.679973353426572,3.936177204959746,3.7348534027163383,4.001271280275463,4.4545599549518355,4.464703707541797,5.567121343109774,4.297012066984486,5.182822876381122
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7484260499668622,2.089399655247898,2.9744019862012334,2.647184057074906,2.538132371026195,2.069493052496721,3.5179485113604745,3.9770198275574136,4.463546727524473,4.613914793656766,5.171880861312861,6.187693904310945,5.20095735859543,6.09042870052093
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.080050080935846,2.4111871104773903,3.25275397460325,3.7738227786608607,3.6158472053732496,4.775448179185677,4.335611122986799,4.433460443507619,5.182179382179718,5.146284921232693,6.274140749230791,4.719555578825402,5.5209593042047755
32N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0128714030293597,1.3350961122237364,2.336122163746749,2.60437430381538,3.2279246731170756,2.3332799605394117,2.5282576395406884,3.1323658451682217,4.468196347414946,5.623377568814851,4.321158441943547,5.271940998822859
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0022686365507454,3.2225847200491367,3.578781775263726,4.014239550304045,2.4913035024241696,2.267311780544815,3.3301151127420616,4.326508415127109,5.521437771726759,3.939999632994559,4.843567591982502
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3420700653520758,2.0439552314994636,2.0182545158340646,1.351609157507028,2.0396612664367515,2.004699559397342,5.00833091978541,6.0649008548336285,5.137940761240475,6.112796911028159
35N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0094334788458958,1.0116045782821657,2.3055781837215923,3.217472396760644,2.5550419251929237,5.583825146257611,6.521056745042422,5.940274672772333,6.915115546021424
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7054161598800703,3.2022711467816785,4.050414358392766,3.4257939849263837,5.339547243498479,6.212087261075267,5.783751543160818,6.734053170338358
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.459358267643112,3.4666209770239327,2.3535267806003675,6.174026974074704,7.027083396887753,6.647132512395045,7.615627671181813
38N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0121015005941048,1.0159446602568991,5.53916355482421,6.56018907875639,5.6350451292383665,6.5730834403258145
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7027625329726708,5.539963870851486,6.599524130409866,5.434822629268595,6.32081584617525
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.646702917156281,6.545586850558844,5.940630734006305,6.859931871289736
41C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.209065682225826,1.3479175935175176,1.887100368596705
42O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2598592204989734,2.318740627641052
43O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9788029691897079
44H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
