,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26S,27H,28C,29O,30O,31H
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0147313897657582,1.448442852774796,2.075453071086514,2.4970616290926246,3.4246612055150942,2.7302258680012637,3.303713592513884,2.817132269178583,2.4168614286976386,2.721858774554148,3.6140558261138827,4.290878021191697
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1184454196200475,2.879276986548684,3.174083637133546,4.078164552715595,3.5762764797817885,3.533069699855352,2.9298632555027884,2.4886231782514745,2.320860284393846,3.8190373354149667,4.3018121184532365
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09923859822229,1.544540177881517,2.1727248182865315,2.152042758859338,2.852544616226739,3.0055758453033565,1.5222958695469884,2.4352855712383286,2.373509773016179,3.208919866067747
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1301536481834593,2.4439464487430453,2.4238281155795387,3.7792003885160317,3.9770585696407257,2.135468929170708,3.0992962425274544,2.6398318638719673,3.5224777312723274
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0928716102225946,1.0918933911154494,1.8386492230156761,2.398330012434412,2.5462463427601256,3.545575178638519,2.882199477697257,3.7683884917911774
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.772402818061793,2.3761416002029634,3.3049919028509778,2.7839596647559306,3.9219457899960686,2.575556487038418,3.466515578757981
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.440714382355489,2.6469147755601012,3.4700807586901177,4.433496453254254,3.865028101421408,4.790766776939493
26S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.350608032176497,3.2754144018045785,3.873886187988382,3.678546590290835,4.278602818240432
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6672609173438095,4.023106325489096,4.45823193900179,5.061669639501589
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2123008937238589,1.3490568550271196,1.8768376852164201
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25328348337525,2.2910219977918755
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9761889039638936
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
