 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,S26,H27,C28,O29,O30,H31
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0390285000110655,0.601610099153628,0.029826665586875745,3.0649426016058827,0.10773745715394889,0.004083495033189305,0.0014363399447538117,0.02429244054912022,0.060146208792249856,0.0027560296438999543,0.0004236925227121269,0.00029760262960568107,6.337803317224555e-05,5.574690931209325e-06,7.965123916456318e-05,4.484690473272046e-05,0.0019713505321453384,0.011803845744416383,0.0007000984077412536,4.5365501338934244e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030300663462155875,0.0008464699191743641,0.09566175220743345,0.004627692851011167,6.069156315202662e-05,2.54789937415012e-05,0.0004400413930929492,0.0016149587370855034,6.643359221314427e-05,4.811354122891132e-06,2.519717694271506e-05,3.3281638822657555e-06,7.889550457385042e-08,4.009494408041547e-06,5.074326372422888e-07,0.000881168971700097,0.006216318348773897,0.00033761119210329316,1.2006645408568772e-05
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7983702463412319,3.4039739748088604,0.11495306019367735,0.0011349446764800653,0.0006302513242811836,0.004664435094951791,0.00733139222489454,0.0005886646612823787,7.470169568724039e-05,9.064413968909446e-05,2.734077963995052e-05,1.968858102219251e-06,0.00016704072628256905,0.00021581186871499902,0.00030016983942779407,0.0008094659621332018,8.88555713005057e-05,1.9008340417903113e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10388267831794096,0.004621002873950841,8.247524977855747e-06,9.060792445225729e-07,9.001727740098886e-06,5.972281487842679e-05,1.8887683905788322e-06,3.243308057676586e-07,1.04740109807544e-06,2.953825180007641e-07,2.2423885859268466e-08,4.355529913402378e-06,2.314224991417646e-06,1.1628401122010246e-06,2.564180923370074e-06,2.8280925823409575e-07,7.422727765771242e-08
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8640288600857056,0.0007872136958288478,0.00024695486288180135,0.0024796341734586586,0.003127991524752183,0.00046044662821626003,5.1094670702411804e-05,5.847417746260297e-05,8.837194789390601e-06,7.209146004605316e-07,5.838887692601047e-05,2.9138291754104984e-05,0.00024291789689107057,0.0009727785723252225,9.347650849811373e-05,1.2048436160871923e-05
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.035329774929817e-05,9.269677780143759e-06,1.4249717418701735e-05,4.857699168536733e-05,2.0239031125468543e-06,4.538830680189676e-07,5.012884777277904e-07,1.3337935422796932e-08,1.3566154977162626e-07,2.655419591657271e-06,4.73145814083864e-07,1.4696609530018279e-05,6.468937096004712e-05,5.6298353520167765e-06,1.011931847205716e-07
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9910761124746434,3.582272278634694,0.13439675597019496,0.27450575306238073,0.02575298562249717,0.03193702323103775,0.002820582349378098,0.005918909233603831,0.004961975312509109,0.0013979937797876651,0.028954668733373656,0.005347342029916907,0.005665928978385942,0.001216281309910472
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5453567369506138,0.025448148659476977,0.07663366612823094,0.04020592050286442,0.020352729257211377,0.0009605955012739198,0.01771035656662856,0.003644350897748956,0.0010453505586709433,0.009372317302154792,0.003948726031357305,0.0013211292805264813,0.00021273040014890832
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.888058520717511,2.7632661814500517,0.0975133722057967,0.18191841415507742,0.025898590659542364,0.006830362181450944,0.03340568952818852,0.013190281828907136,0.1814758294506477,0.04628442288435765,0.0260314604368337,0.004793903736943328
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09706018071487699,0.01736549347561378,0.0075402924010199435,0.0005231179708860001,0.00015531240287391945,0.0028720782552144053,0.0005860738395222498,0.026943236218837874,0.05354579182961483,0.0040682697767480125,0.00011787406141605672
