,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17C,18H,19O,20H,21C,22H,23H,24H,25C,26O,27O,28H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.235112601996491,1.3657862077202587,2.008750230202552,2.520599453950004,3.352640512644278,3.1956831051382997,4.211955678750167,3.320707436894973,2.6174590949526153,3.5214402555262434,4.424246254738653,4.020124652075255,2.9302981187937793,3.1639342775136345,3.0887049982822696,4.443970200908265,4.985288713245472
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.300903011752217,3.150175984173449,2.9635850027004182,3.960284882669581,3.0688715001248514,4.12358486613638,2.7137649294997495,1.8000348255790353,3.398951707917643,4.064662488347908,4.183152396852505,2.7638201821473283,3.4948780825958905,3.4625882703047415,4.640566390747063,5.140403084604904
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.011885886961651,1.4621260004005803,2.055738245250831,2.577059442978416,3.428199826088509,3.2293138773800076,2.898790232753414,3.0123981676702636,4.058174859336289,3.22705532818751,2.7705396469736283,2.4474971373846897,2.756169254404777,3.6320266950048086,4.318023537110866
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0908131865670487,2.2580802713215244,3.427223982526219,4.140541698848384,4.195523732119428,3.9012023853699564,3.787888862584386,4.87185272428749,3.7595255559066816,3.5643719755240766,2.870344682606196,3.038823098288226,4.0190706510998835,4.6526444666431095
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0966052353252183,1.5621964528717107,2.122076955826638,2.4675210125093474,2.6070699929273116,2.5668519908685123,3.5033101690885577,2.8002903921466777,2.8681278959688266,1.5345277217573734,2.4444667433741243,2.380156909293301,3.2186810849014402
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1495096212812785,2.3144214505179197,3.346292479446509,3.620101084092477,2.8499418515726944,3.7900581088291414,2.655799912899303,3.328433896490933,2.133338680781453,3.1191022159272963,2.589393776599131,3.490736138799294
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0955955521976988,1.408462214487857,1.9268654426253882,1.53167560196557,2.150946271706996,2.1894404522816995,2.177824315689213,2.5395894035640443,3.5172809214764653,2.901873760062878,3.7657931909355535
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9987539173000495,2.8045443807174872,2.153996349841578,2.46969654548413,2.5134203690221297,3.0712192967320164,2.7698249287902508,3.907813048603102,2.596427417833228,3.4844296951631675
19O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9827564069294495,2.4528434762686575,2.685016714149617,3.398342731299804,2.760065862344695,2.8321828627820036,3.5077637264620862,3.2099739290345006,3.8209630681288456
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.654375762332289,3.023261977110863,3.6465399954597943,2.5531719990988995,3.0341744496908722,3.436101516627465,3.7504257081445873,4.302208036042483
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094461993931091,1.0970756807562345,1.0941517496967548,3.907923555541705,4.809485064207515,4.357830915416373,5.2619579171757165
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7792009501854484,1.7737094004231813,4.686214692372369,5.614872845525337,4.947619858180575,5.817260352347252
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7770304071163694,4.252313420068613,5.226356076499409,4.62407930909298,5.5848892752974
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.225551383637407,4.910628903390568,4.947158311567975,5.796563114048753
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2115322698968976,1.3471741952880751,1.8773556047318432
26O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2536864814036104,2.296910672942278
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9764009660135401
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
