,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21C,22H,23H,24C,25C,26H,27C,28H,29C,30H,31C,32H,33C,34O,35H,36C,37O,38O,39H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1806388304513846,3.1609053636070947,2.6485983848632575,2.91305083141713,3.7882830537230747,2.7015634848741996,2.372315334298677,3.6005432409461346,4.46934736586853,4.428807253984553,5.409938902002133,4.699004341200312,4.335219284264126,5.324316364245374,5.978313766241883,3.842697519555052,3.3750381489906625,5.82978551451832,6.759239517866541,4.499791591033561,4.599868548679996,5.464835657982479,6.4268893268090075,6.3076565991525095,3.5268138587786915,2.855003215697279,4.875616699603763,5.085240376390945
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2399026605837724,1.2921447869546143,3.7790428216578773,4.9636641217805915,3.39854394392361,2.4826148848266625,4.576893651601912,5.432637629144957,4.9326850925039105,6.024876901077551,4.741645522574943,4.786955069717185,6.006678414829673,6.833912123160539,3.8423433451852027,2.92331042153482,6.426438919680706,7.470476638170497,4.450684216508482,4.185947097693515,5.7504635975215015,6.648532354146362,6.307492801090013,5.0926264303596485,4.751058574645957,6.426134222346765,6.829275000000474
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2590207800983118,4.980429563580562,6.155429720265664,4.63184215698596,3.684656213327623,5.7812211301399925,6.656807750945614,6.008857539930082,7.104393701427933,5.7670158228926285,5.692498685731076,6.84828598446326,7.758619094513542,4.560244469005371,3.664424514584385,7.078399483982799,8.102919016322037,4.87948794045114,4.341402228897591,6.199962341260918,6.903233587037508,6.399035725513991,6.2508422331882265,5.829546236369982,7.573994104507829,7.929536827785897
14O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37250215176923,4.601924045092,2.6855924676020124,1.6416086477788194,3.790917276936482,4.607691478783631,3.9274552351044707,5.008752139296602,3.567618335358061,3.9495826872977715,5.2828653237066066,6.06111581744249,3.1261164689825662,2.0846824291269757,5.875839837019443,6.954155772680312,4.029346265814378,3.9713867380715544,5.349331950888769,6.409829115303032,6.188937875543945,4.619066606513044,4.5868638755974755,5.871475067604748,6.424758879852832
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2393611956832373,1.3542959935679548,2.0542828322895477,2.417093084172704,2.580564803977689,3.740752257248153,4.467154710093991,3.780226803392967,4.637338952876048,5.771435492524727,6.035309968153685,4.80681669048451,4.278236029761109,6.821664913808826,7.742180303755621,6.015938257903075,6.433794250647144,6.9240263291330715,8.174259804472191,8.27332613917046,3.1180817556255325,3.3092417181638956,4.239487579922289,4.82998888237908
16O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.285590086086683,3.1942161851566904,2.7624405922000514,2.5155547766401183,4.256348579423551,4.74328937226546,4.449563426825892,5.290804443371864,6.253076925678137,6.321708968946945,5.7018292122084135,5.322863293483388,7.378199146979506,8.203135876701857,6.907692836549669,7.426638686699125,7.663419179176547,8.923888118859315,9.114749342789862,3.1671139642809316,3.4395231687660597,4.016428676616134,4.55479006171053
17N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.059021368260025,1.4391229201365172,2.06124468076019,2.4934328937725523,3.363017491691298,2.564432175696556,3.3156164839245625,4.5191969266574565,4.868259791531263,3.512273019993261,3.0592175634494954,5.576072107221153,6.531967706635334,4.783573520748,5.2871161225169185,5.682857257659059,6.972965747411818,7.109212032168437,2.4710154784686744,2.8647630398348682,3.6432641899501137,4.326645375660164
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2092002250265352,2.995212197090906,2.730179687090827,3.764068523788013,2.5891478275536133,3.1919719988762534,4.518787293480043,5.0786475709263295,2.969558545895337,2.2663128007031834,5.410560193018048,6.440554754992208,4.188115043026762,4.530367953120332,5.271673035028046,6.509785071201266,6.524433844119257,3.1601460756255833,3.355227284846724,4.389439673446767,5.020346567493664
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0976101568220107,1.5600857196170574,2.156127970054633,2.1416452334166127,2.6254261445794325,3.5697316004134856,3.6739235897769675,3.3831744864562614,3.365269551801845,4.795656952003136,5.638426304391312,4.648334366746507,5.405062199332205,5.237380774002302,6.57691312187047,6.90543593145974,1.530852608126663,2.463198849690818,2.3843392956498146,3.2073620975984563
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.163459539047872,2.3117458848540515,2.566145293550254,3.4969524723786023,4.302330125120787,4.1672537677329915,4.389393104868631,4.350770912592795,5.618332615276646,6.3779617431772255,5.677646171763187,6.460848177704707,6.200343795607836,7.550024230525578,7.929697411433859,2.105654512249705,3.156423957621892,2.497843113128832,3.405690544651629
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0958255593622142,1.096602569540576,1.519037848378964,2.5316219901459527,2.7187457927836496,2.555838518864933,2.78927683375847,3.8280783214473124,4.700930625050519,3.8341574760705397,4.703409240009507,4.336775058227384,5.7124933041495645,6.1039905577532405,2.5399992387310175,3.461538493505025,2.985644770965315,3.81906659993128
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7638744514179647,2.137134442018318,2.60097765576211,2.3499215217436835,3.413661124008664,3.8050575303235807,3.9869358768303425,4.674923482024527,4.552808464663264,5.512524029937188,4.7862187614675715,6.127037003019481,6.649888614994087,2.9005674193535205,3.988171343164535,2.8279486817239263,3.704643596760523
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1605655662256944,3.3305440663939603,3.610565404970669,2.7739756547935555,2.6770802970669947,4.5232057918089446,5.450001135001704,4.120326981817255,4.842745808299428,4.837595732112084,6.195372523268579,6.481000357770984,3.4464883359634073,4.304516624909404,3.9985746040137884,4.866791134510917
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.403252198801986,2.15501042796483,1.4040750418361172,2.1759392376877797,2.4449209554285902,3.4334648547402833,2.4298818108057096,3.4114239862595714,2.817975004366347,4.194054597276302,4.60106155023991,2.9741570365365506,3.519431561721833,3.4544766903592157,4.013232746421876
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0884474647030284,2.4075686719012057,3.408452568315685,1.395150606921199,2.16977613729039,2.773175449940614,3.8629782936396575,2.4093335615258997,3.6524981161228918,4.317215541330756,3.450929719202681,3.9559286067002803,3.4658267040638338,3.8118546762406367
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.395186708042137,4.313534562510819,2.145825517762532,2.4898293984333324,3.861600330535999,4.95140010188743,3.3916576674756267,4.519885011529492,5.27297203345622,3.4633070078434285,4.1609109623653024,3.057890704924611,3.415824640066803
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0910952177952027,2.799762603504268,3.8863249770449,1.3945613836054678,2.149117142317518,2.4249446748993964,3.6973789224631437,3.8183706167840477,3.7687284596504127,3.960584377076091,4.561446472367578,5.020071991684605
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.890321483522986,4.976751071174225,2.142736178672921,2.44948687935123,3.402121158567437,4.569764738865016,4.513984588792214,4.021595161565226,4.168474357785479,5.019021001931445,5.550874521280859
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086625216762477,2.4169494903388733,3.40660250160223,1.3966838740770673,2.3762608232753277,3.1720194078710837,4.495661214504862,4.708498014888461,4.557578604520747,4.6781142854302855
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.397626711918782,4.298890624338268,2.148365784119462,2.5866099909638165,3.5279059981452563,5.181739079043584,5.382899794001457,5.00880229175032,4.992400036832938
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.089857770303171,1.397715615324995,2.430276272979586,2.432261959728454,4.734579843449442,4.701270418748284,5.431707376403656,5.700377087112279
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1616369814516334,2.6906939258226594,2.2731912554056817,5.537802349754411,5.361839682115079,6.364822861517936,6.6095295016733635
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3765834014213216,1.9094654287091426,5.046490401215892,5.037845110308507,5.435753291055622,5.55845803723824
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9702282124112296,6.270254529523876,6.123937682616702,6.6149853011451825,6.610225314760883
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.673826363377486,6.431118880039022,7.1816125234546195,7.198808466960423
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2072653394070414,1.3683297204954186,1.8719857005271605
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2501505533943225,2.251879779040187
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9756965130329394
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
