,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25C,26H,27H,28H,29C,30H,31H,32H,33C,34O,35O,36H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.179505196353229,3.296679244155767,2.5276207390193934,2.2572978230752176,3.5261237037589015,2.8233931635702407,3.5213387838942456,2.8522308765423623,2.712876831849384,3.627738015509481,3.939610520324174,5.055919753462448,5.6881111901742285,5.847832577700383,5.5971072597796905,6.8703671071243155,6.013224127296213,5.376339724101589,6.4695798127750574,5.089574277788148,5.220596432058735,3.392022561748861,2.811197099031485,4.532986747241996,4.721901084853924
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.222047743390028,1.378538704615562,2.0893667821678257,2.034816982501346,3.7663750040412656,4.8429326079900115,3.6062738127914202,2.89145106637593,4.737494237059017,5.370555437098103,5.79059969552687,6.631952148114852,6.48336037546841,5.964296854783391,7.377181611282514,6.932663145070102,5.588293498113216,6.595456752615282,4.941205384815296,5.447347599763825,4.668760168447706,3.8911212122159973,5.969920442783808,6.140162213236591
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.278535225881882,3.1741722636171197,2.482687619958301,4.605358219289316,5.694974618160684,4.576425263092633,3.824407487778457,5.81270137915851,6.4475677514601,6.7589222431822265,7.66562604160046,7.317041052056366,6.669089667912558,8.164517343366876,7.806034056529785,6.444208582814071,7.382919196545426,5.662546197058854,6.36239918118781,5.850561323017583,5.080221092900107,7.165450412881464,7.342120611719741
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0165655137732386,1.01325978374409,3.903060269314297,5.026249370812444,3.246865877788745,2.3546401004465167,4.123909057384894,4.959948649145819,4.9803583295439955,5.765353041817303,5.880100884292768,5.490301150700459,6.679318340088918,6.470700359150879,4.5433055993264215,5.5267803269366835,3.9663993922928205,4.251658347915439,3.877182434155605,3.021400686593969,5.159727651946372,5.283985894123484
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7357884817412113,3.8090759620687615,4.809789969321386,2.988768430671374,2.254494652249116,3.5541066579227247,4.387365630208296,4.49843137269943,5.147064660676443,5.586074184811631,5.380770607432853,6.40119583182163,6.124401594204262,4.1732774771075976,5.202509640338058,3.833803731520431,3.7370304177298546,3.0194911072713757,2.0475985757117705,4.245028975042301,4.2990087277876485
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.767884961571979,5.930186151235999,4.0164914038991055,3.041347842509573,4.832840613228652,5.757718947579747,5.461501243129411,6.246222695271602,6.3671672987624035,5.950414531142181,7.054137069489255,7.074587422038071,4.749602385495567,5.622127885523083,4.09754367339239,4.392050801297402,4.559819540177795,3.6785702593077585,5.790648451233476,5.859879811009439
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.228037807806568,1.373463813545571,2.0567350837994907,2.4619800073718996,2.466585356520504,3.5942680770435644,4.424448215698065,3.683900792483575,3.248706884775175,4.754807102074383,3.6773669101733746,4.358189472318485,5.296581179741168,4.027684180203709,4.792314514975195,3.4743389407424465,3.7998421198480714,4.538889712206124,5.2364909678629505
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.283591828453611,3.1653912960682047,2.8017050468860285,2.2860239300275547,3.9223791611694216,4.553383358981074,3.8210262325576,3.5796010493306487,4.895031174156829,3.4528784907686796,5.012841386056884,5.878728355956233,4.8768789701744595,5.490189391081988,3.851227591465958,4.4038482922907765,4.63631671234283,5.394775830718291
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0149826379297846,1.448962181768361,2.0403720250002157,2.518580240516316,3.410927877221123,3.0369396997485674,2.762329727245626,4.054710765902994,3.353377877486189,3.074801418498212,4.081678276796795,2.811890551334157,3.427473501040762,2.4487533320631054,2.802890975988268,3.6267587841833677,4.3164491964462135
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1309956689438447,2.9535471258593753,2.952684006938654,3.8924031354432413,3.612947389034373,3.2240361257456507,4.511009219235588,4.142554503240584,2.9882211301067345,4.021650381450555,2.479849481263464,3.1908448078125446,2.713834077457566,2.677181626314346,4.016387929575901,4.558492921684409
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095253268675905,1.5605458361610562,2.138944349487009,2.5406580513586947,2.8279629728164504,3.49798474741578,2.7657585827959217,2.572806918134581,3.521816352772952,2.864461093785449,2.8321758645754223,1.525332696837755,2.4543237594191063,2.37719043398139,3.2147451948304373
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1675572999141375,2.4552378680243265,2.709478486881297,3.1026376720371855,3.707674102759324,2.477787841569209,3.4984160140887455,4.323087814257529,3.8406181809858255,3.82774742032929,2.126181047997198,3.1533443831186956,2.5689889936755264,3.4708850864122875
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0974472256715495,1.534449689445704,2.182196174333751,2.1729674227686346,2.1879984398759946,1.5365482169181726,2.1749023609964313,2.188262021769274,2.200051717303146,2.5412425125602787,3.4839438736338493,2.9610717566599507,3.820073569511151
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.149014494288936,3.070506365212413,2.488962669672845,2.5004922353317487,2.1504403231903657,2.493038842585581,3.075189484708883,2.50945538742556,2.68167071704347,3.7604670246233503,2.56077012068435,3.412382386270521
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095713948149587,1.096089777063488,1.0957911200590782,2.5372127823682424,2.771754820395077,2.80860148373626,3.504483642741577,3.8880778117157186,4.83324814830963,4.298965196485886,5.224892562568066
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7722018568327773,1.7714081158761315,2.805648398745759,3.1376868901993014,2.631942591292176,3.824464903896579,4.266635771281825,5.029077046501265,4.949255168611981,5.843297053655249
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7747689075358133,2.773601487288156,2.556669484294757,3.1420571470445697,3.7802006323472646,4.69645938093256,5.639544176782042,4.953357987932809,5.84350658474968
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.498122220179709,3.777624836411907,3.8213655494437555,4.357938357993087,4.142853430926419,5.197816361387441,4.3928646274039735,5.365204219767237
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0956646911037597,1.0971586206755688,1.0970909879577746,3.073551735210366,3.5948821314684016,3.6617724837939805,4.277598070212732
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7660489100672414,1.7683700073319406,4.043994844408152,4.614487575186905,4.410266603269709,5.010710153105512
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7753375661870123,3.517138425628274,3.8102520141729106,4.39148095068192,4.986492601404907
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7444087061074236,3.036098249917866,3.2687720259478334,3.6656146272125647
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2178467817466612,1.3470049372999695,1.8783841490552733
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2425899410346832,2.2738203740129292
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9769836507375279
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
