 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,C25,H26,H27,H28,C29,H30,H31,H32,C33,O34,O35,H36
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09138136762337812,0.022058249714960065,0.011134404993097702,0.008734989781491898,0.0015587714536171582,0.00784135526658436,0.00014165182381331576,0.008935118129010933,0.0007420315576640579,0.0006552501062910832,3.947406196602721e-05,0.000460081994587469,9.639966195074123e-06,6.291938307978473e-05,2.4546835548866497e-05,1.1209218724328451e-06,1.1885747863704665e-06,2.5470038879316093e-05,2.7014128511915203e-07,8.435165810505296e-06,3.824140096364559e-06,0.004084539795268016,0.01583367036195593,0.0015640393095318617,2.3611142719870415e-05
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.878926528306325,3.554647111723341,0.12518252125788842,0.1446089284759955,0.00249217343911301,0.0011615732268767942,0.004727649400912026,0.013562676563212084,0.0006026542022277703,0.0001372402864450173,5.732103348746187e-05,1.0807390493416946e-05,8.51304898294436e-06,2.7284194628052205e-06,7.550452885141112e-07,8.026577507092014e-07,9.108817731265373e-05,1.505958888747827e-05,4.618965234159944e-05,1.3499784414783278e-05,0.0009224034049954977,0.0048903800141001375,0.0002822668150029295,3.329706640997632e-05
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5422215907268355,0.029715891411142614,0.03192646019333378,0.0015057280245704685,0.0007304982778710625,0.0031574340804559967,0.008874090154589509,0.00025959922476773145,7.200626405334809e-05,1.8824078482873596e-05,1.1451469753565036e-06,5.7824832754224675e-06,2.8359665219523933e-06,7.522323010045184e-07,1.317367231412625e-06,7.481254527588743e-05,1.0609825354279678e-05,5.473596629668176e-05,1.4495469923159199e-05,0.000452410139421322,0.001888512901500737,0.00010832747890719002,1.7218316311518045e-05
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.768261396157957,1.8844683801164124,0.003034346638406238,0.0011271114995042159,0.033384366001696864,0.10866708309722939,0.002986417167365668,0.0006930289262960798,0.00023474873897219584,2.1015741612506744e-05,3.851391527003728e-05,4.156116760301032e-06,4.65165689411684e-06,5.279516248624105e-06,0.0004659213841749915,4.670206690482459e-05,0.00039993307204544415,7.763004213368063e-05,0.006559123370972655,0.04526595639361191,0.002470459967330009,0.00022567854206323457
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04021410148353577,0.00038492681751978175,0.00038667158276917135,0.004374950158654856,0.007849916856923711,0.00048174971617642726,0.00017990745705764866,5.955506878996264e-05,2.1652031998442567e-06,1.5823571057116403e-05,2.131591249066034e-06,8.211954485304318e-07,2.7218675568985162e-06,7.622796971529233e-05,1.1599771791548363e-05,5.393718722102037e-06,5.867475026999358e-05,0.01735233016664206,0.1493967361077999,0.005161238180741545,0.00012019913314542663
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010061751996004453,5.497275343135932e-05,0.0006024600591401086,0.0004203489981948749,0.00010136819512485129,1.576505522726812e-05,1.664000261014653e-05,2.069643073365768e-06,2.828914239416669e-06,7.403190382948566e-07,8.769980763823071e-08,5.075776798868503e-07,1.812120166178044e-05,3.1594425395908843e-06,1.614597823285102e-05,1.8236863004172932e-06,0.0002779592118290486,0.0011802051911544709,8.132478962874501e-05,2.5818548080369652e-05
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.938322227139121,3.5860163914025733,0.13595867281450102,0.271097684881521,0.03063224909973883,0.03312356937323627,0.00334895239223143,0.00502526925528185,0.003383869998624167,0.00028255554906109204,0.0006013002753153529,0.003363574804225472,0.00027768164340047363,0.0009421097099340248,0.00011111855204637422,0.03184549702172021,0.0036348557032990225,0.00581741303615449,0.0012931227168156978
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5421384122882206,0.02353313342966301,0.07435247831598925,0.06517507671275402,0.009721988012553986,0.0012111038439084343,0.001804105656793259,0.00036249282263578486,0.0001924826994612605,0.0016006924471757555,0.0031562006067430287,0.00041012529687589616,0.001092388767145236,0.00013196579260132957,0.01224742945747101,0.0026815918426320168,0.00196766843678807,0.00041336033701444563
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8534553822894355,2.582319017828175,0.09879467221204186,0.17044427875669485,0.02458573065390801,0.022695333226930667,0.012932967296734876,0.0018050363215951215,0.0005224970868888956,0.02020849937963215,0.0017265725453782244,0.009012448800869377,0.0004956859478248976,0.19659043484340682,0.0315920960102488,0.028376945052349084,0.0048731739234001425
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09842406454148434,0.029612425525631147,0.0036649425902297583,0.000373020503636301,0.00023846705861285677,0.00013188414767184575,5.206360328413595e-06,8.115829715960032e-05,0.0063080796137579,0.0005811015554832988,0.005944964702784494,5.687995047432004e-05,0.009212893015704826,0.010155169577986345,0.0010069135447720035,8.963441410503314e-05
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.931228179718548,2.62272205024702,0.09260782630941788,0.1649435306594459,0.007426372353611432,0.030034171186883007,0.009971420453977808,0.15515281970970743,0.03154480643164037,0.007011556187428658,0.007746119707367161,2.6949228531174803,0.26982819998338103,0.21857864743819128,0.052614414971330126
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08267300354813889,0.0043200728646428654,0.012110059148354058,0.00020770237702816274,0.0010364858007299027,0.0049880082482256505,0.02523515228147699,0.0010937852033521267,0.00039702574430022786,0.000737423190306119,0.11960842497856516,0.029033944494024078,0.011998578536990157,0.0006597565628645441
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7422724319698317,2.734304041339659,0.08808735225901843,0.09131959747155194,0.0853400355270455,2.8191556211281146,0.09065802812028645,0.08511786839663626,0.08460537780721755,0.19009424494279004,0.04123957466556055,0.03161678852392982,0.0021187794997602483
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08587092546454322,0.03432464181014616,0.004864902661742665,0.004267501643283822,0.08503130083613919,0.004815140450468602,0.034588907145548076,0.004306040547026546,0.010365486061602036,0.0016853632392351825,0.017118925715307487,0.0003773872112133869
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8174780751872202,2.0462140641524034,2.072630342306153,0.17010925320063586,0.00937776076710406,0.00915330995297503,0.03170942367274443,0.03131819342994238,0.007202657668388901,0.004956559659211615,0.00046385031538231924
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023167935724662803,0.0241455458225599,0.009199218542718102,0.00017050445101007838,0.004293013221726261,0.0005175068983642728,0.0010731982885776592,0.00017669517868035278,0.0005180212169462184,0.0001869274306975921
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024687056247702177,0.008913552513835299,0.00399865432361346,0.0001542405811316705,0.0006126502699075331,0.004845838671323266,0.001730680225672132,0.00033641896115610415,7.386791102281798e-05
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031061788951569858,0.0007397237864279482,0.0004929801165391989,0.0028269524242692246,0.0008590575972908798,0.00037277014005088205,0.00014122158468043988,5.240133380546297e-06
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0395072909836522,1.8222570476113797,1.948746123333397,0.025525918636279038,0.007066455675222294,0.0037476514269260824,0.0003240134380252391
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023594727846217634,0.02447473090963803,0.0022933970867005105,0.00021953351257941733,0.0003347606622162713,1.3703684862642618e-05
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023900624036194307,0.0009031515322082129,0.00011276670020543555,0.00039981697247770676,4.25946566189328e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013376244981581742,0.004228054295685402,0.0005350653099365221,6.710458064373981e-05
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96026922543316,3.379550422639389,0.17038542995358963
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5075740018242629,0.06804839319635403
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7077353936155473
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
