,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22C,23H,24H,25C,26H,27H,28H,29C,30H,31H,32H,33C,34O,35O,36H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7832790517207762,1.7742747652242494,2.9268980412495345,3.73979688089308,2.853459822887025,2.581527471739301,3.6609860754173043,3.976699717484181,5.069975274961801,5.106542943628138,5.832523404810869,6.1733183643131895,5.357580799752917,6.098058882963703,7.063770088493884,6.004991262242604,6.333593300532244,7.169774415884681,7.777301472073535,7.158818940667493,7.842592058222385,3.3834252289765274,3.1379579606486208,4.177585447885182,4.381928996384295
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7689286228931707,3.5776999460608345,4.6421760797292455,3.5380540792737984,2.896985245581756,4.703121873962094,5.239205191048823,5.83387108074564,5.583803879550383,6.455608803413602,7.007119375393042,5.8017618923769465,7.058351276247225,7.888599012491974,6.998957299061284,7.489735558934966,7.586135236930812,8.124889979115148,7.35309857688977,8.388037235904998,4.582799735278822,4.028500357456193,5.626968278201679,5.7934254289577884
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.164490556134201,4.904811871725266,4.424470098507735,4.080128413864813,5.395518716012182,5.641638228325635,6.779416589384035,6.757004765559735,7.416228172413463,7.752730677000555,6.80324579971246,7.864216241021133,8.815325230682495,7.769802672401229,8.088959535626113,8.72182914141642,9.238056561299516,8.659096576680657,9.473305001620531,5.140560409204081,4.773390796518095,5.858792626126237,5.958629897943585
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2290140140582646,1.3663029550449188,2.0608117282761973,2.480099411771484,2.529277332585489,3.540293805279997,3.874867273529186,3.560195676867238,3.7912599748266995,2.8274345322900327,4.876793458012627,5.673422052289849,5.320360905416719,5.008213626127348,4.923468941776247,5.269429756274945,5.133071253710755,5.746234810019729,3.5045001167948477,3.9466457368288075,4.409850756324913,5.140931903234945
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2818462680272584,3.170303083534987,2.837989191184826,2.3883496257411236,3.8408086836896778,4.4565113025323235,3.6024150024892165,3.468408591760285,2.978579512354563,4.989206263657701,5.785422977463902,5.5611782299469,4.8611580321562995,5.028552898174357,5.242804371625509,5.4796889428497515,5.77333990802164,3.9944795056398403,4.707451665078805,4.596140201985705,5.429585144396392
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0132984803143972,1.458239255046216,2.0670966412440888,2.5045219453651653,2.670650470813951,3.0071645206683866,3.4906621390025605,2.542665667459988,3.8575519711584842,4.670178662388546,4.165778843697281,4.201871470003075,4.32985114525848,4.930337197932548,4.40352923732347,5.055560879053452,2.396289076842023,2.757884815924861,3.521351427823515,4.205727320113744
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.105120577562669,2.9347541344198285,2.9622311029728667,2.7503017721471674,3.6532826741962836,4.312498847101554,3.1906023410791735,4.288459978405281,5.049627899974992,4.414249923973398,4.8130096687304285,4.784485750756607,5.448101174266578,4.630749283709034,5.517685902063567,2.521327948416492,2.4017361604802097,3.8111237787171475,4.306532827530744
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0928340698668926,1.5620998713039091,2.1492019145494132,2.540537309052724,2.8408169475380656,2.6440655277289262,2.568228184891238,3.520031696396757,2.859982291775747,2.816278535364682,3.927776258807226,4.699891469568759,4.191068623519743,4.374086222987906,1.525056680862274,2.4218900392482223,2.397767452916348,3.227465434606487
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.185286308498361,3.0566578096423513,2.7427822524498944,2.6043789083108715,2.8750281041197145,2.8747101794323076,3.849721540651168,3.3049162177907565,2.6912654214238896,4.239423491077067,4.870474730819012,4.7401732716630605,4.623657348530498,2.156249898474248,3.2463134159931046,2.4897470883043016,3.436929440778919
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1009141079408187,1.543024148432438,2.1646930798922046,2.161870295391591,1.5374369498545044,2.1775672067109975,2.2000300982912284,2.1870554904328925,2.5840093984046044,3.524920926501232,2.836736492298575,2.902085608442736,2.546935249439657,3.250138712310827,3.2787175014176437,4.0508138614436735
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1593652923473328,3.0624355708301154,2.5423852702257483,2.15447006926115,2.5243939271111064,2.487762094536864,3.0769764649080815,2.752401423325964,3.7518819276179647,2.556287810308766,3.1462843233678583,2.780772755636119,3.066223655598333,3.7574757502375737,4.352621222800831
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0991985899568475,1.0955275436442682,2.551834913104442,2.762683234496635,3.5145655781053033,2.8549199368373004,1.534066368243936,2.1750501718692274,2.1853837097138142,2.199678903293753,3.8992001538544323,4.633843325486876,4.578601934652206,5.4433455076194805
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7540602419998423,2.7445539384244846,3.017939477798553,3.782608070272053,2.603710949262987,2.1692071924346745,2.5157389826253875,3.08874491584983,2.535256373541525,4.2169566283422375,5.150170301178235,4.622102130348241,5.55718583300007
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4825426718785595,3.7981899865654962,4.335427424774484,3.788050792244975,2.151244557712865,2.45968369518869,2.53190675922763,3.0821659977628264,4.103329842000247,4.717994617694149,4.963552188495499,5.822287254411318
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094350913863274,1.0947534046404237,1.0971980473138732,3.1664046234384156,4.154278776054931,3.556681031099809,2.913932895903338,2.9740510709064214,3.779871251153935,3.130606232443574,3.808074009687752
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7617089519331952,1.7713152927561577,2.803475398647884,3.7905771755458346,3.158012343289049,2.2352351110741795,3.994587964116507,4.671300968040974,4.188541263336123,4.796953962737541
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7693374818565726,4.118991094340475,5.156500323242186,4.3223327331975385,3.8534476665428476,2.6679236771303976,3.301791653334323,2.6757089212953975,3.1186136268620523
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.632688089486519,4.4588028001936175,4.267947361064723,3.3186208507574047,3.29022514463455,4.311276469863312,3.083888621905028,3.8554516488739523
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0960847040423072,1.0976340298349612,1.0957345713918856,5.121072489412545,5.708071545934415,5.802832516551221,6.594092814819483
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7700056770528636,1.7646783673248074,6.0177680529674005,6.637117672896175,6.693843514533834,7.532668891584302
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77072493059765,5.238768002019981,5.5995932953272725,6.089107477506519,6.786929926451934
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.402051212997268,6.047974742393043,5.887526386410149,6.640847304772662
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.214186670219359,1.3480089860038313,1.876900843730377
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2536798229298523,2.290743589573261
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9775967227349902
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
