 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,C22,H23,H24,C25,H26,H27,H28,C29,H30,H31,H32,C33,O34,O35,H36
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024221073235709323,0.02554026574395518,0.005410786090694231,0.0006466390655854859,0.011419786163131773,0.0031240368351279635,0.000633576095804278,5.022319856262669e-05,0.00044542382728907093,6.617330501113017e-06,0.00011229037870030822,4.582143125375637e-06,5.1978879731962024e-05,5.559593001325247e-05,4.374293467002133e-06,1.3594724154852855e-05,1.9473736094788308e-06,1.1129376875418373e-05,1.2330335210641863e-06,2.4516247210115694e-07,1.0348872216958682e-05,0.0035303304901437293,0.006042182918425176,0.0006320904369339075,9.328364482197316e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0244031784199239,0.0009125322408565228,0.0003428117595341007,0.000632861719369826,0.0016435001466241772,0.00011970506580349927,1.6713689667380294e-05,1.2065217843471032e-05,2.476921194594084e-06,2.2707733655646933e-06,1.2019275286156983e-07,2.204091291924115e-06,3.286108390065934e-06,6.168383701599112e-07,5.06694344037939e-07,2.4608487358968034e-07,2.6012729548163804e-07,5.635425415206896e-08,2.62609380907719e-08,6.137167773978547e-08,8.746474723397846e-05,7.707579527527209e-05,1.2485643097859267e-05,1.885624183683987e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017243525620631583,0.0006822599009628227,0.0011712254437736824,0.0008181998808214352,0.0001399293600046203,7.811204745022948e-06,3.788729305753691e-05,1.246440407776106e-06,1.248743654413964e-05,1.0825149985294047e-06,5.6193057982323324e-06,1.234745403944082e-05,3.0033609292878793e-06,7.89505784526412e-07,2.531308049835701e-07,9.750872334013394e-07,6.6061669024009e-08,1.39594051651315e-07,9.144437587149667e-07,0.00011635582858326998,8.185140538663482e-05,7.926554449033674e-06,1.996603023579624e-06
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.074733096647081,3.489969913206473,0.13561795560279077,0.26343189117389654,0.02544479633062835,0.0331322660675914,0.0009110068317446096,0.009737634960466729,0.00040136006057367446,0.012561290284885507,0.0056735529439740084,0.0009516252588837038,0.0001410342727983238,8.827891148555089e-05,0.0011862828172326534,8.844897171145227e-05,2.2362583015356208e-05,0.00043756960018126456,0.030946953873709576,0.006858513080878981,0.0052241747742461375,0.0014180343569063503
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.545744578466872,0.02601280228204761,0.0646512868528883,0.04813798390711488,0.01081997837450642,0.0010976813091400084,0.005021101643506928,0.0010588211919282386,0.002204297301351077,0.002012964280539889,0.00022271228751347127,2.0299363658438097e-05,0.00013250104605222468,0.0009261307726394913,2.3575746956661092e-05,3.511786471999123e-05,6.926055556655264e-05,0.011110966232806385,0.00398370880208368,0.0016616170451634743,0.0004892204944005885
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9131294980385913,2.7954778771168685,0.09429037713166177,0.186251763545546,0.009930212233933755,0.027005944563749024,0.0007787219876422835,0.01776629190174961,0.03114539749450898,0.003720802500972731,0.0005682742773303051,0.0008843682069126224,0.002987595792321676,0.00021815962806503997,0.00011598660563327812,0.0006536464975168688,0.20694642797888327,0.05152712715620515,0.028384107296784256,0.005342288484320168
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09708555901584137,0.029456084270324645,0.0047003783147181455,0.0024939812529622962,0.0004931906749883197,7.385392766923182e-05,0.00013335231075117804,0.0004883832440696345,0.00010683013080226011,1.567655114453892e-05,0.0002665111638815443,4.548372853863114e-05,1.1148559189155804e-06,8.301905326524306e-06,3.431782308149778e-05,0.02350414491405506,0.05035524504588029,0.0038395121600330873,0.0001297890977527416
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9873951447965748,2.6565102854418723,0.08274275536658804,0.16877337806139567,0.006456969309235339,0.013056251057012469,0.16805789102786317,0.03034212966069183,0.00633622403944023,0.00936756415705764,0.03235132023051726,0.0032439138309421356,0.0008525792454125991,0.0006350063412416951,2.636299223881977,0.27457462367717556,0.21291244839631338,0.05412153945784626
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07654838273289954,0.03201980519879055,0.01157369332808822,0.004024543359402166,0.00043682465627647993,0.005690791941910467,0.00016694513787940402,4.803399733832592e-05,0.0030071760963616967,0.001199700209411736,2.3352732009263022e-05,0.00037958842042185026,1.915088441228896e-05,0.10240891561864185,0.022001274392425607,0.012783284780837456,0.0013955802796981054
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0581639878893885,2.684059166151368,0.0832138217334244,0.0875131487713019,2.83483302993685,0.09393430327776975,0.08679294721966224,0.08204880084563038,0.1601335193387845,0.028544606049962562,0.009879126372158042,0.005740249431923639,0.1848660802883259,0.038042375557776884,0.023271361770818066,0.0025379321704546154
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07876981688160511,0.03498175416708249,0.002969698713582325,0.080721205820945,0.003790986418604536,0.005043927627768285,0.03478670720588206,0.011363600644513916,0.0006034752917114528,0.00558174466742245,0.00011090116495671154,0.008284598685359912,0.004034568693606966,0.0011737095945538734,3.276966747667309e-05
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.127652775645919,1.9670717961059099,0.16228852763918628,0.008447320615683429,0.0315354049097154,0.008263222064352371,2.835387086514436,0.09108318876246035,0.08146539803939867,0.08271019226483411,0.029711264930522202,0.00753010469307229,0.0036201393663709835,0.001054670207532693
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023651126776074616,0.011546516497370707,0.0002132884360426246,0.0007588579096102777,0.004841202155630997,0.08056254687482078,0.0038063555485257083,0.03440332602272922,0.0051598836816950655,0.0008047107316511148,0.00035201106222859657,6.0727765496371156e-05,9.393929897516529e-06
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02938104274697184,0.0011059080679929334,0.0020641068595126377,0.00035693551241378074,0.08704194396082388,0.0057210375507597,0.004260238744762113,0.032698118146109234,0.0017724198280568704,0.00023973960144374473,0.00023763469858262276,5.9880074143814355e-05
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.040052481140675,1.9146574155874585,2.1073966121293557,0.022403861655857102,0.0024523057460477116,0.0004065882037360691,0.009316520218090263,0.028219126836857678,0.005322590792087287,0.018961183665608047,0.0009568733140384866
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025152041800007297,0.02449291160238043,0.0122030894507279,0.0007593112607671149,3.085224416898846e-05,0.013799533780126216,0.0020304719761046197,0.0005435010237365701,0.0019077807139852299,0.0002144643751920139
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023575924988036734,0.0017664091354936406,4.2663415227961465e-05,4.288018570086649e-05,0.0006150808750668979,0.015304404890386536,0.0006548796738357066,0.011034246760326827,0.0005802469335083327
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004244223886800125,7.354116939306543e-05,0.0002240169206926268,6.080833760080395e-05,0.001359643068250982,0.0004983130351616794,0.0023103765762834128,8.4829620665694e-05
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9480959515976086,2.154324814006733,1.928401735145039,0.00657292710158211,0.0017993836088743415,0.0011809594804539497,0.00019565620150319152
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023342695392424062,0.02375161986475094,0.001223751527608341,0.0003782777059311293,0.00024267361426721923,3.6443386781881415e-05
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023205119389218876,0.00010993496589883911,5.323334459261808e-05,3.1775071493767015e-05,4.033650957246948e-06
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001326616523806834,1.2173648155977546e-05,5.9697459318330814e-05,9.73295516848438e-07
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.22023833185505,3.4324891971833114,0.17140931792356395
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5215285763649546,0.06638409029496051
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6846736306546726
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
