 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,H28,C29,O30,O31,H32
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08522779738805997,0.01008222101775047,0.028065132433222173,0.00283695867943079,0.00031061149670463806,4.518805739328613e-05,0.0011495951572652041,0.0003812700521104162,0.0005793077691507165,5.5992319299980053e-05,0.0012808390457834662,0.0006512942364810259,0.00025865745085795755,1.6103277225898438e-05,4.6243574392201836e-05,1.3261304471656743e-05,1.405919437336145e-05,1.429777843875435e-05,8.527868624708113e-06,2.3791435918019133e-06,3.0107970161452613e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7545674711352448,1.730909611897117,2.6730072061848777,0.07602553007130353,0.07988539067808254,0.17866784355703302,0.02744969961280097,0.015196509988971263,0.007598397572802451,0.016265883017669902,0.036800931164692324,0.0024323304861104122,0.00010775544741281617,0.00032394717903007353,0.0001687958587539562,2.4728363732462455e-05,0.00020222641735875846,0.0007229336191595936,4.588154229286101e-05,5.161875036296948e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02905585834421842,0.09338721693252605,0.01750139589669364,0.012681247208845114,0.008062968341818744,0.0008012957082379479,0.0005313352489795253,0.00016840021722619447,0.0008190803544518843,0.0009181192550360429,6.545323858930807e-05,3.3552399723024706e-06,1.644435703784808e-05,5.216953288256221e-06,9.2984421717901e-08,1.9844590172013454e-05,7.279502085977274e-05,6.429258169404761e-06,1.3021456277684251e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09003566307982047,0.004777103935974747,0.011846531302465824,0.028382316244996653,0.0038219560922803097,0.007294332065843845,0.0037967992848497722,0.023381014808501632,0.07696863554131528,0.004367749058942216,1.3115623912263175e-05,0.0003311248282167334,4.567957675072343e-05,1.9157210475073683e-05,0.00014087413497598789,0.0005038300326445366,2.46912691420631e-05,3.5510781335457153e-06
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.923874784876698,2.1677595992248806,2.5925258790207604,0.07528458812060235,0.07761447858933979,0.07455694387564471,0.0015626033475018564,0.003475226777462037,0.0004903788557170385,1.1173160060828913e-05,0.00013817861176046442,5.045930502600715e-05,6.714932027418463e-06,0.00148628631933595,0.006871672629840633,0.0003984813442075158,1.5369161750156124e-05
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027789672396271614,0.09163729533067067,0.0036155680240124166,0.02793572827950097,0.007298497135463489,7.887548816931655e-05,6.972185393550046e-05,9.628043535103714e-06,3.276258587758818e-06,5.8812921551743e-06,3.4995557551820156e-06,1.7690868963082806e-06,0.00020161471109059192,0.0008345539523989531,7.982557877461716e-05,1.6871683132801962e-06
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0882823002532811,0.005771015555300352,0.00404034274511611,0.020752040367021163,0.00024165379535112663,0.0003420701725971309,5.8139898766684794e-05,3.109893859543078e-06,2.8890849292251275e-05,2.5076420709924108e-05,4.5087008637700876e-07,0.00041506545166103415,0.001437031047171522,0.00011222132666799389,2.530254650912056e-06
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.676160540462892,1.8424190296394736,1.7940780175018236,0.0006261001062981275,0.0014826605453143737,0.00019095593517419462,3.956740504018619e-06,0.0004577129889932474,9.164701447184065e-05,5.5408977438609064e-05,0.01740183923203492,0.1073592231517011,0.004789403462914732,0.0001760077915615721
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029998486528409973,0.032449106534047756,3.961907709137957e-05,0.00010903684573604355,1.1623068284061233e-05,3.5314649116102714e-07,9.72542523548503e-05,1.114628342513413e-06,9.499187850980917e-06,0.00037808186754284545,0.0021323994146137393,3.9164331558594334e-05,1.7162960604499844e-05
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03248810755747522,7.308433068953235e-05,0.0002654666428516528,1.898696911606379e-05,1.517511267756788e-07,1.545068212971401e-05,1.7540607681887366e-06,4.2156993171893475e-06,0.00029519989074222597,0.00146494856161139,6.497548429285072e-05,3.7030945423399686e-06
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018734923402291548,0.004330593320626797,0.0002274146219570783,5.0867989647152e-06,0.0008022908945372054,5.442536806810061e-05,0.00014677950936570205,0.03222891957466045,0.30830908463993334,0.00784196180364427,0.00015886147400956396
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.017975805598227,3.319395690743921,0.13149436432607875,0.26911226209956396,0.02970328860132998,0.02407584169853627,0.034307251911226216,0.0074718636043864806,0.006861177039373417,0.001343453234754155
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5336337583556194,0.027533664604034502,0.07696528199982151,0.05112548489961499,0.0053695456503294325,0.012859937850514785,0.003918206590089804,0.0023820647010468904,0.0004046850397942947
N24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.957215034047,2.8813868983477264,0.10398168195460888,0.10116346813693389,0.19802513786752862,0.027563474337461966,0.03334650923059676,0.005105985506385968
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09848233631376846,0.023023559767674895,0.007589902339433685,0.005872340732896997,0.0007987050320461542,0.0007451661157893419,9.823061830949165e-05
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9657041019838117,2.026203432840563,2.505626872490119,0.2632057700792325,0.242574435227258,0.054978384546084946
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03318089256440304,0.12590856516047988,0.02722331196365635,0.018135037688922995,0.00018437755262112887
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1154889295689443,0.024619707430414084,0.016142752801774907,0.001348957979345089
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.079917154375251,3.652976620511708,0.17258562033498037
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5061735753700073,0.05716378303657077
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4782284158083832
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
