,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28H,29C,30O,31O,32H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.170479036635558,2.4227297532784453,3.04175551125393,2.9631202661014293,2.9162326169982404,3.3680797293870137,4.330378466414213,5.06118120088683,4.7426464273485704,4.506663187689775,4.111379017034747,4.513927847351645,4.856070001529976,4.949574725184157,6.035512934983745,6.355983495662069,6.896075051620424,6.165058911213662,5.4711327907637735,7.449414083974118,7.715080907081593
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0957972401960503,1.096089503329099,1.5373703632492017,2.202213032173902,2.2155943194341936,2.496892606920149,3.4060836562288075,2.6663140553165077,2.776389126322579,3.325599062459585,3.1840677125711037,4.174848352822369,4.690723658075866,4.976847383518674,5.047159990196516,6.008514364337976,4.917430118229805,4.107233456783594,6.212522673505815,6.411580092750022
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7514263206750422,2.1666840163795458,2.9945351601122185,2.353467324895218,3.1405285816393755,3.9763618905940374,3.0446550613849497,3.638214148026907,4.132765470924103,3.8264690165205537,5.136768105005727,5.671553095987667,5.937396139218642,5.886238771392222,6.980866981037255,5.9209124917459866,5.102805872281508,7.206870899682496,7.387330509050817
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.161297050469456,2.8532898338454915,2.96317459600136,2.441805748260482,3.4621365613298396,2.375697568290417,2.4573892334830103,2.6400175190305935,2.2076890893318697,3.5850415257900563,4.282193383635246,4.2400304355049165,4.138516929406059,5.301589564680508,4.310427146956381,3.652688364645966,5.6061189346666955,5.889850597437715
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.092982721144003,1.0922561123163463,1.5211325582210071,2.1320508377074034,2.1165025054712396,2.12917588455892,4.230410806383817,4.118493431608166,4.693771172004878,5.176805144861168,5.233852964639422,5.439395304659748,6.253234618561118,4.7169062430488005,3.6439149924372924,5.881964316725402,5.851312674949045
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77308417988405,2.0928215333938645,2.446623821305407,2.9610228888955605,2.3672347092765986,4.335914560387805,4.507775948760401,4.54199611359754,4.840967710644885,5.139289791633379,5.559887707710876,6.064759790135867,4.543600800089682,3.4773966575875437,5.653873969913719,5.59859142982059
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.114798879833226,2.3830837665751226,2.489803804030731,2.990888934020285,5.259848410108164,5.066557398519687,5.782376928964751,6.255762444534928,6.300570615843749,6.461512761644685,7.325876727623559,5.711879037907624,4.584843331378998,6.819545791275369,6.694980206226117
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0260433432737004,1.0259861505850436,1.0491586465407272,4.270386506252848,3.9073140477499035,4.544036592638387,5.208964193034737,4.654035158059982,4.731413833764027,5.684875633512939,3.87993075053575,2.751687907138273,4.912079877078231,4.776955735380524
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6582344871694474,1.6687085557547332,5.185524109593091,4.861407107273349,5.292668266705738,5.903790020086737,5.253951050544271,5.394679891733968,6.218977538637268,4.23148981139804,3.036994361102812,5.065863012772071,4.7317248222335255
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6809686936641273,4.443618729338218,3.804576539656776,4.909732603585502,5.69445829155776,4.9445526605823,4.790140688292339,6.008919541055814,4.308436922324424,3.317661431947975,5.321663830254312,5.229781346416274
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.599656031706197,3.337252525952163,3.658749393871054,4.346569121204427,3.644065521488596,3.795396083136593,4.655238266472219,2.8352179021935378,1.7346504516943049,3.9113387521610687,3.8682612631965507
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2313508044277728,1.3721566899333544,2.0637308366576472,2.458778522088252,2.532246213003546,3.2722079478927175,3.394258013142267,3.511697451243247,4.61438466923114,5.284293912394459
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2685916653824423,3.1636064146633407,2.77617743170899,2.3831800779951426,3.7170042234419904,3.5329662861636706,3.5498726647627024,4.732532788373193,5.332548309226324
24N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0111242990653617,1.445246980619782,2.0664219038292475,2.100062809103854,2.489965449330027,2.929324828775445,3.577191238582788,4.325672800223797
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1191132688843806,2.928312943425814,2.3670870903232526,3.05859325495833,3.5180624224370587,3.9879175896298373,4.734648339781565
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0979516049132234,1.092807233642474,1.5228375604201738,2.4546938209005726,2.35787886126699,3.214851131333443
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77506914323138,2.116430068427507,2.912776480298144,2.8538408343297914,3.6623123631622727
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1431193020074106,3.2712605097822554,2.414776707282906,3.378745385415856
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2243443378252987,1.330857541014898,1.890853069104182
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2400232627923145,2.308688656713888
31O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9779308684972788
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
