 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,H28,C29,N30,C31,H32,C33,H34,N35,H36,C37,O38,O39,H40
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028424396889223935,0.001506633763168841,0.1287665505273401,0.00830912107624271,0.003880483860198014,0.0005330151554101548,0.027222975520522663,0.0012401724960731109,0.00012833723912741846,0.00016656885397714483,3.642629012268195e-05,4.099699610105034e-05,5.16847768383677e-06,7.764900749052117e-07,6.780129599981422e-07,1.337819979241317e-07,3.287298218079826e-07,1.1047120818119538e-07,2.661747622312305e-08,2.6838768096837384e-08,3.6217340237953977e-10,1.7948068364859182e-08,4.722675583934688e-10,4.230144456940366e-09,5.637501576671866e-10,1.329662483895433e-05,5.071622389174468e-05,4.076189035306932e-06,1.1740349614708379e-06
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.031120484451079,0.30993454317585645,0.003551181380699653,3.8048093246267456,0.12980861661419874,0.3283854079777011,0.027370933011987564,0.0036581674835332034,0.0015729290148671221,0.02208497037976087,0.03521822940057162,0.0019168275454432004,0.0006920338465477016,0.001219379875459281,9.966292724228332e-05,0.002873882254214699,0.00013683511492210143,4.264306467798018e-05,1.0475110521379616e-05,1.0891582353789175e-06,1.3493111497120402e-05,1.8007464059888179e-06,2.157201314800794e-06,2.747295672067551e-07,0.003421709718783278,0.018652843447759776,0.0013655172878203337,0.0001578064686192926
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003764830225567506,0.00047329209702584585,0.13082890194763208,0.008365243780268372,0.026121925734283957,0.0011903463388038826,0.0007911136627865023,0.00018372028656099548,0.0028493088029813984,0.0011246808224629756,0.0004385640629027687,0.00018775352680355795,0.00012322215440385698,2.873986952889318e-05,0.00024520928069349246,1.2144399523572602e-05,4.463174799185232e-06,1.1861319570982687e-06,1.8555191227953571e-07,2.1663399241145243e-06,1.7105133021111385e-07,2.388201358893838e-07,6.179360356739494e-09,0.00642461164705721,0.049012629400114305,0.0024494881605444663,8.68868211625351e-05
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06359355391678,0.3328741697437634,0.027617189245489504,3.8176770993743245,0.12723474158898584,0.0010303606143715338,0.0005385151521082737,0.0017495688120957864,0.0016310314377079305,0.00014715453059530037,6.409026574349941e-05,0.00019939855419526253,1.19307546864178e-06,0.00035526940975083576,1.996209639901214e-05,6.38101929383017e-06,2.8640596995144207e-06,2.3233581991632946e-07,2.2868058648373157e-06,2.7489544596193127e-07,4.6800353653564386e-07,1.1053534865190784e-08,7.540778632708633e-05,0.00022941991133350326,2.5499857952845928e-05,6.931483215288914e-06
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027492170987607922,0.0013946398578468244,0.12733502064810676,0.007983042491467973,1.1734612824554347e-05,6.348098313901929e-06,2.200280589281789e-06,1.5814823986159965e-05,5.499728998881181e-07,2.433656289824171e-07,4.6237924045122725e-07,1.50406558319105e-08,1.2535880400399435e-06,3.3244722308367614e-08,1.0987161624953501e-08,1.0674708450508774e-08,1.4564746519951655e-08,3.961828864973427e-09,6.659426343702535e-10,1.4100711709374991e-09,7.484746156194433e-11,1.7174661339769415e-06,6.291571392202933e-06,2.8389529160843807e-07,5.7996001556759325e-08
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9650579610339627,3.8788329375862456,0.12746599788786428,0.0008704400390334988,0.0006090930392606275,0.004320279717104303,0.004792778976709489,0.00040459662276415287,0.00018558412014135772,0.0011257812861927008,1.9131106103520423e-05,0.0030539080419604847,0.00011792493911980118,3.8114574669664836e-05,1.2400881914204076e-05,2.3629402672309396e-06,1.1308877200882916e-05,1.6303301177966745e-06,2.91382682524044e-06,2.3664346349150378e-07,0.00043820519716816775,0.001923677241185348,0.00015636447049385827,2.659052270503892e-05
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12851618050563673,0.008006765183073306,6.2495978379040196e-06,1.836435984392537e-06,1.5728586166829928e-05,3.569788892998638e-05,2.98636666897778e-05,9.943821329683189e-06,0.0001342222347366917,9.695954602761958e-06,0.0002645905709022234,1.5561056163182485e-05,6.755563481730675e-06,2.9328208166479186e-06,1.965492691713422e-06,1.7681275978898015e-06,2.3422681638685106e-07,4.1667348549268013e-07,7.455342942996879e-08,3.127056317731025e-05,0.00012881761685856752,1.1552493963007393e-05,2.3948725849098906e-06
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.070622792666448,0.0009769655398949861,0.0005359483451275876,0.0014830278822308696,0.001477590293646136,0.00028751391805675874,2.0472976892005335e-05,0.0002627697450612865,7.681197052633593e-06,0.00033998846123672877,2.520447243464785e-05,1.1136326540706065e-05,5.056349014126438e-06,4.1106937387347386e-07,3.035225766861993e-06,3.9028265397256234e-07,1.316510208654309e-06,5.954206339087165e-08,0.0001339005074716404,0.0003709903176302709,3.876096773035298e-05,8.6685431399669e-06
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0480590413308732e-05,2.7471945707180367e-06,9.991191269875799e-06,9.24547475711357e-06,1.8263098282567114e-06,2.7254137302534787e-07,3.098993019978735e-07,2.8635598958715036e-07,3.223109734662444e-07,4.0716961358100434e-08,1.252282988417619e-08,2.3378005531426993e-08,2.3135446669542148e-08,1.072019806258595e-08,2.3942092752804456e-10,2.538129040274839e-09,3.233591172602246e-11,1.3275428186965144e-05,5.0870380239764756e-05,4.57027319533676e-06,1.2547305960897148e-06
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8915720379050756,3.353619165288447,0.13727777112706674,0.26828489614495776,0.016902208704038246,0.029968383780632796,0.0014316265651626026,0.0007520599263224348,0.005810001414119664,0.0007255947448409905,0.0017387669198474232,7.744342020776784e-06,0.00031185900700664293,9.060185432341328e-06,0.00044040891611699107,3.561313547151279e-05,0.05300347905983807,0.011901749231467501,0.006884571061035627,0.000735442816162335
O21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5312118626348362,0.028925909559323726,0.07288014830678986,0.015684741741914365,0.010831892383917505,0.000994050273271374,0.0005715656653054735,0.0014024671114867826,0.00026072278291829065,0.0003681309688786244,4.645667405989151e-06,0.00011201669298166461,3.389769810846488e-06,7.631147491966861e-05,6.084891455371277e-06,0.061461865334535265,0.011493522611030704,0.006808440531338722,0.0005839066642682189
N22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7284913571233287,2.9053776769513995,0.09877295582468637,0.18393554128034578,0.01354040474318663,0.007695532762869717,0.02883213643094304,0.003710963011283694,0.006630767086974493,3.031558847466087e-05,0.0010704383962518438,3.528052828483119e-05,0.0019466957346054303,0.0001311793880368617,0.1865374310791624,0.02979887437163363,0.026564791815268482,0.004742780075762232
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09501456950121612,0.01816208719762069,0.022683082500632,0.003443181450671684,0.005654126043274088,0.0017384860333798935,0.000617259666094272,0.0006171577956255447,9.25425819442438e-06,0.00021957230367875002,2.727378400146918e-05,0.00014446858173922106,7.012948067153246e-06,0.007060483793434602,0.0006491204908769532,0.0016209136490361598,0.0007621553000349834
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9103547235054077,2.57707093461724,0.09288543046313857,0.08317263996113344,0.18081880768514277,0.025011444018925633,0.04764070194860967,0.0002329619134882055,0.007261946326319407,0.00011923487541021238,0.011671890928629497,0.0003730824520334908,2.6105376206253688,0.2684754725319644,0.21838916635367245,0.0554252855547166
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08247210072468036,0.0046965082729524266,0.033281508655353065,0.008709418694693105,0.01027444201816663,0.0011552352587003156,5.355483426261465e-05,0.0009955859504044984,2.8157966481368035e-05,0.0008142202625931461,4.040394381399359e-05,0.10457492458437745,0.021467950342414444,0.014958755725206885,0.0011186183678466577
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9116680067898015,1.948078339777628,2.9186062011934935,0.20021653662691435,0.24964417259307822,0.0042202391224697156,0.04884983680032051,0.0024297645263664513,0.045866111467670556,0.0024408345526714115,0.19001509794997162,0.039837058862643535,0.024810274987512745,0.002504401841028736
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023829149034706454,0.10525709083752566,0.013921245815361694,0.038897527982962865,0.00016279924822537595,0.004172472261889437,8.51491588564901e-05,0.00690710852226295,0.00043058974030318886,0.029512696014810214,0.005958622561329618,0.0029960890627360737,0.0011452524625199523
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10492308320283072,0.0228608204416062,0.011141841119637341,0.0017380006125709002,0.0034773762535409425,0.0008536305766719821,0.0015790746266677314,0.00013752070824302187,0.012196669307246832,0.0072012767406103295,0.0013393129780956414,4.6364461504966314e-05
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6074970882404327,4.01512990084653,0.11692475094386046,0.5502400677589607,0.03685099375219614,0.5027073472372203,0.029417017457740946,0.021106350700813875,0.00416019489708902,0.00904579477752357,0.0006355290870263541
N30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.424047731585829,0.0261180135921939,4.46664621325949,0.11323611765132591,0.5317818935848876,0.030102840974332024,0.0027115805265718884,0.000826324047343549,0.0012694736144825552,0.00018194085546219263
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04659634596877,0.6221439755979439,0.029495268065247604,3.332381269419942,0.10862750321702253,0.008014479125544455,0.0009437583128537319,0.003505188500282058,0.0007709753370751526
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03044359919110673,0.0008616043396856288,0.09678671523551219,0.004576926151701466,0.00015795089020409492,0.00012888053758919327,2.782588577099343e-05,7.674728408568754e-06
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9932446069229732,3.497306706353781,0.11565393049946471,0.0023212699457995645,0.0003570292307645273,0.000632855814173286,0.00010354108656829286
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10337945927328662,0.004679715041822963,1.0091765421327281e-05,5.816710225703403e-06,1.1113719800892596e-05,5.756200458506555e-07
N35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8938677910675694,0.00119247027516442,0.00019374780666422953,0.000528440606660005,0.00013661604165249308
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2266679402860312e-05,1.550846344122725e-06,9.217005497386133e-06,4.212960804661492e-07
C37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.286134980666055,3.2581150216066237,0.1696082620543813
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5143725209785138,0.06852074731234736
O39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6575191867494006
H40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
