,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26C,27H,28H,29C,30N,31C,32H,33C,34H,35N,36H,37C,38O,39O,40H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39905741666328,4.3006831707658915,2.152917969663366,2.474256509891608,3.872274898668449,4.959750873789716,3.4034922809580976,4.301598532536162,4.535312915516374,5.636131579051345,4.660971142652303,3.9705585571779225,6.033446227252394,6.728226969617076,6.383323254184056,6.155126051998379,5.980982331963926,7.874937196712182,8.754135458651577,8.720220581854234,8.673636958540564,9.938146286933048,10.887995276506949,9.977646188037474,10.854972886989437,6.640094858645761,6.309859050816909,7.9048970541350165,8.342683955294188
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0867968667405654,2.7918279528714973,3.87909742920028,1.3986484669185035,2.1535920073991557,2.4252330222421503,3.411267377713488,3.66706079683576,4.602784107770329,3.315360390931645,2.6590746395826708,4.118297418312011,5.138772454490435,4.317404667067912,4.641884696998082,3.5711192717577984,5.6158712749713455,6.79600951158937,6.090287832027437,5.79548223432961,7.747494713602805,8.795814531337316,7.440177306716149,8.186950401615142,4.154432655962467,3.450209797702416,5.484174356447597,5.713824180012781
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8784592112200102,4.965751973262325,2.1555699013810026,2.474182584406047,3.406765169516709,4.304782094162706,3.437420786292664,4.144669943712128,3.1548569640124042,2.790180528120445,3.6910221432328814,4.719572940332928,4.067923214529342,4.626386164148808,3.3679976966632728,5.230554332007553,6.421617923253762,5.611174939330733,5.29205734987466,7.295090281486836,8.33717327630812,6.933347726952626,7.64362462248995,3.3704299776087367,2.494051082923542,4.647469626619646,4.762908670378048
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0873066377251739,2.4131126442397455,3.401061561000575,1.3974531882366168,2.1594407118415466,5.323030530117458,6.494946973058794,4.923676917678594,3.9790652255992085,6.00094524489398,6.887263232267697,5.863872996056255,5.677522999622227,5.178225695110911,7.247173027625949,8.3082266481075,7.856536008531355,7.630594163200373,9.356742521433015,10.367804715645335,9.17443665581305,9.95870026877946,6.556187042921017,6.0977953298489,7.8968859295883,8.295195118723559
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4010458601788223,4.303440256948452,2.158923159965738,2.4902484590236824,6.191518797117028,7.386295634902785,5.799427907175714,4.8456126502980155,6.905243372807309,7.737988265990549,6.693094148823415,6.378119464753563,6.047267279247472,8.062163352410456,9.068413322898827,8.697102613289143,8.493627182607002,10.129333713862662,11.116252990876898,9.986598934653792,10.77273100192832,7.5661105346919975,7.159844498922331,8.898532111449844,9.334809639715052
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0875316144122618,1.3961867171972626,2.1594662044830044,4.846441894713958,5.836811837846125,4.210207186751721,3.3810384253109347,4.8316288901793785,5.888857968367521,4.5761748848575765,4.810677870250827,3.6343731591715245,5.765677523218216,7.02708023599855,6.072922024628724,5.64363943509916,7.888222022660474,8.957931341303281,7.448639624782524,8.126918137660779,4.96960906996,4.285860670799409,6.286551607058839,6.524071693604274
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1573376819407883,2.4899222267621286,5.449616874530742,6.331802632241756,4.692267189848943,3.9541036811198085,5.009900098180101,6.093907173818067,4.563689566326259,4.946852905007376,3.508485691898713,5.533794483032106,6.870598838235933,5.597884701959436,5.010765552896959,7.579360679208473,8.659514897274056,6.969631497485796,7.548199323967963,4.9639089089539645,4.208934447169884,6.201528406377151,6.351238919472127
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08714683347457,5.566870484453364,6.680741131582362,4.939474291891869,3.9816541807746697,5.736829852584071,6.7261152352250555,5.370464063631751,5.340122030494695,4.501102355675681,6.614873958869137,7.799249653818632,7.014775951841099,6.646215559736604,8.718176766792029,9.763649963023848,8.360514737677526,9.062171098325392,6.13163536090554,5.5714194154180054,7.463501399946426,7.789922055022352
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.561504608624011,7.674891231381066,5.8220955367589005,4.8481914988887524,6.491586058592716,7.4797168689725435,5.907830682459273,5.83419910149387,4.987641511390634,7.025572623542764,8.221986138023638,7.301560118263507,6.861606943743001,9.055824577964371,10.092872458679064,8.618308854742873,9.254138670359731,6.901564973466473,6.3487338529529485,8.20378232492814,8.522795544682813
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2282429837871098,1.3667532119082606,2.047866033354265,2.4473760124096833,2.77138542944602,3.739577047769597,3.9233493269546305,3.9827650484068973,4.977025900215112,5.53637960556661,6.0088895287122455,6.310956194018446,6.705333487182904,7.528730629827988,6.997913081448758,7.922089458212354,2.9598590960834663,3.265855416775468,3.86626720697131,4.447910865753062
21O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2668359483887106,3.1424410317359897,2.7559639448190723,2.7652096909302997,4.265533940221602,4.6009407049298074,4.6493943043713735,5.247444474212057,5.645257734290639,6.228091599833158,6.590881681986754,6.721513230613995,7.455872758223515,7.071938409762128,7.957697189841899,2.8800306195597414,3.330012513939495,3.4012748542402624,3.911109327880523
22N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0128345115421729,1.4557029529268968,2.092200889811193,2.4438964427905034,2.5952571249915737,2.7021840054331405,3.7943830681230026,4.4698138418239495,4.864076053090278,5.186995533995129,5.66404546822658,6.5530517240304675,5.909934078324541,6.855183120979763,2.462123833101819,2.9045424116717613,3.539856550823517,4.248015838146569
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1249246375658197,2.918460447242628,2.5232126328576476,2.5107825237975714,2.4518191280993173,4.008520772944043,4.846054023792014,4.997395496909515,5.193888778156046,6.027069217709633,6.972003295471356,6.1565941585817665,7.084289191662391,3.079698168341121,3.252378362215601,4.2928264157699605,4.939696965421664
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0928189457868729,1.5475766298081413,2.144436593868736,2.163844077299837,2.5486633333048765,3.2026794541834693,3.612883155475791,4.069809980471616,4.316124351557891,5.213891697037346,4.557353068257448,5.497084174537209,1.5332616926810747,2.4412468656527446,2.389652929680587,3.2209198708134084
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1714730134254068,2.5109507117801604,3.0655034887806494,2.7545795387921865,2.905136316743999,3.942108408995207,4.613242086450108,4.056535896252193,4.794953075460785,4.597719612779757,5.55671219787043,2.1417376887062756,3.2636702912961835,2.417502197466998,3.3735819951592396
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0973696299893447,1.0971436023544097,1.498167971811799,2.508773850475918,2.5907525624480825,3.062673084337842,3.5764206738943085,4.579386551187906,3.664066398611791,4.6149046416292485,2.5228236587426087,3.1702639688290652,3.299081736927864,4.055290295725586
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7725434667817692,2.1301538403744504,2.7444221161587223,3.3287933389749322,3.879634870959576,3.929470844002335,4.831179685237434,4.2431479146550055,5.214903089439621,3.451871482069827,4.117188989237768,4.2142035363116594,5.042520111950212
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1413609886727025,3.400337362069845,2.747443253550372,2.8177196258331594,4.280044450791597,5.3387195798286005,4.041050709308988,4.881875213802893,2.729017946772843,2.939172078807324,3.737766826013077,4.308100683818124
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3819798849367906,1.3751427496812207,2.2494436306253336,2.1478632381385983,3.2028278577489724,2.192104668937128,3.1731369408178067,3.065632170242083,3.828310358598715,3.293105151012981,3.986659062531886
30N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2610042687196374,3.3233941766165747,1.3138892485187417,2.136830192791839,2.218671266800994,3.1864698092991293,3.8650116018779097,4.847446387043385,3.7211217472909768,4.502817671119632
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0800543370509577,2.2100665322910364,3.243778673607373,1.3807004259162081,2.138791379250878,3.6379887598952316,4.132171367460548,3.724146893057582,4.1390113435473594
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2390109000096063,4.22513534761708,2.1594055820118454,2.5554361303453663,3.8464198765560798,4.019520627293267,4.090940278127596,4.31121840987537
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0822025779614137,1.3666875899086945,2.1296054035456025,4.657672171035689,5.551434889535665,4.277949779788981,4.877845172755256
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1499963143118133,2.5509237190358007,5.563099101514296,6.512704029075618,5.020490339123199,5.597548483237169
35N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0098091675272092,4.59156349307454,5.237159247281079,4.3134392365897085,4.708606669680452
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.377143452680208,5.9217719405263685,5.011030247470045,5.260306948910018
37C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.213829967423744,1.3464853638073773,1.8705169482388986
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2500292665080326,2.279498996904091
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765784107565039
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
