 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,H18,C19,O20,O21,C22,O23,O24,H25
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5493940309885937,0.02808529431492146,0.05445520323291608,0.01923283100101758,0.006748760615393701,0.0011597616906404706,0.0007072968390102741,0.0007533848277995192,0.0008486592384735203,0.00018605772570963464,0.018079705640856092,0.003411894045248956,0.0025995795147833456,0.0006701786299257995
N12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9178090873879214,2.8095221401770214,0.09639724442822939,0.1804062703662721,0.025513978571515716,0.013250353346219823,0.01347425716432707,0.007844689047813075,0.006234685254098801,0.2029225356075492,0.03446150209365742,0.029214660710621787,0.0049849851332823825
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09588922316484538,0.026648802624994028,0.023119707548948876,0.01655076183408699,0.00029241815074687594,0.0016017163077697294,0.0014753035708116036,0.0006582156017158614,0.0059318827506247285,0.003728465775585277,0.0010886290075770022,0.00035524199650982524
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8654978551074801,2.6691459581244197,0.08676713680201398,0.08101848074340845,0.15155512080883102,0.09777328989741674,0.049511983514868116,2.6546641939277147,0.2647994937954772,0.21087888474173744,0.05508478042941167
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08522859415648099,0.010020779570277805,0.00973552291359403,0.04618091695321602,0.13605022510376064,0.009505086899435744,0.11793501540300388,0.029258730898403917,0.009818643659493476,0.0005887756347211504
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0276162352625304,2.0217697680785114,2.3465481728116013,0.2957196577059693,0.32791238959816904,0.2200180607555995,0.04546825747231899,0.02904227073137318,0.0016348483223487253
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02677492085446853,0.07925609958205726,0.02250133155051426,0.015552083526146454,0.012474540982347904,0.0019892757610111556,0.003852197953260861,6.1007184025019257e-05
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07746565688294504,0.0235329561207831,0.01579851097597107,0.026929160021537335,0.0028742413938357414,0.007005313226935317,8.867290048075738e-05
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.195976067171149,4.646885551499736,0.019367531174102004,0.005681326869907702,0.0017082639177303516,0.0003543455401776585
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5843537786078271,0.016639066139826936,0.005124315685289996,0.0014590081207800365,0.00012861411304199155
O21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010274565038260464,0.0037474907328775495,0.001092740746774401,0.0002604818727719449
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5237170726832225,3.3863882217793653,0.17255213283922444
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5015221666922726,0.07794326278565122
O24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7057442382357997
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
