,1N,2H,3H,4C,5H,6C,7H,8H,9H,10C,11O,12N,13H,14C,15H,16C,17H,18H,19C,20O,21O,22C,23O,24O,25H
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.109554573282873,2.946846209226987,2.6340722756182857,2.237575538830246,3.279790049191991,3.920546905041672,4.291573053222674,4.751421725785627,2.9228972523142596,3.0410793417034814,4.179765240324938,4.761978373676053
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0998015031972186,1.546282481913332,2.1775206154350015,2.204515701163912,2.6209917455615726,2.7643255342651987,3.721393927933009,1.5166296629009506,2.449215835339682,2.383094961158773,3.200910011480998
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.110276942391789,2.8647786149178924,2.865246277929223,2.483529229413312,2.1172957042260734,3.7203956653111874,2.162245995489397,3.214454905856956,2.586986130744163,3.496784579275241
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0991786665161114,1.0955302624388465,1.5923276389457384,2.4179360591086834,2.3773767491958995,2.5354561830031352,3.452891464070336,3.0082369350466194,3.8398494478088154
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7554358871505342,2.1863932302362454,3.0911832913071007,2.656647258302171,3.247226369183336,3.913792206257722,3.968458714283341,4.726847960328997
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1962868050072357,3.154813706663829,2.612337883500654,2.5487918760243615,3.3678665144541324,2.758071560480162,3.4323989710935736
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2543879239506102,1.2500482550561793,3.7204477372563676,4.8163798356293075,3.7802117303410387,4.708265353148355
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.281123174231984,3.9091639377567624,5.070141417029558,3.8825049785505024,4.853255691715968
21O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.700881405571365,5.7354742732165205,4.6716655551007795,5.5262121848836845
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.218061091207601,1.3577065770132026,1.8643479518555521
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2456893680209307,2.242710110503656
24O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97538920339229
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
