 ,N1,H2,H3,C4,H5,H6,C7,O8,N9,H10,C11,H12,C13,H14,H15,C16,H17,H18,S19,C20,H21,H22,H23,C24,O25,O26,H27
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8148392001662141,2.1593721496415634,2.676275268484492,0.08392357511695803,0.08374067160379095,0.19903324359895114,0.014472966113111885,0.0008974869596918289,0.0014604463952401225,0.005346649554872185,0.19988131466456402,0.04346331917009415,0.022208554546489984,0.001683345182490581
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025050980602472128,0.08672289560886637,0.03257130834963462,0.00530013699195564,0.01778083911111905,0.0006925973446454403,0.00031674074694332255,6.389553119179325e-05,0.00014364857343429627,0.027627735129128306,0.005468289588524189,0.0028856404039919736,0.0007848330588573482
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07955962193036159,0.004773035285695615,0.03315146155798443,0.00914785527319284,0.0060287560622054315,4.4271304323606486e-05,0.0006097562607021434,0.0076793665783139176,0.01229912677675915,0.0028306796624705255,0.0009692856548664253,0.0001284849781459929
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.811444195897573,2.150643736588434,2.6939265295514576,0.11564493375353677,0.009944438319436921,0.027648029672429297,0.006122348581852455,0.012295729418782486,0.0033047753242631817,0.020747166074984835,0.0010886177358189197
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025639281520449364,0.08957244209757909,0.011600745217224429,0.004954910570480697,0.0005355817813896824,0.0005881297551866282,0.004956843536296995,0.0012484006227340139,0.02852692464217277,0.0008838105887933878
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0950812123233149,0.02534887262981156,0.0004487840646931751,0.0013437745727331585,0.00022377464978973194,0.0005969033854715811,0.00011661031446452697,0.00040808220082477753,2.2095575753944274e-05
S19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9063557184259805,0.09354973577662029,0.09362836767369986,0.09777423212779712,0.0041728269825205555,0.0016718793816966684,0.0038718349505374935,0.0005316554407092111
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9854529467406907,1.905536177676182,1.796556654219873,0.0002478443495990412,8.023276386454059e-05,0.00017435392263900895,1.6665316235231487e-05
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02554889340441102,0.024142126240827233,3.528335526659099e-05,6.497549946526959e-06,9.285047805918101e-05,1.3382058480670977e-05
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02518895040538416,3.0056141044232376e-05,8.130636938274982e-06,1.5124472633631925e-05,5.846815290588836e-06
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.67363948096056e-05,2.1390995903147747e-05,3.017809553551576e-05,1.8689890279866006e-07
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7283831030259575,3.564219629734104,0.17737586969301133
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50612121333858,0.06672624769413849
O26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.682433275705228
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
