,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26S,27H,28C,29O,30O,31H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4237561566392323,2.9369245480942436,3.932416640913781,2.6803879914008393,3.295696219362839,3.4824464625884683,4.060447032287531,4.121123405252055,4.227646103452072,5.443532535861052,5.653400798786383,5.936769308844797,6.982223160534114,5.496921753575813,6.300412788769678,5.149730510832411,6.527743979268399,6.533135019779943,7.7417187667852785,8.405448107012054
12S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8283080701404886,2.3832396268133134,2.444549591645763,2.458344664463002,4.844757416717579,5.7612462592379705,4.821441465881214,4.503591955677855,6.095770931630783,6.684079438316927,6.245573172658332,7.331134224331153,5.948270255048837,5.879950167809838,4.549719419897793,6.992558114703305,6.891356547286305,8.188749926001279,8.768277246995016
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0935786108566927,1.0949433722296866,1.0937643108970851,5.795748707744135,6.681607221693316,6.052449892417058,5.678358938931638,7.444394319613567,7.9577852651715695,7.832194323688527,8.924639650284725,7.579417896756646,7.5452695233576454,6.250346913794268,8.217153982029615,7.922430815863384,9.497795716779097,9.998129352881367
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7781987297138344,1.7760864929320064,6.806628560258119,7.714354566713312,6.95439639981027,6.5235443334093155,8.309200741275692,8.883912983604846,8.580514089594708,9.66836718208935,8.324760388401588,8.114422328683013,6.797952787981316,9.058451196224365,8.754849820558112,10.315731846809491,10.800283090191067
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.790429806772397,5.898756662431263,6.627829227681658,6.372062705474351,6.148081762421857,7.772684602101649,8.150767205697331,8.208739021748714,9.294731947923541,7.85293054100509,8.132862280080525,6.843668785670309,8.652074709529492,8.417038033341422,9.933599302145609,10.483241412083517
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6718152906398895,6.629823346790505,5.945216967447916,5.463645027325661,7.367269037405794,7.903428806474691,7.925990124882143,9.007283968370686,7.807259057173022,7.641042979559895,6.418763488805847,7.96554343278098,7.521118719863428,9.282814197859885,9.695128747730736
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.224817088226526,1.3829357331914425,2.0484500427592884,2.4547894385337985,2.4594852400084646,3.60133902361642,4.453665515653335,3.5870313994030116,4.619556372597045,4.123634284524652,3.4024384741662557,3.5626670262674835,4.568948122518096,5.221759001886393
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2841790776947066,3.1475138571372354,2.797300998021068,2.2859997456067775,3.884420812657149,4.5535447381451775,3.71247376142339,5.262645282383871,4.919676390442579,3.839788375659796,4.215045708502188,4.778399770378137,5.496891685983222
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0128526424336965,1.449218321964425,2.0485100267300194,2.4972890135391905,3.423593141713411,2.7563128417680725,3.2949922308648936,2.9321109942617216,2.4248695171573407,2.719493447638597,3.623804545306641,4.300396214201839
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.084255468314113,2.906897269585722,2.982690594735919,3.9161361668679797,3.406396366461493,3.2213195699495785,2.754784302472182,2.5401620927553665,2.454899027399233,3.8305368606438943,4.343093519174426
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0983052701108003,1.5390956416119783,2.16647089837923,2.160611747900271,2.8525707585947258,3.102287204571865,1.530064398886761,2.434807766503771,2.385982527704126,3.221714466531761
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1425260266102875,2.4783431542625136,2.4361305669824267,3.79088893158428,4.037543663550878,2.138680223190115,3.063418410992508,2.6959055679035884,3.56121071690405
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0925748832958835,1.0926204489443614,1.8414927121858493,2.4059651044951296,2.555168212193128,3.5722569858867734,2.8683331673605563,3.771031977858887
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.770561292185294,2.3760126071477,3.29893686241183,2.7738368553162713,3.92738014358598,2.5421731975268815,3.449279351743641
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4341243836773128,2.583606751782379,3.486423483766731,4.465466185851575,3.8572693662723014,4.794998409073588
26S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3504399190613503,3.310646686716594,3.9576191974443606,3.6680004679735494,4.30132183429196
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8550825650259446,4.298870685984506,4.570245329545717,5.222785304037783
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.211951894358181,1.3484843108950768,1.8783755410833938
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2547688405208413,2.296390722392524
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9766407748257684
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
