,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34C,35H,36C,37H,38C,39H,40C,41H,42C,43H,44C,45O,46O,47H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3185678358646338,2.1477681282754775,2.5131499720533528,3.272585596056301,4.693475875557512,5.173627498661354,4.602157904929503,5.013962070467398,5.678263248206102,6.706697729032568,5.640593987143263,6.649396089874978,2.820602097997249,2.3192952701651093,4.002167080240071,4.717673201289189,4.793516160654463,4.446236213465848,5.3795660593265,5.924243376996956,6.237617799540869,4.679558535053704,4.932383102618657,5.5646591136947405,4.337287394793583,4.594792305449187,4.877587947502856,5.478641016730927,4.267476784626332,4.466743478332966,4.552333914089419,4.953166687786554,6.116101040877543,6.604318863132958,6.971162051836705,7.8011091547631
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2520180162399033,3.2281702693123724,1.4235606350305825,1.4063424169452725,2.1714992367968238,2.47219210201854,3.4599587190245704,2.41255361965456,3.399508301707527,2.804224867371328,3.891052480157312,4.569905096688766,4.905174498655931,5.229687538172815,5.492970067319442,6.332385391834122,6.519708004284777,6.433731558429947,6.459114525313646,7.479199011353135,5.626100951361358,6.320254572207619,7.284240112047379,4.499197940964944,4.2312685882619565,6.08480161980125,6.9188067810458085,4.1520714320059335,3.539076468220481,5.064835723068047,5.252401826386384,7.607595089498815,7.805194529840105,8.711075434961323,9.470635857841339
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0077806846189534,1.3790874627968217,3.5736457668148405,4.423492106439404,2.5259903686553122,2.867359729035862,4.126490466059685,5.212394541920802,3.722641784589415,4.646826008688057,4.587179427024855,4.326110909659548,5.530878397090351,6.13834610955581,6.346321881154576,6.154340175926938,6.516302253859992,6.902481803952398,7.418610743443386,5.470808647303657,5.678990463971718,6.539840603839406,4.667898885583613,4.908574606939767,5.166112181495727,5.7362997385054495,4.019485152971331,3.746537683715071,4.314848861341859,4.301892349204809,7.771882268523305,8.245124357344896,8.6572270752699,9.521863333134473
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.130018962201754,4.495368434336992,5.394463056330408,2.890807435279556,2.848239265201491,4.8806037315904796,5.9634586056591425,4.236193993664613,5.023447312393829,5.170582405679835,4.689674920749236,6.1438371463704975,6.846004282817155,6.806126007259838,6.47450730915005,6.946131720589691,7.445669229427263,7.759965636891321,5.806996684129317,5.772775668936529,6.571407030955686,5.137054982448111,5.549437089598434,5.089190598065309,5.478991252819961,4.3472228620558,4.176342860552902,4.319656664593111,4.135256826559293,8.262007786063366,8.837561075877659,9.035347729679073,9.933393008593645
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4349654796254523,3.4295652110902717,1.3991500759078428,2.1728538338809167,2.769336966354562,3.856228242372291,2.387062342751572,3.3770325823637695,5.2489170949145825,5.265417386295459,6.023792909037648,6.469358851348574,6.95147564621911,6.95334041136834,6.970016626317845,7.159173263529784,7.937103494967184,5.926212479144773,6.323426338120383,7.289706532856628,4.857489071393974,4.887711119926456,5.7975594946024405,6.467601091934559,4.140379344000347,3.5208798457120727,4.707743714850891,4.627212419122684,8.34537727295581,8.706667647736413,9.326091337963101,10.159282852286891
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0877019046326104,2.8473130024839635,3.934853778039096,1.3907854061935732,2.1478074857804237,2.4384561802685867,3.4144142457471807,5.552568988830381,6.08103120833695,6.006344983120386,6.0741034888583565,7.155038080604719,7.507893501561316,7.13629147262262,6.95817438909601,8.199800400879946,6.411126419305507,7.245987362147523,8.251133212028856,5.152087586439399,4.665205264479688,7.039313962151969,7.926443397739247,4.8478089655951395,4.041161731892921,5.918541249073278,6.077156038462045,8.32734112496791,8.390305059610773,9.492820790200833,10.192988624796074
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.934936104661669,5.022467189692366,2.1545664825294075,2.4771810445842486,3.4236600433020166,4.309129920243468,5.506161551950079,6.229124194118022,5.816883333857813,5.704285890512412,7.040299853944752,7.523414981504828,7.07412873410025,6.75984603992854,8.155186392193242,6.558075485901961,7.554603602263221,8.52593202545047,5.333236160746059,4.6493383332871225,7.5305466199776125,8.486911367417612,5.2902702466270375,4.557211283276013,6.49240327904163,6.787388285441325,8.066454099520195,7.982642159053693,9.296745599742096,9.91935336145814
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0875426908334789,2.440400542605221,3.414750974128541,1.391638148625422,2.145387968249769,6.61976101932159,6.625739065674124,7.321308750346148,7.741844293599397,8.197730099045554,8.218830425249942,8.058370083744423,8.196705790250228,8.995166415203107,6.909991484585121,7.227239150877662,8.23312688196759,5.752847855386225,5.799420290829994,6.514908187861212,7.100449405314114,4.819122779530718,4.011841589918275,5.282268842329029,4.948323179293844,9.610296923577755,9.98323846360968,10.567256497541731,11.412828871254483
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.430679065583569,4.316176833781839,2.164098212901429,2.4869429994599974,7.285127913722906,7.129853788057836,8.036841240679111,8.545841168265614,8.81015706304556,8.72473142884607,8.63686822681825,8.869165563741523,9.510424537661846,7.388608729229655,7.512463645230315,8.484208154144284,6.316565730532882,6.516615825361742,6.6359288996108825,7.069930421405142,5.236230100196161,4.5057443366508325,5.429809328684441,4.902412140835249,10.268967159765575,10.730585029173872,11.144880264701067,12.026203639179434
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0870595786048,1.4102215491815058,2.162978667518741,6.840426997192507,7.270372584679656,7.284626846619939,7.391762583427213,8.351229001298414,8.674501751352697,8.183044243465499,8.001176571131586,9.21001223563161,7.310251554656099,8.02969340932024,9.079658767360826,5.980509855236495,5.587368434449568,7.624712728872863,8.436728587968005,5.415948429534339,4.448501468834263,6.366594255492455,6.30816991125513,9.575798475084145,9.689098860750217,10.697520860487144,11.425922198424514
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1609558222593863,2.4765449980986247,7.664731094623487,8.191474354727015,8.00562303762629,8.007870681056666,9.088460102028973,9.499214863026115,8.865530068826889,8.57132612392615,9.890801036967352,8.061194677715482,8.854822721104878,9.91382218944359,6.698115840822729,6.20010422783406,8.486380197749666,9.323589094887618,6.194756654158665,5.188948697817485,7.208996817720085,7.154332376758868,10.240537306601214,10.272636957769137,11.3907019874762,12.07723288389877
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086994407556385,7.294991363369681,7.501851228998519,7.857191980433386,8.12651144755907,8.812421435945025,8.987315783482476,8.595743268843599,8.561573100844262,9.569818558333951,7.531078585068591,8.020385393945253,9.070662730889225,6.244904590156332,6.089799459054982,7.389277790868286,8.063230628271139,5.402165288473105,4.434155669452719,6.082021983829013,5.797970762153776,10.152839790626377,10.40968951328927,11.184633158275467,11.982853950678924
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.36715865707453,8.54870503400921,8.90448087454948,9.171993823054096,9.821911489974168,9.995219307376372,9.525061802798348,9.473029142015395,10.471787016451884,8.408936003822728,8.838226184819764,9.897528981062116,7.107681464192519,6.980325181102171,8.110650358338722,8.722149206577724,6.172038049408927,5.165952080094759,6.762114823159006,6.349616059400074,11.172543604270592,11.442374825485,12.183015255717143,12.98889353506968
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.227096475470959,1.3726924215907383,2.0480150995837363,2.4676440867348988,2.507146232078241,3.5553262724352432,3.952207830467054,4.445645718599943,3.692849521583346,4.475146997100321,4.886889459339176,3.7717495724922867,3.6777107083746343,5.189760716940823,6.01062266514793,4.591806720142505,5.059367173188321,5.241869102344517,6.089698587114152,3.5091505708113315,3.8176652201223957,4.580487576074514,5.285385096835988
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2809858194365327,3.1457168372160615,2.8124416849201754,2.3448220470021144,3.8475266615502477,4.517396915048184,4.5837547365744005,3.738525006107343,4.134635777877834,4.443065158917518,4.009974822879271,4.233112928917251,4.720744109250881,5.3803503186495725,4.607345684203172,5.191301700229638,4.935907694355739,5.71304553860771,3.966299862302221,4.531634748836504,4.764861065750918,5.557998600541673
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0127669880593244,1.4485297870577385,2.060052076600506,2.5101809336370393,2.7299979340971365,3.417632735526564,3.0954511587192015,4.132640574032024,4.483330990995918,3.3548738468283292,3.1155140948015387,5.111480700555157,6.011667004775354,4.502338110217577,5.062082289086512,5.267611571647113,6.2466090205428575,2.411798270228127,2.717718720600985,3.605447140433518,4.281083444286072
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0909047084285772,2.906069283365928,3.0208375738210727,2.888185066873218,3.8989282973458725,3.803307750200217,4.97234257305578,5.328915311465057,3.9170674940240207,3.4145985757185615,5.974256101777894,6.916410973991606,5.1256441030952455,5.565057201990366,6.040992426968248,7.018365781337673,2.49709867925546,2.3354998266700537,3.829488209279491,4.318356033935192
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0943747552809213,1.5604586497965998,2.1673537072961735,2.162052636904704,2.5685830196713733,3.4033474351095854,3.4621522828664797,3.4075095112118134,3.4687416562685245,4.630280962370957,5.427844713896692,4.632356347025094,5.42558839467999,5.139055812319992,6.189939496414902,1.524330143055623,2.4306242771311024,2.386022458574249,3.218962154299327
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1773394592574453,3.066279938633123,2.5295773544438394,2.765887963579713,3.164727957433717,3.0510657764420372,3.7503622325822,4.065230988631886,4.322018135362372,4.9673594718392104,4.766779597179693,5.639786316686747,5.00627805962675,6.0037448900029835,2.152216386154548,3.1764824699815577,2.592205331050517,3.5039481374995662
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097674912030692,1.0957997365416863,1.5127264361060913,2.5291507283393924,2.726035821329155,2.537882498266682,2.739883545673338,3.8168611842548597,4.681278402780184,3.8236932751691253,4.689423569429161,4.32585237110873,5.413035589936703,2.5203039652330306,3.407335243376187,2.99134245904928,3.8250349643207615
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7651255009294944,2.1557498034219726,3.3800962543459137,3.6988741405625567,2.6934226839112445,2.4981732785829136,4.549470920496842,5.487411290850627,4.066012480868137,4.762767173908816,4.825583549282682,5.892884754245842,2.7606409608435345,3.3125302563178805,3.4128974160628323,4.0631346462822115
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1508504944097218,2.6692139899642067,2.4627531212747504,3.3852058129824805,3.714210470992644,4.042391440164186,4.733036853875595,4.549839505392785,5.492609780210826,4.813392837492529,5.879879766174981,2.6611967555279343,3.680585136492792,2.6047172663473983,3.4161707303062765
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4019750769544443,2.1572559736635832,1.4010101530561117,2.1549823385772946,2.432354151713082,3.4136093058689885,2.4329518869329974,3.4129447772256354,2.8132186404514083,3.9004015579857865,3.8850720723487395,4.772324596858239,4.333849136755065,5.235756153116146
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0884958329255947,2.409538400040715,3.396303317046718,1.3952978887576477,2.1529255294755014,2.7876456782619283,3.87417107470266,2.4189355221791504,3.4050556222148782,4.675061002624555,5.7273571198967135,4.804588385878289,5.753581814481107
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.397587192238959,4.297866265234798,2.1530538405880884,2.473919661562121,3.8761294241752062,4.962664039190922,3.4031091685441774,4.301230601724902,4.507436985709186,5.661535853124804,4.338717525123588,5.2709903693035045
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087154423062419,2.7864492795576763,3.873705198022783,1.396120527507824,2.1527406655808665,2.418274657159654,3.4042464439010325,4.760695670652167,5.420945197667625,5.461911576910963,6.3140471768591135
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8735881961688743,4.960840956445022,2.1523472619468493,2.4727116035885097,3.401051794534406,4.298974651129906,4.664255681771038,5.094852874114865,5.555147126677349,6.312421716840183
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087289978252692,2.415254938770684,3.402793086036251,1.39696925276906,2.1588868180093685,5.994651557876001,7.009292191595842,6.177049683715676,7.134194868573328
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4027520938656077,4.3049239109393245,2.158889356348392,2.4901853140102066,6.729022547827029,7.810181817140048,6.74904913533557,7.702798005799348
40C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0865788291622904,1.3961939989897358,2.1574462653338524,6.061357578102748,6.760077126744956,6.702267561688373,7.594641756107824
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1585407502914165,2.4893855411467656,6.830085066555594,7.40334410908596,7.586379702526995,8.447777250115847
42C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0871857666130411,6.58957641807184,7.458271763685475,7.009025264468769,7.952620775856078
43H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.656296890599978,8.518824378212335,8.068479405759954,9.018769375565025
44C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.213831583617944,1.3492483380556035,1.878049569301188
45O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.254131540403311,2.2918643519033854
46O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976780028294677
47H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
