 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,C34,H35,C36,H37,C38,H39,C40,H41,C42,H43,C44,O45,O46,H47
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03004709568441477,0.1037403226525786,0.004935782683505252,0.02678004142907242,0.002982832075932862,5.9645914882722195e-05,0.002713909006953452,4.559865555497922e-05,0.0009710640777726987,0.00011016252444240315,0.0009113709087722466,0.00010221888693684456,0.012931387082790069,0.05891807503273916,0.0034206282124091825,1.4936875716742293e-05,0.0002690036343253599,4.236710711835734e-05,6.35094126998359e-05,1.1593327390535535e-05,6.458989329161113e-06,9.015052280458846e-06,4.898361812721852e-06,2.1113821091489626e-07,4.805008152963808e-05,7.722324526504565e-07,5.940256188052828e-06,9.625831087767267e-08,0.00011161095773648544,6.123008647440642e-06,4.9924110083310325e-05,5.1617151441973874e-08,3.0428025988404883e-05,1.2848905358131546e-05,3.2804409614284324e-06,1.0572749267190318e-06
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3954162923558687,0.031386653137446374,3.2187095866614204,3.5830470472644893,0.1304521354175081,0.28713041444687737,0.026882366661524104,0.3402765382664001,0.027863903372600474,0.23302600313033042,0.0039711265912580895,0.0014944929334801405,0.0006567033730519312,0.00023725302581631413,2.0612967035926744e-05,4.411344596783051e-05,4.914383882170803e-06,1.8737621200609622e-05,5.412342349853105e-07,2.9569374182525365e-06,0.00010569148854797095,8.40593046493171e-05,4.470787680066479e-07,0.00037905849783553824,5.885822519702266e-05,0.00010748676859212436,6.717803679556766e-06,0.001499709325425258,0.002592508800694837,0.00031867452317860256,1.0354228904940754e-05,6.525258967354786e-06,2.2028236950494273e-06,1.1791585417253447e-06,2.420643708811454e-07
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8628653891066134,3.246611170255904,0.0459590232619978,0.004148679157543134,0.2508496122257934,0.007198394621128479,0.05130392219990004,0.00044823998922960406,0.06455327580492048,0.002996576774150883,0.002122423656709449,0.0035887615330646577,0.0003790188005358408,3.480627618512866e-05,5.549199351242984e-05,2.2076726199582453e-05,1.772237082546535e-05,3.215812860002387e-06,2.0146840362667007e-06,0.0001569244154073779,0.0001039746739911751,1.3788593156149886e-07,0.0006266180536879801,2.0536624443678875e-05,0.00015907848447611894,4.087224949600454e-07,0.001036453667714654,0.00017093982947424813,0.0007029700230550967,7.397102225836782e-05,8.513674278454175e-06,3.2295856955688595e-06,8.000242476130515e-07,1.719220301676927e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11795668095202483,0.003609470517822344,0.0014369982409345727,0.0070292996720741074,0.0033197522840022753,0.000541638193319649,3.9426967945566105e-05,0.000570962181714707,6.91857877455071e-05,6.175620235326917e-05,0.00010165910232828868,1.1540672627097237e-05,1.2548094598940907e-06,3.6385244388537075e-06,1.8738445661803382e-07,2.8104776966797473e-06,7.314417898030001e-07,2.33292239970595e-07,4.0267070694266494e-05,1.760765227598604e-05,2.0032676428805019e-07,9.026015647561891e-06,3.8295117144038215e-07,4.6316824256820155e-05,6.802754715096171e-08,9.351187797268512e-05,1.109310056923718e-06,0.00020867907020283294,2.5648315254533927e-05,6.307497979474164e-07,1.662587834072582e-07,1.0801146710370801e-07,4.9984784533663174e-08
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3002776038773838,0.027450724754542355,3.70399547792347,0.13335119160940612,0.23207517656306645,0.004046793930198467,0.35584861018789865,0.02832206636175827,0.0014050241448395062,0.0010968963592239561,0.00013833770251833744,1.1276458343201234e-05,3.434012733474767e-05,9.07803800032081e-06,1.61473460041639e-05,1.2399291429154857e-06,2.1118181019463833e-06,0.00010631372296826536,9.31156710144293e-05,1.0230176601400132e-06,0.0003964966920618762,1.4800944146520223e-05,7.853998817702879e-05,4.396689793129127e-06,0.0015084099198487133,0.0025534579870156726,0.0002818100688282421,2.696880880859176e-05,4.986969678044684e-06,1.643337266085676e-06,7.362982474140578e-07,1.617631278927334e-07
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8334223420844769,0.306386926114162,0.003663456696531897,4.050689954237548,0.13121383587256719,0.31787056408675646,0.026122614661024723,0.000723264252264072,0.0003651286633839512,6.437726748248496e-05,5.567785328564057e-06,1.5041689633121802e-05,2.0732700374281876e-06,5.816715332562783e-06,1.1068415695092426e-07,9.608645057390675e-07,2.5730748776875423e-05,6.786091303154218e-06,6.258365670142041e-08,0.00011879375174028706,4.112619026774844e-05,1.638484573879273e-05,1.7716595621664055e-06,0.0002741216257954038,0.0004447197834818173,5.1405593628567336e-05,4.404106238586891e-06,1.6734855837197138e-06,6.427161370614609e-07,3.1862221140654956e-07,7.359985221278009e-08
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035928651542846968,0.0007917408734103848,0.12850720962016515,0.008444928191439605,0.02738310865785709,0.0011403511424399326,0.0001252936603355348,9.136812899313007e-05,1.0081497211045232e-05,4.153918324867334e-07,3.070516520375932e-06,6.978951887504081e-07,9.128006721592641e-07,4.065160785771127e-08,2.444026219183826e-07,1.8147216085395712e-07,5.034364947142933e-08,4.544667087102994e-09,1.008702577909304e-06,8.626865946048667e-07,5.366934696660053e-08,6.183926704039777e-09,9.814023831378194e-07,3.973240339627537e-06,1.6766439037141367e-07,1.9826678299139644e-08,1.267873166455047e-07,9.543745405071746e-08,2.616716732184443e-08,2.916493935245512e-09
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8309813722917265,0.317978323507084,0.026345143735510224,3.910582021770402,0.13231921001628333,0.00021513122786198657,0.00019787348225891455,3.079966678287693e-05,2.4314326808605458e-06,5.000540192978686e-06,1.9106170079385976e-06,4.126775119059345e-06,3.3541966693029224e-07,8.986144055533885e-07,1.7269104291728343e-05,9.863350913921765e-06,1.615886586758819e-07,5.6250734571550165e-05,9.134292871193495e-06,1.4527139933689925e-05,1.3830100147327329e-06,0.00031233526748389306,0.0005686409906437984,6.925287705282501e-05,1.0330086053222942e-05,1.0449416501800979e-06,3.266861140355237e-07,1.3634775282433953e-07,3.287233507620613e-08
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027251670149019525,0.0010623107331375614,0.1258691196338091,0.008385490065082157,6.850661264490299e-06,3.888617347680423e-06,6.605328342068617e-07,1.0420206741912352e-07,1.569767789089127e-07,2.4758017413972766e-08,7.76791353462869e-08,1.0364162417175748e-08,5.827666793578601e-09,4.10015124518992e-07,6.447244822460618e-07,3.859217612145471e-09,5.433808998311918e-07,2.576374424911876e-08,2.0006601797462054e-07,2.8574926869140427e-08,3.592205628510925e-06,4.963758006182317e-06,2.3084705667031358e-06,1.6862941500939144e-06,3.3290616041625753e-08,1.699778162667087e-08,7.704042959133517e-09,1.7532237883699509e-09
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0984170084474854,3.5688202811292604,0.1222821372682279,9.626198986525947e-05,5.321047693959691e-05,1.6138962497136422e-05,2.437708719993381e-06,3.16000446121123e-06,2.8874008328738654e-07,1.7154860725149268e-06,2.3346864441720072e-08,5.197942947177125e-07,1.2273762106301822e-05,7.111144859586749e-06,4.038592349431269e-08,2.372103413458837e-05,2.2281543350377575e-06,1.213552636952775e-05,3.554945391393005e-07,8.524262311283837e-05,4.814138499442677e-05,3.730311694502553e-05,2.602865168510604e-06,3.2668935565083324e-07,1.1880199281277815e-07,5.099918018447447e-08,8.865954859160752e-09
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12370556705922664,0.00810847609817178,6.1897941678878965e-06,1.4677200899093634e-06,1.856770994734802e-07,2.8669010054827027e-08,2.8057177026141744e-08,4.253886132232765e-10,6.628739113168081e-09,1.000657334770949e-09,8.241016757892794e-10,3.9655242423108916e-08,4.423004029696642e-08,1.067319566061542e-10,7.616779829078268e-08,1.022408047113288e-08,3.5197827763511214e-08,3.9655145833705774e-10,2.039451356683486e-07,6.616195251663015e-07,1.1928279608497405e-07,5.2909703063264146e-08,4.00164124059188e-09,2.951729638489553e-09,4.536399034194005e-10,1.4293188854708205e-10
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1105853936479413,0.0004159998503625306,0.00023832597767520225,2.175045872432335e-05,3.37315564091778e-06,7.667113151421656e-06,7.538707736953754e-07,2.4964611095718015e-06,8.109817928314556e-08,7.129449124398946e-07,2.0599637150675587e-05,3.233841878585997e-06,1.077899778323399e-07,6.117852687384517e-05,1.5497189035595937e-05,9.307499091809612e-06,3.161959278852322e-07,8.51765964093032e-05,3.772008996461018e-05,1.5139508640557575e-05,1.4752304930976123e-06,9.30584719061045e-07,3.5385178298597e-07,1.8115265272566905e-07,4.513823759211277e-08
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.324519043448106e-06,9.560814433928755e-06,4.7098999389483254e-07,3.9836757004252377e-08,1.5857542523534107e-07,8.007202945137237e-08,1.8735182960583074e-08,4.736765202295601e-09,7.614873176464698e-10,1.7731922818953194e-08,5.2127367533572055e-08,2.330708959163985e-10,1.0454887000577173e-07,1.2853065278761733e-08,1.5174618228641634e-08,4.901410388669092e-10,6.2280304047313e-07,1.854393257838538e-06,1.2509868807519808e-07,1.7734187451878825e-09,1.9549053709155828e-08,6.992205259237494e-09,2.986008107441762e-09,5.565656824302323e-10
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.956133136414057,3.5238118251641386,0.1366273336990843,0.26788209076693825,0.02915655605193712,0.03353057912733759,0.0009020490775906165,0.003705382653477196,0.003917560727894759,0.0006487659096933995,2.8078643619977584e-05,0.00539866127577468,0.0008157691830843472,0.0004449339713228917,2.9733928534891874e-06,0.0006305495699283348,5.188991420990163e-06,0.00047721756894580913,7.171846615250388e-06,0.02956442095468323,0.00547184757123291,0.005252940728442471,0.0012985893729926534
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5343036174053597,0.02603069036851613,0.06984794952452128,0.056256113578888045,0.01006741390776067,0.0010871366117682912,0.0013931996492448917,0.0022811796252078242,0.0009346878796318847,2.5505487615262723e-05,0.0017549171088783733,0.00045149190197157907,0.0001362631632188943,3.1800585563734884e-06,0.0002047487108860907,1.8028769517286491e-06,0.00024590427996462605,4.784517245504105e-06,0.010606601630797241,0.003687394257781036,0.0015533376679913447,0.0003652552765556205
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7812486476658007,2.72215058309426,0.0978328761624967,0.18033646457390579,0.009087978146145481,0.025912190752842124,0.01506512838227575,0.0024303155362640494,0.00013934484517741375,0.014024591614144613,0.005715369168400208,0.001621312061310179,5.9251882500444e-06,0.0021332486924462296,2.5610422787369913e-05,0.0009429250394679956,2.104597849750256e-05,0.19591903658199233,0.05046646263931373,0.027447124304673956,0.005264368220859295
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09512153363027698,0.02728031515499496,0.004880005767658013,0.0017369733508905139,8.737568910799354e-05,0.0003526717597951423,0.00015819013146101124,2.082903939748526e-05,0.00019194835832148094,0.00020608436486369008,0.0001092425167508182,3.645975186650219e-06,5.991137792749068e-05,1.4266950973951253e-06,1.863931189249879e-05,2.598216896076977e-06,0.02479431594306447,0.05903167476729132,0.004048293975408512,0.00014891595017996195
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9947028491868288,2.5990224849913623,0.08453111161017235,0.0916850505311333,0.1718678700654561,0.03496530372312892,0.0007091221883823717,0.03663738130643343,0.0008510418257119401,0.004359509197905814,0.00015882169746106456,0.004176507854255995,0.0001628952766408176,0.013421147372172232,3.803124149093229e-05,2.644292200355573,0.2754441297487267,0.20918759519955227,0.053697141785234215
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07785841597154097,0.030780783365146114,0.003489644588465124,0.010862446968330386,0.0035003000742716006,0.0006384583899181617,0.0008135087862696233,0.0002716366260118175,0.00046093977612504666,4.374753896940753e-05,0.0004475884959228571,1.3689955196571901e-05,0.00042033293874688127,5.483738915623704e-06,0.11216921802693847,0.028158797642175548,0.010515172471180834,0.0007403949909696728
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.091121168337758,1.7189879862350128,2.7018848607316728,0.23808035279882386,0.014931757721620365,0.23354000121002644,0.014445478354443875,0.03568698643343701,0.0026172208972896627,0.03416807755736914,0.0025897018427003538,0.0211709050234795,0.0005312107959358769,0.19748260273146856,0.0431058102223649,0.030766859334063562,0.0019932494489915964
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024879967563281813,0.09680459692309573,0.02578806398250333,0.000688317003881167,0.016719725651858752,0.005753318016766373,0.0028869599984242544,0.000665008338150086,0.0015976145178683288,5.230183297211255e-05,0.0030102276230912217,3.24229520638486e-05,0.009244741309131665,0.001738870154652905,0.0008123853333688036,0.00014909644574157
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09406967798213639,0.018126910121442963,0.006063308141800228,0.025679749685706854,0.0006220908268737002,0.0018155122126291001,5.958252518256657e-05,0.0027314501711690475,0.0006118392225269442,0.00319730188838363,3.378619433580532e-05,0.012173015283093891,0.00220404640293137,0.014809222787487974,0.00026925742395689234
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7713393101964927,0.12540695146257885,3.548793701067983,0.12259203370437444,0.3401101750105698,0.02641329036262996,0.32725255611283666,0.02586724645302163,0.29816848111889205,0.004014377339634612,0.028759213165114733,0.007462430415281565,0.0047300940327651975,0.0004174358886397389
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.808606271823847,0.3276621939819934,0.028376040430208027,3.7089223612539826,0.1306542322051385,0.3134912607659955,0.0035596546502856263,0.3288032910846702,0.02705349749817243,0.0055199082497177365,0.002048623484469575,0.0006217154119861901,0.00017225317799385298
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02823109131425272,0.001551188523906788,0.12606100928867314,0.008261000981574895,0.0038815654010806444,0.0005098799014682243,0.026835759097415757,0.0012393869107421018,0.0002095668763149039,9.83733531769726e-05,5.7026076907273904e-05,7.155848562589995e-07
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0304070213444003,0.313291632796131,0.003549806481332629,3.7008267397910672,0.13043249062781737,0.3424372020586968,0.027214001978695057,0.006951458414515332,0.0018499824895804595,0.001199259908709005,0.00022613744045418827
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038225110930720785,0.0005180076178885606,0.1275605130778501,0.008289503473783544,0.0269770494923951,0.0012090654038117155,0.0002152987113852589,7.69735644586822e-05,4.930184176610286e-05,2.0630559625089973e-06
