 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,C27,H28,H29,C30,H31,H32,H33,C34,H35,H36,H37,C38,O39,O40,H41
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02322201358887499,0.03152280798613494,0.0004761703855578059,0.0029024478116403962,0.0006906118504346193,0.0010575545413709087,0.00034836125664683415,0.0027459485166005937,0.00622410457814504,0.0004328364520482797,4.736419701023564e-05,7.698485053753146e-05,3.6968150489702367e-06,8.179325530210946e-06,3.0259440226831913e-06,1.2270408422665469e-07,1.861459961283174e-05,1.8004247774872084e-06,3.3852497520747704e-06,1.5661301211444822e-07,1.066000785421295e-06,2.0572803771656822e-07,9.078969220865929e-08,4.2069848715797775e-08,0.00018862120838636365,0.000699984086133032,7.589232060056794e-05,6.791342894940655e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00884554159665596,0.004137263513445566,0.0005265505608458287,0.00016732669406338552,0.0004983034025589639,0.00014892459751236764,0.00016507397205978158,0.00040891042676638456,3.931418875802173e-05,7.320351955497628e-06,5.562487998655996e-06,1.0243688894906455e-06,1.5908782746709704e-06,2.392524994121459e-06,3.997570705571718e-07,5.630754666974269e-07,1.403831408897105e-07,3.048859624765754e-07,2.418098206113939e-07,1.2753592834036098e-06,1.5585273924756393e-06,2.012034228116022e-08,2.249853259250756e-08,0.00010238872440493374,8.295532123392402e-05,2.393379042353594e-05,6.781456196591762e-08
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.064012192455017,2.105289500671679,2.11285534211803,0.0026365416128927843,0.0005221174238373705,0.0011096234614970668,0.00023109007726485054,0.00014641605776535838,3.6906878081444106e-06,3.4570746049927825e-05,1.0285104786733612e-06,1.5167073475153003e-05,1.2384623816252827e-05,7.343448873431413e-07,8.348551668313497e-06,1.2182487796330577e-07,1.1350693402967238e-06,8.883155924177544e-07,2.950712705937497e-06,2.290181628006316e-06,4.5034018514300556e-08,3.8781981892554995e-07,0.00020401100760128466,0.00010293080203487015,1.5607385942750795e-05,3.7017243378345555e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02305925840769052,0.022853107919733162,0.0007844232897287196,8.581339544821986e-05,0.0004204125823643601,0.000160234766604761,4.182060257873488e-05,1.4622938235842042e-06,1.2242262236394907e-05,3.7951851505901857e-07,7.416018005690361e-06,8.101005419147711e-06,5.071673225831574e-07,2.780185255568668e-06,2.8309853794539208e-08,1.4734334929933368e-07,4.6376346873877594e-07,6.000950748541456e-07,5.083967895558317e-07,1.3884615013282087e-08,1.714842912114989e-08,8.023190090611365e-05,3.702656543436156e-05,5.16995465504877e-06,1.983378166592331e-06
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024075480648098502,7.496591367717187e-05,1.296494867997211e-05,6.369617066770417e-05,3.3183369334555124e-05,4.461412167477974e-06,3.173589120386566e-07,1.499356003575869e-06,2.5170188155954065e-08,4.6141175080727237e-07,3.025975825465821e-07,2.590005632185921e-08,3.9578645827376135e-07,7.68949237617278e-09,6.702731725205524e-08,2.1941044758833073e-08,4.3160099716388345e-08,1.629626522614558e-08,6.014888587202449e-10,8.79326345071263e-09,6.163635842826309e-06,4.4917801997890194e-06,8.326301315086937e-07,2.9301130766157257e-07
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001874128538468245,3.053320705426188e-05,0.00010014646688571993,1.2129262478843827e-06,1.3731735602373618e-05,1.3186270675369371e-07,2.3612583339716053e-06,1.3983748492485404e-07,9.843329218384156e-07,4.237997308642605e-07,1.1058903792715569e-08,2.0707859471613688e-07,7.071187857476957e-09,1.1330315352608977e-08,2.4862644609768836e-08,2.61664703349318e-07,1.5517014650967553e-07,9.837786363320333e-09,1.7373296135048122e-09,8.110385968818079e-06,1.6036426275789495e-06,1.6394955901777308e-06,7.543818931754487e-07
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.766765850722805,3.464480997945229,0.1380515837996784,0.26213797501937,0.0251911472267754,0.03272498334798879,0.000810040206133511,0.005979237732490678,0.005440770585069199,0.00023358554908736728,0.005468588965343885,9.443828004229715e-05,0.000934575383708891,0.0001119885567357759,0.004299343765589353,0.006673798747853343,0.00014358381431422984,0.00018695628397003006,0.030548921719422056,0.006687922470242358,0.005071259947522999,0.001381156687309426
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5461395629579855,0.025771592631946505,0.0641761360914666,0.04454874106184392,0.010341012593190674,0.0009808280574119532,0.001648282484119079,0.00026858811730678944,0.00022132027602839166,0.0018277573056463686,0.0001257252535467046,0.00021699546115994117,2.001724737477062e-05,0.01640234287301147,0.03980197227563831,0.0002667688796595957,0.00044881555381781624,0.01087490914894898,0.003840769182841347,0.0016913763464354442,0.0004938979908567509
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8303191198138546,2.850271531112603,0.09531180300532005,0.18119474605935862,0.008310391860019584,0.026302345982429157,0.017961592848455554,0.001788793246533027,0.030322050542710977,0.0009010694946756104,0.0035442415985618148,0.00043617831923237205,0.0021533855175000644,0.0010062861240942578,0.00016155950905383243,0.0002828215194599082,0.21179366354562262,0.051767159795768805,0.0287982027553952,0.005365995354733588
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09677421226532323,0.029443456453822403,0.004603476026787012,0.002420084162360725,0.0003663356623494485,0.00015378849045499798,1.2576385219231767e-05,0.0005148571273152491,0.00027062114541376303,0.00011563706795447715,2.1235999042579223e-05,0.0002403979771975484,0.00014237150631069007,2.1693087810970013e-05,2.2534630554904567e-05,0.023661846330988556,0.05021359105559031,0.003830907516919946,0.00013134515096124844
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02510854948045,2.7347681175708694,0.08464063364390895,0.1562629240170828,0.007319959903148154,0.02930157101078268,0.1642463759615291,0.010477717359256733,0.030167991016511353,0.004889305198774396,0.018281287976352922,0.005814438862475235,0.0018570117411924603,0.0004480817383438751,2.676401166045149,0.27220841703653303,0.21365002801373964,0.05424613728118133
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07651927241335266,0.03209969766255094,0.007502484211245886,0.0001516889069308469,0.0008445789075970378,0.006569246618715052,0.003320480095125866,0.00022283455580707212,7.51150748696805e-05,0.008137347878563461,0.008473102987672565,0.0005440663251246036,5.080028184312191e-05,0.10396791572468844,0.021687572928379972,0.012824421233208927,0.0013709205338268138
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0472188470238795,2.7815812841665934,0.08927999514208951,0.09429395287085174,2.8106045962328685,0.08225058637608407,0.0924849301693822,0.08651860539637757,0.15039334530358395,0.0057880987337277645,0.02983815041319704,0.007004374505478861,0.18599515500707225,0.039290142340714054,0.023419892466537404,0.002535167237248004
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09017766082167988,0.005248489550755409,0.005358872158940375,0.0831077667069734,0.03358891577012435,0.003054639994253705,0.006521749342985439,0.02772620486958255,0.0002609639721078416,0.0007218966850570663,0.0005436993511860333,0.01012913294509632,0.0050350764168544115,0.0013733573955482248,3.93823729170073e-05
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.065991258230701,2.113652440958967,0.15966237359177643,0.005020620529241571,0.013364882854311033,0.030310100540118623,2.92280167353519,0.08180328668609216,0.09500566194450166,0.08338225592796544,0.03167134374156949,0.007580278114466495,0.0038118184307113917,0.001087664874268257
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022473893615002183,0.029857806934867615,0.00034351036139956825,0.0008950154510898312,0.0016790424954948868,0.08548123127757978,0.005386589806211983,0.004367373472948799,0.033539514485338984,0.0010105145577301577,0.00014341370669379572,0.0001603454710426,3.130029948250623e-05
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009855314334401788,6.337158670999266e-05,0.005657595036498098,0.00043086478217269075,0.08046992093563843,0.032573670736309124,0.005574704564208277,0.004064172396334609,0.004672128482478444,0.001479678200356993,0.000792829094169889,9.252678179638707e-05
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0312687628292947,2.1775654124410257,2.035678180863991,0.02177580934783499,0.0003855349622335913,0.002068969844147839,0.009466215462310634,0.0243506451980611,0.0046229968642274855,0.018952562044998053,0.0009147141627016131
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024141567067337943,0.023728629457481665,0.00735136574991424,3.4433454831228616e-05,0.00046346923579942967,0.007926514115215166,0.0013190157672131608,0.00046240774143979646,0.0023936276910407894,9.00442482312247e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024779951319701787,0.0009119600262880168,0.00013328492755104726,0.00012051109242627867,0.00026596034341941355,0.0019501917665019075,0.0006039360954528394,0.0019954419648071653,0.0002229113856035969
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002695465735014224,7.756878166920167e-05,2.78971739420264e-06,0.0006031835556439269,0.012468278443090064,0.0004928490472986269,0.011117958356098079,0.0005311505399285821
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0835666903831487,2.079804191704082,2.1159003397316702,0.0028699063026320915,0.0012867946186186294,0.00037530528294978105,5.930343477023037e-05
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02520144916728806,0.025209285486592847,0.0006812569778960054,0.0004071121483557594,0.00012547274042962187,1.2211749064849897e-05
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02337179739013151,0.00045918736468553156,0.000288907493056878,5.326699373586763e-05,6.4737870240083595e-06
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.188695223714348e-05,2.4641826225968444e-05,1.4222552394915766e-05,3.953599831296728e-06
C38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.938240580578175,3.416223018078559,0.16962784948993048
O39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5203232477101905,0.06752731543832924
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7032467597890333
H41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
