,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24O,25N,26H,27H,28C,29O,30O,31H
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.224066794220674,4.830200216454906,5.098330108546577,5.004133374457567,6.504936427132588,6.877300141974031,7.060328914479815,6.32530150549902,7.757213367096767,8.031230080844063,9.184699749726288,7.685100727212035,6.748129650045673,8.451249714760674,7.372130599931449,7.146880169820979,8.654081250638141,9.219608051583675
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2375060336500803,1.3519405005920353,2.0688109200869764,2.458760567385208,2.6816111158379727,3.2134407984358546,2.8777924761666998,4.110910427775102,4.071626443870913,5.274805029018066,3.770557607407522,2.9264413769160456,4.6668434369291045,3.671129871410944,3.9988674071846475,4.762503154913813,5.516453131081365
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2736869425277866,3.1827461265058363,2.8069424761741875,2.6788617823972447,3.229212278946166,2.9054879377028664,4.279607397530356,3.6150452868017635,4.82971677650647,2.959116435274793,1.9825970033561087,3.7244636367755275,4.2468630379165555,4.844779023504649,5.100474574770349,5.970037077558691
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0137910756940485,1.4534889413996737,2.0833450726382976,2.5323458427614307,2.5053787632934967,3.214225044290058,3.7108862700471033,4.814080049274211,3.8191805659662075,3.2529911884227722,4.809668899340768,2.389854078381591,2.669513395145442,3.5866729827287775,4.2643056124348755
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.107284795536071,2.8555566657227276,3.1980337435108876,3.1660153096824324,3.623358997545636,4.53428666671263,5.553661171852645,4.7858532490814225,4.262353003336209,5.784765216276613,2.417535939827577,2.2023795159275346,3.7488556061146374,4.22609797564196
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0959987722703124,1.5672008256767296,2.165811404650641,2.2150583320852517,2.611846620997085,3.603785179629092,2.9890812591823788,2.7909787167978815,3.9665916898032485,1.521600619577777,2.427121348412104,2.369246765182361,3.2094642776729088
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1780342034269733,2.8496015702445288,2.957335885794498,2.5813541302123295,3.5970144693031667,2.556392155832637,2.3600132946175694,3.43115854674167,2.1295215290082394,3.128636005014176,2.5817701144789598,3.486207829502529
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095358009103196,1.091894322358491,1.536349080253853,2.416346830090485,2.436006596260953,2.5752442305750667,3.3627556751679317,2.5442356382993823,3.477254075036753,2.9482202116765697,3.8038162898400385
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7676687500020365,2.1510132454917374,3.055496793455109,2.762618341799281,2.64331756489115,3.6702967480057778,3.2943395960125947,4.002200697542788,3.9417360873502534,4.748631913244932
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.123875011213531,2.4950925102449655,3.3210812851153775,3.622304781588361,4.143315785953542,2.5509970975288545,3.373611674857375,2.735631783581247,3.419161468584253
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2227247403567638,1.363582766250717,2.0775551414840483,2.036507611057402,3.6113310408191333,4.726254651894806,3.5533603617561798,4.474820105447809
24O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2843462905771825,3.1826771722885514,2.5159245899434586,4.283132830178603,5.405728011289611,3.894000668351358,4.702037644484215
25N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0186166543066497,1.0106995262319787,4.2562386964436785,5.357963880382556,4.329506393755098,5.300879414644562
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.755283393056331,4.232551006665446,5.2129707563232355,4.589507185005332,5.5605781696930165
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.162865055374353,6.299905550709428,5.077630386369102,6.031529921147486
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2138843606477332,1.3426334722681736,1.8785153108211636
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.256444878750429,2.30778049593383
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9764809798379301
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
