 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,O24,N25,H26,H27,C28,O29,O30,H31
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0239131148274154,1.9926269867501987,0.037268789514974726,0.00770376334021898,0.006650472116715406,0.00039547151870344965,0.0014330104983766578,6.414729705306321e-05,0.00016822042816057314,2.704856089463803e-05,2.0894092582546264e-05,2.091588681349399e-05,1.1377457158678883e-05,3.643797021132822e-05,6.361391107578829e-05,3.973660700484771e-06,0.0001919221172916319,1.3052934824259177e-05,6.277418908663679e-05,1.8886016503461e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025858891803610895,0.0032244009867208323,0.0006374098899760705,0.0012075480700928232,4.306050529856442e-05,0.00020732224124864196,1.3304027771221527e-05,4.766051768823054e-05,7.360254511645792e-06,6.438156466836986e-06,6.699343658267409e-06,2.9489510869895597e-06,1.1261796481254471e-05,1.5282212656675398e-05,1.7494760575775814e-06,2.1805316473111347e-05,8.824791065675797e-07,7.993756688362552e-06,2.823160278886405e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009138795614851425,0.0010347005289677025,8.363478796913348e-05,4.5585800019454226e-05,3.0659285081835463e-05,5.284952877104843e-06,3.7581449714441106e-06,6.138008608047585e-07,7.4938595728824e-07,1.3714476045922908e-06,4.059530184230553e-07,1.281554324594758e-05,2.1244128379782623e-05,1.0173028646143223e-06,6.718130056038163e-06,1.4020157887983942e-06,6.688617585348666e-07,3.3424946099813724e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.910984227919808,3.5560635743196944,0.14405175372503654,0.2742811555521162,0.022550144996487553,0.03529361560349936,0.007363589782879876,0.0016441477052944187,0.0029699354649813103,0.0017139008468420869,0.008080284311867234,0.01915044930479004,0.0005756993221893714,0.029261590776785612,0.007289355529149791,0.005754972277586062,0.0012750137579727872
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5454170432660901,0.026185392362487514,0.05981302219210252,0.019988462795224482,0.019092665681127108,0.003606667662119145,0.0014931617681854803,0.007021592042694924,0.0026224698679095243,0.06130136933576219,0.18213405491800239,0.002176706388188454,0.006836841105311825,0.00405085962574861,0.0009906813324948999,0.00022798406396229431
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8606068532534992,2.7787896566198995,0.09789358530667192,0.1726957346918604,0.020088154867402452,0.005563224255083599,0.01777004513763758,0.006285369664315976,0.003399719762705894,0.0011504969945118626,0.00023115375962867724,0.19913894416649555,0.062475968549777314,0.027727369992157774,0.00558843384003338
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0979540695784552,0.01651140110814109,0.008348313823380415,0.0007041579099482664,0.00010294602194083069,0.0015799306392616508,0.0004977913904885556,0.0006635209618234272,0.00012929307601328155,1.8204111858599603e-05,0.03735961848649505,0.08891841666442513,0.00592884766982793,0.00017453733748862277
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.013693925207319,2.711151242456995,0.08661290591191029,0.07824566327775928,0.16340913839471394,0.04091263498906651,0.0351228111987098,0.006414882243812148,0.0020935922223366266,2.731723349956784,0.2805422817286408,0.21940776261330386,0.053444337892620375
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07220574503577193,0.0057699369171071435,0.014616393488996016,0.023161901806433405,0.004081453493704479,0.02676563218240202,0.004625929089479008,0.0002458755060026352,0.11603002152693831,0.03018740311398116,0.010671732688947722,0.0007956389215557635
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9640098837664166,1.688986015519824,2.564904204310312,0.2956676800010324,0.218569675772689,0.011904200772652418,0.044828371228498254,0.1954271969978354,0.04267033758803494,0.030629674490169664,0.0016235287669227327
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03086642230467951,0.10371508900241855,0.032324685153199195,0.011303173325311056,0.001529825983102473,0.0002253663385571869,0.012766100440431583,0.002108061915684467,0.004424150033928043,7.761990332721957e-05
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1003399805325933,0.021680113334444417,0.020785079633978243,0.0014043778823149555,0.0016642066157601665,0.02746921232480859,0.0031123144150709825,0.007413372635391546,0.00012071011706349388
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.721289809869655,3.23895101903156,0.13204752343343862,0.1399962827975827,0.0123110990072694,0.003981166468867231,0.0029999350641361083,0.00029705541772939714
O24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5525244616871321,0.02707443018923017,0.027342935841929705,0.0037213831408863807,0.001835771418449629,0.000892815287214993,0.0001536004606256247
N25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8108922391817512,1.8536017203758415,0.004757046374192941,0.0014352702769723225,0.0005291055091758423,3.5759840434912427e-05
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04107971098768304,0.0003618082386346311,0.0002726317117567323,0.00012196907280614955,6.520302962220725e-06
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002647462785785315,0.00014794581225496817,5.356363716502166e-05,2.0746011017980237e-06
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.151346921914315,3.5410063342890252,0.17672580324425757
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5133300535817769,0.062132852739423594
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7692977524724005
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
