 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,H18,C19,H20,C21,H22,H23,H24,C25,H26,H27,H28,C29,O30,O31,H32
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5388173534140577,0.02614617787378437,0.06410742396007653,0.043831597934578914,0.009632411407888938,0.0009800647666377005,0.001354095166120839,0.0019707811396995623,0.0004188865034729927,0.0004758655233149528,4.061666093857497e-05,5.968457420180151e-05,8.062433604405506e-05,0.016732360578430833,0.0002711461625097833,0.00040647402711013747,0.039912501735312134,0.010575975015639644,0.0036785777564653788,0.001634392226308845,0.00039835997036952175
N12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7838879591099537,2.746977505764948,0.09554409596573388,0.17784885839422568,0.00777029565373355,0.026394168719500843,0.018881562168399285,0.0131090155730742,0.0028518498937363246,0.00028825304754698244,7.207213936855084e-05,0.0005891541459088767,0.0021095497444919425,0.00015456852503392682,0.0002780305185017262,0.0008954014850108827,0.19534504190283214,0.05135437895460229,0.02807436505163277,0.0053029926550370865
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0962408859485856,0.027112913644854242,0.005011202827484795,0.0015769466178763292,0.00010210735195537168,0.00028245337376298085,7.905361416415957e-05,4.551155793586226e-05,2.745087353428488e-06,6.846932775861347e-06,2.7723564226089792e-05,0.0003174494831253982,3.2971642109913546e-05,1.6725866478273232e-05,0.0001849783323226717,0.02687210272290541,0.06335894250991436,0.004410552892932906,0.00015136017643557764
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0411794142056676,2.4392864740604483,0.08723496260683294,0.09181248887119486,0.15527636541523487,0.007810483502510346,0.03330341347648755,0.0046657329073425124,0.0010146686359919777,0.0007278581244725135,0.018556042604964545,0.002092014372113038,0.0006640701860582965,0.006687680029738408,2.5808613108340546,0.27402159204002474,0.21349123819516225,0.053491140616089505
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07997784922025619,0.032121483688357655,0.003804879226391389,0.00771709535206655,0.00013262290103877028,0.001214510696762483,7.975710282082105e-05,0.00020053280502851933,1.7954746379666986e-05,0.009654791636576565,0.0007288608651354611,8.2409893897184e-05,0.010666657550296943,0.10712242972690889,0.027335457937977092,0.01064181355110172,0.0007953583985091939
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1011925849380613,1.9036798449501982,2.6804644872950267,0.08432755437468509,0.186738643894604,0.030577969911081304,0.010661799617206036,0.009641455239363994,0.1570101025011285,0.030755888266982723,0.01049123139230157,0.00515045091442401,0.208371395827431,0.04338480160006675,0.03075647545634952,0.002026784999161868
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023125314488575466,0.08339488441886656,0.0037325274124828667,0.013935572330038282,0.0009633432451792157,0.006296109444588582,0.00024002816142099093,0.029606128947515353,0.0016134692846725418,0.000517551139118666,0.00030739889846698176,0.011156812154265339,0.002104182712339142,0.0009245523161637292,0.00015069015752766646
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08031776656430178,0.03541078763784422,0.008257502101743253,0.00044566194168460527,0.0001787722448050033,0.004062193051837637,0.009976518810132173,0.0005270955112928188,0.005110285568192596,0.00012073644616816814,0.010898326878283404,0.0018523634926089771,0.012631305776655388,0.00024750874841461545
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9071327610398172,2.4963171549210563,0.08671808575474693,0.08390238359349267,0.08050318345077301,2.844660248314542,0.08687341328632336,0.08085908905095285,0.08834172520642669,0.031106364780569717,0.008012438900753996,0.005293133331097322,0.0004122681514887594
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08039477294410013,0.004659806150755008,0.004423854284619333,0.03498915727694696,0.08137806244182155,0.0035819519598370153,0.034683733588542154,0.0055588725769757374,0.0009631994543213285,0.00018196948574078498,0.00040694900141147183,0.00014494327002601004
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.994421594613643,2.103179187788953,2.0006692420965777,0.17427933404657336,0.012071004997973755,0.007552305473523813,0.030242194644238163,0.006332809120988742,0.002050223669911061,0.0008122537054445628,9.032983522139215e-05
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024029911757061706,0.022991826141034233,0.00983251718652789,0.0050170460724798804,0.00013941978442111314,0.000629980111079842,0.0014438511449421654,0.0004839354382253358,0.00020601691074773054,1.8551261347754533e-05
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02272012118008604,0.0315007975739281,0.0009255268090728741,0.00037702724752364247,0.002717523155190804,9.278095722731194e-05,4.812350473604177e-05,1.7432310384757344e-05,8.465348646513604e-07
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009037457065147914,0.00018305954260222634,0.0038049507589574816,0.0005173015150576887,8.851422984301749e-05,2.7120865053076315e-05,5.0511165320510365e-05,3.9454643279146495e-06
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0027849513618916,1.912019684750059,1.6868477413392393,0.0030110660152525837,0.0011812053317158538,0.00038504642956870005,3.6686946532804576e-05
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022873955188307038,0.025866261132930113,0.0005099508804762287,0.00027782149290001,8.954744630496059e-05,9.288655795636203e-07
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02477956215204946,9.005915515003515e-05,2.3977875050373854e-05,4.5763629425099595e-05,2.959748630626535e-07
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000728273762093945,0.0004070951180820126,0.00011437200462982577,8.888146919350248e-06
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.203398004746476,3.310214914788206,0.16588732144741014
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5131218929463355,0.06598506785055946
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6201592270381724
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
