,1N,2H,3H,4C,5H,6C,7H,8H,9H,10C,11O,12N,13H,14C,15H,16C,17H,18H,19C,20H,21C,22H,23H,24H,25C,26H,27H,28H,29C,30O,31O,32H
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0948758575011603,2.907600811316435,3.0197746096631977,2.906973743342739,3.918771858012947,3.8004054234278373,3.385161231513213,4.966143028513967,5.697479749827874,4.844218657374439,5.610401069982281,4.695565677146141,5.494649045587475,5.322937639638833,4.366255611641508,2.4886871584352783,2.321274085721128,3.8220250160368483,4.306863251580839
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0935418462024356,1.5507528066627594,2.1595003437924416,2.1600580487888794,2.609708517385717,2.79718965314966,3.9326480141806432,4.769999664367107,4.182554943759111,4.279075786684695,3.1588329604961958,4.169816423597373,3.49913351846444,2.8848156325394783,1.5240567208653488,2.430545546230705,2.3855325534695186,3.217851530746418
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1775277945295106,3.06650153392306,2.5107019075713084,2.8530766216466827,3.130072417352104,4.288871797858862,5.006828696893444,4.775479226411889,4.547951427726011,2.82405655123681,3.8428928142151686,3.075979572653618,2.2730533744006554,2.144541811627119,3.1744181278988175,2.575190463567145,3.4888160269514765
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0994851604522986,1.098204646822793,1.5413059463182688,2.1471967279503743,2.513672326161624,3.478504543376417,2.754309553268383,2.7888141649607,2.5600827234053645,3.5076710604406496,2.803036646623633,2.865875900810497,2.509779783348426,3.3860445255530514,2.9981243469969354,3.8263904851490014
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7641593636219277,2.1679816677509858,2.5078876973237247,2.6691762961920364,3.687355247488838,2.4474799432019645,3.0238245668523716,3.498759145219136,4.322845954222767,3.7843455767851606,3.8732153208667106,2.715836091070809,3.253136805195727,3.3754628614086264,4.013040269742413
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.169487180178514,3.0581386902960976,2.788352106362948,3.7958662297298558,3.1459440272553407,2.614353705386452,2.789151471597911,3.7754384037815862,2.5827273595828677,3.2075108322055335,2.684848394086896,3.702190155136206,2.6436461197172054,3.4570651053541805
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0990239427603694,1.5375013292798665,2.18378981351409,2.193505669091657,2.1867746703487296,1.536811257261319,2.176915794132735,2.1862831963343736,2.1906413435789984,3.9214143554180767,4.779386244197077,4.403849335170161,5.294554639863151
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.147534170071602,2.4975303879730704,2.4997127567977833,3.0725373664166513,2.148980016406471,2.5193472014127436,3.0729656308720945,2.46848081562526,4.202191979885773,4.873795151530012,4.955776870461096,5.817034418195544
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0964225270552588,1.0972135624434216,1.0982880250429943,2.5337152754186563,2.729473527981522,2.8402300994778362,3.4924536921156757,5.0166505184928925,5.802196989738709,5.365718783358402,6.172573029535824
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7728468154383614,1.7705501111807909,2.770183208701081,2.5106769570738656,3.1890153485303148,3.749447356714567,5.980950658146151,6.76990058107446,6.358005755624748,7.2003352546955375
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.772948321764907,3.498165045742035,3.7447305964158093,3.8488816212322208,4.34891448078695,5.097222811562795,5.689973302151197,5.576254438901228,6.279763368162627
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8097784806036303,3.0850152202863668,2.674177649545192,3.8408363470716242,5.176764665179114,6.055505723855301,5.251701325651022,6.023209664496694
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096838707649375,1.0988737794985197,1.094305432252666,4.517709499418951,5.554338275798988,4.7386012364508465,5.705282874457682
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7703090423105665,1.766043628036314,5.5778772390492195,6.573168548965566,5.834856346682865,6.800300276934001
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7832253691559494,4.619735050328234,5.757317990471832,4.522874866074415,5.466151104458455
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.278282258863011,5.296313762642761,4.571477647488706,5.5437678976227085
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2137212172891805,1.3492620249269445,1.8770700813814771
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2539948876333926,2.2903577682694323
31O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9767561883085935
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
