,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27O,28N,29H,30H,31C,32O,33O,34H
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.92582466325297,6.8008514785090135,5.506076088532961,4.87558846898951,6.098915209799702,6.147789740593441,7.616582513436236,7.909734856284621,7.939710005998395,8.645554568145972,9.586183903269257,8.643913129414862,8.04174230601513,9.462964821552182,5.600582337606758,5.7856818614180385,5.4501455376368275,5.458714499977462
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2386510495699476,1.3536532668971766,2.0387778590810828,2.450630381719717,2.616501478014545,3.256033259411358,2.9663593476691608,4.166184562422209,4.079454802377682,5.287846842221363,3.7504818266304536,2.8900254985274776,4.639272824159842,3.6911577084902967,4.640034337750917,4.063397671204076,4.984635197160753
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.279325924051747,3.1645308567592934,2.7926662775500315,2.577400812388206,3.3065134728288914,3.0719315828167195,4.363656629346323,3.646973613596943,4.863658385061133,2.9478853258511464,1.9606930380590126,3.6999729023171755,4.226018782219406,5.009333145382495,4.8790992802751045,5.787015275318083
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0188369847177183,1.4611875195790802,2.0830488777103167,2.5282130558519103,2.490347255707268,3.2178237396150515,3.7036611733380167,4.811430685619044,3.811198037544086,3.22201653432084,4.797052716151799,2.449324327581158,3.5158315090811056,2.712007643750944,3.6428015613999922
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1558793289251867,2.876642812923773,3.245154237004861,3.184698490436204,3.6931525655853337,4.571537230165535,5.604669428756139,4.802250812408814,4.240572170263894,5.79438089575601,2.5620587385005598,3.6630265367739105,2.3557521258077116,3.224269343554896
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0924999748942161,1.5686538045230531,2.166474635938501,2.216838766599796,2.617181805537464,3.6129154645674464,2.998628601436213,2.763024187655673,3.964225830737741,1.5204492058555708,2.4242916187383567,2.390276018318499,3.217331641146533
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1836252266633194,2.8595051321326803,2.9602728940403917,2.597975686265699,3.6188623804056257,2.5822275800924213,2.312505981958168,3.4344493460240515,2.104142457141537,2.549947112979852,3.2571478496282937,3.9580455288216005
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0956068167600468,1.0924730464957328,1.5360900314300938,2.414894211507455,2.437570489306635,2.5869229793892945,3.367324024271729,2.523458484762577,3.299033464297668,3.142378246351318,3.9293689917613452
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7624671778522498,2.1533683351874253,3.0503546794693315,2.7706937551910844,2.69811096829285,3.69444521749945,3.28603147755995,4.235997263650983,3.6014714534332284,4.48404515042937
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1246509452537596,2.493344064431033,3.3222676170780905,3.6338243602821167,4.146784151321983,2.5244262346798623,3.2039596519981384,2.8913739495732904,3.5158514460116517
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2239243019654442,1.361544122293862,2.085094764880799,2.038539258335154,3.579265818631548,3.9692035927226113,4.488026957532182,5.168445236909829
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2828231821670015,3.1922916790903764,2.517992540435721,4.247915160386525,4.425529911216465,5.115012196491593,5.650742407979905
28N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0190135126594406,1.0102644973241395,4.235163479788477,4.609162458868581,5.25508765252228,6.00390646272462
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7597913827897427,4.178268589410902,4.701610156970049,5.130777741448208,5.9566009110067695
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.119204736453039,5.349728491611216,6.19716944820104,6.901368024166845
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2079213138304714,1.3587235380527736,1.8799284115733483
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2551865521186474,2.28565604912374
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9763629679532794
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
