 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,O27,N28,H29,H30,C31,O32,O33,H34
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05686883468946,0.6289757904586413,0.029635070614522308,3.2898747791113014,0.10814433505377674,0.0023567520198849168,0.0007567675543030394,0.002353100109846226,0.0045593973062553195,0.00030806086026646806,7.025622785639118e-05,6.473548704147292e-05,6.599104752869067e-06,4.491156322616874e-06,1.2582826164397876e-05,7.867388670659836e-06,3.6697638169935765e-06,2.1269017651537325e-06,1.974403428528504e-07,0.00020616955628316447,2.8814478720190495e-05,0.00032796227232477493,0.00013870641368007863
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03020260513911288,0.0008561832889748544,0.09773834996316855,0.004600456481969717,3.878573813409503e-05,1.0009696449930772e-05,9.660903346020433e-05,9.27383035411733e-05,8.649784207781508e-06,1.2479578888058285e-06,2.172327824290221e-06,3.292272432453558e-07,9.356370544999493e-08,4.4859007330977363e-07,2.3816830052592053e-07,1.4350322286027506e-07,6.737453150940098e-08,3.4410898575032434e-09,3.45047795335951e-06,1.2012876067224454e-06,1.1380266555782725e-05,3.2281462880590084e-06
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.072573188022414,3.5304989652975074,0.11829435077991168,0.0017825887725742284,0.000685978777215171,0.00984844939697016,0.01793546960874315,0.0010019437091027816,9.157005549809139e-05,0.00023465029280250738,1.711041219487619e-05,2.4560355292413405e-05,4.317381990487368e-05,2.4227201137344556e-05,1.2787464487767908e-05,4.515922967573971e-06,3.799305284823973e-07,0.0010302102726067186,0.0001983829590867653,0.00276898738185731,0.00036338087216158943
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10507851856386519,0.004640357493887137,3.364647618475658e-05,1.3194698427310136e-05,0.00011797016825265683,0.00014734509617753133,2.1293995519755526e-05,3.5940354972119337e-06,5.182138968606864e-06,2.6736818470318724e-07,2.6207543712963854e-07,7.367789571777195e-07,4.840342100465023e-07,3.2826136053820676e-07,7.162440596175657e-08,3.2233782976121006e-08,9.985808610157854e-05,5.790093743562874e-05,0.0006487158042800534,9.489774164994635e-05
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8868335034523587,0.0011195539940731247,0.00041841741224159235,0.004145960760238085,0.005661120469645287,0.0004471524915226066,1.8009604788149502e-05,0.00011321229430519275,1.176911457634322e-05,7.856063461431084e-06,2.4736766037258828e-05,1.3434437890522122e-05,5.850060281253899e-06,1.797716173923547e-06,1.4632804135050748e-07,9.272340295898851e-05,2.012367147935512e-05,0.00015646902214068448,3.60737759446117e-05
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.678395685757785e-05,1.869839483437108e-05,0.00021354479267010618,0.00021535559812413396,3.347879011139643e-05,3.3981948475148016e-06,5.083789345716738e-06,7.104582231409751e-07,2.5555974758617594e-07,1.4314097573908668e-06,6.895424161657004e-07,3.127558402260533e-07,1.5975530454070963e-08,5.835960381617156e-09,3.2515430956614466e-06,4.195185180355665e-07,6.599515894656349e-06,2.622905750371274e-07
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.248206876137303,3.573762981521007,0.14584635707746707,0.285409521104463,0.024982802223000977,0.03589683101184976,0.006172000875829253,0.0015596229058612021,0.0032105254716029985,0.0017477857588622525,0.008335142282775071,0.019878414043868142,0.0005927970146206718,0.027218400010039973,0.0066760842861330605,0.005480698999493688,0.0006601708984077526
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5338527967038386,0.024327969444993602,0.06472705868213693,0.024713808617861877,0.0158680524073547,0.0013851873260470882,0.0010334782054574054,0.007591627875975768,0.0027379363202268137,0.06470871266869098,0.19659027536279972,0.0022687754316537134,0.0074513577556525185,0.0011499265690425448,0.0031525681126176597,0.0008269312372014559
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6088175871080284,2.7770632836344826,0.09900133857869997,0.17555252372952437,0.023480310363291235,0.0059350087347578295,0.0174001330706694,0.006120046860431189,0.003395669919222577,0.0012922006936425534,0.00022897957862721974,0.1779935146101231,0.037413382977611945,0.03691496583266268,0.003315647540393707
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09306734860773336,0.01441533600902356,0.006958508756097936,0.000816803411777034,9.454319962953761e-05,0.0012883120968103512,0.00032083926937087615,0.0004992386725427567,0.0001482498254263831,1.3737339631614276e-05,0.019105274959217988,0.002473548334637532,0.03758206982786361,0.0007889338680324709
