 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,O27,H28,C29,H30,H31,H32,C33,O34,O35,H36
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.974014625219699,1.875616040725838,2.046816046854711,0.02130439490043093,0.0021594491558859508,0.0003969776808711023,0.008959302029798222,0.03229816651790071,0.008045817064962546,0.013218297610106483,0.004143914172736185,0.00135315528034613,0.0002102680620503783,0.00044385191345783226,2.464349370912e-05,9.648151637928204e-05,7.218660810237587e-05,0.00012350247369667666,5.5008738276685065e-06,9.119923721501166e-05,1.0670200135565189e-05,0.0008690324917944858,0.0014219784000041452,0.00016583781823235194,1.495041081078785e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025146284384295337,0.024337930250472706,0.011099188404382287,0.0007270181697576206,5.091290330860865e-05,0.013327931555318973,0.0021271391987627286,0.000315318067923509,0.001585272066628507,0.0006002466441863419,0.0001480996677949431,2.584134948957484e-05,6.177883237357129e-05,1.2796940382919786e-05,8.206767995955211e-06,1.5955349555563103e-05,1.2313884113490658e-05,1.1259177934430653e-06,4.875237547885547e-06,8.60662141555224e-08,6.804206613653108e-05,8.605690737961691e-05,6.812008348511256e-06,1.7489841541706852e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023006677366962824,0.0016785351803121351,6.283097568493545e-05,3.230103458551348e-05,0.0006196183135083189,0.01826470358055321,0.002580164393401585,0.004068443300633717,0.0003563849209686776,0.00055318629934753,0.0001707034026221521,9.889324620204754e-05,2.9641426037452234e-05,0.00015428557012275856,3.0280946769600803e-05,8.273117937340757e-05,1.5946960509882757e-06,6.399770279696959e-05,1.130819583106124e-05,0.0006950891771271284,0.0008921575541109839,0.0001582338961172436,2.3804994402354396e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042585606217659944,5.357314236209554e-05,0.00022756360346565252,8.141039426234897e-05,0.0012467140160579149,0.0004664914635643669,0.0017852977959873506,0.003220455489918894,0.00022102830807702034,1.271121394386121e-05,0.00010083524835402535,9.154191939364509e-06,6.628749903869746e-06,7.606494341727554e-06,8.978625512190419e-06,9.559721421137368e-07,1.038462170255272e-06,1.1407394933105053e-06,0.000304845144808219,0.0014301583402758222,0.0001249387108064326,6.704774918375733e-06
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.828081829274292,2.0378821755977166,2.1433967178742623,0.006355297942680027,0.0016973931734520636,0.001422680481392699,5.566884585073151e-05,0.000248407679421192,1.56199900624987e-05,2.4078056253429292e-05,1.2962537794258822e-06,4.867780185172088e-06,1.5825793494572693e-06,7.546584420869973e-06,8.167338669817781e-07,6.3978321318547415e-06,1.8953526437215373e-07,6.731907640997181e-05,6.972649747014059e-06,2.1250530252620026e-05,6.4480469599281776e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023324037703586376,0.02329769584787389,0.00119885043067125,0.0003016245818487917,0.00027916140738204476,8.817415476869428e-06,6.360094206603328e-05,2.4265376055154775e-06,5.980663094318217e-06,2.0314087567641081e-07,1.1597734667079251e-06,2.982542159912782e-07,2.434547623053618e-06,3.856886565678508e-08,2.0716886592886397e-06,5.969648264603222e-08,1.6682469070161687e-05,6.223128502513831e-07,5.216569259225423e-06,1.7060076955566217e-06
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023031631592652424,0.0001001630818464605,5.2682720153685025e-05,4.213840637734556e-05,5.531560643312616e-06,7.0601169301909295e-06,3.794954772651238e-07,7.370487165037076e-07,2.529791309768825e-08,1.6792588675151876e-07,8.420548169851827e-08,3.2013191963997656e-07,5.686918003178221e-08,5.3055027926518505e-08,4.717955959243625e-08,1.4719237908522587e-06,1.6358519128178983e-07,4.47296536365549e-07,1.471681592146723e-07
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014681392426840745,1.3642680238401539e-05,5.5364997070039834e-05,1.1139955105932131e-05,4.398426774132602e-06,4.0205446039109916e-07,1.886091014480229e-06,1.4462464315023738e-07,1.707066895617615e-07,2.6802155028704533e-07,6.511938244191384e-07,2.030969215027767e-08,9.222532573183173e-07,8.23436430152924e-09,1.696337388557012e-06,3.305297654021544e-06,5.206162266846448e-07,1.1511056330348879e-07
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.958391878252439,3.564396798560677,0.1384239007005641,0.269437026418177,0.028872756237534603,0.028479765023537912,0.0028603006605620873,0.004612378639728798,0.003995632317464026,0.009938630689923095,0.0010437684735824515,0.008596324387126986,0.0007297937542507515,0.028582377422930905,0.006902885758929528,0.005458406907215094,0.0012254348849092267
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5263888034666948,0.02759068803255027,0.06842926631401053,0.04345688395008784,0.010011223517998519,0.0008237765427359101,0.0026688407159245198,0.0044776768195430305,0.014003976768078852,0.0059887686138823115,0.00396161532279149,0.0022996586120411777,0.010027607829171309,0.004487003602647019,0.0014600490694908833,0.0003041331459309182
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.733083344969617,2.531504472722776,0.09325233969363866,0.18048168326992226,0.024246235007581163,0.030918061873642558,0.0377706490271319,0.01845481983879796,0.0006786874323718717,0.006626543311276656,0.0012814643721617003,0.1916000513003069,0.05962875874683053,0.02708419880838691,0.005245675790280013
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09560346803534459,0.01946970510134105,0.007753870606123425,0.0004494898846534312,0.0022462653394338394,0.001362980472899844,0.0006166806177261286,0.00012788453393963728,8.29841283367383e-05,4.9058798469170384e-05,0.037619580793533,0.08727965280280203,0.0060380469642757895,0.0002070985166160444
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8952839561869135,2.7110354666581973,0.09454100515985209,0.20541529350782023,0.010608346325427065,0.16286718781884146,0.0065661310914229,0.007801413090916531,0.03037124617717235,2.5479323237515845,0.27197505371845476,0.2138632116550632,0.05332386912345011
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08545303776279267,0.003161919020184367,0.02594181458808409,0.000750750793387045,0.008075098571037165,0.002767867008220737,0.00010026849769029234,0.0009923967447980075,0.11369192897555958,0.02963077673429082,0.010262864371147984,0.0006053821325708864
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6453291474733147,2.9592073819027434,0.11474254965562058,2.656801656677397,0.09741706731320399,0.09234952101011351,0.09715968903103844,0.18939179594715114,0.041395562580651565,0.03245708411166698,0.0020530705479046008
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1025377562226687,0.03947291400321973,0.08735131946745256,0.003305151355617708,0.034378146328422954,0.005676710127620721,0.011785924772775402,0.0016991878660448378,0.018437101965618652,0.0003725500760065614
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5087720778165923,0.20363439087208507,0.032064893614926815,0.00907376113794478,0.009838622581068934,0.03996885024168173,0.005583993066519917,0.004683238920775816,0.00030376055066949625
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016919940072954165,0.0010733076678322018,0.008629805197078566,0.00026964042018118306,0.0011414128548322688,0.0004673277928498587,0.0003609542456651793,9.119649013755726e-05
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0108439722795186,1.6910808556345782,2.104890811169329,0.030014828947134697,0.007022608190946231,0.00481548282596321,0.0004276247025435387
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025028959272825668,0.025677577708359545,0.0007783183345171363,0.0002868577208509082,0.00011659498523053369,5.538705950547396e-06
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023706650716346145,0.0007757655148239451,0.00018176608655606774,0.000502098048847488,0.00015741185374951172
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004656192011772253,0.001690649705814562,0.00032598154806673385,8.087530369804696e-05
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.859519662873118,3.1658944581123083,0.16164848874657645
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5048059980192541,0.06418900663173333
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.597070257213086
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
