,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27O,28H,29C,30H,31H,32H,33C,34O,35O,36H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0947215299183493,1.0955803131405757,1.0986204495092888,3.1889915693908173,4.165331923269979,3.60554694048304,2.92993126048188,2.94304546002189,3.610988018742915,3.3650669812498806,3.141418820655969,4.26013970850391,4.237119097576167,5.715405040873165,6.4069526255920675,6.18775678774112,5.818948463892764,6.220996520672599,6.23262712522789,5.845875057881593,7.285361777321814,4.417290317511879,4.074844763798215,5.492648891882619,5.820599612256842
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7611916310518618,1.7670941977664967,2.8391778468352227,3.8092275730585428,3.2361503303384067,2.2548462376982212,3.9659821752686812,4.481571952105913,4.429126609254125,4.193448156553444,5.211818243414817,5.080463654288694,6.709849879095403,7.332644395525707,7.223569126095311,6.890835686730065,7.227565378133047,7.159723893844992,6.88515686635472,8.304119029826198,5.240185676416424,4.850308668742092,6.201163069631814,6.4423851798435745
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7737950605526016,4.135744537817838,5.165475365228937,4.366390356103979,3.858308663701803,2.6234009815956303,3.0959148710244864,2.9283096296629,2.917335795019491,3.5092634897635944,3.3207954655562206,5.025201339754392,5.604425704505475,5.675446028357033,5.455661307639725,5.582100835814701,5.493735567860448,5.370262778575916,6.661215753089539,3.6777815644378404,3.5671913191427307,4.626333159574861,5.020852461117245
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.663562789434812,4.473039028785932,4.317859359483057,3.36140256271113,3.264004415111387,4.185931270943419,3.3018579471192826,2.7567551358186426,4.250020550422275,4.484504666290879,5.657497674518874,6.362040978949852,5.8905251532885545,5.490083601754492,6.34741053933476,6.532627874886058,5.974655732110642,7.359637751185075,4.153305876738653,3.5380730093506068,5.3128669230035825,5.515644665410675
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0964431953486402,1.0975614419602322,1.0963571065661701,5.116625771641328,5.578318063785589,5.990355757639382,5.794792167853157,7.15193757695066,7.087834394722535,8.443078764237601,9.275390429734943,8.838008282984607,8.252884494767839,8.589396547365157,8.561771229800229,7.931760273764385,9.614123859215216,7.5334426657786535,7.131617299365994,8.659323883268856,9.0029403126096
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7693658775528953,1.7660046673776675,6.021166049211939,6.5367436861526915,6.863661071467461,6.597245249246176,8.093544152640455,8.097475551170424,9.340429812919343,10.210963617686279,9.63770327506724,8.992483462327728,9.469936541483877,9.498142528309629,8.74985083724806,10.46529345116134,8.452486692574086,7.9713081784993465,9.617695142556284,9.929473010633874
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7707958191438469,5.2358852653593,5.457450055020234,6.279426450789881,6.25382104576032,7.364445517889421,7.15261174452767,8.631928549132843,9.43958904027542,9.17367487807879,8.621989392537708,8.633559191248205,8.479405550820568,7.98739553302228,9.663939341799145,7.887439791355227,7.638235619027212,8.947009411934934,9.368073008050454
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.382688203850652,5.871915984776538,6.106238962702198,5.835662396836176,7.145883471006436,7.057249577233914,8.543256996316735,9.293606859725527,8.95635653855573,8.45252564255057,8.853514955111693,8.807604448052265,8.303091072032737,9.908071602551608,7.328583770084403,6.8568770245776065,8.383552703259069,8.633992333328342
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2275412193905095,1.3750763307255387,2.0529104045116786,2.4651327877103038,2.542571830701932,3.4465975328860456,4.35519710477245,4.082065099627937,3.646492337493106,3.4840050597013548,3.5734169442332697,2.9542608860905784,4.528231370049721,3.577543398137387,3.865910490079177,4.681443916279424,5.398698613354429
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2826881094445968,3.151161896049104,2.8072928807972044,2.430187071406603,3.617953472071142,4.389486186500882,4.574434402245083,4.290935058595221,3.2985816583379384,3.022292031116887,2.888823394056701,4.348495363221216,4.109094836151692,4.661634815548164,4.967486430565142,5.792022316561493
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.015591025742739,1.4574580525970038,2.0875083201668883,2.50360551807936,3.4128091199360755,2.9270913737941635,2.580868192304519,3.076729955708157,3.452062229085811,2.789137376124943,4.06132832876058,2.403754007484586,2.6847013364360195,3.608700914610734,4.277475184360549
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.086072561798055,2.858271165841078,3.1263452860860395,3.977097111902179,3.167346765396354,2.7409983139275282,3.9220405711371478,4.408684704388251,3.6159686200258156,4.820334872516088,2.3997215786347534,2.1932677712288027,3.736461964105221,4.203308555800093
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0965626118065797,1.5555045926820477,2.1525131603446206,2.436939862112229,2.6157948224166487,2.5676111459656985,2.8235674039209027,2.8395601787272304,3.5057562285531056,1.5234026483702348,2.4292826181540095,2.3805562021370674,3.2143808747926577
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1733272032647197,2.4993992821869315,3.3708299994788833,3.597041016812653,2.771578667446598,2.58087215320243,3.1373633224638207,3.7688341261418508,2.152443824488884,3.1402269231715088,2.6311045604876613,3.5298339081499055
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0944694428740367,1.4233038797525606,1.940380256096108,1.52729905032145,2.181452690433687,2.176218234913205,2.1520309525431176,2.520959509181219,3.4621497312369747,2.927090571483983,3.7805024180733415
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0073020748496684,2.8100051913610824,2.157284089780555,2.5225102092502505,3.074898727428955,2.4771054154836816,2.6812448498564807,3.764840109532716,2.5420090658955052,3.3884361469213475
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9724471410511094,2.4464319677525013,3.394764771581138,2.75344116160204,2.676524124510493,2.8938250993086894,3.451188207347041,3.4423827394627393,4.05094366074951
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.596411827709467,3.6022866568419984,2.491506432966567,2.9320589088662974,3.2385818636300927,3.578726586476859,4.0719210824843035,4.664126737538218
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0947930610437506,1.0958908823052131,1.0948725559083365,3.89423696663196,4.81202221994662,4.311804621668083,5.224448961736155
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7653540166306492,1.78402454126582,4.2027942959996984,5.228090853396773,4.47229987843867,5.43908563932964
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7776780013955895,4.253394774414152,4.978026570182222,4.945703809810801,5.823807391933761
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6688345836078184,5.58390112790973,4.930544363563102,5.799407137843701
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2131929352969577,1.34679287286799,1.87578922569909
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2536793696518207,2.2930265455984573
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976506711754169
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
