,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34O,35N,36H,37H,38C,39O,40O,41H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3194054278398673,2.136924528988459,2.483256741761792,3.2612265458859357,4.69591225421137,5.18049356949117,4.588354723613386,4.994622689091556,5.674307168294003,6.704476237326137,5.630262670096078,6.637745894115977,3.889882678423188,5.08587910763555,3.555624979902525,2.7146578937069585,4.772342290591081,5.482023969337349,4.904131825715798,5.988794964963284,4.730462670310497,4.375715222561771,3.3741741679682993,5.451030105190453,6.166814437652769,5.469430594567291,5.662630582904178,6.517640728859599,5.798723437605707,6.578253890316636
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2609216287487213,3.2036923653896885,1.4225880540462343,1.406403967038526,2.1716264221313595,2.4710432666441844,3.4582953648928516,2.4105143328830474,3.3979118700728237,2.8022767355156146,3.889076136839693,4.163973756963156,5.219716043695467,3.721015100814163,3.0493168923086285,4.677489927399344,5.546550806911976,5.362300096316349,6.243268308493457,5.838213422024453,4.738925680742205,4.322102868111769,5.206924258673029,5.559484561695575,5.042859447021681,4.607756804541385,5.357145761859603,4.191322143000264,4.594177235672328
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0103162322949482,1.381709241732291,3.581867035628474,4.432156314843614,2.524017067613939,2.86012976271006,4.1301930868836125,5.216157837443838,3.722462350671237,4.645513976889608,4.836451185549074,6.046500398516005,4.0914115823672565,3.0943727725079415,5.002681308689011,5.974281644702448,5.057213221020189,6.016927936247011,5.292687721386221,4.0362560665620775,3.1309798953335424,4.638029105247004,5.357020020853906,4.311441986359277,5.375383572696276,5.971604813068551,5.496590103683619,6.029549945900189
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1164038232704967,4.470121570469377,5.3667303974551075,2.882442876630453,2.8519338572991124,4.857205561383446,5.939242357812399,4.21958400458071,5.010531292484977,5.3905470267615705,6.5884452498793955,4.49936024261241,3.4901913251257994,5.241008557306122,6.238641528528803,4.98948100693448,5.901279566023484,5.166257289930319,3.7882037770450023,2.7564209239053334,4.332482571657342,5.175868188551362,3.916119118930594,5.690965892813532,6.151367634108078,6.023765259378067,6.550801009248448
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.435890176575108,3.4297599103294947,1.3995876312612667,2.1723963788130374,2.7690279971355207,3.8558909691060523,2.386666253056295,3.3769909196187875,5.021130669471322,6.151338370016201,4.274450689382685,3.401534781327667,5.059432595737934,6.062841388403608,5.346021590317938,6.202388581070071,5.8223215077014245,4.354558021592867,3.7756033283290433,4.66827529295531,5.195465390398726,4.2714021429571805,5.034460411145381,5.5601018279072765,4.945603042660924,5.297929242218696
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0873322996814154,2.8484213491993864,3.9357573673920365,1.3901034480048398,2.147099965409916,2.439022216861704,3.414403843818673,4.784163936462361,5.637867827102657,4.456651731707897,4.0175960513145315,5.219191212596384,6.013702973430477,6.101217237697294,6.848554273183895,6.7265771730133315,5.588931137121951,5.407346006835647,5.836728493284194,5.980526826047101,5.669180313750042,4.761985020730147,5.428807522245339,4.040933727234487,4.183606685030747
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.935644519381224,5.022947926537392,2.1545521213884564,2.477559802214851,3.424401832844493,4.309345460651799,4.629438567632796,5.318862305344255,4.585315373033468,4.349222308407821,5.382683135453606,6.017881156319226,6.4796776688678595,7.207255434320288,7.0770420096833995,6.202044597358393,6.096759109252685,6.529911669416696,6.576978470298105,6.487048920699287,4.90091234885889,5.679437502215032,3.9349194408531893,4.068423068619244
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0873698794371096,2.440561692379475,3.4145175433957595,1.391009166552589,2.145164390101829,6.192826693341033,7.255693207348446,5.333568176294552,4.523040768599319,5.863593909373633,6.912788246733781,6.04139084930669,6.743996683741828,6.663141464323993,4.8942433921790975,4.482830110170569,4.817970934709391,5.267370145029153,4.198115612164702,5.544673907945512,5.810293119704689,5.481427887987734,5.606956197162884
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4312785814056075,4.316499723287135,2.1642655804140007,2.4881372477917885,6.969935183079673,8.059117059254751,6.00492626506512,5.140739294792589,6.439787922721129,7.5231412429091495,6.371297138060109,7.02372703689652,6.960086454547743,5.0526642575455325,4.575936136599081,4.841120393632938,5.391151034337902,4.054419933544525,6.179978604128221,6.307311105882516,6.295834935639404,6.412392843442116
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087077376894337,1.4109428767053482,2.1631744447322596,5.977142831607246,6.8026748345317,5.455747847687716,4.976595634463459,5.980586056836855,6.8498805153898745,6.70131945969289,7.327333361995238,7.449601131627061,6.001141619747293,5.9042372649118215,5.941364946246518,6.027680000623001,5.598629766270251,5.275761162500801,5.665631665776115,4.654144758056912,4.541905598368862
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1612451999892923,2.4760219810638264,6.655545326744749,7.354459890052552,6.218322536712143,5.855825465609798,6.645121121075195,7.440670000883916,7.461975439531628,8.00237437848423,8.26812072510334,6.855270074853676,6.87123577795217,6.696882890568711,6.653264788929882,6.378360081102985,5.760561460562881,6.075530535610654,4.994916319798521,4.698852253960081
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086982338072648,6.584755712709734,7.5216495531258785,5.82988318751771,5.18467162628718,6.265960386445573,7.254604729490431,6.670864896052121,7.275219058811807,7.418147425681637,5.689195352218152,5.5046402322494306,5.466193530542794,5.6841500798363676,4.910861523698961,5.637806815533875,5.845628225524702,5.330828379871354,5.243256880433391
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.592919704883832,8.492058557808813,6.785054227053309,6.161778640640917,7.087955299349188,8.082210680258676,7.410026452203993,7.914281942831433,8.214613706060337,6.367674469388138,6.258881256701032,5.940324892595684,6.095308557700228,5.287561686788134,6.3300723234129,6.3635746246295914,6.063572366523177,5.8381936691638305
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.227647689813801,1.3669444481814295,2.06289558117225,2.4641030237389936,2.5038943921403782,3.656389762541038,4.498605763263559,3.6666085039132117,4.340387682658938,4.353897991589161,5.406016190207604,5.530109721677055,5.980100352318788,3.3924627995908,4.583404492971333,3.2268324149215877,4.18737133750501
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2753189116465427,3.170277003833971,2.805531634332673,2.3496251942934374,4.110021785770215,4.738898567739014,4.102119546249866,5.0992267861376135,5.312505208873993,6.091347008623214,6.052579748133823,6.7782325230554985,3.6123270342154785,4.77154603624058,3.3667583579066047,4.274266941726291
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0142662163046268,1.4451346620479457,2.0412542748817826,2.4770435260400565,3.4027738195879276,2.702699920331439,2.996334266479213,3.113457605009125,4.043143313851887,4.21810993062686,4.621919254822405,2.4948309170869636,3.5828979337511218,2.7520838876153886,3.6947837925794644
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1230207119212197,2.9450365573614374,2.6922341767692157,3.7245627011085913,2.9142545050759776,2.6657524009922553,2.449715013827842,3.7419305861440426,4.122951495010278,4.137698997614434,2.9856044682159015,3.9339055623649797,3.2656381695275707,4.116340542793573
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098540738692497,1.5456101857225446,2.163333857581095,2.1515410483385673,2.5578806764361546,3.2269753525127896,3.36718520517546,3.2759619413710457,4.16459164420556,1.5366259206934236,2.441721137192963,2.4003188189775035,3.230784142437981
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.170429773010657,2.489113925966555,2.458982046298837,3.4953202613327403,4.168792084206196,4.2934222371657755,4.094417137063939,5.162404204789554,2.1103929569437914,2.9592536015627307,2.770944124421823,3.5909476296873835
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093069577117714,1.092866353042693,1.5314695425835414,2.417130066184202,2.446496023006459,2.5762452458863776,3.3605567478994596,2.536742561121867,2.8380588625456222,3.7168550380352743,4.39071692519018
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7785204744460763,2.177289052388204,3.2684773971048133,2.558797710610041,2.361860793924116,3.568252882179817,2.722441694043255,2.616306395177353,4.030891208715574,4.546973437547225
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1308463723722504,2.588686634078525,3.260791538238103,3.5562491400527776,4.105361818806154,3.465433963341111,3.8902957406312266,4.526970608045238,5.296827449099645
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2302399892246563,1.3640200570264414,2.0486265359497873,2.0283211877461027,3.119545614696916,3.2355808058694073,4.192272601443425,4.745189066978475
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.281075590693791,3.14706631061765,2.4949861410530407,3.977106641176764,4.2995101426136415,4.831645920427993,5.461901182434003
35N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01386235509754,1.0125558536045824,3.341380587365318,2.97436934872053,4.449232437401898,4.738950795291322
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7304714037041262,2.891820452269702,2.213352956180461,4.046968670810622,4.1952158886538
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.029793924966836,3.6652776541199295,4.973171816452187,5.181410290727378
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2183238456523404,1.3409561974309103,1.8689809355929725
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2463012103443525,2.276463649028394
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976751078682326
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
