 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,O34,N35,H36,H37,C38,O39,O40,H41
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031214968924264674,0.0975682454212854,0.0052303083461457955,0.027781936087797554,0.003034165460707783,5.853395455179822e-05,0.002712841882966277,4.7167621460175724e-05,0.0010139310283041603,0.00012066548093980778,0.0009317312530865429,0.00010615101468225419,0.0005177485111143021,0.0002736948194174138,0.0005621603768712902,0.002365561041245412,0.00011583731421582755,1.652836184451445e-05,1.4539510281519341e-05,4.519722576201701e-07,4.077038716632231e-06,0.00020624579120154252,0.0012938033984354336,7.317078985213943e-05,1.0811660157150627e-05,3.8765622911718367e-07,8.61623357484298e-06,6.058614953952102e-06,1.174589992047892e-06,4.78725710184591e-08
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38639849659447423,0.03104996176940822,3.2740787851303934,3.4217975138060055,0.12465581216933197,0.2946176806447013,0.026755834402978795,0.33805465299904947,0.027536033688746908,0.23356683634206812,0.0038863154715469417,0.0014624414662199603,0.0007059569341186928,0.005480601311406458,0.005062086867845816,0.0006621441913012283,0.00011364831288573907,7.527084159941744e-05,8.38898674904165e-06,4.55727713588594e-06,0.0003523872877154721,0.0008309551317941949,9.479949035215429e-05,4.586777897164218e-06,2.3338529876237857e-05,0.0004700096221407768,6.570248619360008e-05,0.0005351791167933218,0.00010843900472912171
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9672042567657846,3.2187067545089687,0.046490910198788774,0.003988662956926792,0.2520248187291206,0.0072041092445280785,0.0502476075451679,0.0004422547029390156,0.06615179285865021,0.002959106052948135,0.0012093456486045318,0.0008043945587360435,0.0028374775157703758,0.0027017885328624036,0.0005762223624999896,7.29228699708484e-05,0.0004972845833049189,2.3321770693973676e-05,3.469581074144745e-05,0.003533192418853859,0.014789434868243675,0.0006170232753147376,3.6124027936068615e-05,7.046350176043159e-05,8.330224621880267e-05,1.4159896830276408e-05,3.216097904838733e-05,4.224169232069919e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11649555815042167,0.0034173059167417197,0.001272233896610464,0.008051763964274095,0.0029738296284962384,0.001361135832623317,3.1960411945863854e-05,0.0008695214419013331,7.428083826188647e-05,1.4583997911321589e-05,1.0432460663456489e-05,3.742749115653865e-05,5.202768366463495e-05,9.862921941039549e-05,4.066832955063049e-05,0.0013188536716982613,6.959572914233547e-05,3.183119806604573e-05,0.0032984216648824782,0.024111270208453606,0.000307370966354803,9.519513233913202e-06,0.00017119425195999405,5.986735262863974e-06,3.130212356872164e-06,2.0006839891451023e-06,3.7498661464852034e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2979583674757942,0.02722020989990903,3.563191623178074,0.13275096841221923,0.23031157783253176,0.004072043403833936,0.35557465627308316,0.027968763207643077,0.00036536639385248426,0.00017039075761508815,0.002343417772222467,0.002531156232186804,0.0004748580349962228,7.354879677634596e-05,0.00016532628396367932,1.1226900445082677e-05,1.3816371500885438e-05,0.001082723908819444,0.0023948313459306036,0.0002140341778212873,5.43671844877025e-06,0.00042063486814147844,0.0001190857716200644,2.0510277001825616e-05,7.343832210643386e-05,1.4515781722068688e-05
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.970160948243439,0.3041271370258879,0.0035478069536927226,3.909507059412071,0.13009549045972424,0.3312893968871144,0.025871633351338463,0.00023471426934779105,8.715399447455086e-05,0.001313796579408541,0.0014271382331469962,0.0002506657645207633,3.516226774002984e-05,3.052446703451228e-05,3.4630103724619943e-06,2.4738011950020677e-06,5.9854726622260435e-05,0.0001800667227427194,4.2704857624101256e-05,3.380425751098315e-06,0.00010212540661536096,0.0003294438280105616,8.321687697206148e-05,0.0013151782759630581,0.0005934733943701032
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003459677629238822,0.0007899626014766792,0.12814498069854752,0.008478409091565053,0.02735416096866139,0.001132425770119072,2.490010700073597e-05,1.2085564018882167e-05,1.2637819467364864e-05,1.1458555546628446e-06,5.088022413612947e-06,2.635169258358161e-07,7.228753275967392e-07,1.4061505271278918e-07,1.0466161604050228e-07,1.0068367810589507e-06,3.7029649391229214e-06,3.197826892176181e-07,2.6762799554269634e-07,2.1721775245175934e-07,2.059753751781912e-05,1.4623448217232493e-05,0.0001591540950116599,3.078070611128858e-05
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9674144503107505,0.3178545543621722,0.025912986986595055,3.7541234419345137,0.1265931366783184,7.676932040448503e-05,4.663807826149613e-05,0.0003239605924875988,0.00039017237052030307,8.147175241898785e-05,9.755853449311402e-06,2.5340990591302126e-05,7.230603765728816e-07,1.655291233859657e-06,0.0001787031931214933,0.00035231323854838237,0.00017641389349952463,6.2978716796058265e-06,0.0007086945365215591,3.697926433693377e-05,2.253342268793146e-05,6.249359120930054e-05,9.293011325073319e-05
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027313827998608486,0.0010658409786663547,0.12156950997526939,0.008377355439302958,2.7391919197317094e-06,1.3253193662521312e-06,1.4019166554302132e-06,1.6158586089165539e-06,8.720730986233605e-07,3.1270666811522574e-07,4.57007155674205e-06,3.2714063902261614e-08,3.64327523705299e-08,1.0636016566145656e-05,3.2786900212355974e-05,1.5827235625653913e-05,9.162856646760531e-07,6.342281281579432e-05,1.5508641459938133e-07,1.6891404364116624e-07,6.77665323856047e-08,3.5476408477563837e-08
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8460218726409332,3.5907035374637917,0.12375782844944183,0.00014133475881911162,0.00010358718657978161,0.00036147130682669115,0.0003314274928027938,6.828881003265175e-05,5.062303050418215e-06,1.2019303832197514e-05,6.267756063049745e-07,1.882467858260739e-06,0.00011173878170323004,0.00019672972273068745,4.684196800713858e-05,3.528718007461684e-06,6.834706033242988e-05,5.9488545626318334e-05,4.4553235032565586e-05,0.00018312048557704574,0.0003166075212583941
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12391460939944077,0.008104328029805208,1.1192498279299912e-06,2.414280702023319e-07,7.53680466925033e-07,1.5522832452763424e-06,1.6210142472772304e-07,8.74510064363676e-09,9.555624291834874e-08,7.593526252236416e-09,1.0983151055299345e-08,2.2142472011488223e-07,8.594120034510766e-07,1.62094804023738e-07,9.024178737604416e-09,6.855447922671232e-07,2.817629662921206e-07,7.71772048491215e-08,5.411810717337318e-07,1.1209235823983477e-06
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9757734759527983,8.387900315542929e-05,3.425591712499787e-05,0.0010301753803352437,0.0009955484016193061,0.0002021339607292394,4.0094946644364526e-05,2.6162953262590105e-05,1.8464074460489144e-06,2.1023167241507323e-06,7.186902007572105e-05,0.00011072542168859278,4.1164097961898793e-05,3.173316668325654e-06,0.0001381091716744498,4.736814470379658e-05,1.6504928443253353e-05,3.646507686888567e-05,2.158436600097069e-05
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4818874669586535e-06,7.419247458617662e-07,5.690118536350042e-07,2.677265752870639e-06,1.0143096207393398e-07,2.012697164488486e-08,4.5571528994869936e-08,2.4593902470115836e-09,2.6407132036609937e-09,3.635621406150591e-07,5.911413863968207e-07,8.077725988098194e-08,1.165450624895925e-09,3.5952115506887594e-08,6.79561997785072e-08,3.2585011133789976e-08,2.1991298382317837e-07,7.048256711605916e-08
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.094390645568746,3.348626255418109,0.1342829702044882,0.27300718538502855,0.028956694194376187,0.03215876870046391,0.0036436848738905514,0.0008635658125566437,0.0032168851584238323,0.0024236085260064266,0.0008590168899882122,4.8197322932708175e-05,4.3693584490189785e-05,0.03509323657441471,0.007509360828824974,0.01229176037257429,0.0005044207312225879
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5409694776003694,0.02290554687507751,0.07525428024409636,0.05918442481267139,0.009486534906380212,0.001430838720863803,0.00040549311028537094,0.003504373599043903,0.0016492985587614195,0.00047672310321049405,3.6949128164986966e-05,4.910055937912272e-05,0.013057946324025849,0.0036775055799141143,0.003411156198888335,0.00045107760637441707
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8969796188041763,2.90837378710106,0.10227025821572389,0.18084894023631237,0.025000883888639414,0.008426711292930933,0.020919583356354965,0.020058566643662637,0.004075591877820958,0.0002645070050137921,0.0001936350556662747,0.1978141086510791,0.038021671394346424,0.030838870902539547,0.0026275668352423454
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10084551631868932,0.026196623440280398,0.008774647649375522,0.0007574999516599679,0.0005416850941311058,0.017918933357877975,0.047404643356418585,0.003622284218756211,0.0001270167508509168,3.240868894760496e-05,0.004982761572230543,0.0008647062258859695,0.0006598642294444179,1.3457507240577371e-05
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9618032596908639,2.791729557326189,0.09334735514135617,0.09551559694886502,0.17691762854006357,0.03928799731114617,0.028066668777101123,0.0007221862174079385,0.0022278829949803347,2.656674184812723,0.27064187312976906,0.20807102607736316,0.05560892667984674
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09147793084498523,0.004598889178838883,0.005761049492106318,0.02507430621058493,0.003796271762188219,0.0032007268895114516,0.00023191194250871128,0.0008900436941396972,0.11795764211277193,0.030900053384686488,0.011785170321419902,0.00010794436942385133
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.018528928553648,2.015707784710203,2.7622924601511016,0.2912108683494351,0.229930368304468,0.014882413292863661,0.044506269192891024,0.17576274160036418,0.041259294445132266,0.028257752433804156,0.004245438852533701
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027658430629333486,0.0957221668388879,0.025294376900707016,0.011473934177600786,0.005104602497872923,0.0015557724231205494,0.009429939575036128,0.014175263319534448,0.0015762006944981533,6.129389405185037e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10423580245525721,0.018019551134923928,0.0231408737849792,0.0013074048491585888,0.001181000522356701,0.027006615249011823,0.004417040417490359,0.00341238737607219,0.0011792748303436351
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.725827581524588,3.6193809498004073,0.1423886474661763,0.14590651251148556,0.01680625587716822,0.006928795786067782,0.0021458776441742045,0.00022659442024441923
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5627968645240025,0.030995247305297458,0.03044274258625357,0.003472105890979932,0.001464959714296457,0.0006142571419748971,6.422367331559986e-05
N35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7476222470732403,1.9058218296540366,0.01498512025193649,0.03508024439337666,0.002619255549095617,0.00024156330603297693
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038420338086312844,0.015770718572199582,0.09341952467825532,0.00432728396697768,7.40046388101323e-05
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046956695487609945,0.001016398124595086,6.228658299134437e-05,2.560015017216699e-05
C38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.114127566654412,3.6525218802586936,0.17600725981951781
O39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5195865538325921,0.06609053346686922
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6859171548286969
H41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
