,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28C,29H,30H,31O,32H,33C,34O,35O,36H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.164534089651706,2.428761166880824,3.0603277171782097,2.8816627661348537,3.18258219284411,2.876329959126947,4.3053387453911025,4.988483199935245,4.539271488600437,4.711632992876081,4.223789314606469,4.6990474972584195,4.905980542414816,4.8979586226164535,6.080460269215162,6.52926340965165,7.212537669841828,8.104758972319537,7.534083835609834,6.941602271024388,7.764008860830575,6.082188891501283,5.2740925130846765,7.364697653436514,7.560202538598871
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098616713011282,1.0927741399279889,1.5249757031591942,2.1806151717474673,2.2022468727852096,2.4899902200315154,3.3988546251437106,2.6773421228050363,2.716249162634812,3.2474785321533366,3.4191068612080913,3.8023326333946614,4.113008773474777,4.6046770930015555,4.996642741300938,5.922093397045582,6.6376126847145995,6.446245388079925,5.840775891717509,6.769080089536598,4.265676083761089,3.3722289398622856,5.453977086698647,5.555289918031834
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7600139226893028,2.161671548689838,3.078822103771598,2.4753720920718543,2.8339775254332253,3.738143842797449,2.6135310321187184,3.2361310782628814,3.8755193994902255,3.749181807619952,4.644041016147657,5.0723500960499734,5.369952360357743,5.589844466002237,6.779016928481995,7.439465472289974,7.276861115669818,6.8267998002503365,7.771485657328445,4.986155810935341,4.115798285773734,6.071318519437205,6.110040611814542
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1395785128547975,2.576247316281328,3.06649872675249,2.583141162675641,3.5730066620699303,2.774522904937108,2.383964025366159,2.4615051549700473,2.505620729226395,2.976572202554893,3.485917482021037,3.622801339517754,3.9387097115232126,5.02182314643866,5.686862498947504,5.556379095601091,5.121905399641387,6.078827254326684,3.3155569945366072,2.5809274995754468,4.494214249919063,4.683991955374251
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0927300083021094,1.0931841603211156,1.5226582662306778,2.1339277830456798,2.1209596440488503,2.0972786574479088,4.345608752641749,4.626164180373716,4.488411750977008,4.6206032617658614,5.08608924126545,5.678093783429112,6.23407977288677,6.8574589635453504,6.938034787995622,5.888411135752965,6.770746180352222,4.390531403228087,3.2505019195590834,5.479487985136609,5.371963411717733
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7805442102097784,2.0929527475329204,2.4421541058429117,2.963575774629619,2.3382196484373208,4.3194994054888145,4.84638642802937,4.17358150175013,4.092078829126817,4.798156114636386,5.564081104917504,5.738836458521352,6.402887635625905,6.45969781872578,5.180325736721877,6.000217240336731,4.170914517433389,3.0790297867463923,5.29864757715936,5.2479955589759015
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1231894635506507,2.403071741935473,2.4928167630661053,2.9753824221389427,5.289308248854553,5.554419215572889,5.5170566482505885,5.590993586852046,6.17387933402701,6.756308165666957,7.303275074495662,7.934900573234896,7.99482558274173,6.890322753210264,7.7432371497749095,5.468675365838751,4.306485721589857,6.52068128122994,6.344947481925572
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0257439473562533,1.0261652878089578,1.0454614504763873,4.851172076552473,4.867496159408256,4.850652464561552,5.160185292013283,5.020279698256925,5.524955880755226,6.187087603908978,6.584471902251094,7.03534652500278,5.9758053714638075,6.8684775342652005,3.937629929130137,2.7419273324625673,4.7466861312497315,4.411158334696423
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6587021419546686,1.6841836949964113,5.765780139772848,5.843059662956934,5.621688208204197,5.83144576368081,5.704914952100652,6.28722250413556,6.728261823507277,7.053785781090471,7.646040771626975,6.375044295618531,7.204216028887021,4.50274584968878,3.3063869506843844,5.1691615827046755,4.691326542715918
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6826789819215247,5.142884074192998,4.92786147236683,5.351110675776635,5.798949291304298,5.482081955350253,5.809111905501032,6.770563992798623,7.122542425055851,7.581682647582307,6.73034647557665,7.651625487395222,4.409542109027375,3.3138108989021555,5.117720814901862,4.74666733083436
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.312345454046025,4.3196715895238285,4.1355051300003804,4.512040531077465,4.102490939842786,4.616512888772821,5.244288843371549,5.578272895149751,6.132117669602397,5.118748567461929,6.019613670346769,2.921080087556719,1.739649050767431,3.7036858776030943,3.405635189509877
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2296382935119667,1.3698536380242474,2.0862299694807467,2.4570561352944202,2.5711712900753994,3.6753802226831347,4.54040498123609,3.762941171580724,4.118676385283994,4.972372367042261,3.2844837718082336,3.406870886940307,4.442760278668038,5.091804223005837
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2682489987659817,3.1790889076430426,2.7777190387687187,2.4550257567148135,4.178897937437585,4.834892063481898,4.308858618381562,4.884332459263285,5.762382191316757,3.371248381752993,3.5442681398596476,4.334528419054324,4.92939187681151
24N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0120990445197686,1.442927260266696,2.068600316556031,2.4365608612163685,3.3830872379967762,2.6882475593008666,2.7493686373601487,3.6172135989327,2.478094261019968,2.826762249309187,3.6390103046416304,4.363854737887168
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1017933742691164,2.921504777923691,2.543594155273988,3.60019259548845,2.7377259517273735,2.3657829899310494,3.140163550706127,3.0395226716498396,3.2664027506516136,4.195685061600952,4.885621498473702
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097033758139979,1.5333333997166678,2.1667440018587003,2.1490188771346017,2.360036949951614,3.220806038058468,1.533296992233589,2.457833245329472,2.3677256100114157,3.226243376971064
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1604210392546155,2.507021880390505,2.447512578620941,3.316162882124986,4.074880369959697,2.1110769078665905,3.0913649987157035,2.588551967492459,3.479168703755022
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0967776317745124,1.0988567807666532,1.4227831486194251,1.965854833685365,2.526487852467395,3.5249434841514975,2.8754509465959286,3.7683669742145525
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78447767077147,2.0983953604421055,2.3866839769636745,2.718283182559402,3.847142243421292,2.520402081049002,3.391237435345838
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.096386837412315,2.3465632249532975,3.462711498366317,4.446156936663458,3.8335897174919333,4.770695568147648
31O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9700232976240035,2.920218125716684,3.5472523624159216,3.464972514547125,4.148761264749658
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8083634601477128,4.467197550506016,4.162806618902778,4.828507024246746
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.222441990140929,1.3336895415667918,1.894459069030743
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2467210909556354,2.322682850300458
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9763365667956432
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
