 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,O31,H32,C33,O34,O35,H36
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08732244754712515,0.008412357924385105,0.029373408104331977,0.004598593786377614,0.00024396481186994556,0.0013261625055052129,0.0007982982313399223,0.0002052854314980035,5.7741869770033816e-05,0.0003560946593519354,0.0014601725798062404,0.0005827835291631889,0.0001406226814346656,3.235173556004334e-05,4.181683144066639e-05,2.080170423313099e-05,4.044505177214219e-06,1.3384367332225366e-06,8.552782677639925e-07,5.881194166112991e-07,1.1142782696538234e-07,0.00011085434538204986,0.0002725336390350108,2.787405077830929e-05,3.837228886860444e-06
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1089578669449645,1.994711078504075,2.8914697044070827,0.08005277671084965,0.08300892587829434,0.17210938158236153,0.0245539104230601,0.013931519867016018,0.009443267610914408,0.019801851725221226,0.019709960379152444,0.0036733730700914957,7.646261681337752e-05,0.00042879028034130406,8.556647614776924e-05,0.00016059439060088498,6.1798364432430475e-06,8.403711709847883e-06,1.3784641663877606e-05,1.2093245667088581e-06,0.0032331349403244003,0.01399368373963332,0.0011687250915777547,0.00011218825780223707
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026254843153628693,0.09111054063548973,0.034204911273356675,0.007817015764888247,0.0049780577417131155,9.952847032734802e-05,0.005408841767258421,0.00010879582402334442,0.0009323722000731394,0.0001725803979160112,0.0005434588717100342,1.9608817078964336e-06,4.970537235204908e-05,3.514963153428141e-06,1.531285756528611e-05,1.8725242809658482e-06,1.6486551779326675e-06,1.125235055132734e-06,1.2863590037603956e-07,0.00015881927869587642,0.0005012401138684286,5.359534423277079e-05,1.3830139189430213e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09929239819906321,0.0031869368293990785,0.02991198926626315,0.013452070190002163,0.0017546393421943307,0.0007347075494454902,0.005694697055069975,0.037080811329105234,0.026926061523418143,0.002175491922048689,3.7327378687779245e-05,0.0005793190711893548,1.3826416172424416e-05,0.00020971939862302058,2.7933730388784994e-06,7.610066374397206e-06,1.4711394373034814e-05,2.4274048393557734e-07,0.0046454095731616185,0.02729834104850193,0.0016016482764752427,5.116171260310942e-05
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.164823239358994,2.14372379380492,2.7451354633255565,0.07550193630429447,0.07740038135176386,0.07634111323102888,0.0019399901750283832,0.002519965313223946,0.000448378463207999,2.73279414562122e-05,0.000223974189881182,4.662581836289981e-05,3.221984427453917e-05,2.240064068348424e-06,6.886647140991187e-06,4.153653719279893e-06,4.028098545827419e-07,0.001997363450743306,0.011940478317428171,0.0005973555814200032,6.23082925990115e-05
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026367029570092848,0.09548390182058508,0.003826632303658206,0.02853315027825576,0.00714412375684903,7.67842344466807e-05,5.782753113559025e-05,0.0002457144941133693,1.71102336290474e-05,3.301187068982525e-05,2.5413456739675766e-05,5.228796685630144e-06,5.951905812651148e-07,2.681082515998412e-07,1.6151982212830873e-06,2.1116473325477614e-07,0.0005777682155330144,0.003540350052838037,0.0002516546728096314,9.000361611555263e-06
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08852212773925128,0.005557276334147376,0.003675903081029608,0.021226775153747157,0.0006471417559492654,0.0005920501662938227,3.0481722311570536e-05,2.4592843406168186e-06,7.90953264616645e-05,2.8973977990176536e-05,4.750000940134669e-06,5.656805261988751e-07,2.0285272464004578e-06,1.3932579867592665e-06,2.338560856074423e-08,0.00046857935948607654,0.001631518770235707,0.0001246316177679896,7.5846175555671635e-06
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9597559623635359,2.0167448277263746,1.7717587094780975,0.0001900580475416025,0.00023238714019517548,0.00016400136040330138,2.4007026012684562e-06,0.0024717960469703704,0.000271756173721327,0.0001891975447076144,1.0143904737414111e-05,9.335215646755213e-05,3.64022131465469e-05,9.571116018625148e-07,0.016404857357134456,0.10204770783975427,0.0015236175247141381,0.0005029470197819297
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02930983894683581,0.0329930405649721,2.27713086631276e-05,2.465021764164188e-05,1.0914618525426079e-05,5.8084233200972335e-08,2.981758239561927e-05,1.0121813606600583e-05,6.467444520263932e-06,2.0695850388996462e-07,1.3646406211709206e-06,1.1696701817109911e-06,1.6389891666079848e-08,0.0003590447280542586,0.0012792877076460707,6.419846733651813e-05,4.436991504430665e-06
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031963483763017386,8.744139969762976e-06,1.0754176862359799e-05,6.519368061064235e-06,2.95436650699088e-07,2.431487616760819e-05,4.950891556054771e-06,5.731840099110208e-06,2.7015052306289533e-07,1.362847795283173e-06,6.633389272314716e-07,4.176528856092432e-08,0.00027204302750649667,0.0013056616983344593,3.19547899793049e-05,3.2804877703185298e-06
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011371369673518483,3.814053203488044e-05,0.0002909022625283697,7.014918308456686e-07,0.007741086720097545,0.0002899267396305749,0.0004905204064974411,1.3978955435201001e-05,0.00024287219449226072,4.5084637510295344e-05,1.972795992788434e-06,0.02994935843519564,0.2965527721141914,0.001734904714781993,0.0013707938714879742
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.733298126794563,3.449467016177869,0.1330158462779274,0.26956711673696454,0.02472950151348552,0.03091198384709931,0.004175887751522334,0.0007450258584382752,0.00596780443404768,0.0004481164061823639,0.03390408234695702,0.006309787533334249,0.006144061114040117,0.001122051244629163
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5517082728682794,0.026116157696543962,0.07628990483940448,0.04043491974207991,0.010622889514657743,0.0014590415857799188,0.0005351217582635348,0.003798933573304658,0.0008782569252773209,0.01536481330164069,0.002864506148187229,0.0022340803724875263,0.0006234344338307274
N24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8253906989389013,2.9289734833180896,0.09800230723301617,0.18626686280456223,0.024635596139012117,0.009398399566084348,0.04147124121218644,0.002210462643585487,0.19453203408482855,0.028057505423131318,0.02975842489922935,0.005325840135313897
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10146663467625261,0.024177968834423913,0.01772472489173571,0.003238477019532171,0.0009355478826771346,0.05509789720688352,0.00098519753867099,0.005756129403301058,0.0010400863910352554,0.0011980766179574553,0.0003799505171455664
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6349553893024553,2.718913675388519,0.09864826680467464,0.09836109357780498,0.20519317943085025,0.033518261646761305,2.545543211780916,0.25726360217360783,0.22225762316460793,0.053634826203695196
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0982279824245953,0.0030765859109962435,0.00469298876521651,0.024681174282374485,0.001919715866508076,0.12130121044794584,0.02957471667272149,0.0129548868612136,0.00030281698856726713
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0494270718152237,1.9189779229505253,2.6584270509572385,0.11327665667459885,0.18882406130031915,0.03794089256058249,0.03521564833236025,0.00233505507297449
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026497299277267627,0.1094476626094597,0.006542028751429063,0.010381282398716385,0.0013971671695760524,0.017939235357571914,0.0003917345392088212
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11001602064453897,0.007755589033704435,0.030062969138721085,0.004344765027053277,0.003950579402447474,0.00021804102504163758
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7995963133161195,0.034068430587415544,0.0051091648998083244,0.005364651880477758,0.00040085036582249156
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019491958653038433,0.00016949095959106764,0.00024419673388409446,5.272768781106052e-05
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.02836283782982,3.6856556740826565,0.1706648130587749
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5018253600418814,0.05744113697574904
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5900299656813974
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
