 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,C27,H28,C29,H30,C31,H32,C33,H34,C35,H36,C37,O38,O39,H40
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9252866404891973,0.6180931311451838,0.029416110891240965,3.382012112623127,0.10813918093427832,0.004521519622403797,0.00215697597142335,0.025265879365038962,0.06357831946694137,0.0024266583683811294,0.0005076717822988241,0.00022194595112001725,6.597923199125333e-05,2.0502549052059393e-05,3.144894817400101e-05,9.884314206620726e-06,1.1641784922744591e-06,2.084573669496048e-05,7.0813753645371236e-06,4.75293297035051e-06,1.0681463913364553e-07,3.7681140306056182e-06,2.773011105183798e-07,2.1727819290717765e-06,5.2474126821522304e-08,0.003502772174773322,0.019477347315382088,0.0012410883725115507,9.607285800095067e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030129183739668663,0.0008855136988374923,0.09907981188729087,0.004598796914519587,0.00011788927192402099,6.641728109058054e-05,0.0009897763241302204,0.0021228256343706065,0.00012517881097617867,2.6180140459741708e-05,1.2194242199115024e-05,4.819346546947045e-06,1.6191684446553722e-06,3.291142065542374e-06,5.899138020293293e-07,1.9639696757778324e-08,5.635181250518428e-07,2.855383263167255e-07,5.194676815367671e-07,7.326852902167502e-09,2.1402766503531012e-07,1.3249938923820537e-08,1.366538296965203e-07,8.958616071197412e-10,0.004137051764640187,0.03483819916738429,0.0014245653271186542,4.13699092807196e-05
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1221476377628257,3.499344618179291,0.11653532514485887,0.001236380241662255,0.0008084608694482326,0.004736064605844165,0.007359193697394351,0.0004727587113634302,0.000156733633113193,2.562110490944569e-05,1.0837650999517834e-05,4.760158988981189e-06,8.496515130823612e-06,3.665297865995676e-06,7.443229341763669e-07,1.2173129205109157e-05,5.648505058553077e-05,1.839175769430268e-06,8.113924399033579e-08,3.091212390948783e-06,3.3779567298886093e-07,1.0260223225339038e-06,9.711108117649303e-08,0.0002535989768699398,0.0008302076077665727,7.379833155132798e-05,1.8705677644836882e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10280801903097347,0.004637862868003273,1.5406274419982324e-05,7.0467324290168776e-06,1.2606687853633503e-05,5.0796247394124805e-05,2.65298781498835e-06,1.258540454074364e-07,6.36907740325654e-07,5.227319399558894e-08,1.3887073491147817e-07,1.2158469697709506e-07,2.375381025210288e-08,3.887305588534673e-09,3.043950382863869e-07,6.28594126084181e-07,1.105909230858515e-08,1.1072276429047179e-09,6.692664888952038e-08,5.87880477631586e-09,1.4314607499343879e-08,1.9115764526844714e-09,7.853184557982118e-06,3.0406276452232817e-05,2.5684489474153693e-06,6.20384262850493e-07
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9753623388148762,0.0008770255548859185,0.00036976246144690417,0.002311178093452715,0.002860053753274916,0.00034781270338316017,5.590850855097251e-05,4.995352649575513e-05,3.660581029807375e-05,2.130344588735511e-06,4.0902515304475084e-06,1.4741607131246726e-06,2.118257029781745e-07,2.5932567785935667e-06,3.22805616259636e-06,7.389491181036822e-07,3.6547365800387865e-08,7.989581103373666e-07,6.577016553599435e-08,3.713708116304115e-07,1.9799970107925446e-08,0.00034339496984672757,0.001677733636081133,0.00013830149504598377,1.7298191808623464e-05
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3685234633853405e-05,5.198769170600137e-06,2.004177196557322e-05,5.1996015728361655e-05,2.7041118475512604e-06,4.925922210130551e-07,7.201327670847135e-07,5.731575427603275e-07,2.9686655356186975e-08,1.3337795723433743e-07,4.626485716752171e-08,1.982856767668295e-09,5.977332495632481e-08,4.52519475224733e-08,1.7103335081536386e-08,2.665543785695945e-09,6.16658535346204e-09,4.0363201669890714e-10,1.400962212905199e-08,6.534233154553704e-10,5.879010363640802e-06,2.9879754195216712e-05,2.4895833515836685e-06,1.6500898558646782e-07
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6282279431564515,3.4668957365056925,0.13080425012324914,0.27403323329391827,0.027286042569194535,0.03501714536371847,0.0010409720595361271,0.004020414452789556,0.002975491690654697,0.0006446290070949434,2.0532150238672386e-05,0.002519508950626123,0.000411188080184699,0.00031446076036972803,1.9005542593042435e-06,0.00041340593905234146,4.434616535764491e-06,0.000278878701140739,3.816955815860723e-06,0.03285260326057496,0.004011991917823948,0.006059100833995204,0.0012754504220118257
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5283058319622966,0.024802334643873825,0.07391038386185271,0.06026085998683628,0.009663075041041178,0.001415997069295738,0.0014166956044240342,0.0010184985779531641,0.0003599338807737107,1.5242082609834284e-05,0.0013211350853318052,0.000398550497108241,0.00026191739997603186,2.0928928241570333e-06,0.0003330698306884955,7.605412092326347e-07,6.735023416627045e-05,2.24865640363614e-06,0.010974892283221321,0.0019467884140050365,0.0020209886765752694,0.0004955304772256142
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.612402788097146,2.957725168661661,0.09650782536840807,0.18091752060882407,0.008510475376209081,0.02596348561907369,0.019112527573115795,0.003458340866972623,0.00012971688791796332,0.013987696775208863,0.003281232661265898,0.0015238524441881923,5.624139734372591e-06,0.002243956387889573,2.435953994894824e-05,0.0010121116458083057,1.3529371724052552e-05,0.19766920079621614,0.03232748266008405,0.029057602727234233,0.005246673078427966
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09835225635973954,0.03164859812187926,0.00669744679685691,0.003667351392706797,8.840739641868822e-05,0.0005859670592682775,0.0002570279727164282,4.1861591298486545e-05,0.0010300313460299693,0.000862701351773465,0.00012921861668979684,9.088784925337379e-06,0.0001523564856369397,3.8080016533381666e-06,0.0001029107874629398,1.2603400278532462e-05,0.007574739913910333,0.011206775157533544,0.0011011844000432536,0.00010672522316190758
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.775251606357896,2.5216795968895562,0.08191301760438496,0.08929043758566424,0.17674412568806958,0.0345369494194539,0.0009991904507609117,0.03736161840040994,0.0007932689920016056,0.0041426399026542465,0.00013340065145972524,0.00488253846048331,0.00018463965321879883,0.013473953106637654,4.3463521966602414e-05,2.444199890605508,0.2688192845460252,0.21792831843084678,0.05408967793666286
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08054555044677492,0.031161724750364828,0.003559652667610047,0.010971538086042232,0.0042664195589343645,0.0011267631206755002,0.0010236142027493234,0.0002352644060588105,0.0005786873094713041,4.250575999154016e-05,0.0005462914170202282,1.9707606993435434e-05,0.0004329762717106833,8.363457806526142e-06,0.10945697228253604,0.02789470536449601,0.011633162902772387,0.0007265201516886144
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81026135650991,2.145620447858957,2.5842249662213446,0.23220591478698172,0.014456179642794886,0.23768281929814494,0.014844490958456857,0.0356008111241084,0.0026797029956069363,0.035491634803574756,0.0026270321916315176,0.021431074435331862,0.0005246418299522659,0.1993257595906715,0.04110994749124122,0.03106670893307499,0.0020338537615507413
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02469231129501659,0.09180511643728706,0.025063104378407974,0.0007524402743059877,0.016972184824350256,0.006640985394662069,0.0027983532644175746,0.0007152723488419443,0.001600962976281206,5.57606617757056e-05,0.002247969445352549,3.8172565561156446e-05,0.008609145125857198,0.001698590764728447,0.00081671243379422,0.00015634611618153826
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09745575330172707,0.01720101426452303,0.004968152760033373,0.026424234363921606,0.0005580913723026715,0.001760776950393117,5.286552683836376e-05,0.0028004091558447852,0.0005674071868881914,0.003957439182408096,2.6962869793978328e-05,0.01246152565174019,0.002263269010031821,0.015172286320960682,0.0002679160100020894
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3667154218957265,0.12068311512824237,3.6118107602756298,0.12316751057121711,0.3218433144884565,0.02596858020320525,0.34047652776842463,0.026240179514602557,0.29765737052371505,0.004011932978388089,0.029328827582417394,0.007455847856241288,0.004779894596823667,0.0004404480170148162
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.008193543887372,0.32799200729438704,0.028054159806427448,3.526950511001191,0.12582849056931944,0.31398660248567173,0.0034726792200800993,0.3415157628177097,0.02691629245241689,0.00504276044845009,0.0019150917153757108,0.0005575548413378068,0.00015896871372433896
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02819026597054175,0.001544705905304422,0.125501351052544,0.008283101737878384,0.003750112887034085,0.0005196538362020053,0.02695718446357509,0.0012254899668666663,0.00027582697570327497,0.00012055542116162776,6.724142263392352e-05,2.203797491606707e-06
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7628513936108372,0.3070445116510608,0.0035504956187600856,3.5156470732055967,0.12856068920679287,0.3216391080772645,0.026890251088205086,0.007414271081464169,0.0019325666638405,0.0012950921789123895,0.0002353519815301297
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038448871093283987,0.0005189488920667173,0.12246085757007452,0.008232986583581292,0.026671759902554104,0.0012262303856480639,0.0002200764072217698,7.08397798051541e-05,5.1060479589915e-05,2.1401853744773547e-06
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7680835779892181,0.3348301433717693,0.02720030672360718,3.685848167121571,0.12626182887964488,0.0009856559750231475,0.0003640827944522973,0.00012632681383633465,2.7881541224128448e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026962857727055534,0.0013525326535381854,0.12378510556510447,0.008018048917544096,7.932662235665688e-05,2.8456961704281802e-05,1.1392329726245265e-05,1.9539679911861896e-06
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.010307336058028,3.44701429454268,0.12161911875263187,0.0012821636050700247,0.0003356756414467227,0.0002491766869198303,3.049935620724753e-05
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12218290134904375,0.0080459247695992,0.00010330748365694475,3.294944085818763e-05,3.232621503934663e-05,3.4026539386111665e-07
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8325533382983752,0.00210491296668755,0.0008305067442563874,0.0001903232912506339,0.00010480185225703043
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0188975620106788e-05,3.0204071318484793e-06,1.8430635427835185e-06,9.400101141920914e-09
C37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.204254187245194,3.5537970133464274,0.16970080740478344
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5108482984623518,0.06692548251215324
O39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5304097226306874
H40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
