,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27C,28H,29C,30H,31C,32H,33C,34H,35C,36H,37C,38O,39O,40H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0795612971219026,2.211905776558703,3.245856490566242,1.381816098699996,2.1383318540673883,3.9502641549059097,5.0496627514133925,3.41789560607546,2.5365256799364535,4.33937014509568,5.20964693830257,5.060988181747136,4.5319858385518,5.8451721179775005,5.93048242036442,7.17929550180831,7.545068664555804,5.8249566667666866,5.050410092188863,8.149127387657465,9.124845677123389,6.983817105235158,7.198440289942838,8.066829768587557,8.992817920532566,4.170306473115479,3.3393851502584297,5.4739934510757084,5.617198672196066
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2412014762292127,4.228152980728602,2.162778170090008,2.558537209778639,4.067210479876248,5.0184104764468085,3.4589509731039683,2.735020409485571,4.089355140612897,4.941371286581821,4.933584018264828,4.472561169890378,5.561532599539571,6.016166613805902,7.197013134378478,7.410528605782892,6.154886488520148,5.485707253453729,8.292433958053616,9.2184706038707,7.405170589115811,7.755152209393521,8.387125159058229,9.369140520755414,3.5605908910696407,2.542720817622999,4.777292575635627,4.781649552517584
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824743158073156,1.3669293118681696,2.1308790680791523,5.072751006902347,6.290838249377065,4.5800241225675515,3.615236893633188,5.674303095532805,6.572794604835604,5.976780687342861,5.268492774267727,6.899763361604511,6.45926761263268,7.798611300121994,8.419135563411691,5.869583710810011,4.882879776533576,8.513216873562621,9.566491652622327,6.7870934203878575,6.665672552508269,8.070359057251611,8.855371500999935,5.908337940602986,5.286072547631099,7.222633291210344,7.491795821731293
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1505546810998264,2.5531405629194266,6.006204508512618,7.231042607755424,5.47268601068302,4.510918923283066,6.524670285064379,7.4457087839544505,6.637376330199905,5.84530991557521,7.554198803664316,7.012024536402637,8.369825254666878,9.062621357344003,6.269867813982265,5.223541504914679,8.996657303019257,10.06958223542254,7.081130125779987,6.818437748484707,8.42681160163091,9.148308410217737,6.812649779520777,6.223489676273827,8.09781866815837,8.373629521963645
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0098826668048124,4.996544986812703,6.16749293871469,4.30525938580525,3.308398276376938,5.171849525114603,6.143330117510956,5.5412153237010315,4.786922155112551,6.331782683403516,6.325191364604778,7.673302933636193,8.146111607591482,6.007166415470283,5.069195630479817,8.577749996741296,9.612051254324474,7.1238307405472705,7.189566144144601,8.340159939026202,9.231259286542928,5.079555452080763,4.290776810404461,6.3423007092684935,6.477848096489082
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.801148762604587,6.943029381174621,4.965433194674692,3.976417800801927,5.627658448673208,6.6567404183516725,5.8483811828017345,4.984431977269746,6.52372296400773,6.741100510773783,8.107947105399091,8.537734484685236,6.477821384447757,5.520882995883791,9.069745571328463,10.107281373321355,7.644983924562735,7.726614803048513,8.86934882443773,9.784646699067446,5.358965132429774,4.507909532876939,6.521352666460211,6.553792885361854
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2267090994289143,1.3737559094549883,2.052096548171835,2.4586530433793534,2.4927617154285393,3.658012015756727,4.051849452388568,4.513880438385696,3.8991714713568184,4.593653942884735,4.898751066164955,4.124105628119291,4.084798637697666,5.358651446893225,6.122596583293765,4.962334297508481,5.493848417187522,5.523702051711977,6.377699719195817,3.3881039480867163,3.6924045830848313,4.441697858032197,5.118550359492535
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27987086803314,3.153315028421889,2.793715354473235,2.315356965844397,4.065265646015926,4.713253700791582,4.735043603536195,4.204333428431174,4.536495279002422,4.6535008785998215,4.668452241211277,4.879596718848371,5.246184336580316,5.82744285859477,5.362071202056144,6.011381667391621,5.625338909933755,6.425922199261199,3.6863199424153765,4.2033272468738625,4.443499946027504,5.159375817164398
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.014065730306582,1.4447300064006712,2.0451441631658707,2.4918804223024877,2.7249784812882645,3.405952497478233,3.0554730748636527,4.031552701236521,4.3527683377487465,3.3777923173088715,3.20939430706735,5.012959912069181,5.888418016460336,4.503897386117741,5.101867779496111,5.213875517837542,6.1907622466534935,2.454120897205872,2.8119304711471496,3.625276331876762,4.31781304221629
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1179438145306824,2.9577899329985455,2.8440005414792173,2.66636438972454,3.794633518748227,3.5131074678333993,4.688561329651124,5.095522934993199,3.5764257503369588,3.0924107707720636,5.651017126165907,6.60251634068775,4.767870540521174,5.213755340574813,5.6875708183809355,6.65747458947713,2.7540519698555475,2.737546923448288,4.054002666874135,4.6096678892210505
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093412897527138,1.5571544616116832,2.170590743997444,2.161684859393125,2.559934055605552,3.3474014421987492,3.3733295262439955,3.4418628310687183,3.538597841563286,4.5837725171741575,5.362791741661892,4.654198454817212,5.469321140881669,5.126951335503837,6.176716898430023,1.5292298679552836,2.4491933537705,2.3808283151902936,3.2167300839992596
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.178067495076827,3.070564582212137,2.534538771477346,2.7591077246369715,3.0878760688759117,2.9190448831667863,3.7951056346042362,4.147395392989181,4.258407336035329,4.874959909644324,4.797941386180078,5.6980795252644825,4.992180840501881,5.987811688589405,2.135008232132726,3.177608331919304,2.543686425269857,3.4567275244718965
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0982522502529666,1.0956922018307196,1.5131725889484555,2.529018652159469,2.7249175337775418,2.538909599736772,2.741536807321302,3.8172984425423517,4.681312741878059,3.8243183564985834,4.691415858425,4.327540050526132,5.414515823405779,2.523422829973448,3.413595342825841,2.9971225589954216,3.8337359487217704
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7634143140672824,2.1554530556290987,3.3950811240647236,3.7228895454461743,2.6751294621456894,2.463128239926931,4.561543500689219,5.504993815337521,4.053573298698986,4.74387502010397,4.827207991155558,5.894605456198197,2.7860065539842314,3.3383158865833735,3.4565499078563704,4.115856365379081
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.152189318829452,2.693390122587862,2.505965309381875,3.3698914969045495,3.687999771701768,4.060331265950195,4.758756200754885,4.538646381269165,5.4752560942395965,4.817331015481254,5.883844693897702,2.6529140247300234,3.6606217104526664,2.6055449142796485,3.4117261884074734
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4019800265170268,2.1569052625665623,1.400854733254006,2.155280518922577,2.4329426582646847,3.414025485689899,2.4323953594000742,3.413287475491794,2.814506810162773,3.9014910586205835,3.8831357676154465,4.787385860427323,4.316513324967465,5.224522981885717
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0884639849413478,2.4091179767814643,3.396463970700821,1.395372463371081,2.1530841473784275,2.7860454850243133,3.873174931265278,2.419145859344511,3.4050551151014954,4.627641684712095,5.695750826496168,4.738249107837077,5.6923336993114555
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3970070918049236,4.2978178350074705,2.1529650106611857,2.4740660187755705,3.874495849181276,4.961629066634145,3.4031385213076293,4.301002647125619,4.423948926355481,5.588489162425405,4.236968117867963,5.1734216139523275
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087645252189278,2.7868262349624873,3.8739067293747373,1.3963153349374342,2.153679336276185,2.419723528792957,3.4057452765026053,4.798376500386698,5.486893459833195,5.474831019583951,6.335698108681929
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.874461167166612,4.961545989172743,2.1534191739586124,2.4746141915696462,3.4028837865251838,4.300956984402483,4.737476749519385,5.2025605275116185,5.601402184248937,6.369832242449777
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0871023756190057,2.4140975040878603,3.401615129767009,1.3969156818404889,2.158708259935082,5.9535882379987894,6.988402930626642,6.110203828199577,7.071505974951891
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4014832572049096,4.303345242340297,2.158272328223406,2.489353411024269,6.666504679835027,7.764893429562799,6.658953619181841,7.614254642565407
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0871493621179886,1.3961907685030404,2.158204376200977,6.088391933448967,6.8198453698176085,6.699476056124467,7.600816791440494
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1576121290370898,2.488809781995145,6.8796690339959135,7.492478904580916,7.60214810149854,8.47442831304842
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0869850485851007,6.582814133396105,7.479214685630442,6.972769722758733,7.92271541569864
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.647929849115088,8.540318847436476,8.027748036906113,8.984067530300873
37C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2127182122666884,1.352996013070132,1.879871067890942
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2510963306751735,2.2843080256344996
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765745932352375
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
