,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20O,21H,22C,23O,24O,25H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2269030286554914,1.3697835393221773,2.0786141391334625,2.466355888814714,2.4825481083305103,3.559491737804859,4.436375385920247,3.5085354928825283,4.162973388567155,4.585259042116338,3.47415629780843,4.545617667197846,3.538930599313864,4.449033433683893
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.280450325650433,3.18209284468015,2.8054365800092276,2.30364035806635,3.96790291004236,4.636305257804592,3.848886675871239,4.884565737797153,5.289930596014538,3.8096060929193785,4.986698608606705,3.6616305861686524,4.614235486167018
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0164986360576587,1.4543355716570445,2.0507841115856396,2.465829734426764,3.4077971153509417,2.707630420693594,2.88301627395615,3.2290013261913546,2.438562733874155,3.3494864528932693,2.9295802659642662,3.7742740144834293
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1215701963323834,2.9564248366437944,2.689209304732202,3.724087257216052,2.954857752017126,2.5762013205778747,2.931058546811113,2.8468960872515297,3.4669480080552297,3.491704552850918,4.188322622281614
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0954345995000372,1.5355106509709462,2.1661228898864398,2.1524251777308328,2.4432445951261395,2.628223961100692,1.5307374998728958,2.441373860010967,2.3955076467994045,3.2271450362068848
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1852330374763067,2.5187779673836217,2.489972564483274,3.38839196114136,3.623572868432405,2.1468669573024184,3.184399897255884,2.572412413972169,3.4862715803078244
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1005575075499994,1.0941182057670273,1.4162767154684497,1.9203102583330591,2.5137058448206475,2.801678280042866,3.712110384444672,4.381889562236598
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7773178243715655,2.092490967701136,2.278885221547208,2.7488034758698987,2.8156233100350896,3.9372832735171497,4.494940454816895
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.025585567072549,2.8115565272021374,3.4555554250658,3.8808734592385883,4.522498774205711,5.292083479665815
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9741347391615152,2.9722279357386396,2.836281216688934,4.260207559579579,4.75783140794754
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.609083028104729,2.1198792378231444,3.9164007509541134,4.23426470294782
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2181711634397656,1.3454034961803674,1.8741748304965433
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2480630507223367,2.2790544507900226
24O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9771613794434538
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
