,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27H,28H,29C,30H,31H,32C,33H,34H,35N,36H,37H,38H,39C,40O,41O,42H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.122123435408988,2.52929894210068,3.3226030988627215,3.6637733674388473,4.148304972975421,2.7268846695832094,3.1457334345478243,3.049530451371256,3.423326681465826,3.9403673492868787,4.777609220421975,4.814849228226167,5.633814033579124,5.414688354163689,4.5066516221539175,5.392697446464332,3.660676897909477,4.829461517779753,4.810872895198688,5.915148197577599,4.4586646240327825,5.179698515911019,4.838570733408011,3.0833105367381544,3.394657576468613,2.5533038009747964,2.735002736261651,3.6769039859489,3.0010422450646335,4.846997318220418,5.02136937119081
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2462894624883876,1.3463047632728213,2.0713267200803167,2.0390175445216774,3.6968172905333896,4.609460334813108,3.669366662298413,3.418825794208873,4.8487061917199155,5.73361783772817,5.272254785086402,6.271624732182833,5.584049177959362,4.608696095401073,5.139886547504031,3.5264234632602203,5.231222386731513,5.638420288831646,6.1873695280901275,4.698073372822623,5.5869569354009,4.585957196337606,3.6252562989074106,3.9957857019510605,2.618039179598048,3.8288085667601104,5.130423918494009,4.6166783496192965,6.42228612611657,6.774500857339695
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2477015438641788,3.169312332785862,2.4709604420828644,4.1211151034754545,5.0292799302517395,3.690915326425162,3.3789574345592173,4.606369723995907,5.607909000352284,4.705752203759288,5.648036820983561,5.099568470722776,3.7498663752165107,4.214957979484884,2.695344363345951,4.233630903641682,4.7829874188388795,5.121177768954784,3.588541351848339,4.50246386581822,3.3653609624085514,2.7230498421255653,3.1886534954746613,1.661625832885783,3.168437638292514,4.867673652599753,4.2940312194027985,6.196567563340402,6.542462222047583
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0102494792777088,1.0124466953521802,4.440833522757699,5.447489406934061,4.496850641107066,4.045897059613873,5.807970216651581,6.5958390585933815,6.175584508031137,7.231919354455098,6.2885492177523235,5.543751768372271,5.893973643523727,4.44973720307979,6.3352912507969865,6.837730335129009,7.221988105996066,5.830523993725818,6.747192333276855,5.548595042683378,4.887151619030779,5.235374678570552,3.8434852815072076,5.154485116582039,6.292877640126778,5.893547956697572,7.565353239009104,7.986026770114339
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7373764284454418,4.599816248548722,5.533602637889274,4.919600173864793,4.541583971659826,6.3095337421626505,6.998804848210687,6.847998617650802,7.911196943316119,6.9222025174197785,6.3701414192944155,6.762925712966491,5.285952874704622,7.1984380907728065,7.622625398405983,8.121928853611331,6.733636123856958,7.635010708348734,6.5151908026308325,5.692989325000206,5.995251003523036,4.6813052773605595,5.856632436177142,6.780967596537557,6.420770726435698,7.996015321625673,8.407678509575804
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.193949021970367,6.269501867673356,5.043819600381075,4.437999626182255,6.291552220024612,7.104393121066237,6.429838066787924,7.486539438664087,6.4614131411076405,5.650242980105163,5.82105456250091,4.581471946499822,6.466931702815243,7.107969184399893,7.249085023057983,5.9241344233389,6.849250479935125,5.461474957603061,5.185905847599655,5.547984444126731,4.126052181865404,5.60496264693247,6.881996288553323,6.501494017047518,8.179944524700288,8.637359047892751
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.226630392296519,1.37051683064837,2.062357443846168,2.452860089799385,2.76843205417764,3.7649585239574717,4.59190777961641,4.009222134652145,4.323577358683088,5.139407423392615,3.7617509209907243,5.224031410037466,5.082317442015891,6.217849117113222,5.636737742292293,6.510412685184414,6.082719507975321,4.747212122300243,5.4542460727424995,4.31652236114484,4.102207694101239,2.93911046458306,3.2776731678500046,3.8184683051371517,4.413320996973197
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2635207330635234,3.154199696891573,2.754379950282605,2.8312374140123477,4.2720183305752535,4.881641735487232,4.658054842418006,4.998892432437531,5.91838992924536,4.594448714390651,5.668571048533759,5.291237088393231,6.663803211891862,6.121014409933208,6.862084484807915,6.7334585875735415,5.173372449351699,5.782362525891858,4.944377314925246,4.349818600931853,2.731055650863853,3.124649125487921,3.2738689355947255,3.734203121931617
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0112257036142114,1.456249586966649,2.1013811415504144,2.468157605160137,3.400582951324171,2.7160964284301508,3.023230875349595,3.796614412103485,2.5682376668254934,4.088796421063473,4.07864258185921,5.014649751366381,4.695885922642304,5.634887209779243,5.096629587166581,4.1115831017398765,4.986103907471642,3.728191975290947,3.5578721804754028,2.448264390823112,2.9249915422690327,3.5013713721382835,4.233460705536372
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.126423825225462,2.73989661198367,2.555688274652467,3.6184928234743583,2.504641407979644,2.8572910021782794,3.3891203147492535,2.2631468903936582,4.1641144847433065,4.40637192546945,5.008437019162905,4.730157116508011,5.758792519273574,4.917867104678288,4.289683968752201,5.205070783088122,3.7360722095283387,3.963826007392695,3.311137276359621,3.7041558129299115,4.390118779586475,5.149476621341591
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0960545193455211,1.5518112473200314,2.1652581878740005,2.1307185030201237,2.634849474080579,3.493077392783379,2.732681315837372,3.4818419445284285,3.2156190888171987,4.291600204086685,4.459465061096793,5.263980895326267,5.058284510588232,4.184604225242395,5.097928630379504,4.152238062164196,3.4808981448477696,1.5326237083683458,2.465142635220608,2.364157265378431,3.2180865202890114
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1575018556070527,2.4622386225608723,2.383671468215432,3.5392318621787635,4.257978518433601,3.7394178615951863,4.405386337772096,4.048807854949629,5.096871046729856,5.498115460090688,6.258591093379216,6.107292584566774,5.2610433415236395,6.153499407905503,5.238731153663678,4.507496084155717,2.1100255719430536,3.2577950744932136,2.3479692174613844,3.3105310049420806
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0964994431417918,1.097234157920636,1.5452903274732805,2.1548252786269377,2.169044438862118,2.6114154230456905,2.6647943230095557,3.1550196354168585,3.88429910993034,4.710087692518588,4.335666606145352,4.140656579312792,5.139388697976368,4.17038695589584,3.7154570334608654,2.572006902285619,3.261705877769821,3.3037704457572157,4.100013401982104
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7479234700944286,2.1887846802416884,2.664162690779734,3.0668580236522405,2.727202276941416,2.525587119348345,3.003601635679503,4.1912114163643395,4.823502284975994,4.761704268658101,4.651008262358756,5.594293617277165,4.892981731285449,4.166821472981971,2.7771330883673717,3.554852775936368,3.1110454613572065,3.8573831446531655
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1661088810929296,2.3126510323682195,2.642503825502396,3.4902327085916816,3.7047421689543816,3.8813536418693477,4.724319822122527,5.6116359613307365,4.991243616151498,5.011811686281685,6.0305982833063405,4.876022406320887,4.673865979187908,3.46961877036208,4.246296748552338,4.107561013527171,4.988609374469902
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0955495442697694,1.0968995412652214,1.5490086959591556,2.197465358620671,2.1804281097455607,2.5871934720345484,3.526710892193296,2.8443458840005307,3.098775550009149,4.104030068377099,3.1026742223262818,3.044562174714481,3.250770385578924,3.389317072083121,4.2579335210620455,4.848030765510363
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7417245922403182,2.160577552670067,3.0077766784923194,2.311583656348906,3.106247426824752,4.002900453817235,3.0309672168527815,3.8852392588181424,4.847592216651925,3.7991732458765743,4.020779596490001,4.291091192212781,4.484314481597971,5.218218552080043,5.8494819617009846
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1872659533644283,2.8277371376957827,3.0082261703085793,2.619715131228548,3.689570610896485,2.7174953200840575,2.678272915958213,3.6800052037477706,2.341529672631381,2.733201358295045,3.367625327458217,3.311781090012408,4.571840694029076,5.1360281003134425
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0952800865535288,1.0959883445669265,1.5291511702456009,2.169795499660519,2.192779965841804,2.5105872689585693,3.3515191055483946,3.017932052289573,2.538196130479529,3.424028907923478,3.205160777456131,4.296799552129688,4.608031895933146
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7466399358570486,2.1405673285419935,2.4691614171090825,3.0725369344270312,2.7331473956042327,3.4772585564028,3.4275999111446502,2.375194636046783,2.7621337450786134,2.56307610765839,3.4389304169810835,3.6336838377715512
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1263699471528046,2.4315437740608137,2.530756214201923,3.433280990974081,4.159006169569629,3.962538903002057,3.569840835882269,4.311145790280351,4.198421199503842,5.002581285795316,5.305617343784875
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.092821052480541,1.0933601253023313,1.5169757205424994,2.1149390856852714,2.162667781882325,2.1195202634569914,4.193510942937785,3.5362478272127014,5.2140457393529065,5.349211881330054
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7735388256813953,2.116259522316927,2.2683818855311864,2.980235891098455,2.6435205204086696,4.761949556022319,4.008681989978029,5.621127310900167,5.5911517806557285
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.112524996806082,2.6035398289370337,2.322130569731917,2.9467085705851193,5.0417304630978865,4.444585591856683,6.135574265376606,6.352076294898076
35N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02336361326497,1.0614754502812713,1.0429844995388453,3.72789536990911,2.7943277021397837,4.882203365145082,4.943233516030768
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.680268750309478,1.6820658660860421,4.460961393842915,3.3769983662123852,5.533792469265876,5.43925321474092
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6783158421310571,3.998058160021891,3.1941704857998285,5.271450366406307,5.464498935393286
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7844804249660853,1.765468880098746,3.9077284260269187,3.9358009182514526
39C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2252233007747353,1.3300405792619303,1.8822103618958306
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2391260425244184,2.296036477040632
41O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9777519489116577
42H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
