,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33O,34H,35C,36O,37O,38H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3217587832399493,2.1408223541050986,2.5051640291472745,3.2684084916121443,4.697899892614333,5.179226487409319,4.596342144913353,5.005512510985856,5.677701675664891,6.707058342101178,5.635558235990215,6.643442867449557,4.114040385532838,5.169427003421044,3.4353598450521474,2.5836106630752735,4.182295632326698,4.675976685491785,5.476699678043942,6.1714466166749045,6.0473175836215045,5.504172581497315,5.113915004240314,3.6986124028489678,2.7583406666768524,4.870831846810133,4.895978235110925
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2558977296320717,3.231172543310745,1.4224701690711476,1.407040168635354,2.1719442480318705,2.4715763101790214,3.459325103632361,2.410069672350843,3.3973501942400524,2.8010438558379485,3.8877028963052207,4.296302964955091,5.489951997730239,4.115444808758937,3.3437517752384758,5.4405237113230935,6.1485522752757085,6.176115328234515,7.182141919490019,6.375006828201755,5.792678524998093,4.954333531411611,5.652575571381306,4.993201403795542,6.9893200514672715,7.253707049169445
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0081731760960686,1.3810377240657297,3.5786683195918028,4.42759967463843,2.5256595931682853,2.8657134745861237,4.12783990481546,5.213535525649441,3.7216077648486827,4.645241228883347,5.070845414398655,6.279206509435974,4.3423872944683355,3.331327527434553,5.269519422951222,6.054207252154001,6.168573012165778,6.97329561435711,6.7271664201379355,5.707136118600939,5.118033950819516,4.851430676683539,3.8317349479236826,6.061390782299631,6.033422805594762
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1322356848316675,4.49976055398267,5.398080948017615,2.8900770193713234,2.8462857058115727,4.881361936579913,5.963799333282067,4.2346469799506465,5.021228400852504,5.8084652725145824,6.987188391407175,4.920348490544219,3.9092304323126,5.635244096901147,6.448435630213987,6.5033074096668395,7.19958857173268,7.1868881241316585,5.965284128197816,5.491762417353765,4.958006689006963,3.8280592028571596,6.037990680980978,5.852086642505167
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4365728830389615,3.430197972408253,1.3994140695089368,2.1734453393417614,2.768283996876375,3.854886268146948,2.385013003482703,3.3750439979732945,5.236345174817119,6.462892249858123,4.711425809182036,3.781021828040869,5.82930261401381,6.659018615491511,6.5264664320526915,7.441279335478669,6.927267940086783,5.935405280199732,5.181245939002827,5.697707836956151,4.831414995127573,6.963805988920767,7.051474501090014
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087368277573269,2.850252027290149,3.937495772766094,1.3900688168383437,2.146553743270347,2.4389263767692704,3.414082530201383,4.853728053493311,5.941505079619999,4.935887819895913,4.346583204273312,6.320177753570831,7.005135417248908,6.855040004655733,7.916092183656596,6.8699963625591245,6.421401825066079,5.494172898315272,6.754990755736473,6.225437633220772,8.08679946764035,8.434836387652997
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9375237868143618,5.024748105677948,2.1556512082322783,2.478680420247455,3.4249769437881485,4.309935890443259,4.609162999481667,5.5680468716201155,4.990295876991331,4.586002862071971,6.423034428385489,6.9845240271817275,6.947083678465568,8.032098494044051,6.799856700681266,6.675901929718433,5.7423239817545015,7.065680170891209,6.678497631376895,8.393240132510378,8.840030647534396
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872490910628663,2.4412914433487787,3.4147793890242344,1.3908393874713525,2.1440168268275412,6.422671359797745,7.633261486101786,5.882775389375719,4.988882206212078,6.949431851683309,7.852751477196294,7.44919974582784,8.35097143915828,7.843949651795158,6.6532060943321,5.878866478442811,6.795549433682437,5.929507780213411,8.005010821187327,8.045189783667428
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4314962875921466,4.316053329438625,2.1638497509765084,2.4862299738103513,7.232306890855738,8.446259612704987,6.5440609929877365,5.6107816367928685,7.469899389252349,8.413707363523569,7.941174548609604,8.762078726278908,8.445390340426304,7.053385879233212,6.368107552784444,7.120910737430518,6.172317211730192,8.240441668093753,8.160939991096662
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086800057042022,1.4106771599268615,2.1627198831205834,6.088554287966181,7.17351505763719,6.039398859352034,5.403862580938794,7.34560786130479,8.128495212831313,7.719977389268701,8.760093965256083,7.7739988918059195,7.071771343002381,6.135382089816847,7.685107086326503,7.092353224932836,8.983015604667354,9.266718333008896
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.160926983212265,2.4756257723650905,6.73016041025577,7.730280590026289,6.816874500623611,6.276859951962916,8.137113809841098,8.891828519585886,8.407614339710722,9.463528193925958,8.35300574883804,7.756612080537569,6.7985472798132145,8.594655419082573,8.074784338508993,9.88539264338658,10.218418635882074
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0868398476148666,6.767501252174533,7.9241768975912,6.443110936025982,5.669548058662975,7.61912074629019,8.500897290344936,7.98464754596724,8.954556956883229,8.21442613687256,7.173571084706794,6.30588065914443,7.700329306505872,6.963531221827942,8.944139147552425,9.091201695459848
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.783506678923638,8.922437322783972,7.4350505331692025,6.673406641388032,8.564540507694867,9.480831766118376,8.827729978485737,9.77456922769013,9.059599158913814,7.915700950074813,7.0638647411809705,8.616011908939113,7.873321903229898,9.820632284667644,9.935265357546136
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2286489036587622,1.370893215596986,2.070338086772282,2.4486428697761475,2.5680196060818052,3.2751000722731654,4.212387431841447,3.0467001356957746,3.92640906885113,3.4682429513243473,3.6503963213326345,4.001356649457541,4.735836027837639,5.48355761934542
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.270589494291756,3.1640701553059345,2.7561797287588266,2.4433085349553365,3.3576911296305645,4.127497773970346,2.846360663191276,4.325121370123942,4.049963041182836,4.145591347335855,4.761853388754625,4.978864842423919,5.834876367749784
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0163095897275904,1.4552184573220275,2.0893254060375135,2.475302401476616,3.413024885364527,2.712702389859318,2.9356142281423607,2.566537484457529,2.422265040788906,2.7297261162363897,3.6184880601131324,4.295718291272946
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.124281729517055,2.884398608160969,3.1538730995072943,4.059509453275878,3.56698871287793,3.248962361048841,2.7680490967377573,2.488013058199935,2.3136109715512374,3.8211257794124514,4.301795952856908
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0975416357382963,1.5453155032002885,2.1747901939847694,2.1494296784096356,2.4511218327014834,2.608039148648296,1.5199087304297774,2.4358867003748848,2.3709533938768854,3.2063133485412636
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1529752852690875,2.483070107808982,2.434302883525997,3.3696533162298756,3.5879148169396955,2.142875599392737,3.130680796738426,2.6212307146926537,3.51590925664481
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0928588557623717,1.098766862584816,1.4154199789801178,1.935078096865771,2.5242026578701684,3.489463308805121,2.9050151351484295,3.7695854051512216
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7811363748059912,2.021195397815149,2.8194465872231884,2.7568573799588485,3.862171009643536,2.59312167926665,3.456753736865446
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0955284945602117,2.3242227442034853,3.4545388359777665,4.395944693572217,3.8772337310820064,4.7897625152272845
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9716645540321305,2.9423414411971756,3.550203138174206,3.445086848745184,4.075776719345921
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2413593087103703,3.6269383549221725,4.041896113639445,4.64841727815973
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2135805132834583,1.3480372936779441,1.8763357013401265
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2516410962541014,2.2882946237894135
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976183977875162
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
