 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,O33,H34,C35,O36,O37,H38
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030915133230512648,0.09996398222390157,0.004946819751141085,0.0275466453867117,0.003043837101463609,6.336803956807913e-05,0.0027117982346991365,4.486676064940909e-05,0.0009924411418179568,0.00011446211936427808,0.0009243379036834032,0.00010502336958073677,0.0001593476459138543,9.192512079647663e-05,0.0013866572289580326,0.0036325709679108087,0.000173005558642636,3.156304090645712e-05,0.00010465633454748158,7.119278384593031e-06,4.930822976589866e-07,6.616947753057545e-06,4.919755092647193e-06,0.002359122455304785,0.015506887993138263,0.0008460649185483282,2.138042643462512e-05
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38733382932309796,0.03105680287601087,3.417393900746016,3.488348126391993,0.12829086661895395,0.2873118109984304,0.026718741301811733,0.3376106853506773,0.027777133600301873,0.23443428109561223,0.0039321818614177495,0.0015209445285087053,0.0006945558786837364,0.002313631684041806,0.0027680683850729304,0.0004847089364266033,5.703860743011546e-05,6.587483176268005e-05,1.268188344738519e-05,1.2697417495211027e-06,8.64441280538919e-06,2.8843712315596015e-05,0.0001761848663512644,0.0004798294858706087,4.2033866334167946e-05,8.511145050738023e-06
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9977401919288564,3.3122437298930922,0.04853747739447978,0.004156006892720221,0.25333612746618006,0.0072555469303237086,0.049977025113754445,0.00044834844911156857,0.06645547812442221,0.002995174119125421,0.0009042945321687257,0.000341561814939384,0.0024377002462865616,0.0033246022741750814,0.00043192871756403406,3.9434244231806304e-05,5.791882756436828e-05,6.79978355799804e-06,1.9356081053523155e-06,5.923036400887205e-06,3.0301373178387436e-06,0.00032415377858030503,0.0013879205421135632,0.0001166255462945881,1.3838393043585917e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11604848693930414,0.0034957098234127404,0.001387900831717026,0.006982451506036047,0.003292420629573467,0.0005657295051560984,3.912298871289188e-05,0.0005882739782177016,6.975929114472201e-05,1.0004589621193105e-05,5.813616365424323e-06,1.0200275394334213e-05,4.4683037038861784e-05,3.414350834285429e-06,4.2578696346495803e-07,1.3107234209108753e-06,1.5905195382970305e-08,1.4759481725690193e-07,3.1354587415322044e-07,4.923603746931349e-08,4.6148766733811186e-05,0.0002420841491294068,1.5024134028762681e-05,5.831018519142361e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2994524825365165,0.027326288187466297,3.516205096090812,0.13319191388791118,0.2315271722601509,0.004055068905338688,0.3555250503071824,0.02821602431599901,0.0006215322800507406,0.0003878837337507046,0.0024092115641293765,0.004441632467068302,0.0002742273834429598,2.91024756104985e-05,4.910225199664109e-05,1.1183680242776717e-05,4.703814593387534e-07,4.058599767667315e-06,6.491620288651134e-06,0.0001858359442978852,0.0005144833470558524,5.2616889041567916e-05,1.2509516647885022e-05
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.062366956546576,0.31110718723129993,0.0036065740334130236,3.8863804245858975,0.13192683887433043,0.3217832714067018,0.025790528965949466,0.0010290295329340449,0.0005945702571356626,0.0013969752077512831,0.002213024765188476,0.00016870196376819746,1.766351756060658e-05,4.3264235989382005e-05,9.334641880354155e-06,2.2134559298780943e-06,3.473077410762193e-06,3.919545298325389e-06,8.913778765851088e-05,0.00029186225346954087,3.251342768365029e-05,5.588174559756354e-06
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035080272525775946,0.0007706305315933193,0.12698476856597618,0.008443021120789984,0.027279374892519526,0.0011207633867853506,0.00025721250721733036,0.0003275919145019346,0.00012534365233562994,2.696588684791834e-06,1.0132869742163209e-05,4.547192087311913e-06,8.304213078735856e-06,1.437747332078132e-06,1.0969327333132384e-06,6.10437020376331e-07,4.5940622328544123e-07,5.187261356009998e-07,2.3613535138355957e-07,1.4814262971896142e-07,2.3487773948005497e-08
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0550795747586683,0.3212980068404836,0.026187142328611746,3.8198891564462873,0.1292276302204558,0.00017433076369735567,6.983672500181226e-05,0.00031106363941227344,0.0005340983459921622,5.889260811731134e-05,4.712763029823819e-06,1.0234785594143148e-05,1.6034850089940988e-06,4.0786257771152634e-07,7.477302312736134e-07,3.484353647831284e-07,4.539032040998259e-05,0.00013606169629916398,1.4470703898428194e-05,2.574498367824418e-06
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027367195055689075,0.0010483885351830757,0.12534844308317328,0.008420879455004693,2.17360524956689e-06,1.4581516254441595e-06,1.6113217302660132e-06,9.357622445804736e-07,1.8611377994304235e-07,1.5522487739616508e-09,1.390296833214677e-08,6.390501461339682e-10,3.626487110608423e-09,4.94296326092325e-09,5.346914022652527e-10,1.1189927273669298e-07,3.7070015435070047e-07,1.6856467111026063e-08,6.993418955048014e-09
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0078257548889984,3.762207875168507,0.12045088927234526,0.0002613214423513588,0.0001532656786544795,0.00026427436469121657,0.0003036165251624201,5.3729532522653334e-05,9.255535450836128e-06,7.908554593427652e-06,1.2811705627502334e-06,8.644298328253086e-07,6.829009696895927e-07,4.6194613245731375e-07,3.453666267153044e-05,9.5436188483497e-05,9.414493791645717e-06,2.5904554910027855e-06
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12530353066829947,0.008140106264060254,6.664904295128338e-07,1.2904286685877508e-06,1.5209878205801886e-06,3.3185279775249654e-06,1.659873629655806e-07,5.810575420817088e-08,1.999498189242388e-08,1.42742484499081e-09,6.0144260682903905e-09,4.2206138584077735e-09,1.5526235852547643e-09,3.0510443793652087e-07,1.1130443977602766e-06,5.7005545506250144e-08,4.359197225412004e-09
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9144678543936997,0.00027803886119856513,0.00019633568761866227,0.0010664095262279127,0.0018351223164945196,0.00011986412643780198,1.502722658175415e-05,2.3495275083607048e-05,5.8091682120231525e-06,2.4931019404483834e-07,1.9276377047211524e-06,1.4016219855861323e-06,8.580294353646711e-05,0.00025717903377130147,3.099056409582024e-05,6.9359077173869466e-06
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.358590699389154e-06,1.8428254693336754e-06,1.9819175278712464e-06,8.286740005303272e-07,2.7306941108307115e-07,1.2128427395730057e-07,2.036617994249923e-07,3.8695171289404584e-08,2.8834670873223445e-08,1.615856914938263e-08,1.592339815559285e-08,2.768529847596568e-07,5.452217743950882e-07,6.046377043489315e-08,1.335489541176571e-08
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.701206290863169,3.606824288556939,0.13399834350468054,0.2752954982076803,0.027681493310308447,0.03268779199507579,0.0029405009657825776,0.005177245598783076,0.00500315638835247,0.0051583220385825745,0.02815442229631121,0.005338020864376958,0.005526141866612627,0.0011924359632582426
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5312699163597456,0.025748193750388837,0.07527396286767722,0.042222548435155494,0.016843517328707036,0.0009071049035612733,0.011734103654393646,0.003453255575241322,0.004360193289243974,0.00933693143723216,0.0039492874643472925,0.0013452859488249855,0.0002300860749610001
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7598986572384945,2.734453702027024,0.09463449408344526,0.18907057419903622,0.026825834224698974,0.00745547415932335,0.03247266985122635,0.043636109054211336,0.18807279668958146,0.04647935244683156,0.026991642661854026,0.005104361072386876
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09589470890721719,0.01685921757835218,0.00825383255677814,0.0007356116793886258,0.0001776228844239114,0.001850216578733077,0.0011968563008566413,0.027018089162456294,0.052865103551830606,0.003945048095462145,0.00012149107027914496
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7027897766586724,2.6826133795777114,0.09342072091050824,0.09702233743824751,0.21799187447311913,0.011945134239649935,2.7583951185904114,0.2751880190157768,0.22230412409500097,0.05332904235928493
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09183638608138123,0.0035860956941085043,0.004951478210442284,0.026237779718961463,0.0009295078615112473,0.11475399846654621,0.03109973277931144,0.010968731072706461,0.000577161984110397
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.888503726928822,2.1227978967165155,2.8645872703671746,0.11303914236864365,0.18895370054897667,0.04279864352707198,0.032823833202044364,0.0021295211281184834
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02794277213904106,0.0996729344483025,0.037244236497405936,0.009209701024457173,0.0012826639018082009,0.01476562806714632,0.0003291238951983466
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10927552822850573,0.008642444892322576,0.028472630002727817,0.004720811082404186,0.0039633393075027,0.0002628389320951108
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6988284859122555,0.036141384049102804,0.004931688166206441,0.004296197348013467,0.00028662709691362753
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001164936385955495,0.00038828264781576305,0.00027276504228135323,7.065664996752652e-05
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.226606227861829,3.4747272633987993,0.17114593820657165
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5118241782844888,0.06633500803940806
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7954817149280284
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
