 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,H28,C29,H30,H31,C32,H33,H34,N35,H36,H37,H38,C39,O40,O41,H42
S12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7345808989078364,0.09735368958295876,0.09681613881659556,0.09451738189945347,0.002779586044756463,0.0007341749165308276,0.0017993670142863183,0.0013069463114327995,0.00023025405328473691,8.224630484277018e-05,6.114811021544486e-05,1.3986809686450385e-05,5.210516139997345e-06,1.565505729150124e-05,1.1907433946856116e-05,7.560706898335212e-07,2.257652622995876e-06,5.408209806656572e-07,1.0550253282115563e-07,3.571627557805157e-07,6.32974225256433e-08,1.1926994614164244e-08,5.4835265925201604e-08,3.628005207367835e-08,7.750559083419262e-10,3.838209305939699e-09,2.0729821654033587e-05,2.2652752231209355e-05,4.350202978863071e-06,1.074209159845907e-06
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9793688486386016,1.9483368571820727,2.1489908392606045,0.001068719267404289,0.0001896703322051274,0.00045231222647840186,0.00016189866595361924,6.449490397844593e-05,3.4145680137709356e-05,1.1198947975715745e-05,2.5708094292253847e-06,5.598927461658576e-07,5.797677760890907e-06,5.5921056686392134e-06,2.5517622748161273e-07,7.925354914978255e-07,1.2444669583722145e-07,3.573043649840457e-08,8.410418540771847e-08,2.148674427271402e-08,3.5610482340686644e-09,2.2583362416228603e-08,1.2997256493285647e-08,4.6292125688296437e-10,3.1082618701105957e-09,6.485454532190182e-06,3.3138549536126938e-06,1.2207443101375226e-06,2.9492248321272285e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024442547358147326,0.025870558526318144,8.442227215965659e-06,3.931897123665706e-06,1.746030320171066e-05,1.995062126636249e-05,2.1753450742956204e-06,1.0520751649867321e-06,9.09807200466517e-07,2.6611887338212625e-07,2.7718564998835404e-08,1.971946754775189e-07,1.6161494187372227e-07,6.939590679877483e-09,2.7691097637116968e-08,7.316914185651058e-09,1.423405837641667e-09,4.6134591702440275e-09,7.00567825973053e-10,1.2979373131827288e-10,5.093389043864249e-10,6.656601936327888e-10,7.212230812569942e-12,4.537370479340552e-11,2.1985284881509415e-07,5.162207321607326e-07,5.1021196156852966e-08,7.530296386448754e-09
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025639896116871563,0.000256301787326052,9.848270717793817e-05,5.5978344644991296e-05,1.7479676084342088e-06,1.3450527452052441e-05,8.432607021546801e-07,8.882509796581672e-07,4.2150869461465845e-08,8.231038028938542e-08,1.5879466752632965e-07,1.6274042113906262e-08,2.0438387648979983e-08,2.923738851023927e-08,6.260784557454713e-09,1.9054626765324656e-09,1.1746048800276299e-08,2.787599040487976e-10,4.722888746755416e-12,3.252445646140245e-09,8.370060200491025e-11,7.487011011164668e-11,4.750235760297983e-10,2.325051918772303e-06,1.9248301885710362e-07,7.866503739517583e-07,2.2277137712300998e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018105612408225724,3.331062073541613e-05,8.311457795229238e-05,3.9687721388625974e-05,9.658391426636825e-06,5.883130841377593e-06,2.189123239793034e-06,7.46459558387258e-07,2.6328986768575646e-08,1.2099469156590104e-06,1.4406282822232441e-06,6.257591911307259e-08,1.2802707405334957e-07,2.9352533292836824e-08,7.0313204147964825e-09,1.9090841685276416e-08,5.477412079457622e-09,1.0639997771733078e-09,2.2708800395676576e-09,2.6431428157280834e-09,1.02811092972388e-11,9.53872536513245e-11,1.0326080817080197e-06,7.916003281760453e-07,1.630596713209087e-07,2.879533589350558e-08
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8000946485123475,3.3776754696873326,0.13374070175664854,0.26468805581015475,0.026034055713609394,0.02959907518443472,0.002528876599953156,0.009031350521005566,0.003968912117577383,0.0030313307402314305,0.00020160993561146867,0.0006005413296018558,0.00014238421891743513,2.2618631364990094e-05,0.00014052452037802143,1.3775084198419663e-05,2.8637556701571754e-06,2.6622961094513453e-05,3.860462767457662e-06,5.595498652199993e-07,2.222282214137117e-06,0.028473488535027736,0.007063236779332863,0.005628558416507307,0.0011534661425394166
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5303602424270061,0.026483694373756195,0.06490882543137488,0.023597020300570648,0.03507200620407386,0.001060588256699968,0.0452876066856962,0.0034468632798238946,0.0010577397658236842,0.00047825437308224306,0.0004607592476944117,8.79732157893498e-05,5.296834595114319e-05,0.00011601178874322271,7.358314990435488e-06,1.3002218899660356e-05,1.3434389539421221e-05,3.5509083267104558e-06,9.273608274629197e-07,2.1523285460567365e-06,0.006931577192044486,0.004026828490291512,0.001178127235705012,0.00023775942226078595
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82790198700908,2.842080771589322,0.09764884434693744,0.17613489840355254,0.025385095577683092,0.006713761055761824,0.025895178069226685,0.022051560960154815,0.0004477477019739773,0.003633775161480779,0.000618993000089274,8.825560435399282e-05,0.0006619959267922804,6.770208804340871e-05,1.6296975068552655e-05,0.0001510773915095187,2.604585142251814e-05,2.5320140173423766e-06,1.5335363216850695e-05,0.19190596596150847,0.06105484825954173,0.027088162995299273,0.005155918011604865
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09872536159523349,0.01048928854322484,0.014958022729004816,0.0008233625522557908,0.0003181827781706392,0.0006557306960176534,0.0003000442969716133,7.25380789701191e-06,0.000153622260301578,3.852311408070186e-05,4.490296127146465e-06,1.7322259468599555e-05,1.2643483557894797e-06,7.155757300036925e-07,3.5037685429673004e-06,2.4235950801809736e-07,1.3178856073103873e-07,9.54212289627776e-07,0.0381691198198546,0.08864490455707119,0.006001364071987814,0.0001887672073483948
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0208800419248885,2.7252495200138354,0.09636634441215519,0.09719747986434535,0.15693838817446013,0.009659295176121852,0.006024115963580767,0.03372488750726774,0.0008488889304731906,0.000866597575348349,0.006894407744612779,7.350179724574524e-05,7.825048768217435e-05,0.0019795076818262536,4.415868549745294e-05,4.2873876210713924e-05,0.00032488140147046707,2.7287621993290783,0.28051762778474415,0.21639690503953996,0.05286178470458369
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09515713760330502,0.004896043766599689,0.006674646985174393,0.024651716595177398,0.0016262701487108622,0.0005051894403875767,0.0029560931661497536,5.947912001125211e-05,1.9663049530604937e-05,0.001309410727920235,2.0890079221347335e-05,2.642102617533837e-05,0.0004014264984120164,6.004395248560002e-06,1.0781276919669125e-05,6.712149740462081e-05,0.11557470056371066,0.03314211685499735,0.01107698999098794,0.0003097148623698587
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0201308891173984,1.9340259685630565,2.8062451205161416,0.08095520085660857,0.0813396919856535,0.18378141120232294,0.009557315638324626,0.011024335048061329,0.03648515879437787,0.0009006795959293212,0.0008539090830312901,0.007313787683618664,0.0001507256761725806,0.0001447958333237187,0.0009301192136055292,0.18148748385719582,0.0429847035130651,0.03170426191362831,0.0023652554411447424
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02638371309132137,0.08305477507835168,0.03353469486150962,0.005736888482794633,0.007601045874717216,0.0036676244770339483,0.00017884073014662327,0.0008979929660278829,0.0003310924980044483,2.7568374494357784e-05,9.388635367635345e-05,1.7979819063596025e-05,1.4811822861560131e-05,1.2679560729811357e-05,0.0073045772320392555,0.0011312791608480977,0.014113002850759226,0.0003798363114118075
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08422144727789738,0.0038343066954396043,0.03306793284869225,0.012143739422153743,0.00022187115798133483,0.005186110099558716,0.0012141885662503293,3.570933729624137e-05,0.00037402007103048973,0.00012603927948751092,1.8372089820140047e-05,2.4937118076717724e-05,3.220633841038989e-05,0.026388996594105762,0.0042923907052307975,0.00369766092499213,0.0002650112792605963
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9743940734927998,1.9183872612114143,2.759636667337256,0.08172399145305898,0.08114758677950795,0.2004885522352341,0.008443335896314963,0.007986550340345011,0.04053604678357857,0.0016343977527427667,0.001631672717287036,0.003786073975440174,0.020894533875061183,0.004113664120953042,0.004869286150592761,0.00031340865866902323
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023593347023547206,0.08535024914973433,0.03330905562657116,0.004636219166933575,0.009798039211082132,0.0038659802990475,0.00015114823367912145,0.0008657258592894568,0.0006948517959874945,2.7836723825114262e-05,6.0787296438880034e-05,0.0007821030894035186,0.00010956328336964027,0.00029632209166263745,9.675083024296427e-06
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08555217874610666,0.004832028204005745,0.03324842551648066,0.00924370685127951,0.00015156635512636463,0.0036624977801704706,0.0007998195629239646,2.7495956141709854e-05,0.000696365582349312,7.019832714849628e-05,0.00879601775455674,0.0010483781831783778,0.0032667625262569056,6.924655179685324e-05
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9739064205070778,1.9247084892718491,2.872978865453865,0.08268398772839936,0.08199112636808581,0.16518959698470936,0.012542159660394403,0.012966033884306616,0.023192288811111017,0.0031948139525488084,0.0007116984056813186,0.0004581655629061071,3.133408231270618e-05
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022787613422751818,0.09158573237890033,0.034745205287609826,0.005368918989735905,0.007925502981146026,0.006936919603043767,0.00016770327003179375,0.0005653992469960567,7.316746585606104e-05,1.659732386016799e-05,2.8166482838765106e-05,3.0879073911194155e-06
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09114759403687456,0.005283068542356828,0.034593317454960415,0.008305997131538234,0.0001698503980480659,0.007092349820838173,0.0005955264562258478,0.0008160894409448005,0.0002232133158077687,0.00012202811946704362,1.212853388499191e-05
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0329801873592617,1.8688519101879721,2.6508901026089364,0.07840312660416815,0.07748228878892982,0.07624998612994793,0.00046226884700209525,0.0002374601061122944,8.513755576904092e-05,6.430166724746833e-06
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02699452063565322,0.09068246030565141,0.0274047100680046,0.004688129612760106,0.004667263613298278,1.2890530881604079e-05,3.1806773455045345e-06,4.032644892348891e-06,4.901417816061127e-07
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09288878557247038,0.004704460741789429,0.02740306703120976,0.004628460613777863,2.6385042273924242e-05,1.2392417461981609e-05,1.3413728295774696e-05,7.216589987812938e-07
N35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84061979772017,1.7980591542100215,1.9135067567644084,0.00013049091456107664,2.930401903783464e-05,1.7565663601129544e-05,2.12686102918358e-06
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029186866426822666,0.030005105383757336,3.0505377255352073e-06,6.400805414585875e-07,7.248004314508449e-07,3.563189965305469e-08
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03001492509391057,9.848374638132817e-06,3.038514513442614e-06,2.9753365939910736e-06,5.1252773358712034e-08
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9291006926214216e-05,4.324431504776349e-06,1.575933519903927e-06,1.0448566500897982e-07
C39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98626383008522,3.5707419075287126,0.1774574006632268
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.519272014420246,0.062177974240502754
O41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7753236674661221
H42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
