,1N,2H,3H,4C,5H,6C,7H,8H,9O,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21H,22H,23C,24O,25N,26H,27H,28C,29O,30O,31H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2226056306473132,1.3813382646560577,2.0367843338162324,2.4383041380336796,2.499796923970747,3.2405312538522897,4.095737893982627,2.9019969012252607,4.168049462440232,4.8750836960119,4.892878990891659,3.9611563063346362,3.9492779750049416,4.498636920202239,4.6483867567475095,4.766276901154097,3.6804094086562866,4.271424177100479,4.541352490645766,5.355992375058517
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.286371462323495,3.148762782550727,2.803217250549274,2.3515001651121525,3.606762412138926,4.20952135887423,3.177910791000456,4.840149956548143,5.529066898879498,5.479561012289168,4.92969807856403,4.94084569531548,5.564055997965131,5.631253842051812,5.924537216600589,4.0919990522389655,4.928347097321833,4.632012928024283,5.52841667748633
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01037712640661,1.4548517162589214,2.0454375115003107,2.491004360825585,3.409585080778532,2.6229131651293636,3.208124293313119,3.723330375888273,4.123362563546013,3.0610368148852296,3.44192032356909,3.39256517611646,3.3697240846030625,3.804036080737657,2.4523123928677766,2.9122267956798473,3.523894249446631,4.244312153543651
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1167119478524232,2.951524261573938,2.803740587180629,3.831129692206602,2.9881613883312137,3.0062418110303746,3.5035119704575988,3.942233980865681,2.4212875009301693,2.7993084448473473,2.555335211080816,2.674978329224515,2.8350511337678,2.779023862282824,2.8208123749954472,4.038483441767283,4.614634188030813
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0916850851521076,1.5572894572073144,2.1747860632051057,2.135214253073695,2.642977995503008,2.9654184858212487,3.5453999025475866,3.201082535130921,3.884561626476756,3.6530799136572205,3.4054157230409072,4.369003292109741,1.5212225548933584,2.4419423464041548,2.3796064036139923,3.2155310107435184
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.160044871631558,2.418030600319797,2.463443917845557,3.541532897798515,3.8805783356406427,4.302777334543528,4.213343357687874,4.7707356535186305,4.738908657581455,4.482379970299514,5.426425263703249,2.1397473772807745,3.2650906743400387,2.428685403403689,3.3866451107092184
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0970592569177473,1.0948483881789675,1.5470552876959736,2.185575679020787,2.1483997272419293,2.6012102162982713,3.221876303025343,3.5039696604974417,3.501103743063942,4.351668511810098,2.542004722031999,3.2304921028034053,3.288192108644659,4.052106505881129
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7704268816183046,2.1513236225069408,2.46028672894717,2.453524049429853,3.510580059258322,4.18102896379749,4.35962505629264,4.227111658883005,5.279422339494016,2.8426816125228385,3.669957929274684,3.1543763212111795,3.901775452938541
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.175238444502166,3.081337153556689,2.4462541824659683,2.8756680997529993,3.061795491995933,4.002521109590573,4.222666853323407,4.711218082553578,3.4502526085057337,4.160499255227584,4.184907197220723,5.023450114633911
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095074157916312,1.095709948026595,1.5287790153149905,2.4361737035036235,2.4419422986320107,2.5980025023756714,3.3697728097287727,3.0760555717029656,3.197603902920777,4.0399448690606645,4.542750509972569
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7643601018420698,2.1591024024799013,3.2847979225706467,2.506515668092799,2.295840003346138,3.5159796598619106,2.8344201945314795,2.737112789131058,3.6778139334228026,3.971271451093465
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.112232511181926,2.64151085709749,3.1903176179450607,3.5040147802650616,4.038522047100343,4.085885790573075,4.25497319952334,4.913249584091448,5.423406497257585
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2359366431068397,1.3606898148067876,2.0627214557370492,2.0379751212140205,3.6676411666489335,3.451478213467749,4.894545933076979,5.343854321080432
24O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2666631022587236,3.1524386974504788,2.4818100260683242,4.657036824211157,4.549592895944563,5.885202684661494,6.427942789766273
25N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01505026000831,1.0125880155304048,3.6277904409104993,2.9757159604702452,4.907737267924203,5.14349878960929
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7403835341013973,2.980552999382021,2.1196364352022994,4.1966018434357615,4.299029747956208
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.390673147147078,3.665590500071428,5.704203548001007,5.919017669999226
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.219224372613642,1.3446392767780182,1.8779787789468139
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2449784225036153,2.2794115555430756
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97763552416673
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
