,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27H,28H,29C,30O,31N,32H,33H,34C,35O,36O,37H
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7758883552180569,1.778281693906669,6.072210806786624,6.034183500285939,6.75893204484505,6.920350638965992,7.335861235275533,6.845306542027035,8.813714723263868,9.344419299304775,9.3560923412795,9.146944517672459,8.691618632748611,10.224061609023579,9.078314922223736,10.004647821321303,8.124431874991782,7.314812487608768,8.209822921320315,7.481612910441813,7.469061169788837,8.021497440486606,8.31535529887913
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7898312639815597,4.743390256280719,4.575700950944948,5.674092921392,5.9754844162132885,6.389567102276399,5.896735539987259,7.7558329066508,8.29086772786247,8.417984011524537,7.8718843701091785,7.295267662773307,8.923491669869616,7.843256110866704,8.863013131338798,6.8270926557348615,5.940307256230381,6.994064998721986,6.863843501056952,6.972220093763803,7.547959919874063,8.018769777318903
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7372961070548865,4.639623537198377,5.3050559882536685,5.585559393907646,5.695760151091814,5.130767849639338,7.167498768397629,7.773571540192656,7.646680256573381,7.539230278243477,7.19129347026967,8.6280722674147,7.416253038389083,8.298831763815219,6.525598336698,5.772379830229685,6.619334457261383,5.873644065261431,6.022836868465482,6.342969933192152,6.710570135911137
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2359174870898626,1.3582542423563777,2.0492655045629267,2.4960616508535582,2.614468016468121,3.4571520423039495,3.773051248668044,4.410933635507088,3.570558121406146,2.896944264159867,4.51122896438806,4.236018158437369,5.397177115330106,3.8576202037317135,2.9726206643448965,4.645578178612191,3.6020638675373786,3.908041717739069,4.681042201894785,5.40596997193312
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.287370853232939,3.1729522950429567,2.8852062569878014,2.5594233449304373,3.686871616141011,4.268645522382438,4.538369208673534,3.4012114248509757,2.727013727398433,4.399875598638718,3.6570999316351886,4.842832050199027,2.9492092255647746,1.9623383785699253,3.6437775233998235,4.1856926269838075,4.755755813631015,5.018368233870396,5.851253092891096
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.014519389658844,1.4589199207289079,2.0854803806696056,2.5148020572575778,2.694611265104862,3.4295430336716537,3.16699006950417,2.825132302058793,4.0528298470150785,4.051811486572179,5.070967297979527,4.073384249031785,3.428186391791865,4.901446434828761,2.3963761702601003,2.6820479568631734,3.5901695571714076,4.265027376427334
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.092057507211193,2.896521878375167,3.065243394239071,2.9255154000369523,3.918049152167372,3.940319807975252,3.6268712997908765,4.699909037748362,4.958658178865337,5.916308050561407,5.07424816518927,4.44189457175731,5.90129798966315,2.4281224154440513,2.2265626105928784,3.7599662113161525,4.238255027219772
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0948631004910943,1.5515060883705878,2.1586343340683323,2.169929111961075,2.5894192543941728,2.7789736316938276,3.5053004277700865,3.222714648418619,4.027450489985292,3.5053946336971116,3.1854162097111747,4.237746370470237,1.5251890588520869,2.4271889822172166,2.3812329713122713,3.218001458590671
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.175798647365019,3.062025147915352,2.559064357997333,2.770594660830112,2.97650369309178,3.8063792343362297,2.861422597754248,3.669458897798563,2.828616806944759,2.528454181477509,3.400836281423497,2.1461565170570513,3.1732193901340198,2.569866599273444,3.486995684376998
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0972433125754282,1.0955362810196516,1.5400975213588493,2.181842457286035,2.1516995144969675,2.536955111298428,3.154729208557472,3.3813066789874813,3.3954247500344383,4.201065640196169,2.515669942402296,3.3893006223200617,3.0016257851758414,3.8316961955358493
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7694766911679731,2.1735311002153628,2.5890614442219824,2.406898186969146,3.4701707477993176,4.0424913299691445,4.351585325318199,4.282936511524873,5.2268943502692276,2.783445964892638,3.3123523847665592,3.4702327152089136,4.122217534723807
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1559505809719295,3.0679069054612413,2.53025179207495,2.6593855168470055,2.845340274775387,3.6842032729637233,3.940767623919173,4.323271677622249,2.6591484804118966,3.657426821088292,2.6301508585610107,3.425480693460746
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0946789227055718,1.094499188925517,1.5332304229666638,2.408652710624467,2.44637674358682,2.599298359237229,3.3686396070856532,3.9067594782971504,4.795423613859619,4.343020954386905,5.246779143579112
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7722000801332443,2.1901450331246752,3.277154688872942,2.566406237181286,2.344808056500816,3.574795725511683,4.234379695527084,4.97006780210678,4.921695545093809,5.816025014777748
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.121128228089872,2.581628695820099,3.239146571196213,3.5401935826006534,4.08384800526939,4.665384320564206,5.488118879202376,5.033671715464394,5.876221103366002
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2253061424089222,1.363421882280378,2.0777398417561517,2.034326067548796,4.480687560436767,5.564066923236203,4.562376919875856,5.521441122705711
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2825879699921185,3.179548257574055,2.50732768634426,5.039624571804903,6.181473614982653,4.820677485310102,5.7208545014468575
31N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.017690072680321,1.0115899720118446,4.849801447156593,5.902320797124857,5.017972914262589,5.992296866570983
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7499765867259731,4.602118975740909,5.534957114512145,5.001107381065335,5.957797988536322
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.447440762228286,6.5509519097972415,5.422944812055969,6.374326075565774
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.213903232320074,1.344527232402511,1.878098900478366
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2554839086522014,2.3019804702913977
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9768896407984354
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
