 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,H23,C24,O25,O26,H27
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1298018122250797,1.8892439638856262,0.02722184293016991,0.006214964401058787,0.006013083477574815,0.0007480014258733902,0.0013371071531024514,3.795408659235111e-05,0.00012021271673190448,1.1647148804083685e-05,2.854969632704041e-06,2.869997625598586e-05,0.00020717060990071978,1.8234657946744615e-05,6.630559800067937e-05,2.0265432816968243e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02463174073667629,0.0013960310929146402,0.00027974971799216153,0.0008979761337923886,0.0001877319179506287,0.00020368554056182653,3.3190339223665433e-06,2.9884083461606537e-05,2.0945694239049573e-06,7.94425244032837e-07,1.2249513391404676e-05,1.6423063923465264e-05,1.8431431116905372e-06,6.63745060724974e-06,2.3611690089797577e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017750087037873286,0.0012781424207573,0.00015798354471474596,8.921502100300849e-05,6.497194808052775e-05,1.062598701762063e-05,5.940558913453131e-06,5.656789890506886e-06,5.0025604547698777e-08,4.088901648380272e-07,1.6986315132916374e-05,2.537295841098519e-06,3.2554705542420237e-06,1.5125007144511926e-06
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.878155124696717,3.450938174468077,0.1366959991264205,0.2671324406515139,0.02269887702425888,0.03335746691587976,0.006309770649879365,0.00073953309357222,0.003754064312786909,0.02824562364010999,0.00665961441880783,0.00551055085793789,0.0011566694356924812
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5394897067964068,0.02617950254432644,0.06585454070392292,0.027885302889654184,0.021610698093080374,0.018973435413195627,0.0006118700042656577,0.0012033386792417167,0.008018797261057614,0.003935604561909417,0.0012198160455977186,0.00025043175733518996
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81213513742137,2.8503320804580508,0.0965089744918628,0.1848166701060482,0.006847577129384774,0.00826445124365316,0.028856773582866202,0.19860962658101047,0.05868726340550319,0.028297394510528748,0.0053686820448248795
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09473316078115257,0.018265352646415822,0.009278397191738619,0.00016176204251738824,0.0007898109013009247,0.00045435506127100567,0.03403056365269774,0.0787487261576788,0.005472670982077266,0.00017410373163140314
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.849047623704027,2.560366489847662,0.09734111542518864,0.08507279562583281,0.09449736570097311,2.765510104496671,0.2807431596933632,0.22190882526313765,0.053895936350283336
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08266349010841822,0.006373043075016849,0.03235396549166181,0.0042052524945563885,0.11361680031561083,0.031206415249824704,0.010859055666652018,0.00060092328824779
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0679506617433523,1.9614804147220146,2.0480812214490713,0.20220563913589645,0.044946117875229036,0.030894503515209434,0.001978538926174611
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025360643728957744,0.02658975774690253,0.0289774489051553,0.005329295251003563,0.004643276317656042,0.0002581642203243195
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024949575082568565,0.009880714966656656,0.0015146800476881772,0.0007061408902044874,0.0001512903624572015
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007625944533232953,0.0011612092520756345,0.010669192793211102,0.0002498019923544703
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9735978076200595,3.4884730777938175,0.17339261430142883
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5129551145012562,0.06533852387453165
O26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8029331816854337
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
