,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23H,24C,25O,26O,27H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0950578845224408,1.0999645884631,3.5291073297583893,3.7563011445684973,4.716127389219561,4.934433261612727,5.959848225665149,5.947574470718688,6.690859331397049,6.211769676900269,6.990333252538142,7.654009224232951,6.99987340048817,7.0401053050103135,8.146261775895244,8.804205211317601
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7683231535977442,4.202266453990809,4.129416664346194,5.490944356855615,5.83897165671093,6.6211859223270775,6.494897136840353,7.244633083242303,6.636886674348878,7.620167843435769,8.159632326022658,7.774186832155669,7.929578910762189,8.847690103831173,9.564674337530743
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.270104782784814,4.684769781608075,5.325160260936717,5.364174042019059,6.670612252162876,6.780543737923079,7.401233523107408,6.978723700541958,7.571481625381723,8.412873461655906,7.600341720498816,7.487805459668001,8.819176820802998,9.412256001439731
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2305640352114422,1.3604354730058206,2.0731861588487264,2.460413261564702,2.6411305568967625,3.2277493648800473,2.979521529635284,3.635634221512917,4.185139544274373,3.6672677442847,4.007012715064894,4.760643850058415,5.504446425679743
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.270854645087018,3.17675652110106,2.7967580578762647,2.596665655619967,3.2749742776091066,2.711840186309547,3.930659147149733,4.078539607921805,4.219722056619321,4.828939638293156,5.071567949069396,5.931102818436967
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0132137541350157,1.452365006286405,2.0839684947364945,2.4932811254402205,2.725963285936323,2.772088156326907,3.43189591637897,2.3977334982729177,2.6877024552481674,3.6008026169873473,4.26994545630186
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1077653539371997,2.8670445955848955,3.154249820081308,3.56080852566666,3.1529299751240427,4.063640511830759,2.435091662797356,2.2339231925712815,3.772016733893746,4.240659034472283
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0970062678888135,1.5426265514102593,2.1536487972906784,2.1844258838658277,2.1831102989548294,1.5209272323853358,2.4296131223906956,2.3788336810374218,3.2121775115680373
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1531960672262076,2.4686107072053978,3.0706860372313285,2.4823524989140013,2.13797292892566,3.142249432655878,2.598809209753685,3.4982969865725657
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0925787087992538,1.0954200586732357,1.0940849398178425,2.5276107565519235,3.457460368650118,2.954430935171047,3.8108256523092985
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7806842695848275,1.7813345117611301,3.4593157040052605,4.358677610787373,3.933377845989535,4.835687673430979
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7831815127557622,2.7867631297755833,3.4223229259832615,3.344374255475638,4.022982234528309
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7885681527017425,3.866164897629848,2.6807535139866094,3.539212314971452
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2137914877268237,1.3481105221045369,1.8761696568645942
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2537895873449734,2.2907993708956074
26O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765353959688053
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
