 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,C27,H28,C29,N30,H31,C32,C33,H34,C35,H36,C37,H38,C39,H40,C41,O42,O43,H44
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08849704553308302,0.02499339886659424,0.0006256566508684447,0.0012910599381092958,0.00017603912520414156,0.0007285894702622198,0.00029734114751467366,0.0002990847186337131,0.00041624029802012075,4.677280289477892e-05,1.3915041112255722e-05,7.978935288921463e-06,1.5071698580282344e-06,4.590459790065893e-08,6.062841897636062e-06,8.119435304765332e-06,4.561209599129867e-06,4.923510150689481e-07,8.136276417047839e-07,1.851866704427607e-08,1.095242144755204e-06,5.44799361179571e-07,6.601797486460725e-08,1.7050384271133368e-07,5.727920360243388e-10,8.944393892207358e-08,9.121585708982138e-10,6.185835366157022e-07,5.338025577117378e-10,6.335043486549452e-05,0.00017918978246023176,1.6896084395146005e-05,4.7928311226463904e-06
S12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7639541857390686,0.09360124197750475,0.08968599301734892,0.09803471719826995,0.0041645282789018745,0.0009665335158929034,0.002732942283883613,0.0007377951951175188,0.00034189014713457977,9.504966913653767e-05,2.7295460596654664e-05,1.3108580821152849e-05,2.7402396165499e-06,9.688082777042917e-06,5.114591216229258e-06,1.4233541202335331e-06,1.9885696196098035e-06,1.0834899187989189e-06,2.2936266774742364e-08,3.920526967932103e-07,1.5470370155340474e-06,1.555352046933578e-06,1.7177830706482933e-07,1.5799686448048078e-08,4.702195836731038e-07,3.2762287327514628e-09,1.9548027507809707e-07,9.580545023979425e-09,0.0005141790724750434,0.0016148602532236912,0.00011520533384545839,2.533614484712121e-05
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.111838001121005,2.0452431609783783,2.0473702785771044,0.00029551201773114766,0.00010800596502709425,0.00016003696882194163,4.416190207134907e-05,9.975840970835592e-05,2.9256030727120574e-05,9.686267120334602e-06,1.2526700676751545e-06,2.7385204037777555e-07,1.8611705590032557e-06,6.725011358621469e-07,2.2843037106312636e-07,3.4393985832992247e-07,1.6364155469572594e-07,7.69958374835511e-09,1.2769619164854085e-07,3.8253414001709896e-07,2.6886334092424136e-07,5.785037222871825e-08,3.660633129953794e-09,1.1294321124177831e-07,1.1097218699518407e-09,6.733404753211936e-08,2.525185616164549e-09,0.00081648006675758,0.00410358081735078,0.0001719011478927973,1.2897194734518003e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026573169320613488,0.025045120002418875,8.332116650544563e-05,5.8888759667530266e-05,0.00021337893155071175,1.2600177133670343e-05,0.0003425793098255081,6.652503308046676e-05,1.5699671505053914e-05,2.3073734947143265e-06,3.965681698581136e-07,2.3794697618928495e-06,5.958921414084273e-07,1.3986897862139358e-08,3.0707224851767023e-07,9.392792965634555e-08,1.1599003757467585e-08,1.1107956821021503e-07,8.612204279723201e-07,7.155969157235376e-07,9.501869513428574e-08,1.7265782137343422e-09,2.0844401316111316e-07,2.8572411103766626e-09,1.1640054808914613e-07,5.77927306011361e-09,0.0017793730702211352,0.01287200967900548,0.00032912564046450044,4.787731413480323e-05
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024576259115872467,3.9314700847281614e-05,8.780585735945756e-06,7.868251069020893e-06,4.583488251830303e-06,3.0278651368398357e-06,2.583547074053172e-07,1.004860648690098e-06,1.1073526384741683e-07,5.058266072666129e-08,1.367518407402457e-07,5.708013284255742e-08,5.191120844294517e-08,3.136999726649492e-08,1.7178437339282482e-08,1.7945689378962015e-10,5.33347344067181e-09,3.385739910655161e-09,7.086202735706593e-10,1.894948309377753e-09,3.276638960159062e-10,3.6729272956392833e-09,1.461186727169661e-11,1.286006634515502e-09,2.280997613013369e-11,4.0713708251427505e-05,0.0001388262991417477,8.733240157376976e-06,3.3662454290706023e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2293779478240765e-05,1.5920362903321106e-05,3.1229570790047845e-05,5.626786329537836e-06,4.3715528612597865e-06,9.59867657579494e-07,5.245475331872029e-07,1.0091177449211841e-08,1.0592040933232738e-07,1.6243306832919302e-07,8.159118713990665e-08,8.982929511347493e-09,2.4548322041795245e-08,2.2930784382424463e-08,8.878087154329251e-10,6.526546858509619e-09,1.3503882456689098e-08,1.0059045152388535e-08,2.216610228700233e-09,2.4246959995366524e-10,6.678436914597796e-09,5.133515834643276e-11,1.7532211238346918e-09,1.0562373198297337e-10,1.3816306535741063e-05,0.00010644401681048077,1.3129343934270565e-06,4.277564062959982e-07
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.045947452073052,3.3161189575010073,0.1343423170084862,0.27082593717977865,0.022391368967672243,0.02975883966543172,0.0008180380167313039,0.004063507227518581,0.00413459990759768,0.0022157627008710656,5.014772437017534e-05,0.00048061838143934055,0.0005205439262937206,5.6942631578849046e-06,0.0002510245443925474,0.00029352017828204735,0.00016848234870803225,5.077382748383541e-05,4.717995953917864e-07,0.00011670036364408443,5.344710751753468e-07,0.00010230594878044008,1.6542491416693395e-06,0.04770798062665546,0.012664685417949934,0.006021117731362768,0.00044750729151843416
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5443483015387699,0.02720354393027624,0.07355579913278881,0.019333358866664874,0.00960885994176243,0.0006097900331603068,0.0009425030215154395,0.002725724892479131,0.001789130141824996,3.1872507255115146e-05,0.000466001177596001,0.00038812894515623253,2.944040751962085e-06,0.00016768431809045803,0.00017109819624210043,0.0001084618966548101,3.893429177118102e-05,3.0335588574459393e-07,9.985605282780696e-05,4.736659349191541e-07,7.822131610996097e-05,1.0012424728200742e-06,0.06192548346378132,0.013676732767030575,0.0055341957931936275,0.0003806678012545639
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9245083579217006,2.8597018108174432,0.10358689270030996,0.1724994803934295,0.006669419022867107,0.023301464926794746,0.03441531403579902,0.014278835153836655,0.00032038043414206463,0.002876947029635285,0.0023266549832374195,3.59106884496585e-05,0.001612976014663814,0.0016112386924047317,0.000882650884845182,0.00021678899962936093,2.743586772435691e-06,0.0003902926798475953,3.0329943212503707e-06,0.0006670830768697872,4.644107915119378e-06,0.19382491802560028,0.03107080248399465,0.028290915167162825,0.004758746725008756
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09707055900793549,0.009685236299683098,0.019060916651083448,0.0018921802560853962,0.0019378813958512708,0.039068912742156736,0.032288251611558905,0.0009713970770579561,0.0016207167113709842,0.003052187657398897,2.9339042795450965e-05,0.0034457122404375484,0.0016484394307966221,3.4573962800710234e-05,0.0004117733012307667,2.5695240180034773e-07,0.00025865138067449056,1.1616331438979444e-06,0.001525804054591573,8.250229166506529e-08,0.014405983445368364,0.0006850508784606024,0.0029002156530293366,0.001248970972643093
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6549099068084479,2.4655994998875186,0.08494982529880213,0.0939103240960737,0.17447976326920678,0.04950151269623673,0.000430691057926591,0.017701373164868778,0.013131413968620581,0.00034374469496545323,0.0035855918298265677,0.005641003467012254,0.002884307555270471,0.0007774145653126757,2.998357764050219e-05,0.0019501415873406092,1.9076365574743903e-05,0.000988229025106785,2.6767119964743458e-05,2.7150528647784924,0.2710802262555663,0.2303297505414191,0.055202852936694136
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0822034266417615,0.03289435548496922,0.005532842147724537,0.005920984064261781,0.0006844616772292422,0.0001458103803648747,0.0017790548591196664,0.00019798588065123024,1.012575512437941e-05,0.000177835790988512,0.006081301556227547,0.005295824384167869,0.00028067145190857623,1.6945656005074028e-06,0.000651941473230111,3.685291325439266e-06,0.00043111578877563783,3.7395553684982374e-05,0.10279628568516541,0.022735051082899638,0.014854719946361228,0.0011037842841312706
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6399807517044442,1.9924532161136534,2.858132711004558,0.25848847721575174,0.0068723188357517895,0.18676015336438584,0.049364784999640934,0.0025287107796025943,0.034661163273140005,0.013770144078930235,0.0019670063126717707,0.005114900832356398,0.0010904977564933915,0.0036043199147139937,0.00014492861771864263,0.0026067491202184934,4.782927768487433e-05,0.2032465957308834,0.043539635373511104,0.02583797345228278,0.0019302256501780857
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024607524039555795,0.10799835085565146,0.01579990526952968,0.003549464095019772,0.023690677995254816,0.0013525737442965369,0.00010871345162288826,0.00311379911792109,0.0013938778375729433,2.6600417868616333e-05,0.0007043481519630745,0.00011769805139394407,0.00029117212695184413,1.8376806299125192e-05,0.0001371908469023353,3.416008067524956e-06,0.015884411592610226,0.007664936322482996,0.0016726527715272832,8.044745564661504e-05
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10102591937448646,0.039854947433908716,0.0001324541430114401,0.010067121946071733,0.008220903905415966,0.0004685940614639339,0.0019934182046876803,0.002402304563109414,0.0009905364198792288,0.0005264388735034542,2.0654832928013178e-05,0.0009290552921255024,2.0653567508022164e-05,0.0007472792162597219,8.927106253553418e-06,0.009028035508924948,0.001297539123257918,0.005565336698138412,0.00011611569639846664
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.158749338011708,0.11702986557799155,3.0537129576310713,0.49764631106850626,0.025749680418063914,0.34030113777673643,0.22312092848888004,0.00782896298399538,0.03807919343196094,0.0037455554083745124,0.07051631427939822,0.0028532922402968453,0.024171702078634533,0.0003549450934272613,0.0293172809415628,0.007882840953119266,0.0044620820948756,0.0005891508117989996
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7604846093148951,0.39047058695561143,3.458226846067302,0.11120653458645235,0.4515264092439387,0.10679815969506969,0.0007423381189508582,0.07184671526493497,0.0006778754298646383,0.032245440405649584,0.0009362337836127388,0.07634506441235128,0.0009044529193027451,0.0065536927836181424,0.002234451843891719,0.001308522744081636,0.00023003840034585554
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030440727153125735,0.09888538273405101,0.004796454335122213,0.027620312734428554,0.0029612670307731515,6.395269670456116e-05,0.0026760857673840954,4.400027431694653e-05,0.0009714850144051379,0.00011186999703860501,0.0009314595657647917,0.00010715677400230383,5.799838518893985e-05,2.1832021626533304e-05,1.9080983004293728e-05,1.5836528188817312e-06
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38113316460509417,0.030820287714419914,3.2600644678769886,3.5123481920722868,0.13140433848325506,0.28698058479409694,0.026701858801787104,0.3391291853342614,0.027550236850129473,0.23601590696673205,0.003922312404207817,0.003231413081115575,0.0011558744094652823,0.0003896244863191012,8.341470846162657e-05
N30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9035752849113892,3.11996003564637,0.04459612852108254,0.004046961882685496,0.24766106412078953,0.007261109850481784,0.047541852851498395,0.00044227120586826096,0.06561402467824123,0.003038829601439419,0.0021923168061529497,0.0007376548549303946,0.0004050504939727695,9.470681914902634e-05
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11681840104452113,0.0034761101200023736,0.0014066776339418663,0.007182617490241405,0.003374850852151834,0.0005480042910539495,4.078300036058913e-05,0.0005860259710404048,7.049446836249196e-05,0.0001147445788125534,4.104453652820084e-05,2.551038175757636e-05,1.7635200355581304e-06
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2975102759457447,0.027201576330409205,3.6688902445620837,0.13481816462647345,0.23090817994093082,0.004020466874486539,0.3556373951302623,0.028253848682060045,0.0007608077395614699,0.0002968161901006211,0.00011352070511010115,1.6972883680632656e-05
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9535587524173494,0.3088598192587127,0.0036080259151758387,4.0391676414530115,0.128560713371492,0.32521048425163,0.025991112977762354,0.0008338160464213262,0.00048252183983159974,0.0001021660110719913,1.223041521325463e-05
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035255405882910207,0.0007660139752583284,0.12853699475657732,0.008493763361036022,0.027441551308276413,0.0011061532118339379,0.0004312900392782204,0.00025939423057974587,5.459587297496071e-05,7.960859054634284e-06
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9546962361632827,0.319781924939491,0.02610807379382918,3.897501049153764,0.1303108935806674,0.0001718382122923856,7.151674406187525e-05,2.211185845613084e-05,2.9773900001028863e-06
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027365155292289778,0.0010428349536530934,0.12706136161742188,0.008433732749500766,2.179983051187051e-05,9.486200399533296e-06,2.526195941543463e-06,3.071647574071079e-07
C37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9333207040379898,3.582794106902364,0.12241999554999983,0.0002227225991808801,0.00012203452952500027,3.538668221271524e-05,7.8258097080397e-06
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12282947905138308,0.008153554936000118,2.9265302816661176e-06,2.0639750432094317e-06,9.978920223474574e-07,1.1786301312710634e-07
C39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0085572603329696,0.0001454816522223623,6.0863434523675264e-05,1.4811634416647679e-05,1.378135102925171e-06
H40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65355554091218e-06,1.5197824424495465e-06,1.8236151289041658e-07,1.2862041876005037e-08
C41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.914024171773598,3.4538468749698743,0.172186885388097
O42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5127402083960233,0.06425457523544198
O43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.802650764141044
