,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27C,28H,29C,30N,31H,32C,33C,34H,35C,36H,37C,38H,39C,40H,41C,42O,43O,44H
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2295847223201928,1.363298413595892,2.070970948224283,2.446300415316574,2.764730727700868,3.7578748119197005,4.030253032597592,4.573148009961319,4.251343480922435,4.826838879497767,5.044079311784595,4.87886992770437,5.653340334747773,6.381545099218064,5.703836513426871,5.278672532032967,5.06868822272002,6.721606992704545,7.488880139717263,6.3394987226259705,6.899266057459676,6.981610162169383,7.9117007715193655,2.9702067017667995,3.2055002456328756,3.9726213809373285,4.553803174577457
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.265056333554272,3.1678114469341323,2.761617121240248,2.7769632208182995,4.282539358353516,4.658699376949277,4.875805774764503,4.979868801749964,5.7716613653256355,6.069344862493334,5.478266020391754,6.597702612600056,7.397219163018872,6.467988354923583,5.596041434783793,5.171686954215031,7.4079725128908995,8.256216605469055,6.634969118449498,7.0228352246423755,7.461149396860774,8.351183452161065,2.877574994691513,3.218318717142932,3.547477816591825,4.041141087641873
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0112227301892258,1.4464192651850638,2.0943091412241883,2.463631991456396,2.755256646780148,3.3842240445757956,2.9444470116466053,3.556343124948108,3.804638246044187,3.760745302362873,4.506012637253774,5.290625305378638,4.630760604047249,4.359919947429687,4.232424694398539,5.785074855069589,6.578394653103592,5.542247063898898,6.223962982545595,6.152996056295225,7.159552798909579,2.4426889074029225,2.853049525560213,3.5599777981883545,4.266675793438796
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1193623642357826,2.8107458739371958,2.530764394964075,2.665428583424459,3.594768335741329,2.5944894911304193,2.8355263698062596,2.9855824676728715,3.5144375663277168,3.7654008655731173,4.454858527130654,4.121522820926183,4.396133473957377,4.504242748101331,5.330346337742025,6.014239554050906,5.518157313014442,6.331304391558085,5.910484601771066,6.923905900448302,3.225835375034899,3.503472850635299,4.3884981176354705,5.094133159597801
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0953413972515145,1.5540848774439395,2.161050593234374,2.1521926598666536,2.562805367912538,3.611966370911182,4.0111561974251355,3.3543933815970672,4.639326027399264,5.558677277994984,4.547418532483898,3.715436777438568,3.321245986304965,5.70840150149098,6.636148086466102,5.038268152204027,5.623717386643904,5.888225319042592,6.9219263600521455,1.5311467771926068,2.443706898270588,2.3761434381902466,3.2124858655967112
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1867700485514714,3.0674536639520165,2.4545846079576914,2.8832033051164703,4.103077030979146,4.71545889434624,3.191754492514718,4.8939472312893955,5.861478489894891,4.486433793580901,3.1387580805869892,2.571078904354408,5.456267308293218,6.454239237720598,4.379105321919317,4.8146564920114265,5.387705119008723,6.360781090845956,2.1381805551621866,3.24862377799769,2.424872105861541,3.375381838530753
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0972635167041231,1.0972450346965616,1.500884193776382,2.563375009198401,2.968553553449879,2.644488573222445,3.7106156847970295,4.628823259143373,3.77190986418783,3.3460703930666953,3.1774233748471272,5.056822392011914,5.944577957460774,4.714007576418978,5.4520084230232975,5.415851436406488,6.495529745041624,2.4984256464138483,3.206167561483152,3.1714073219878087,3.941594103026654
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7626527392799984,2.136194157272023,2.6852763975171245,2.666259277967453,3.5048466078192493,4.020140927709693,4.806493518870304,4.414166343217127,4.378155752212513,4.262438657862203,5.776518507024532,6.562614636659076,5.720172299397231,6.5041755425520345,6.304186909830695,7.390286904705407,2.643177264671724,2.9327167044237803,3.527368754513322,4.097049538127108
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1506132404866234,3.3124606887396464,3.7774171897956346,2.9360715519698397,4.3286595712793225,5.267953886900451,4.185773220611617,3.3014132539941117,2.912354156780613,5.3540883449471774,6.302632185578594,4.6602618088492935,5.266876562468552,5.523551267897006,6.569721417652193,2.7087489255075563,3.547487269138922,2.9121984975818953,3.6531933397941083
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3759042549546534,2.22607676263036,1.4451958551090063,2.2590746599288636,3.2253701862672206,2.3074081180981394,2.626227688788804,2.9687031548836575,3.6492833420507105,4.477558718604536,3.8216927344003846,4.747987033067011,4.216283555449518,5.30119043847472,3.8667083048885726,4.563332730003196,4.528958466541635,5.3712424019780425
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082561613779825,2.258684973728697,1.3814171442077499,2.128960519352807,2.252388613856896,3.6521088798302985,4.2192056370639905,3.6252581026512503,4.165386385599104,4.597389772828758,5.630908301785092,4.586051436789873,5.6139499481268,4.846951007612353,5.300421743907344,5.697208074594618,6.472503893624366
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3229929469885113,2.14498235415703,2.5161180382333797,3.2706889091865237,4.6993149033813815,5.18324089165973,4.598289231986612,5.006905056086853,5.678817924509521,6.707848702021307,5.636997363990602,6.644859720855921,5.033265002806258,5.243318846628023,6.0224069189759,6.6904443280741415
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.257784349807475,3.233197297259902,1.4224515977063612,1.4070809733381748,2.173180464280159,2.472549588209076,3.459971759328394,2.410268836804077,3.397162593576691,2.801832628127381,3.888348072972961,4.766358001000452,5.655903613881224,5.174483361866506,6.103571665101328
30N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0081774910960413,1.3815494751028499,3.5796945965803904,4.430936042897048,2.5243344762454965,2.8629588779169874,4.127697083795804,5.213266968155341,3.720478917038555,4.6437597735177745,6.011363460226128,6.567205821606562,6.768461613484723,7.611218470454378
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1312128717688332,4.499423594358781,5.400519998909476,2.8839882925285996,2.8370827224107478,4.878037391617244,5.960087996796005,4.228883446241048,5.01425949261937,6.904338540279246,7.372696304738237,7.7217794153029224,8.543159255476702
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4352920717274436,3.4299445640837285,1.3994678692313522,2.1734834196580546,2.7670217044327434,3.853453301486387,2.384188361583139,3.374361209287288,6.0012323126019,6.775089078714066,6.536531511864204,7.452829756674426
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087136814105903,2.8496869536365703,3.9368452612354345,1.3893744773786123,2.145674895156241,2.438484822890762,3.413364113563646,5.0142988087554,6.082518696382304,5.086436846971994,6.0430509225714815
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9367236840458104,5.0238701452488925,2.1527988810497916,2.47445582572316,3.4230850510288597,4.307195086273786,4.411605632772788,5.561750662069048,4.253929877727062,5.195322794045037
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0871596859604173,2.44084748194071,3.4141848821709213,1.390276038257847,2.1435759459398507,7.18366569004212,8.035605445659948,7.59873409244506,8.54529723780497
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.431215554544187,4.315738908015528,2.1635245326326547,2.486228193661285,8.1232958343502,8.909544260003184,8.613001610590034,9.551617630318038
37C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086615074804485,1.410807758532477,2.1626104752555526,6.353847581652565,7.435529089131918,6.365081470773918,7.321304432051175
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1609543137989426,2.475516299845832,6.82260095259257,7.96709711054848,6.642948340792671,7.574093094974282
39C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086702057329187,7.311669927748736,8.302108281892407,7.502170412228879,8.465464883453759
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.336935147437352,9.348303077989343,8.472857011287198,9.436732678906537
41C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.210981678769648,1.350643802321128,1.876408350387052
42O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.254935397610407,2.291416057014539
43O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9763753449554005
44H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
