 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,H28,C29,O30,N31,H32,H33,C34,O35,O36,H37
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10430414053936721,0.00470908591636765,2.9442661938494652e-05,1.1298262365455614e-05,8.98121249195416e-05,0.0001433601752864888,1.2652736405938114e-05,3.8213863369218615e-06,2.027503947621412e-06,3.897351503745483e-07,2.314108420442551e-07,4.864641175439388e-07,1.6335922503607492e-07,4.3704074981221197e-07,3.620190014430591e-08,8.771055759471125e-08,1.8667583479015093e-08,3.2604319244455837e-10,1.0716239007280137e-09,0.00021907538506105162,0.0016485253808533606,7.653076079350285e-05,2.1561775154221863e-06
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9609528092866222,0.0009784835775481504,0.0003980699553281647,0.004247151081657477,0.005821299737188479,0.0005127796785754646,5.40282910486134e-05,9.074691959461145e-05,2.9447904651869194e-05,3.002598383039512e-06,9.240122265372075e-06,1.4114485722416248e-06,4.1832812613940007e-07,1.4289725027427647e-06,1.3688005951473237e-06,1.748394340417292e-07,9.870453909766042e-08,8.761514624922029e-09,0.00026094427903247674,0.000757516934625016,7.6345785051668e-05,4.65957295270325e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.996796204124408e-05,1.4608161348461657e-05,0.00018192209521306069,0.00016470486055175648,2.9878569331676097e-05,5.086144480248578e-06,3.001373824473852e-06,9.365081352630256e-07,3.2330430554949885e-08,4.529455405188898e-07,4.703031852848483e-08,3.011569216226917e-08,4.044467316610678e-08,3.893345734695686e-08,6.983492784051748e-09,5.664199331789632e-09,1.2556795603302362e-09,3.732883483875682e-06,9.385912622783543e-06,1.0096476290577527e-06,6.482640335647716e-08
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.427251549702506,3.6517470524893567,0.13926887979379188,0.28695931221378307,0.027600332176914266,0.03350518071415973,0.0030707080836442913,0.0029419070350888976,0.0033859336113676586,0.001518920940582813,0.0001966330952629658,0.0005072487861118857,0.0004309707074536262,6.731547666172233e-05,1.553205143267622e-05,1.576745251041789e-05,0.029797808838909534,0.0050383948147726815,0.00592935241209766,0.001401151090998809
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5413425368318243,0.024222738634524732,0.07363909748653445,0.04983162155346832,0.013024530934795865,0.001052307205766212,0.0052485476964319044,0.0026794402572204445,0.0013252802118606244,0.00026217749234225263,0.00033412794313469885,0.00021334335704220608,4.6231614943055555e-05,8.29287531178835e-06,1.1907690429913131e-05,0.010103209013835199,0.003526786088002578,0.0014625473565551966,0.00033102444340527004
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5358863682949644,2.8526595117378277,0.09934620855319665,0.18122687281318073,0.02597944144983977,0.005810052918059583,0.023455745877407647,0.014854227372520512,0.0005432360515089663,0.0033413272462678167,0.002320271539360541,0.0005670176054834442,8.565931445059238e-05,8.354354445450074e-05,0.18132426819251868,0.038558579282515944,0.0274436026737383,0.00521067353893645
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09478120612764884,0.021315582575894165,0.00543925886524621,0.0005055851700326297,0.00011329293249628947,0.0016361699581267652,0.0012492007569400165,5.853633945385184e-05,0.0002778810180600333,0.00035079137682880734,6.029925863526575e-05,7.740430111091712e-06,3.5116392609335634e-06,0.020908021715912217,0.03896679586543228,0.003256072117234887,0.00010004702340582483
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9318999128159233,2.5288389066213446,0.09381289885601274,0.0959833680802018,0.1539622714081399,0.005681135012715943,0.010027626339307538,0.03111034331608986,0.006488401714429409,0.005352950566382547,0.0002196472861302201,0.001424703101404634,2.6780807200650747,0.2675367736952447,0.22626198641694378,0.054644354976890464
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08913901733105967,0.0038627619852449335,0.007075044719009105,0.02381763851150487,0.000599044574339791,0.0010454346045272178,0.002884423534575964,0.00022850546560992946,0.0010313394831957812,3.937326971659161e-05,0.0002081732128471625,0.11464255692394021,0.02814490635967526,0.012148577077839007,0.0011193951277521652
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9785579564756595,2.0034003842101598,2.8124059091941516,0.07967261822129479,0.08564686654974374,0.17912255441825267,0.05102187909009312,0.03049899125850286,0.001919514883978568,0.0039279100695036595,0.2004199851468108,0.04468427122473998,0.029152062355634598,0.0018801275803124184
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026416701430547196,0.08344467184898285,0.033531093570674075,0.0038190002204598894,0.015129772284792287,0.026846441234900653,0.002818639498819997,0.0005777137570837088,4.1967938875675515e-05,0.008966053493060677,0.001631052871514549,0.01014976749826324,0.00018027368146955602
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086981279642659,0.006171971328463366,0.03394628121732546,0.006304334052581018,0.0010942589791334,0.0006818649752993178,2.051950161230387e-05,7.081419913301801e-05,0.02832392995961608,0.004871239070983413,0.0037455320993932117,0.0004280444138091699
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9044980672099023,1.9835036961715957,2.5574371987212556,0.2972247154886658,0.22951691798606677,0.016818444752257244,0.04406847963189864,0.02484710844740287,0.009422829548866071,0.0031075780922385637,0.00021024868434893484
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025001551895206697,0.09445261688099027,0.024279563085096267,0.012224074305657973,0.009267529980269806,0.0013770019113490406,0.0008014029921152854,0.0001244573217890066,0.0002474635668202607,3.010775635181595e-05
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10617222198697207,0.027549445962786412,0.019005741618575156,0.000129713036749024,7.576274031295682e-05,0.014839902276545525,0.010369644807925238,0.00041252425504301193,7.315402918539604e-05
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96049516693783,3.6590935736844563,0.13371617178848705,0.14242038666418488,0.0029838163955016594,0.0010868953550909194,0.00039030089373945365,2.10330458912944e-05
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5727304765770393,0.0340578070635974,0.028655216348631773,0.0010679658980151108,0.0007151922467807034,0.000125291266148575,7.789410703784583e-06
N31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.952351694285807,1.710857590547703,0.0008044937426940346,0.0002521393698602867,9.949974611137002e-05,4.625214741649231e-06
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03766199937246517,1.64089075126439e-05,5.182767427114321e-06,7.0209826039668854e-06,1.0118928122082593e-06
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012813863751703902,1.451906532301539e-05,2.47088356790659e-05,6.432030448255688e-07
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.401292740287131,3.3727192769966416,0.16110239558244466
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5049820845205333,0.06583548727214361
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7520793568246242
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
