,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27H,28H,29C,30O,31N,32H,33H,34C,35O,36O,37H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0798954122100504,2.2102960326954033,3.24458328347332,1.3829863418004968,2.1406970034019994,4.255706380086623,5.058969522991276,4.248643963552031,3.7588596066947013,5.141409826692484,5.316811426366438,6.580944355731946,7.286879002668141,6.957646424876806,6.949463703075306,6.583474130890892,6.740040512075299,8.477700477230004,9.22806529065204,9.103673592888022,8.709792460910508,10.112539340918971,4.960817275553686,4.470837341772678,5.922081560246871,6.080693686978424
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2371764143563557,4.223932285257515,2.1595524517085734,2.5550665158012165,4.853156453210021,5.464525958270725,5.016028379490956,4.667985919254807,5.815976883635784,5.814250399974062,7.31187995460733,7.9577894995181095,7.639779580713806,7.826996263860083,7.509839330849707,7.648054160839778,9.353278902527926,10.039998685076208,10.04303564312376,9.683950530289945,11.047158663950478,5.651670458775248,5.274630619190023,6.4667158471778965,6.62212068277724
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0812585548850744,1.3610097043526501,2.1218166028935856,4.4860581000274555,5.578661268921455,3.8946925815441307,3.0046971568549607,4.742969433754376,5.345496166683646,5.925860642751034,6.659055875181802,6.51087086118835,5.831665756792625,5.42745959149431,5.398264099917135,7.303357508883241,8.165646435535844,7.7671605471306835,7.314601955659885,8.767433015961252,4.277145378415061,3.36874166541907,5.415132375829348,5.419630224107302
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1477828200430413,2.5464544502051836,5.206493823076719,6.328652413566365,4.400337928418097,3.4392254460299028,5.091444551790881,5.828602158668775,6.110320389589735,6.78676145434255,6.808365200160784,5.790802833406963,5.430837344696118,5.195451068800216,7.17942850647986,8.054456671796906,7.567660765310186,7.114791113222088,8.540637001902704,4.421499637308295,3.3288520550180722,5.5174553122783605,5.382364590486509
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0097314827475592,4.956055692953854,5.887866529981801,4.573220447527798,3.867164100700982,5.326161424044496,5.699968961721022,6.691172346960486,7.3424271200124895,7.249903516837845,6.839229581445363,6.524596143986762,6.4239457248807845,8.34603967142699,9.114963957744234,8.929919758053375,8.535916106871014,9.934612235869743,4.801049595788681,4.017559446777028,5.7569014773924625,5.716299876381654
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.87187963443728,6.750296632443989,5.422783222567301,4.72966732312394,6.020030405655424,6.363715754556114,7.3936479361027825,7.95330054553686,8.027219261039972,7.539417035497004,7.308115012305574,7.022334870565226,9.02488774334903,9.741964290749113,9.642528301249786,9.286287678543044,10.636420482002354,5.297073998922245,4.454519912518511,6.10090640463428,5.913652383471038
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2310205370348393,1.3646526241919306,2.053155764581127,2.449307825870229,2.5194559428983028,3.3777314550416686,4.287370577064746,3.1970217010520847,4.104844383987405,3.709677861322692,4.574169202023385,5.422338113332913,6.1023841663442,6.103775653708217,5.848568873988377,7.023188734290276,3.615532625781908,4.033481676962933,4.634597020712776,5.394033678394463
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.280595271328991,3.1640920886222728,2.7848102516257063,2.3822235626344987,3.552701302896057,4.285234822092207,3.12134024242642,4.6082457490270645,4.391625531779697,5.20805886109703,5.758085935597157,6.243985990775331,6.552458143275492,6.431975204822197,7.392266109217759,4.103731844967351,4.787677520186959,4.842704485397828,5.706121909110005
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0193949549368975,1.4532950807022609,2.067959565162428,2.5053872781061117,3.432881644928143,2.750901544335061,3.0494923353607772,2.779785119893555,3.3215307645592467,4.505237153017742,5.220189795889506,5.26316462479227,5.060454092214434,6.229011091409717,2.431324817268964,2.777463176864907,3.6048212370864783,4.293471041652583
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1394850282969258,2.9178456083225086,3.13309518658256,4.05001271244052,3.5507053233326067,3.2571644462558895,2.8420505522294173,3.2729590917605837,4.767336690321994,5.607788284160532,5.380264363707876,5.053880883812535,6.383191340489234,2.553137518163299,2.419127472796583,3.877790322083099,4.375226346527308
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0946957312510932,1.5506565014702403,2.1767389118727865,2.1433074467955295,2.585525784708137,2.8737173605327784,2.7958135753638524,3.929066005733153,4.356635254908456,4.98873757650113,5.0668516963842425,5.886211518545592,1.5200547302673326,2.438083368595623,2.3735841857601514,3.2072435790304623
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1475039282036117,2.4748457037007117,2.3996857942863996,3.4958914638950325,3.826527200718952,3.798699223344712,4.674350688983009,4.908164570367402,5.806493266413279,5.9547677139566835,6.642035885749581,2.140389923347729,3.198132085963216,2.528897693410278,3.456259057530376
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0940878920752353,1.0957169883227822,1.5328851485953479,2.1753997169736077,2.1746756199566093,2.5297638779156983,2.874434517378409,3.694951727867753,3.9696969884241695,4.504194001439811,2.5194533775941026,3.3874077485099896,3.0195091710263497,3.8355583829491025
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.761925940165234,2.154851863142064,3.0678446016534404,2.556069107305339,2.6795309009927792,2.5457260783938196,4.015674305334486,4.516057189994676,4.676787910259814,2.73844306001478,3.7418341882285615,2.718802432964088,3.516258854932113
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.166990650313293,2.4890303371035416,3.077734684465988,2.837191031415169,3.1507971682275615,3.8414099283081575,4.079106145481225,4.569247159693393,3.4414275348968006,4.3253620711072935,3.9303834226043,4.814689641496646
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0966409282282128,1.0996761341903063,1.5296137526399898,2.4201039059301457,2.4470490381436374,2.620164346883696,3.3763499216913595,3.095148480023212,3.4931411080154993,3.80362181879406,4.3691589922971055
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7580734058480727,2.1801096646404474,3.2804613623015952,2.5546320525286133,2.2987330011742975,3.5526281829908193,3.5493629156771926,3.741163430098757,4.516880040160166,5.080055716313842
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1278071064140773,2.87802718838643,2.9448594342247003,3.092454586097556,3.8440108008154845,2.723459562963214,2.8518228127667773,3.4210278608772295,3.766580022315155
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2230970593701642,1.3683332759462423,2.0913923060009796,2.0485838983377027,4.41745355193039,4.867390723897731,4.832667056553612,5.353119634462081
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2693969679003914,3.179197130385404,2.5002479575965477,4.774210029888634,5.400476730137488,4.853261764034173,5.3713297811270015
31N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0084763604081486,1.0107628099078887,5.4965138212208435,5.750864156601428,6.065469943475793,6.528400646218269
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.736577796803396,5.612486235847525,5.719890253160288,6.37735784376455,6.833113967486787
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.390767766326031,6.684222664334803,6.846625256843068,7.2940677261727345
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2139284644000758,1.351250485829634,1.8779630953448851
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.252614695556875,2.2862471531407196
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9764233279784825
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
