 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,O27,O28,C29,O30,O31,H32
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7492134919740712,0.6246735702274034,0.028837491747844446,3.3224055600536464,0.10527330487490916,0.00706891521463765,0.002062782891361803,0.0013490832427748567,0.0001307473041987084,0.00019484037409084332,3.734498798890762e-05,1.701752921792754e-05,2.1132037693050165e-06,8.659036354607963e-07,3.1203398739854116e-06,1.7414175511876184e-06,3.7170103533989973e-06,9.579187901617714e-05,9.74784172035198e-05,2.7129161702291182e-05,6.816469506176759e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03015019272971009,0.0009761711873510492,0.09650042696226391,0.004515900101228931,0.0013127235839924811,0.0002874570049373748,0.00016108250650925804,7.635995300958598e-06,5.785380873923884e-05,4.6214082316531346e-07,1.0594326191215586e-05,9.189374341467271e-07,1.0419026819086241e-06,2.079232345852944e-06,2.4000173568516914e-06,1.6922394363572124e-07,2.5901603772915394e-06,2.7350141146298412e-06,1.086563214514058e-06,1.6979572303732482e-07
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04528168054466,3.316775361518715,0.11333019415759404,0.001769793249099344,0.0006056784717654723,0.00024745521281707705,2.470448879465792e-05,4.682024777791227e-05,6.914201982954893e-06,3.916903701647878e-06,6.825090514972487e-07,3.018080416694602e-07,8.904437452661451e-07,3.3883852114391377e-07,6.952748407562659e-07,1.7770387704812984e-05,8.515064005606976e-06,4.778872721725169e-06,9.694205217458673e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09969382938311733,0.004689375150699782,0.00011956989117711814,6.628941783581865e-05,2.4190590039774307e-05,2.759155304232763e-07,3.205772879821822e-06,2.3194889564592813e-07,2.3395047410446068e-07,6.176235101129635e-08,3.1144917755909773e-08,5.594720331458802e-08,1.9736282275140127e-08,6.209269698409514e-08,1.8210600509771524e-06,8.921026244390617e-07,3.477117926919959e-07,7.400130308532482e-08
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7627311577546207,0.0013517553126619342,0.00035669427384868446,0.0002913802504233981,2.268163142282731e-05,4.9641994643662146e-05,8.097207673252171e-06,3.953168937254059e-06,6.254757132229116e-07,1.9698888631403122e-07,7.087982498155121e-07,3.3952756992722266e-07,7.656016098034346e-07,2.5245436238968688e-05,2.1172658944579315e-05,7.623843038900846e-06,1.830519029355493e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26618147619795e-05,1.3028652696811527e-05,1.3624767763564805e-05,3.5330043504089303e-06,1.6955758923575814e-06,3.515817850185954e-07,1.8081528485591747e-07,1.4251825053435141e-08,1.2909187496745744e-08,3.433082140791299e-08,4.041649059871588e-08,2.964267298288803e-08,2.001134977835939e-06,3.365564370083618e-06,6.744782691248119e-07,1.8935249901375073e-07
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.044943511646234,3.605017044207081,0.14998733326760316,0.261683522824915,0.016151887533125908,0.030726295099293893,0.002405117366620191,0.0017358860967295886,0.00348954136103391,0.0019297014857051903,0.0015149320540511768,0.042939367315434074,0.014878641940946125,0.007668523459824272,0.001111221516310379
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5459243385409444,0.02851398453173848,0.05393517245411582,0.019674024124797795,0.006941971097043961,0.0012064897063031044,0.0005718838952963878,0.0009292486000052891,0.0002606079054499194,0.0008444709250404608,0.01688119917901637,0.003281172406407351,0.002555112737339188,0.0006971839679954517
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9665326946560877,2.6226756700510014,0.09606213987213585,0.18049112905188142,0.025981627344615843,0.0073287111899051904,0.020622738826091003,0.00885604838823345,0.009162629472561162,0.20214047076594685,0.0353558886941069,0.028351154556590694,0.004784552163292544
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09510141126381855,0.026813773340485847,0.01933445198960082,0.010511924315676602,0.000659288455137963,0.0018945444536715428,0.0008897664330139721,0.0018441467492301689,0.005857101011012222,0.004036255531612354,0.0009855629170074653,0.00030734305238566684
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8258071569896401,2.4764291869974393,0.08827190198820967,0.08149162914362318,0.1550599360002405,0.049599244270819506,0.09767589857865126,2.7862025359139526,0.2702833867945772,0.21273344650806972,0.05461635368315865
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0897860982268216,0.0036338874695325263,0.018662291668904096,0.04528214562581101,0.009097161284926547,0.1332582128896147,0.11175129219298396,0.029403528068257523,0.009445488005417557,0.0005048144458341675
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9474934676551376,1.748436885643688,2.588318615332906,0.3288986999379344,0.3102911232891118,0.21372267094152264,0.046191843558058415,0.028447024435087412,0.0016436294959075726
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026239729329177397,0.07693280770380007,0.016601793264562237,0.020821033471190686,0.019199767725027073,0.003284565769370973,0.00523436721244952,0.00016015247225853457
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07393193111921592,0.016887720025018038,0.02377402222949976,0.024677999346496504,0.002480518868125392,0.004110661465725585,9.614613020536567e-05
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6725514630392695,4.652518540144787,0.012571735529782052,0.0040168179252158265,0.003448755646759172,0.000405872024577536
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5951836896210341,0.006354607223008346,0.0025592705752326,0.0009218889615340842,0.00027216624834158765
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01313395841651202,0.004369995986410274,0.002076393593603093,0.0003772375622668189
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1753278271877585,3.1337837573153355,0.17296842819624747
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5129662735067092,0.07957995781029914
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7964983939484727
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
