,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27O,28O,29C,30O,31O,32H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0779993407817734,2.2124669740738403,3.2470752772859885,1.3828981073381468,2.1390854096910292,4.661373329042138,5.285617291452732,5.471117924482098,5.209481258455816,6.857288941976977,7.347826412180849,7.835937280186265,7.461012742490254,8.238153137573414,9.157177102364896,10.104321854352937,9.21259622672904,7.110861777839936,6.478965307301385,8.425063582209969,8.655869741559334
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.245390942343353,4.235458063417114,2.1733162214256403,2.575052212871109,4.672029713739103,5.156026508633672,5.626080673344823,5.4970386824219775,7.026400442750771,7.371477364991268,8.049888739101688,7.659740182907042,8.578230526887111,9.250276999753222,10.245440595688263,9.181941334089899,7.421922162910147,6.920541240653665,8.707451459386242,9.013730429143694
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082815796654772,1.3670788763046773,2.130433387092246,5.961466000516251,6.7489684923122555,6.437535433838086,5.922593390451096,7.714013669347674,8.438264189511864,8.512463507613774,8.135813784451457,8.647040462071567,10.003524093644385,10.807651114026662,10.293628262605022,7.7106590189130495,6.856434028778792,9.017564588610163,9.08840078970218
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1514031455749163,2.5537296608299562,6.957385505630295,7.7738392537349545,7.339043289629652,6.7520716882338645,8.57237037348794,9.35480389444678,9.286044049985879,8.891914278529844,9.331426990135204,10.81219988705655,11.552154249506621,11.17831890969274,8.504130115029161,7.597466557808359,9.790509597124508,9.807509580097634
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0092178177061921,5.898596191812673,6.595478438785994,6.567526123165263,6.1616046743916035,7.941612371086584,8.530644688149554,8.813700361372426,8.38538427323638,9.108861257934926,10.209678199271094,11.081483216155428,10.37152172382195,8.11794495724282,7.38440836859594,9.44362638047159,9.60916290728476
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7562757848051875,7.422326484069253,7.454021659350102,7.04825702888168,8.85483567410627,9.40968607415363,9.70351963826974,9.2244516838717,10.029415225571205,11.070364539250688,11.934084118388029,11.212448095163111,9.090354149955926,8.381358924995222,10.419050653004902,10.602581244524824
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2307981282146652,1.3559461470849639,2.028858192862245,2.48063177293429,2.71574042685396,3.7697973396131594,3.7816233801877153,4.453382463074871,4.8248653198621465,5.953131037660542,4.670166823260259,3.116573562903969,3.1972786191971516,4.295069907977541,4.844903791854235
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2905180784480033,3.156927966629472,2.8739419168508458,2.6941720551167845,4.324931695058724,4.553554946789953,5.055994391585237,5.1035387337756175,6.320024902938698,4.667603440685525,3.3128553944834933,3.5003156904414223,4.242048500371597,4.764380695520658
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0118496732288758,1.460552259809254,2.100181050198484,2.4964082993573147,2.479675781062402,3.1546183233707805,3.7331877552447645,4.769482521656804,3.8612269088501816,2.4267074489416203,2.7606167984684773,3.627527652740002,4.2846045699946815
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.111610467176837,2.95913824497072,2.6554451758425555,2.341461029248363,3.1040060091324615,4.087126183476627,4.942002105623836,4.470857686820384,2.9098760259414633,3.018658305050957,4.161546012886787,4.740726429907592
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0997403521134774,1.544304171553141,2.161091001941677,2.2111116241652966,2.6168776756820287,3.7115871116835573,2.7685970954876007,1.5177805200016268,2.4469438849747407,2.382501484031403,3.2015598240166967
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1070061985737585,2.746815832843287,2.9521792361277095,2.4871954683474895,3.7219951711106862,2.124607708172715,2.1549764544236973,3.1957307857604267,2.5923315909615843,3.497662338493472
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0993894534114552,1.0956989995395143,1.5926460453747293,2.3824959857606682,2.4140576301738363,2.5334684927198556,3.4684748446283384,2.977746227596187,3.8185963249486456
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.760902221811344,2.17898565674664,2.7364257438285104,3.0002968808374875,3.342646943102695,4.083656020355487,4.009562847782191,4.815082875953718
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.206843926012784,2.5677305216787643,3.2165839282181143,2.5823680059495886,3.3531667552713684,2.874024751077494,3.533336892283858
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2495940360301108,1.255088442308716,3.575870674543157,4.7070554882716475,3.4969009971933236,4.417514887984593
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2808253739191615,4.523031527054517,5.592346035474631,4.321276591226432,5.1465416730869675
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76957936688361,4.959600263127963,3.6051036778298715,4.56539151510457
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2179366113711867,1.3545098176610306,1.86311708897195
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2453379501915145,2.245665410400067
31O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9754989573083636
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
