,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32C,33H,34H,35C,36H,37H,38H,39C,40H,41H,42H,43C,44O,45O,46H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3237628466296294,2.1466173883173725,2.5140379244614897,3.2735910962918258,4.6989622833579885,5.176903298682238,4.602389359543841,5.0132471184479295,5.6804226344543185,6.709379156497242,5.640226350295761,6.64867345365408,3.9758129071023935,4.96239852219688,3.3136146102130497,2.566741068994405,3.929831186195727,4.853958533366913,4.608764908256353,4.019195764445479,5.650676391146588,6.427140362528622,5.351490158785264,5.580713274074631,6.284382866301154,5.266317105469568,6.27979677988642,6.511794404799912,7.3194003424755305,6.07517519136418,7.097197686671156,3.4421122037820973,2.4943510126895028,4.63370671002884,4.664497370614556
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.255010932865586,3.2313968475264914,1.422390161527618,1.4068055071091379,2.170794663340889,2.471402864381237,3.4594480712301063,2.4096790098000356,3.39709072834877,2.8005929157217184,3.887305086170074,4.378913409137553,5.566083468124328,4.198292496236209,3.363002582240115,5.483872119317934,6.254779479688384,5.911137148398251,5.302147618986117,6.1614352900660965,7.027290495016441,5.382554460552315,7.323406239261501,7.818152382249765,7.450250192989218,8.016418175743826,6.742134180509435,7.1406649713801364,6.1502167684270015,7.662571718985464,5.8714920161835416,5.375316695745095,7.165083698178351,7.5087802627060265
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0080617176646318,1.3810221227844088,3.5780627100331364,4.425746814978173,2.5264459368162764,2.8674644369913147,4.127818167465584,5.213560407728263,3.722002436098859,4.64592398718823,5.057956973349331,6.238281131084543,4.339154988082342,3.3367014374358774,5.177447198678868,6.177383319857777,5.377721799243279,4.5100396023116085,6.075693666471103,7.049977322630842,5.648648897397322,6.505537272482066,6.932166452584855,6.359195698848851,7.3740537172853395,6.524970415505306,7.203677107031504,5.7965552311017765,7.215573080618248,5.126753167151413,4.298290997700361,6.434463174331404,6.57650080226662
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1319304129401235,4.499853196503122,5.397193149814078,2.889704899734742,2.8461587597684295,4.881400134998854,5.963825701809742,4.234442451448113,5.021052978855983,5.81137176653702,6.9589101059917455,4.942703948016062,3.956027570105526,5.560616119893355,6.61536063381315,5.594506577447471,4.630425101101664,6.413904657472536,7.417789775650823,6.13668476354223,6.545623169598495,6.887207328234874,6.284679629217235,7.487996748682497,6.731530769606683,7.487524082424849,5.93653444679107,7.303751066523016,5.350522070424654,4.416969198703167,6.614227828699959,6.662293420031453
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.436718020635336,3.4297240635511907,1.3994944062202497,2.1738509866625124,2.7684711420588712,3.855101840393081,2.385020760381058,3.3751039481338827,5.299651067749093,6.520569277913389,4.779564978513223,3.8029770423556704,5.843035487653522,6.7640525670521106,6.000315825047469,5.179347007146361,6.384543160699594,7.367682052686017,5.774993690988003,7.285399371073299,7.651458945729031,7.310195425680476,8.122776400921579,6.732702227006809,7.22932922641276,5.965210784525869,7.5533684127625085,6.081159703915254,5.4128746390857785,7.416872246106219,7.672711448580739
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087385157058651,2.8504549484729016,3.9378064888040543,1.389965591621394,2.1466207579357834,2.4388920514167185,3.4140607456434755,4.992950719981765,6.10014170051078,5.057931983088455,4.365071268872537,6.433211367064545,7.08110048041122,6.832223245361986,6.307092084146011,6.806882119924073,7.615992429592517,5.895094290511698,8.315795371118615,8.765887431899133,8.568990088775625,8.949970247567842,7.3105350607879,7.514538391017103,6.747613776118617,8.314203960991357,7.016910926436837,6.648449129707343,8.281098711621901,8.70263360135887
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.937789331425824,5.02513002817881,2.1566103608548937,2.4804202407086744,3.4256709654645707,4.310911002201639,4.754393746846107,5.738300697089959,5.1084759144871645,4.594474080269688,6.546693130533079,7.048933349110199,7.102334536992539,6.7306176588254685,6.9804261970172385,7.670138940798877,5.990372246549741,8.61603788777142,9.135934959684734,8.927221047649011,9.137346472150085,7.618737623629052,7.743755269948989,7.190711682570564,8.65742630821965,7.207814404216346,6.963920124263033,8.395213815873575,8.863923897537138
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087355090222038,2.441608933925338,3.4150359596704503,1.3909121310349122,2.144077655973191,6.523424491564252,7.747541721487832,5.982190943350047,5.01719035691565,7.011784766577111,7.937983233154405,6.961407868982106,6.075156850991576,7.1890572006820745,8.21611107004056,6.5837017742029325,8.219874593197837,8.439231703527664,8.291847739673912,9.110795853228025,7.279295428872624,7.6735860358769035,6.395030903960109,8.09450131681604,7.334293861511361,6.676611203286076,8.680056527448562,8.948732708763574
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43179709057997,4.316214376583945,2.1638612132511716,2.486086278287314,7.320158444846929,8.546172541458184,6.632346131437063,5.640096737213845,7.513273079336195,8.499506669066118,7.311835931573632,6.33477965716253,7.618931384896309,8.686724066107647,7.137423168917096,8.443393733326506,8.567968830511436,8.443906181847302,9.404716997590157,7.559280258338076,8.008476794914404,6.591821331484869,8.275260157242474,7.73585943445038,7.002016817002129,9.068863876598892,9.276552581079892
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0868244224354302,1.4108298931257897,2.16284108391406,6.2504423123198745,7.373197566252496,6.181943815231092,5.428876389522195,7.489790765992529,8.189507366056723,7.671251680281404,7.042183468524262,7.547647025055412,8.421403017131775,6.667660621331605,9.129644559440626,9.446817330499321,9.404951967565253,9.839592262908866,7.800223663458282,7.926538457936477,7.1135221085230445,8.794142066750835,8.107499494144015,7.692671802444944,9.41128855936955,9.828894887696134
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1610136867204384,2.4756149740704876,6.914407820948536,7.968806863026031,6.973720361910597,6.300956244483431,8.313358469881297,8.937624347684556,8.494929765201768,7.926441542003195,8.226993754641104,9.047259024773735,7.29217436136001,9.979540589294162,10.277005486498453,10.322048481122337,10.645644987671929,8.440009765350512,8.44304832242539,7.794284396108805,9.465543488837328,9.022820364741744,8.675168059614318,10.30479743519008,10.76364190891708
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0868914896026933,6.911875248389254,8.101556856927024,6.576289163448894,5.699475247128426,7.741047845429886,8.568103673073782,7.726816005624732,6.938800655537787,7.719194013330385,8.694331684492818,6.977474289183189,9.08488215780255,9.296676474410544,9.27962764853822,9.910731751404091,7.7837898588413115,7.999615563496479,6.948442000275001,8.690172407376782,8.244054623819757,7.703559632379495,9.58631049855009,9.93651678536749
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.941596911011164,9.12469135563599,7.579117352816101,6.706018412566782,8.706540010398415,9.538779547188307,8.581425435559595,7.7634157876566805,8.500325860701524,9.488067509466827,7.782916827640644,9.906112494004205,10.032372888481754,10.11957567291917,10.759315694314518,8.411963090462969,8.561820584417838,7.527101417777849,9.294083839212758,9.236075061015995,8.690862760605722,10.582746360796103,10.934322490539682
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2267252895285783,1.3721929917541626,2.0507687565442567,2.4717041703710914,2.5341669778064615,3.694216140527,4.006775977503773,3.9040632051681112,4.158666733686496,3.233632089125134,4.974156576865535,5.831293502830865,5.320534263306944,5.101195342648947,5.283610922138269,5.7005020007049945,5.446351608835357,6.071519285962948,3.314624774793932,3.7837451066172343,4.1389704590606895,4.834536461071121
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2823294476484675,3.157361223660564,2.816990503492753,2.3798768311316167,4.141237553133602,4.711403627560137,4.276564679048936,4.2136621335298114,3.740328564810173,5.19478086647809,6.114356951571621,5.57775270321633,5.059504177252374,5.760136567089758,6.114997972700363,6.125759381117088,6.451987545469026,3.6073307808632613,4.327040567982869,4.046558266979388,4.79525659819519
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.015371519737192,1.453960352212107,2.057069073208871,2.4865147508164336,2.657366042990856,2.9887672140232953,3.4933148604835855,2.5153719133240116,3.8424858910912483,4.654221025074485,4.154311390589246,4.185203546490669,4.298463789480635,4.907344756209377,4.3565952678270445,5.0238687483586615,2.4337199239429164,2.8590319634270847,3.5203928576061827,4.2236816901003
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1217489675175423,2.966611871089877,2.781408149452356,2.526117756924935,3.3722928568780537,4.107111258368257,2.871778678953151,4.177027675109818,4.878649711749178,4.374918903364796,4.735029624209565,4.42971389182214,5.08610667393982,4.230989561673909,5.191734602856178,2.764200572758513,2.7678943475911635,4.035874298140104,4.593880692870586
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0924878248211771,1.5577764705302348,2.1499191618229396,2.5387457606303,2.8503261965186693,2.6315640148656207,2.562950662471761,3.5155249778649726,2.8576944777336677,2.8060375292675905,3.9227888771144155,4.697800918134474,4.180668341310555,4.3681234837117024,1.5299611497853804,2.438964877237588,2.395574480330145,3.227714387370006
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.188498490236679,3.0613903409341687,2.7450082613890054,2.622229162504725,2.8543507034177336,2.882144843068903,3.8549614525784293,3.3173225897236343,2.6948533386699642,4.244887294090579,4.874181000851348,4.737621500304201,4.638446139326596,2.1418653536422627,3.254670525690531,2.4401161302150145,3.393272730357642
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.101628571807769,1.5432123626484422,2.163736107769561,2.15950814562865,1.5375753238050212,2.1788429291971094,2.1992092883390293,2.1862354892651727,2.5844240880652967,3.526097602464043,2.8418671348736213,2.894824238562787,2.5421209147146078,3.2214505558545827,3.309078155089122,4.0738358162891375
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1595977544152207,3.0611558888910384,2.5509713919989156,2.151724524961425,2.5245858341041383,2.480554342589257,3.0743329255592893,2.741586137112691,3.7482672407131745,2.5511541500664823,3.116603345191074,2.7965256073113935,3.0503806458327025,3.818653599624505,4.413135534436922
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.099840382159989,1.0959565203897341,2.5524567809289183,2.7607200722524436,3.514267434999072,2.859499036459354,1.5339508128248387,2.175833897621352,2.183947935238355,2.1988564307948275,3.8976137912769646,4.633251025542637,4.582139908059028,5.4457813633840635
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7576660310160854,2.7327582248048405,2.993913415070408,3.7748621430929377,2.5971452271643027,2.1684669547632645,2.512078300748008,3.0874306804190286,2.537412307514937,4.210245349202144,5.1465378833880955,4.604379716830797,5.5339025985031975
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4798619271510938,3.799411622274421,4.332174551982912,3.7820962571638534,2.153834616362284,2.4693848702886596,2.5269227694894347,3.084266163667109,4.105273304175585,4.750859166655283,4.946464941179548,5.814219977533054
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0944287092464229,1.0951774885533865,1.0970528759710891,3.1797854485962307,4.160612057939665,3.585330577069326,2.922416583810074,2.941516984809769,3.685872679860602,3.17008407526382,3.8216481741923793
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7619639071095732,1.7717572979497724,2.8191849500913753,3.795302166269256,3.201663360197074,2.2399933919442416,3.9695130964157577,4.580570416016941,4.235303113771892,4.822202132249091
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.770210245804781,4.1255920651343665,5.158832301777531,4.343330277882741,3.851453051414748,2.6346617431631656,3.1733643788487043,2.755544400642313,3.1642749734942472
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6579864476085326,4.474888947963954,4.30257256385525,3.3524972740246053,3.2370186033819186,4.210889556118191,3.074575894356288,3.8161999891830054
39C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0960153629426748,1.097495096106789,1.0958985527075926,5.118416310454258,5.687417924195574,5.829151007212814,6.617148653063173
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.769476641197474,1.7656817832209568,6.01800854914318,6.634259505328374,6.705492290581287,7.5437438697876935
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7712957376854621,5.244347285856007,5.585417316869405,6.13516379878648,6.835847017222456
42H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3855677252125504,5.988903593234575,5.920083891926366,6.660835288066554
43C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2149258028824144,1.3495041975269142,1.8779390018326623
44O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24981982479383,2.2828955954583994
45O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9773745315822316
46H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
