 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,C32,H33,H34,C35,H36,H37,H38,C39,H40,H41,H42,C43,O44,O45,H46
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030155925556727414,0.10084047946196795,0.004905084295366402,0.027209133723271828,0.002971197986827878,6.497789476478388e-05,0.0027262056574766103,4.5179729818212166e-05,0.0009693429060193548,0.00011004158311411771,0.0009068652749668615,0.00010410229559898454,0.0002049997867858977,0.00012063020767894006,0.0017997349384039074,0.0040099786670027004,0.00021600369814955833,3.762503570192699e-05,4.880653141525748e-05,2.3541158007400753e-05,9.383305286214672e-06,4.071003663064232e-07,1.2204008463800875e-06,8.609390907632353e-06,1.1210049710719261e-07,1.6837285665705082e-06,1.1254306457875174e-06,1.969883453689647e-06,5.80259955640372e-07,3.853575458734326e-08,4.444181029850114e-07,0.0053627169602536995,0.041975139609435774,0.0018858079309819198,4.293170425784254e-05
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3868489147867288,0.030907652130403918,3.382967113059724,3.4816921766212627,0.12883014169055063,0.2902664994868165,0.026922645253097732,0.3390898689542823,0.027666574656350695,0.23454928081593734,0.003914864302441146,0.001758015342521263,0.0008749310263720528,0.0022692652131178215,0.002745883519519987,0.0004655231903072099,0.00010861786049398692,3.347957693186632e-05,4.3219947057249186e-05,4.21557167225306e-06,7.027375261703384e-07,2.851109020873821e-06,4.457698046092529e-06,9.217407603845373e-07,2.73880789158909e-07,1.2868975240998282e-06,5.636015748128331e-07,1.1130382171486985e-07,1.7544956465442851e-07,1.0315710574637649e-07,0.00011120465363798071,0.000375634987337628,3.3984236570430704e-05,7.781407361240333e-06
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9167614436707967,3.2157196648958224,0.04479557706819079,0.0040307501630039155,0.2504001456677116,0.007062114319200452,0.04909967726766418,0.00045142749792437264,0.06495734678266496,0.0030566180718569758,0.0009785431179350768,0.0004022529997188412,0.0024806692529803914,0.0033195643197306834,0.00040009156679909896,4.872053876026072e-05,8.572538114134942e-05,0.00011650885012604029,8.351417783103443e-06,1.2797673367703766e-06,5.950849200075936e-07,6.984451127359237e-06,5.876699744611358e-07,3.5304383816381346e-07,2.27713877953839e-06,1.4462239642382135e-06,4.3350939993302973e-07,2.2206100913635396e-07,2.038004676130356e-07,0.000393078908515615,0.001660027856341964,0.00014931690402182618,1.6294965041185883e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11614874961858068,0.0034331351166763113,0.0014052419056000964,0.007116805540033244,0.0033381341930542874,0.000528762807777361,4.04323335465584e-05,0.0005687112340529987,7.008596971158632e-05,6.180762325724842e-06,3.015173038578567e-06,2.003893957736036e-05,6.438468960290322e-05,3.674352188065555e-06,5.847222348531744e-07,3.212541192398888e-06,2.5629572095731135e-06,5.22100784050572e-07,2.5635909839394344e-07,1.5295675170889922e-08,4.646785067841108e-07,4.289167887527867e-08,3.089562294888992e-08,2.967352370486509e-07,6.599445290245143e-08,6.5884406819094465e-09,3.896871691999593e-08,2.6739992442514904e-09,9.479582230520478e-06,3.804715767741218e-05,3.891837656255781e-06,3.654940967656728e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2941238974102738,0.027264602407297778,3.680302283759539,0.13401988111793472,0.22952191256628243,0.004093946230381507,0.3543127689509433,0.028423888992800572,0.0007036450630946711,0.00045047627461504425,0.0026392498146649984,0.0046820682334711705,0.00025457489062599703,8.11875338448953e-05,2.023394817929347e-05,1.2735763011306744e-05,3.613834776483582e-06,1.196332351627305e-06,3.628052058779474e-07,3.188198242992657e-06,2.5955894988882733e-07,2.3166188567458335e-07,1.4239605581334303e-06,7.246452978504347e-07,7.101885279858777e-08,1.2524726367146854e-07,6.714573919097688e-08,0.000147220628833572,0.0004932052126674219,4.4781416887129666e-05,8.537786788664903e-06
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0262028570979393,0.3093746038030399,0.0036166093693703605,4.047188732761175,0.13240719621968688,0.3262447783913463,0.02617477954679348,0.0007619573401058954,0.0005259421272497955,0.0014645714411113675,0.0023297335155328946,0.00015276674902237053,4.8239995041332584e-05,1.3151201795402745e-05,5.972724152369935e-06,2.370576116017542e-06,7.796631684708899e-07,4.921637986043947e-07,2.8958768364256704e-06,4.905177541925099e-07,7.339733709699203e-08,8.963166924225163e-07,3.0163964029328305e-07,3.342100329817299e-08,1.9771439818683234e-08,1.176655666235149e-07,4.681707940171198e-05,0.00014578481389021514,1.562902873915306e-05,3.113398972187653e-06
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035359572944515527,0.0007759853409576856,0.1289965290597379,0.008426753130814202,0.02750781008959846,0.0011270080784120395,0.00016966299966281184,0.00027498668972858464,9.087684909181437e-05,3.161937517592861e-06,7.4121802320359365e-06,1.4264983445588797e-06,2.7097167034639824e-06,8.781386373613032e-08,5.897018098277584e-07,1.2825181805453667e-08,1.7944538499570228e-07,4.6167469913704906e-07,1.2265067184102918e-07,2.839888990635586e-09,9.94691240485679e-09,6.814816333466922e-08,1.8474641372279166e-08,1.5505376982360985e-09,5.051425255864217e-08,3.431450269264502e-06,8.554995776233199e-07,5.284462117893796e-07,1.866280479045912e-07
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.019413513306656,0.31547840336087307,0.025953729521233093,3.8891713661463854,0.13037038583811467,0.00015414744224312438,6.650378035809312e-05,0.000320735692054569,0.0005396756862727781,5.663287314319754e-05,1.0207993676791816e-05,6.949815214069011e-06,5.6577571390104e-06,9.454324460117514e-07,1.4454663732621498e-07,2.031405272884257e-07,6.473836110798548e-07,2.4345556237648225e-08,3.39511301294948e-08,1.9277915708215687e-07,1.4429771880153375e-07,4.1551740936895953e-08,4.448361767828146e-08,3.6471677233862465e-08,2.9708392121380323e-05,9.690889599982266e-05,1.0181903968120576e-05,1.9636801085187727e-06
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027357976325001365,0.0010486480300149204,0.1234733116013178,0.008416069488304645,3.4776597674923693e-06,2.4703518964885873e-06,1.8199025462184437e-06,9.840509482827997e-07,1.639351929760835e-07,2.7719380124580084e-09,2.5710926720989846e-08,1.800482074543197e-08,1.062275556407144e-08,7.650284850058142e-10,5.139984882163162e-09,6.023834986379484e-09,2.467663851035695e-10,6.752574055468585e-10,6.167841792859008e-10,2.0088959384878535e-09,3.255715697036976e-10,4.748905713114482e-10,2.2849055980600497e-10,1.689574538055183e-07,4.9586774109045e-07,8.074598023544155e-08,8.166737286430248e-09
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.849066920731245,3.7188065593164117,0.12406125130921941,0.00019037200011912114,0.00012953001182371138,0.0002420964591907382,0.0003089388452256481,5.0675657200766056e-05,1.0807304008930707e-05,8.698985580174456e-06,1.1219154152364297e-05,8.031976339306635e-07,1.194545080629439e-07,1.6987103412802185e-07,6.818698512073285e-07,6.422938492178787e-08,3.072236776091586e-08,1.797443172080193e-07,1.0697061372799688e-07,5.100473865482513e-08,3.0412684370872967e-08,2.699688650409371e-08,1.4876550356229812e-05,3.578231748579963e-05,4.978712086670112e-06,2.0316077242732433e-06
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12562195296544165,0.008135733129966516,5.520225578869997e-07,1.1143178341166404e-06,1.6095241557323448e-06,2.339132194828508e-06,1.9200585010814564e-07,5.9526072071491853e-08,1.7154352605075474e-08,2.2847702840778084e-08,5.011578707581066e-09,3.640896473200428e-10,3.403981541083567e-10,3.3280449507344656e-09,8.205036650110742e-10,9.94482052263379e-10,3.578153329186762e-10,9.179823567961876e-10,2.34775532348408e-10,1.965598794839707e-10,1.1844525360515945e-11,4.787679408480017e-07,2.0268267589829136e-06,1.38186280307373e-07,2.3068750243382397e-08
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1432663122936058,0.0002785049685555263,0.0002102183827556725,0.0012002132872483001,0.0019907527301231687,0.00011420248809324018,4.718342758580629e-05,9.01419438376072e-06,5.156005770334815e-06,1.5643320545599693e-06,7.829245374235683e-07,8.1080192337879e-08,1.3798511761115018e-06,8.002155205133477e-08,8.070635693080419e-08,8.302546226079954e-07,2.570810958835157e-07,1.2710140051552798e-08,8.978100263234978e-09,2.919764030551164e-08,3.9307383322501055e-05,0.00011956001759863555,1.3956247357491125e-05,3.2645072748360704e-06
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.072227966249841e-06,1.2350672803362883e-06,1.6564131524177128e-06,1.0902210612062646e-06,2.519110868792751e-07,3.04279876850444e-08,1.2501263269015794e-07,5.546168635461868e-09,2.5336094777728135e-08,1.002514959935752e-09,2.1022405816140122e-08,1.7462973289639194e-08,1.4115086877097838e-09,1.9122781136360345e-09,1.510211289357244e-09,3.848046103982483e-09,1.7042338651407363e-09,6.690070719628238e-11,1.8364614273735924e-09,1.1575919669493118e-06,3.0247970639329935e-06,3.5689203681243953e-07,6.707649791160009e-08
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75420291077092,3.614149973381962,0.1343634335208519,0.267475076607805,0.023576748476725307,0.032033317301410985,0.001014674314296693,0.0052440928306873025,0.0002165634405020267,0.004152668014288485,0.005636069692923323,0.001023903377754376,0.00014902397525440314,0.00010814577371176526,0.0006232364101988463,5.2608926628616715e-05,2.74593382438848e-05,0.00025026687963247696,0.035480062466016676,0.005596051923607584,0.005322163449176492,0.001243323435917154
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532206635384321,0.025080116260318586,0.06872202501389471,0.04872106802847287,0.008729968959112905,0.0012313814543659651,0.0021488038732316583,0.00016227968290161154,0.00123373250318215,0.001349827863487446,0.0001319319837513877,2.867917391558006e-05,0.0001496900899886633,0.00021163076955585391,1.9513966218687173e-05,4.382959043103263e-05,8.399260258995511e-05,0.01115897622345155,0.0019438752297364602,0.002270753485929089,0.0005610347344001676
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62336201300318,2.6783965876002562,0.09432215563000235,0.1798291907318843,0.009339901292567898,0.03115147090676701,0.0006908828824687685,0.029654277514321814,0.029819711848614816,0.0037084123796675694,0.0005302316957820352,0.0008367752763573932,0.003500661450119222,0.00021806513136302108,0.00013059484175026448,0.0007576018210346813,0.21772222044423328,0.037466293427447436,0.030137303864923845,0.005161460947715413
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09937317853909144,0.03074088204563985,0.008783256911845339,0.005464879360716157,0.0007456494874736874,8.151796236233189e-05,0.0005790415127542303,0.0006231990525076281,2.8054102454877494e-05,2.239758615152354e-05,0.0005607136995906536,8.392007396296197e-05,5.7463028109161485e-06,1.0589772823976773e-05,2.3968055811840472e-05,0.006827326738765183,0.009779096438510382,0.0010303913821454458,0.00018348546561064438
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6115643672389455,2.5873175918477305,0.08689279171363284,0.16528089409370697,0.006192654044327339,0.014858095348405653,0.16293589584274543,0.029849483303654,0.006486036736939038,0.009713160673579857,0.03160565360913217,0.0031806778948242354,0.0008371009927707895,0.0006697641204778115,2.76255642807596,0.2695299643665938,0.21722715064186834,0.055067878316751084
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07962248443202968,0.032312173747172546,0.011572063894429663,0.003846415064926445,0.00038336965850760407,0.005620283523979253,0.0001771158059316047,4.778706639352315e-05,0.002836714020642228,0.0012911417969277972,1.924458514412919e-05,0.00038457439579353547,4.49234716148883e-05,0.10371293311354624,0.021421184547596117,0.014587070715557315,0.0013681147327029297
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6773336392849532,2.840157516763054,0.08200705799889674,0.08639179985515066,2.501567213358731,0.09035637528578455,0.0867109370262038,0.08408752142925957,0.15993322888251388,0.02873393285697734,0.009709934477064808,0.005906960638933922,0.18805408921935876,0.03636018698789911,0.02452882819510596,0.002720321743076237
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07634878765083486,0.03499228194191861,0.002748085204910211,0.08080056941135227,0.0037616325653573313,0.005132226024146425,0.03454127664632978,0.011858876646944072,0.0006639037503026746,0.005671333806074097,0.00011075449046504815,0.007926194109779683,0.004448794488808416,0.0012055777481587704,2.9273116291417267e-05
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7620129016655148,1.743427288686755,0.16188889861865324,0.008418842931884107,0.03148629883130205,0.008152731536458457,2.749153007703981,0.09154144996168956,0.08156912919347192,0.08224929432358796,0.029954716906330392,0.007165892391453134,0.003652717079044493,0.0010449314788256725
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023740898874575977,0.012208690668595201,0.00022930197058612656,0.0008230499201216102,0.004939112596772821,0.08137234644044833,0.003936369095977721,0.03435144210471197,0.005028922681211689,0.0007492334850245363,0.0003825156489587478,5.722402582375441e-05,1.0603915290063881e-05
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029490588384398775,0.0011018843718888505,0.0020748630608544705,0.0003425474239944215,0.08504368333513312,0.005468308064469296,0.004465530281583252,0.03286452792207495,0.002486385882441544,0.0003141491265529206,0.00028973438214230374,8.286310153482468e-05
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8932970938531766,2.1789948675115705,1.7881690453197525,0.021416098955068102,0.0022597447526468972,0.00039070890549730564,0.009142791672796635,0.03200150605605448,0.0065025176767369575,0.01657808086871565,0.0008445734494103574
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02498713820815035,0.024567468596852438,0.011669187531935243,0.0007474580479440718,4.229619364881643e-05,0.013823830901466883,0.0021653996839869905,0.0004209330700364333,0.001851598278894473,0.00017878430317064264
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02352276672001019,0.001659903467807311,5.4677389456303516e-05,3.698264270668439e-05,0.0006239064540831674,0.01835769742478921,0.0013646840618990463,0.007442721126388219,0.0004686485458595957
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041223440675253187,6.449922942453057e-05,0.00022351533292441772,8.042477035408169e-05,0.001503436135926517,0.0004901372293589779,0.002710699325786603,8.999090284844691e-05
C39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1829460615942526,1.7906101153970277,1.8402708007062758,0.006691137189389046,0.001724475704737806,0.0012272094491155433,0.00020025829125525085
