,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29H,30H,31C,32O,33O,34C,35O,36O,37H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.099402991492753,1.0978531772754174,1.094031363662188,3.875362356448405,4.040714423072054,4.660409343178086,4.346607570088796,3.02072718767149,3.255102772105816,4.012807848088331,4.439173216078731,5.2319917004189564,5.656362066334601,6.429591596824734,6.538427914635129,7.318343485834489,6.768797066104794,6.335335404495897,7.843207261018307,6.736808743128566,7.80742158522295,5.770529469742258,5.325130662160593,5.108061478364389,6.271522320560267,6.534808060471114
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7717862479354634,1.7768913922027765,4.302736272352226,4.691992956518374,4.939345528201319,4.754686949762442,3.454414831568236,3.9784862050237444,4.153770484370115,4.417684633183128,5.483214644462108,6.041673364185301,6.477739863057047,6.495880813355662,7.4570176884204304,6.644998451425494,6.050380792189526,7.684336135152738,6.701804742053385,7.845873562560414,5.707798074175979,5.690030466857801,5.377236238288096,6.786898903196351,7.072864983502912
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.773074747403564,3.9932369089499535,3.9716588933509365,4.660456743659504,4.685990163554254,3.9984623057894355,4.0136246777766615,5.064959762719003,5.524685226587721,6.21888956939542,6.599353012562619,7.46601847539112,7.548993396959061,8.32619976071834,7.85789656109005,7.428218251023301,8.932291194030626,7.80872195058016,8.856188986438262,6.826015036509812,6.175358995063016,5.892591748940026,7.02919596227056,7.199125946034717
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7186937212335005,4.77512995416763,5.599780891731045,5.061223652903702,2.6384039856302266,2.659138318711686,3.5564030392291732,4.202971224078417,4.595118838669814,5.095296778444488,5.82800037167754,5.851998044665167,6.673825442969465,6.386504346752521,6.019135455242043,7.438904069590497,6.535142845550731,7.601700116366488,5.731708807028348,4.447145102424605,4.128267019643282,5.383722067258942,5.5597479150717035
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0991423177564847,1.0990167163922642,1.092581205860872,4.702553468927465,4.9937213346004565,5.797830073630166,5.728435506171168,6.958483635879045,6.8259664336020895,8.157744517240797,8.722296982812543,8.872501482496986,8.061600057820906,7.857237572030173,9.108363472138238,7.245113966475667,7.961289637074821,6.054073736105052,7.614847863839071,7.947767090064837,8.241822828094882,8.792416935647182
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7724812109606842,1.7791700216333668,4.9228972693287885,4.939120515493335,6.151479897484128,6.240339723543133,7.192049255746214,6.989482970517226,8.5139758069386,9.079493239904513,9.161427816217353,8.593060293039384,8.46835491772012,9.654417624960612,7.809381010926755,8.482077566462303,6.691275561430649,7.683408774837525,8.021286013510574,8.174484677025934,8.657527017088697
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7810857166220218,5.7256264845677505,6.07590915208008,6.758645060382075,6.603105600478213,7.9654753925418245,7.848277718772492,9.100793794623005,9.65873294277886,9.839751604077648,8.892094317154573,8.631382582217814,9.916388553570414,8.027012707089808,8.72387314109424,6.797603859396045,8.666484508132061,8.971405450478175,9.325578313216242,9.880715167526512
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44102294549445,4.81803201387477,5.424151799959287,5.240941726935126,6.50122654646224,6.255397335980963,7.634643068585389,8.3040808247089,8.285521277421939,7.449214514158316,7.341082044576646,8.459876666742808,6.484954336632118,7.098526507514834,5.318923986746912,7.3181891644354655,7.797913858348053,7.890684104923173,8.534939179353753
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2361645608590202,1.3660402154681794,2.0170156771690455,2.409467491704194,2.6621017854428772,3.760479263777991,4.198316722084481,4.51193387225837,4.236569861812888,4.18932304902621,5.316621713596309,4.113749498744445,5.067825367026263,3.426080926148959,2.9733505301014467,3.383706791453445,3.8560058076802872,4.458389529133635
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.291388485284242,3.1213170660660112,2.7542646751298876,2.802725959438656,4.285214838257296,4.690720213883878,4.842373209693112,5.071391291168477,5.170567064804084,6.0991197817460145,4.989357435256941,5.798052549783195,4.4552619479568465,2.783575938117805,3.219324820680193,3.3395712844797836,3.812093879686488
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0431545363769041,1.4600248281574364,2.100354888461655,2.499579005146868,2.933991967537304,3.3840902894776823,2.936111897955788,2.888247491909361,4.007441010916212,3.1169897559486337,4.171323741614245,2.6953372816068706,2.4567179260568377,2.932433270982144,3.5495492729271345,4.244051520808748
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.067994023041345,2.518070065270373,2.6071857975237043,3.1747449445294427,3.5232414363613094,2.4450952081699033,2.3042363916374358,3.5386443577638986,2.3575462688196014,3.510602575988988,1.7384442561854214,3.3568350842014376,3.867356039589094,4.386730976389715,5.153941753901451
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0979283929365855,1.554506031262349,2.1693783711888694,2.1407931955328863,2.6373272800402425,3.041900207118382,3.5245361837514095,3.065744352720553,3.847997692379773,3.218698418846279,1.5232587729003937,2.448279129678089,2.386713231327952,3.2041600457859047
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.170386984182714,3.0350442336571035,2.3280546094578587,3.05463420177039,3.6912295867550533,3.8665660236579455,3.011819646967233,3.5116528259306237,3.217963078671055,2.1274893044735794,3.2624396889214804,2.3972061892514867,3.348791092605725
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0981924870887676,1.097042584273746,1.5496586223247952,2.167775933659574,2.1500954425401764,2.6252075608952374,3.3219988611958704,3.277979106503007,2.4944116731913275,3.161635916918298,3.2395669644603124,3.979179428984902
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7666014238081256,2.166674689165595,2.3756805223524737,2.558709028120574,3.533629693620887,4.299182795579196,4.0938524133818595,2.5492389693682753,2.798993332325482,3.452699399560288,3.970923041152518
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1762787934789216,3.0495257318847715,2.3675687062061685,3.0253562097619895,3.324221116415541,3.9184610673155227,2.8208524660370404,3.6489832628524668,3.1010611239829,3.855244999718877
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097053841252065,1.0968896042057328,1.5634611937401937,2.410516376797154,2.3859346514357114,3.9026754773854084,4.4942971563294725,4.704983454479446,5.494556510859237
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7727697105041966,2.17571239693175,3.2298635803662408,2.5069751426504268,4.204395879671074,4.543062216079405,5.233457452576723,5.94111609681372
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.185123144546609,2.571057786842444,3.2421184766592805,4.6430326205091,5.211072996018904,5.308888438692722,6.061221391351437
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2403514115053091,1.2836926339709689,4.562695325006235,5.363004479699517,5.202283101722135,6.112203270351135
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2723384489680654,5.2817388920320125,6.212414045944489,5.6589640332204345,6.602275939505017
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.715476689609892,5.421108087817923,5.499212357703864,6.386094228751098
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.211925428817482,1.3624640051953913,1.865207730686201
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2482902471697317,2.245701144551773
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9755711684356664
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
